,company,headline,date,overall_rating,author_position,pros,cons
0,Rels Valuation,"Fast Paced, High Turnover Rate",2018-02-13,3.0,Vendor Relations,Gain entry level experience in customer service,"Lack of job security, some managers treat you like you're expendable."
1,Rels Valuation,Pretty awful place to work,2017-07-30,1.0,Appraisal Processor,"Easy commute, having a hard time of thinking of anything else","Disrespectful, pay very low, meaningful advancement not easy"
2,Rels Valuation,Follow up,2016-09-03,2.0,,Decent place if you're looking to a dead end job.  And hate moving.,Atmosphere will make you wanna commit suicide. Managers view you as another body on the battlefield that will and can be easily replaced. You may not have an outside life.  You will be fired with no warnings everyone there is all hush hush we will stab you in the back when you're not expecting it.
3,Rels Valuation,Average,2016-04-14,4.0,,Nice work hours and shift. Laid back environment. Easy work.,People who have worked here for 5 years+ are really comfortable and don't try as much as the temps who are on and off here.
4,Rels Valuation,Customer Care,2016-01-25,4.0,Customer Care Representative,Great company with advancement internally.,"Hire a lot of temps with high rotation. But like I said, you do the job well or excel you are able to get promoted or hired permanently."
5,Rels Valuation,"Run, don't walk",2016-01-25,1.0,Anonymous Employee,"Great co-workers, convenient location, decent benefits","Pay, management, ethics, employee and vendor treatment, and seeming gender and racial bias regarding anyone at the management level. Staff appraisers are not given the support they need (continuing education, career development, etc)"
6,Rels Valuation,Good place to get stuck in a rut. I'd take a different road.,2016-01-14,1.0,Utility Appraiser,"Good health insurance. You always make at least $2,000 a month.","1/2 price appraisals and unrealistic production quotas. You pay most of the expenses, do all the work, and they make as much as you. No raises. No vacations."
7,Rels Valuation,Okay but not great,2016-01-12,3.0,Vendor Relations Representative,Fun work environment and had a good manager. Ability for overtime was nice too.,Lack of leadership or growth as an employee
8,Rels Valuation,Field Appraiser,2016-01-11,1.0,Field Appraiser,"Some company paid benefits, steady stream of work (albeit, at extremely low pay), get to work out of house.","Incessant micro managing, very low pay, you cannot choose which appraisals you want to accept unlike other slave-shop AMCs, constant repetitive training, management isn't the smartest (probably manage based on who they know rather than what they know), no bonus system, no chance of advancement (you probably have a better chance winning the Powerball Lottery), no paid vacation, no company aid to maintain license, work every day to maintain quota.  NOT A GOOD PLACE TO WORK."
9,Rels Valuation,Last Resort,2016-01-03,1.0,Anonymous Employee,You will love your co-workers and the appraisers you interact with as well as immediate management.,Don't expect to make much per hour or receive competitive benefits or raises.
10,Rels Valuation,Staff Appraiser,2015-11-30,2.0,Staff Appraiser,Steady stream of work - consistent,No chance for advancement and you have to get used to being treated like an outsider
