,company,headline,date,overall_rating,author_position,pros,cons
0,Saltgate,Endless work and incompetent management,2022-02-12,1.0,Fund Accountant,"-People are nice and friendly
-flat hierarchy
-hybrid working environment","-management is not good, system and processes are weak/inefficient
-leadership are not very knowledgeable 
-endless work, understaffed/ leadership staff always stressed 
-endless client demands and expectations which cannot be met
-lots of overtime is necessary (not compensated for)
-lots of on the job learning, no proper training provided
-working environment is not good
-high pressure and lots of work and deadlines 
-not many benefits at all
-no work life balance"
1,Saltgate,Avoid at all cost,2022-02-08,1.0,Finance Officer,"Coffee machine and fresh fruit, nothing work-wise worth mentioning","Managers and directors completely absent, the owners greed is ridicolous for dividend pay"
2,Saltgate,People First Culture,2022-01-17,5.0,Chief People Officer (CPO),"- Diversity and inclusion is truly valued
- People first culture which means our staff are highly engaged
- Competitive benefits and compensation
- Exceptional culture of client service which makes it a rewarding environment","- Less interaction with colleagues from other locations due to the pandemic, although best in class technology has made this much easier with video calls the norm now"
3,Saltgate,Good team low pay,2021-09-08,3.0,Administrator,Good colleagues and a friendly working environment,Processes need improvement and pay is not competitive
4,Saltgate,Good company,2021-05-18,3.0,Account Manager,"Environment, working team, leadership, colleague, location","Long hours, parking missing, building, too much work, flexibility"
5,Saltgate,good environment,2020-11-27,4.0,Trainee Fund Accountant,"inclusive environment, all seemed nice",none i can think of
6,Saltgate,Disgusting,2020-06-03,1.0,Assistant?,Used to get free cans of coke but they took them away. Nothing else good at all.,Like being in a cult. Zero work life balance as senior employees ignore every other aspect of their life so everyone else is expected to do the same. Entry level employees are passed from team to team to pick up slack and take blame for managements mistakes and be thrown under the bus in front of clients. Pay is terrible with barely any benefits.
7,Saltgate,Friendly team and good communication!,2020-05-22,5.0,Funds,"Good management, lines of communication are strong.",Have to be quite accurate with data
8,Saltgate,Hard working environment,2020-03-01,2.0,Anonymous Employee,Small company with family atmosphere and flat hierarchy,"Benefits are not attractive, a lot of pressure put on employees"
9,Saltgate,Good company,2020-02-17,3.0,Assistant Manager,nice working environment and good quality of work,too much workload - lot of responsibilities strict deadline
