,company,headline,date,overall_rating,author_position,pros,cons
0,ServiceLink,Avg,2022-04-04,3.0,Document Preparation Specialist,Good people to work with. Random gifts and meals supplied my management,Productivity expectation unrealistic. Management difficult to find to answer questions often.
1,ServiceLink,Unorganized,2022-03-21,1.0,Default Specialist,"Good starting salary, and benefits.","Extremely slow interviewing process, and unorganized training."
2,ServiceLink,Revolving Door,2022-03-14,2.0,Closing Coordinator,"Decent benefits, currently work from home, attempts to keep up morale with gifts",Hire and fire when industry changes rather than cross train
3,ServiceLink,Job,2022-03-12,3.0,Account Manager,Great working environment with solid teamwork environment.,Salary is mediocre and growth for advancement is lacking.
4,ServiceLink,Terrible Place Work - toxic,2022-03-09,1.0,Customer Service Representative,Not one pro I could even try to mention,"Over work you, gas light you into doing more even when you are meeting their unrealistic requirements"
5,ServiceLink,Good place to work part time,2022-03-07,5.0,QC Analyst,Good place to work part time,I do not have any cons
6,ServiceLink,Toxic workplace environment,2022-03-01,1.0,Closing Coordinator,"same tasks everyday, benefits are ok",Pay is horrible. You will work there starting at a very low wage and a 2 % increase yearly ( if you are lucky) . You either work 60-80 hours a week or 40. The wage is so low that you feel bad if you don't work 10 + hours a day to pay your bills. It's absolutely awful.
7,ServiceLink,Good Intro Job,2022-02-23,3.0,Valuations Associate,"Nice coworkers, friendly environment, and some nice perks","Pay could be a lot better, but possibility to work from home is nice"
8,ServiceLink,ServiceLink,2022-02-15,4.0,Bookkkeeper,"work from home, mostly friendly people","No raises in 3 years, transferred 3-4 times without my ok."
9,ServiceLink,"Bad management, no process",2022-02-11,1.0,Senior Software Engineer,Compensation is decent for a mortgage company but it's not worth it.,"- Politics come first over technology
- Design is forced and dictated top down. 
- Only 30 minutes for lunch
- Always starting 1 to 1.5 hours early.
- Always ending 1 to 6 hours late.
- Can end up working on Saturdays.
- Sr developers are treated like Jr. devs. Tasks are assigned and dictated down.
- Low impact
- Zero autonomy"
10,ServiceLink,Would not recommend,2022-02-05,1.0,Inspections Specialist,"Received a paycheck but with the cost of living in Colorado skyrocketing, employer was not able to provide a standard of living that you could survive on unless you lived with a group of people or still living with you parents.",This is not a job that I would recommend to anyone. Employer would constantly shift focus to new goals or responsibilities with little to no training. The job was easy to do but there was always the constant fear of being laid off.
11,ServiceLink,Great place,2022-02-02,3.0,Anonymous Employee,"Flexible schedule, it is great",None at all it’s great
12,ServiceLink,Title,2022-01-20,3.0,Anonymous Employee,"It was okay, most employees were great",Management was a little discouraging. Didn't feel right the way they handled important issues.
13,ServiceLink,Fast paced,2022-01-17,3.0,Title Curative,Great support from management and other team members,Too many accounts for one person on a regular basis.
14,ServiceLink,Run,2022-01-14,1.0,Anonymous Employee,Work from Home is great,Disorganized. Micromanaging. Things change constantly and Upper Management expects processes to be done immediately with little to no training.
15,ServiceLink,It was fine,2022-01-13,4.0,Vendor Manager,"Management was ok. 
Working from home was much better than office","Low pay, no raises, constant position changes"
16,ServiceLink,No growth,2022-01-06,2.0,Title Curative,Couldn't really tell you. Nice gym I guess.,"Bad pay with no annual raise.

Constantly changing of middle management and teams/departments. 

Poor training with high expectations.

Lying and being withholding towards costumers while constantly stressing costumer service."
17,ServiceLink,Great company,2021-12-22,4.0,Mortgage Closing Coordinator,Great team work and the benefits are good.,Lots of hours and it's pretty expected of you to put on a lot of OT
18,ServiceLink,"Not bad, could be better",2021-11-24,4.0,Vendor Management Assistant,"Great people, all work from home",Asked to do too much in comparison to job description
19,ServiceLink,Good place to work,2021-10-12,5.0,Tech Support Specialist,Management was great. Good pay.,I didn't really experience any negatives.
20,ServiceLink,"Borrowers, lenders, and job seekers beware",2021-10-07,2.0,Anonymous Employee,"Casual dress, cafeteria, some can work from home.","Many untrained managers and vps. Lack of respect for employees, chaotic environment and lack of planning and organization from management. The workload is unreasonable and does not allow for any level of good customer service. The company takes on too much work at the expense of quality. Their lack of planning and hiring causes large amounts of overtime for front line employees. It is now the norm to be hundreds of files behind. Borrowers should avoid this company and use their local companies."
21,ServiceLink,Decent workplace,2021-09-28,4.0,Invoice Verification Auditor,No micromanaging and you can work independently.,The job spends on foreclosures. The housing industry can change at any minute. The pandemic wiped the high volume out
22,ServiceLink,Worst Managed Company Imaginable,2021-09-14,1.0,Anonymous Employee,There are no pros for this job. It's a temporary work from home position that will run you into the ground.,"- No work life balance, always pushing for overtime during the week and on weekends
- Extremely poor upper management 
- Focused way too much on productivity standards instead of actual quality of work
- Other departments were dissolved or broken down a bit and those responsibilities all went to one department, so it is impossible to focus on your sole purpose for working
- HR is extremely hands off and it is very difficult to get any of them to respond, even to urgent matters
- Benefits are terrible
- PTO is offered, but you are not allowed to take off the same day as someone else, so if you are new and haven't been with the company for 15+ years, say goodbye to being able to plan vacations and seeing family for the holidays
- Lay offs happen every winter season without warning
- The pay is insultingly low for the workload and responsibility you take on, especially for other departments pushing their sole role onto you
- They do not care about personal matters and do not value their employees
- Workplace harassment is constant and will not be resolved, as HR does not take anything seriously or value employee comfort. They will do anything to avoid having to lift a finger and truly discipline anyone. 
- Toxic coworkers with very little drive to do anything. If you are good at your job, they will walk all over you and take full advantage of that. They will burn you out quicker than you can blink.
- Already stated, but management is AWFUL. I strongly urge everyone to keep a strong distance from this place. This is not a job you want. It may sound simple and convenient with a lot of freedom and independence, but it is not. Micromanaging is a true problem here and this job will seriously raise your blood pressure and anxiety levels."
23,ServiceLink,Not a good environment,2021-08-31,2.0,Title Coordinator,"A paycheck, health insurance available after a couple of months.",A lot of favoritism; a lot of unqualified people in key roles.
24,ServiceLink,Tremendous opportunity potential,2021-08-09,5.0,Technology Lead,"In my experience, the growth potential is wonderful. Talented and hard-working individuals can climb the corporate ladder quickly, and enjoy an entrepreneurial experience.
The company's technology is highly innovative and always getting better.
Shared services (finance, accounting, sales, IT, legal, etc.) wages are above average.
Outside of operations, job stability is very good.
Some benefits are very good (employee stock purchase program, vacation)
The company has been investing a lot of time and energy into employee engagement initiatives, training, improving the workplace, and culture.","Some positions (specifically the shared services groups mentioned previously) demand a significant time-commitment.
Wages for entry to mid-level in operations (and some other groups) are below industry standard.
Disruptive innovation leads to chaos and disorganization."
25,ServiceLink,I love my position with ServiceLink,2021-07-30,5.0,Account Executive,"Great salary, Good benefits, Bonuses, Great people , Work from home, Generous PTO, fun activities, opportunities for advancement.",I really can’t think of any cons. I’ve worked for servicelink for the last 6 years
26,ServiceLink,Lots of work,2021-07-29,3.0,Project Analyst,Coworkers all pull together and work through tough times,Unrealistic expectations are hard to meet.
27,ServiceLink,Slave Ship IT Organization,2021-07-27,1.0,Project Manager,I cannot think of a single pro about working at ServiceLink,"If you enjoy narcissists, this is the place for you. There is a king, and he presides over all of his mindless minions that kneel before him chanting, yes Master."
28,ServiceLink,Good company to work for,2021-07-27,5.0,Administrative Assistant,Great people and over all company.,N/A. Nothing negative to say.
29,ServiceLink,Unrealistic expectations,2021-07-24,2.0,Data Entry,"If you like overtime, it's almost never limited.",You can't possibly complete everything they want you to without overtime every day plus weekend time. It will count against you if you don't do overtime during your annual review.
30,ServiceLink,Overtime overtime overtime,2021-07-19,2.0,Title Curator,Vacation/PTO and work from home,Don't bother working here unless you don't mind being beat over the head with overtime. The management mindset is always why bother hiring extra help when you could just have the current overworked staff do overtime?
31,ServiceLink,none,2021-07-08,2.0,Analyst,"good environment, friendly and helpful",there is not much to
32,ServiceLink,"Good environment, little career path options.",2021-06-27,4.0,Anonymous Employee,"- Flexible schedule
- Easy-to-learn work
- Lax dress code

*neutral*
- Sometimes can/have to work weekends
- A bit of micromanaging involved
- Work stops providing a challenge pretty early on","- Pay can feel subpar for effort required
- Environment can get stressful during high volume periods
- No real career paths"
33,ServiceLink,Meh,2021-05-25,3.0,Vendor Operations,In cent ives and Benefits,"OT constantly, no internal promotions"
34,ServiceLink,none,2021-05-06,4.0,QC Analyst,Good people to work with.,I have no cons to mention.
35,ServiceLink,Ok company,2021-05-06,3.0,Anonymous Employee,Service Link paid pretty decent,The team was in Colorado. I was the only person here.
36,ServiceLink,Okay company,2021-04-25,3.0,Customer Experience Specialist,"It is remote, my managers have been pretty good. Nice benefits, room for different departments",Not great pay raise - long time between reviews
37,ServiceLink,Depends who you work for,2021-04-09,3.0,Director Business Intelligence,Some opportunities for Career Advancement,Abrasive leaders lead to a Toxic culture.
38,ServiceLink,It was ok,2021-04-01,2.0,Accounts Payable Specialist,You can listen to music or podcasts all day,"not very friendly, management is not personable."
39,ServiceLink,Not recommend,2021-04-01,1.0,Title,Work from home because of covid,"Incompetent Management, work to life balance is bad, Stay Away"
40,ServiceLink,closer,2021-03-31,3.0,Mortgage Closer,benefits package is good for employees.,the management is restructuring so r.oles are changing
41,ServiceLink,It’s what you make of it,2021-03-25,3.0,Closing Coordinator,"work from home, put as much effort (to a degree) as you would like","expect you to be flexible, POOR organization from top down, training was an “you’ll learn as you go” process"
42,ServiceLink,Help Desk in Arlington,2021-03-18,3.0,IT Helpdesk Support,"- Lots of Flexibility
- Easy going environment",No room for promotions and bonuses.
43,ServiceLink,A good stepping stone to your next advancement if you are just starting in the workforce,2021-03-14,1.0,Anonymous Employee,Remote for the time until life returns to normal.,The compensation is not competitive for the industry.
44,ServiceLink,Employees aren't a priority,2021-03-12,2.0,Accounting,"Easy work, colleagues and some managers","Pay, benefits, work culture, work life balance"
45,ServiceLink,Great place,2021-03-03,5.0,Resource Center,Great to help people when they need it,not a lot of training
46,ServiceLink,Really great team to work for,2021-02-02,5.0,Quality Assurance,"I am able to better myself by stepping out of my comfort zone, my team is very easy to work with, and the over time opportunities are plentiful.","The workflow itself is disorganized, which can lead to operational backlogs. That is to be expected , though. If you can handle over time and always learning new things, it is a great job."
47,ServiceLink,Would not recommend,2021-01-26,2.0,Client Service Representative,"Remote, work from home. Easy job",Same thing over and over. Pointless meetings. Managers who don’t do anything. Terrible in house system. Most pointless job I’ve ever done. Painful worst job to date
48,ServiceLink,good job,2021-01-18,4.0,Customer Service Representative,lots of overtime and bonuses,busy workload but still not too bad
49,ServiceLink,Good Place To Work,2021-01-11,5.0,Anonymous Employee,Co-workers supportive - Collaborative environment - Work from home - Ability to influence procedures and assist all,Similar to most companies a hold on 2020
50,ServiceLink,A good company to work for.,2020-12-10,4.0,Appraisal,Paid vacation Casual dress code Cafeteria,"Layoffs
Being transferred to other departments"
51,ServiceLink,Desktop Team,2020-12-10,2.0,Desktop Support Analyst,Always something new to do,No allowance for new training
52,ServiceLink,Live to work,2020-11-16,2.0,Operations Supervisor,The casual work attire was nice. Met some great people.,"Expected to work 24/7. Always asking for overtime when hourly, and expecting long days when salary. Will lay you off or terminate you without a second thought."
53,ServiceLink,The good and the bad,2020-11-06,3.0,Scheduler,"Tons of OT, awesome team members",Company makes all moves lateral so they don’t have to pay you more with a higher work load
54,ServiceLink,Just Don't,2020-11-03,1.0,Asset Specialist,The other employees are great!,"Nepotism, zero common sense, management would rather have friends than employees who actually work."
55,ServiceLink,Don’t Make The Same Mistake That I did,2020-11-02,1.0,Closing Coordinator,Absolutely no pros at ServiceLink.,They treat employees poorly and make it difficult to move to a better position.
56,ServiceLink,Good to work,2020-10-31,5.0,Software Developer,Nice team to work with.,Not much I can say.
57,ServiceLink,Average job,2020-10-28,3.0,Scheduler,"Unlimited overtime during busy season, food trucks while in the office",Senority doesn't seem to matter and does not give out raises
58,ServiceLink,Data Analyst Intern,2020-10-28,3.0,Data Analyst,"- Light workload
- Decent pay
- Remote work","- Much of the learning is done on your own.
- Left to Google search most things"
59,ServiceLink,"Good Starter Job, Not For Long-term",2020-10-26,2.0,Operations Analyst,"- overtime galore during busy season
- clean facilities
- decent medical/eye/dental insurance
- food truck days
- option to work remote depending on department / position","- hit or miss with management
- minimum training if any
- does not invest in success for employees
- secrecy in wages; seen employees with the same experience, knowledge and title make a $5 an hour difference in wage
- lack of pay raises, if any, they are minimal"
60,ServiceLink,ServiceLink,2020-09-24,4.0,Team Lead,"Good pay and benefits 
Decent amount of vacation",Long hours end of month
61,ServiceLink,review,2020-09-16,4.0,Scheduler,"i am able to pick my hours, flexible",working a lot of overtime and fast paced
62,ServiceLink,Closer,2020-09-14,3.0,Closing Coordinator,"Overtime, good co workers, nice office","Overtime required, long hours, not great pay"
63,ServiceLink,"Great Boss, Terrible Company",2020-09-09,2.0,Title Underwriter,"My boss was the best part of my job, if everyone listened to their employees how he did the company would run a lot smoother","Senior management doesn't listen to their employees, corporate culture is lacking"
64,ServiceLink,Awful,2020-08-25,1.0,Conveyance Coordinator,Best reasons to work at servicelink includes the half cubicles that allow you a cozy space to cry during your lunch break,"I worked there for 3 years and management (field services) didn’t seem to care about employees and only showed up when something was wrong. 

Management does not care about well being and lots of mandatory overtime required on top of layoffs every direction"
65,ServiceLink,Decent Job,2020-08-19,2.0,Valuation Analyst,"Good benefits, positive atmosphere, helpful coworkers",Pay could be better compared to the national average
66,ServiceLink,not good,2020-07-23,1.0,Anonymous Employee,"relaxed dress code, computers, chairs","unrealistic goals, constant transfers, boring"
67,ServiceLink,Not interested,2020-07-23,1.0,Customer Service Supervisor,there are not any pros,"the work kept piling on, but no one wanted to negotiate salary"
68,ServiceLink,Remote Work. Fun people but disorganized,2020-07-16,3.0,Customer Service,"Work from home, somewhat flexible schedule.",Disorganized. On-call a lot. Untrained management
69,ServiceLink,All companies have their problems some are better than others,2020-06-17,3.0,Shared Services,"Established Company, in specialized a market, strong parent company, hire young international talent, uses new technology","Open/ crammed office, annual cost of living not a a sure thing, lack of planning before project states for attainable deadline."
70,ServiceLink,"Good pay, and thats about it",2020-03-26,1.0,Title and Closure,"Staff is pretty helpful, overtime is available","Work is tedious and monotonous, you are expected to work upwards of 12 hours a week in overtime, training program was  not helpful, disorganized, and tone-deaf, lenders do not send proper documents on time and leave the servicelink staff to pick up the pieces.

Seriously, DO NOT take this job unless you have to, Very little respect is shown for the employees and they try to compensate with dumb ""employee engagement"" activities"
71,ServiceLink,Great,2020-03-13,5.0,Scheduler,"Good pay, relaxed environment, good managers",Long hours during end of month
72,ServiceLink,Be prepared to be cut everytime you go home,2020-03-03,1.0,,Everything is OK if you are in the group of favorites,"Be aware of being informed that your contract is ended after 5pm even if they planned to cut you a long time ago.
Everyone knows, just you will be noticed at last.
Nobody will say thanks to you even if you worked for several years or so. They will pretend you never worked here.
Ive seen this for so many times and I wanted  everyone to know you are not the only one, it's not you, it's just Servicelink corporate culture."
73,ServiceLink,Don't do it...,2020-02-27,1.0,Manager,"Gym, Employees, Cafeteria, Plenty of Parking, Balloons.",Company absolutely does not care about their employees career path.  Management constantly changes so there is no consistency.  If you disagree with something then you are shunned for life.
74,ServiceLink,"For some people it will be good place to work, for other will not",2020-02-26,2.0,Software Developer,"No need to learn new technologies, good place for those who just want to do same things on a daily basis","- Nobody really cares about the product.
Management is trying to look like they does, sometimes even not trying though 
- New ideas and fresh look are not appreciated
- No feedback wether you did something wrong or right
- No, wait, you will be definitely aware if you did something in a way management didn't expect it to be, because it will be discussed in the front of the whole team
- mandatory overtime, not paid is some cases
- not competitive pay
- no settle process, just seat and start, install all soft, request access, etc... Nobody will help you at least if you are not annoy them
- huge Indian community, Indian culture in company, but that's good for Indian people though"
75,ServiceLink,Good and bad,2020-01-15,3.0,Title Clearance/Closer,Great place to work when you have a good manager.,Too many management changes. The good ones always leave.
76,ServiceLink,Be careful of the positive reviews.,2020-01-13,1.0,Financial Analyst,"There are some very good employees that give their best.  Unfortunately, if you give your best, this company wants more out of you.","Where do I start.  
First off, if you are hoping to meet the CEO, it won't happen.  I saw him one day and told my boss I would like to meet him someday.  He told me that was absolutely out of the question.  The CEO does not talk to anybody lower than his direct reports.  So, if you see a review about meeting senior managers, it is not true.  
Second.  You will see reviews about the many team building events.  That is also a fabrication.  They USED to have team building events.  Then the senior managers would walk around the offices and see who was NOT at their desks.  So, this was stopped abruptly.  
Does management care about it's employees?  Not a chance.  They only care about what they look like in front of the upper managers.  You will see people leaving, but nobody new is hired.  They take the current work load, and distribute it to who ever is left.  
Hourly versus Salary people are treated just the same.  Yes, you may see salary people taking a longer lunch, but that just means they have to stay longer to make up the time.  Hourly workers are stuck at their desks with only a 30 minute lunch at two 15 minute breaks a day.  And my manager told me that salary workers do not get breaks.  If I took two 15 minutes breaks, then I had to work an extra half hour each day to make up for it.  And, as a salary worker, if I took longer than 30 minutes for lunch, I had to make up the time.  
In past jobs, your salary was based upon what your ""brought to the table"" such as education, experience, etc.  At Servicelink, I was told they pay your more to offset the extra hours you will be required to work.  
You may get a laptop for the cases where you have meetings and need to take it with you.  But, you are also required to take it home and work during the evening.  You are also obligated to take it with you on vacation and monitor emails while you are gone.  
And, by the way, if they do let you go.  Please account for all your personal items.  People have to buy their own office supplies and when you are let go, the vultures pounce on every thing they can get their hands on.  Also, if you have any personal computer peripherals like a cordless mouse and keyboard.  Make sure you get those back.  I have seen personal gear like laptop bags, dongles, mouse and keyboards magically disappear when cleaning out somebody's desk.  Including mine.  
I have also seen reviews where somebody has complained to HR for racism, bullying, or just poor management techniques.  Sorry, HR cannot help you.  One thing WILL happen.  You will be placed on a performance improvement plan and every move you make will be documented and a case file will be created for your dismissal.  The second thing that will happen is you will be interrogated and made to look like you made the entire scenario up.  HR is only there to make sure the company does not get sued.  If there is cause for being sued, they will discredit all you say.  If there is no cause for a law suit, such as office bullying, they will not do anything.  
If you see a job opening for Servicelink.  Ignore it.  If you are not the CEO or his direct reports, you do not matter.  
So, all of these positive reviews about management caring, team building events, CEO town hall meetings...   truthfully, they are all a complete fabrication and nothing more than an attempt to artificially inflate the Glassdoor rating of Servicelink"
77,ServiceLink,Client Management,2020-01-03,4.0,Anonymous Employee,Good place to work at.,Has problem with maintaining business
