,company,headline,date,overall_rating,author_position,pros,cons
0,State Street IMS,State Street,2022-02-11,5.0,Senior Business Systems Analyst,"Benefits, the people, always interesting projects/work",Management did not actively promote career growth
1,State Street IMS,Manager is a street popcorn seller,2022-01-21,1.0,Trade Administrator,Manager gives you popcorn everyday,You need to work and eat popcorn to get 1% hike
2,State Street IMS,Plenty of Work - Hardly Any People,2021-08-07,2.0,Officer,Flexibility in working from home.,Pretty much everything else about this place.
3,State Street IMS,Didn't like it,2021-04-21,1.0,Associate-2,"nth, except the environment was friendly (not the bosses)","nth is good, so i guess everything was pretty bad...especially salary"
4,State Street IMS,Great company,2021-01-22,4.0,Emerging Leader,"Nice company
Great environment
Work life balance","Management is not good
India management is not good at decision making"
5,State Street IMS,Wonderful workplace,2020-11-09,5.0,Anonymous Employee,I thoroughly enjoyed working for Statestreet. One of the best places to work.,None. It was a great place.
6,State Street IMS,"Has both pros and cons, quite balanced",2020-07-24,3.0,Business Analyst,"company culture, cab travel, office space","managerial behavior, stressful, pay imbalance"
7,State Street IMS,First job,2020-03-05,3.0,Associate,Ok job for a recent graduate,Need more challenging projects and work
8,State Street IMS,Salary,2019-06-24,3.0,Senior Analyst,Low work stress at office,Worst hike is really bad
9,State Street IMS,N/A,2019-06-09,2.0,Associate II,Exposure of inner working of capital market,"Terrible Management
Outdated Technology
Lack of Synergy
Overload of Work
Lack of Training"
10,State Street IMS,Time to Grow,2019-04-24,1.0,Anonymous Employee,Flexible shift. Good training program on product and market knowledge.,High Pressure with low return
11,State Street IMS,"Good working environment, but pay is not great",2019-04-03,3.0,Client Service Representative,Good working environment and flexible working,Pay is on the low side and bonuses are small
12,State Street IMS,Team Leader,2019-03-17,2.0,Team Leader,"Good opportunities, Good Infrastructure",No Transparency between Management which is contrary to Open Door Policy
13,State Street IMS,Avoid at all cost,2019-01-06,1.0,IT Professional,"Great coworkers, vacation benefits, paid maternity, and decent pay","Management does not care. Work life balance is a joke despite being touted by the parent company. Constantly have to watch your back against some managers. For such a huge company, this division is shockingly super cheap and penny pinching (I kid you not!) VERY high turnover rate. Nonexistent bonus and salary increase (if you get one). Irvine division is a sinking ship and truly, truly the worst company I had ever worked for!"
14,State Street IMS,Opportunities,2018-12-27,4.0,Associate,Relaxed work environment here in Irvine.,Need a better coffee machine.
15,State Street IMS,Just a job,2018-12-22,2.0,Associate II,"3 weeks PTO, 10 or so holiday pays, 2 personal days, 2 volunteer days.

Flextime, but this varies on who your manager is.

Managers who take credit for workers’ work, will either get fired or laid off. See cons section.","Managers are useless and clueless. 

Like the one who proclaims being respectable after “12 years working at the firm since college,” who instead of helping the worker resolve an issue, just degrades them to figure it out themself since he is “asking the question to you, and expects you to solve the problem like a miracle worker with no training or guidance from him, whatsoever."
16,State Street IMS,Avoid the sinking ship,2018-12-01,1.0,Back Office,Funny coworker interactions. People shot  on each other here and it’s the only work place I’ve worked at that allowed this kinda talk,"Managers bullying new members if they don’t fit into the same mold.
Low pay don’t let anyone else tell u
Some managers are incompetent 
This branch is going down under. New temps every week."
17,State Street IMS,Irvine,2018-09-29,3.0,Anonymous Employee,Coworkers are good people.,Management is spotty at best.
18,State Street IMS,Team lead,2018-05-29,4.0,Team Lead,very good process lot to learn,there is nothing significant to mention
19,State Street IMS,"Large institutional investment opportunity in the city of Irvine, CA",2017-09-20,3.0,Officer,"State Street IMS' clients in addition to the bank as a whole's client base allows an employee to experience a diverse set of trades, strategies and cultures.  The primary client for IMS is PIMCO and the majority of employees work to service only this one client.  Within the PIMCO support team responsibilities are focused by product and allow an employee to learn a lot about whatever product they are assigned to, teams servicing other clients might have more opportunity to explore a more broad set of investment types.",Product focused teams typically go through cyclical work flows of volume making days or weeks without much to do.  The culture is very reactive to the client and somewhat afraid resulting in frequent 'busy work' assignments to appease the client or prepare for how they might react.  The distribution of responsibility between product teams or management and associates causes some groups to be regularly overworked without a facility to distribute the workload.  Management leads regular initiatives to improve moral and collaboration however they are more of an exercise to satisfy management than a tool to really trigger change.
20,State Street IMS,"Assistant Vice-President, IT Infrastructure, Active Directory Architect",2016-09-02,5.0,Active Directory Architect,"Great work environment.
Work with latest technology",Company does not provide much ongoing training.
21,State Street IMS,State Street IMS,2016-08-25,4.0,,"Great people, good benefits, decent pay. Many opportunities around the company and it is fairly easy to transfer to a new position or role.  Demanding but fair.",a lot of bureaucracy.  401 K match percentage was reduced.
22,State Street IMS,Pricing Analyst,2016-04-11,3.0,Anonymous Employee,Great work environment.  Free Parking,Some employees are clueless.  No free lunches
23,State Street IMS,Employee,2016-03-05,2.0,,Experience in the finance industry,Lack of investment in technology and people
24,State Street IMS,Application Support Analyst,2015-10-21,4.0,Anonymous Employee,Team environment in a fast pace industry,There are no advancement opportunities where I'm at currently.
25,State Street IMS,"Work Hard, reap benefits",2015-10-10,4.0,Vice President,Hard work is rewarded and appreciated by management.  Great place to gain experience in the financial services field. Work life balance is supported by management team.,Bonuses for lower level employees are not that great.
26,State Street IMS,Analyst,2015-09-15,2.0,,"401k match. Tele-commute opportunities. Glassdoor asks that i have 5 words under ""pros"" so that is the reason for this sentence.",environment. Ever-changing mid-level management. Poor communication. Brutal base & even worse bonus.
27,State Street IMS,State Street HCL Services,2015-07-21,2.0,Senior Associate,You will learn a lot and might get some chance to travel for training.,"Very low compensation package for rank and file employees ( Analyst to specialist ), you can bring any food (even biscuit ) and your cellphone ( with camera ) to the production floor. Poor reward and recognition system, manager's from other companies brought their political culture and favoritism."
28,State Street IMS,Former Employee,2015-06-24,2.0,Anonymous Employee,Great place to start and learn about the industry when you have little to no experience.  People here are great and that's their greatest asset.,This used to be a great place to work in terms of what the company used to offer to promote growth and it's culture of unity.  Benefits have dwindled and people aren't too happy here.
29,State Street IMS,State Street IMS,2015-06-08,4.0,Anonymous Employee,"Great Culture, Great People, Great Location",mid-range salaries with the highest costs of living in the country outside of Boston/New York
30,State Street IMS,Client ops,2015-05-29,1.0,Anonymous Employee,Good place to work for people seeking experience,"Employee moral seems very low, as employees over worked and under appreciated"
31,State Street IMS,Good place to gain experience,2015-04-28,3.0,Officer,"Gain good experience. Promoted if you work for it. Your manager will influence your path more than they should, there are some good ones and bad ones.","Pay is low to the industry. To get a real raise or promotion find another job, and take it."
32,State Street IMS,Times are changing for the better,2015-04-11,4.0,,"Seems to be on an upswing after getting rid of Conway and Taggert coming into command.  Irvine has a solid management team and great people with a environment that is hectic at times due to client demands and poor support from Boston parent.  Good place to start and get solid experience in this industry.   
Good benefits and very flexible work arrangements","Been overly outsourced to India which caused morale and client issues but rumors are that it may change.  Fast paced environment, possibly too fast at time."
33,State Street IMS,Work here if you want bosses with high expectations and a horrible work life balance for peanuts,2015-03-25,1.0,Front Line Manager,Maternity leave benefits and potential for camaraderie with coworkers. That's it.,"SSIMS apparently prides itself for low pay, long hours, grueling client and upper management demands, disconnected upper management, few and far in between promotions, and even fewer and farther pay increases. Let's not forget shipping most of the jobs off to India and the Philippines. The company saved tons of money by outsourcing the jobs but none of the surviving employees benefited from that. Instead the remaining employees were expected to manage the people overseas (while minimizing overtime) and make sure the end-clients weren't affected or experienced a decline in service. The morale there continues to decline for all of these reasons and more."
34,State Street IMS,This place has become a joke. 10 years ago you use to get a fair living wage increase in Pay each year.,2015-02-25,1.0,,I am not sure I can come up with anything regarding this anymore.,Upper Management is a joke. You are lucky if you get a 1% increase in pay each year. They don't think about their employees when it comes down to your year end reviews. Management does not fight for pay increases or promotions.
35,State Street IMS,Good entry level position,2014-12-12,3.0,Senior Bank Loan Administrator II,"My experience was that State Street would hire ANYONE with a pulse and was a great way to get entry-level experience.  Good workers with strong networking skills could move on to external clients or more prestigious internal groups.

Benefits, especially vacation time, were pretty good for the area/industry.","Very stratified system - associates didn't really interact with senior management.

Mid and senior management were generally ""lifers"" without experience in other roles or firms and were mostly just filling time.

Not a lot of opportunity for diversification of skills.

Pay was low although colleagues who are still there mostly got significant pay increases over the past few years - I think the firm realized they were losing talent due to the low compensation."
36,State Street IMS,They do not care about their employees,2014-12-02,1.0,Ladenbauleiter / Immobilienmanager in der erweiterten Geschäftsleitung,None None None None None,"Very Political, Terrible Pay, No work/life balance, Terrible Management"
37,State Street IMS,State Street IMS,2014-10-07,4.0,Manager,"Good benefits like dental insurance, pension, health insurance.",Lots of outsourcing to India in 2011
