,company,headline,date,overall_rating,author_position,pros,cons
0,Stonegate Mortgage,Great place to work,2022-03-30,4.0,Client Relations Analyst,Great Management and work/life balance,"Need better benefits, the health insurance is crazy expensive."
1,Stonegate Mortgage,politics,2021-07-22,2.0,Mortgage Underwriter,co-workers/location and office building. company functions,"management, management, management, management....politics, nepitism"
2,Stonegate Mortgage,Great Company,2020-10-09,5.0,Vice President,Excellent Management and team atmosphere,Company was sold and new management
3,Stonegate Mortgage,Basic,2020-05-16,3.0,Loan Officer Assistant,Management was supportive to team,Teams were not as supportive
4,Stonegate Mortgage,review,2020-02-24,3.0,Business Analyst,pay was comparable at company,hard to get promoted there
5,Stonegate Mortgage,Underwriter,2019-08-26,1.0,Anonymous Employee,"Family atmoshphere, good salary","Too much overtime, no training"
6,Stonegate Mortgage,Good company,2019-04-10,3.0,Anonymous Employee,Good benefits. Good coworkers and management,Grew too quickly. Technology outdated
7,Stonegate Mortgage,Job,2019-02-05,4.0,Anonymous Employee,"Good money, working w people",Home/work balance need to manage better
8,Stonegate Mortgage,Quality Assurance Control Specialist,2019-01-09,4.0,Anonymous Employee,"Good People, work load was manageable, very little overtime so had work/life balance","Most of my team was out of state, including my manager so phone calls and emails were the only way to have communication."
9,Stonegate Mortgage,Was a good company to work for,2018-07-27,4.0,Anonymous Employee,"They had great staff and, for a while, great management.  When the leaders were engaged and on the same page, the company grew rapidly and set revenue records.","Some of the management they brought in through mergers had competing agendas, and eroded the progress and vision that made the company great."
10,Stonegate Mortgage,The leadership was terrible,2018-06-01,1.0,Anonymous Employee,"There were few pros about this company, unfortunately.",The previous leadership was terrible and did not make good decisions.  The HR team was unfair in pay and evaluations.
11,Stonegate Mortgage,Incompetent Mid-management,2018-03-06,1.0,IT Specialist,Their benefits were comparable to other companies.,"promotion not merit-based, but time-in grade and buddy system"
12,Stonegate Mortgage,Went Downhill Fast,2017-11-16,1.0,Information Technology,"The people. 
They pay you out and show you the door when you turn in your two-week notice.
Most of upper management was let go after the buyout so hopefully things are better now that some other company bought them.",Could never underestimate the level of incompetence when it came to upper management.
13,Stonegate Mortgage,Trainer,2017-09-12,2.0,Anonymous Employee,Small office so you got to know everyone.,There were zero opportunities for advancement.  They always hired from outside versus within.
14,Stonegate Mortgage,Senior Mortgage Underwriter,2017-09-08,5.0,Senior Mortgage Underwriter,"Friendly co-workers, no micro-management, no drama","none, none, none, none, none"
15,Stonegate Mortgage,IT Support  Specialist,2017-08-01,5.0,IT Specialist,Better Opportunities with good payment.,No to much to say
16,Stonegate Mortgage,Look elsewhere,2017-06-20,1.0,Anonymous Employee,"Company and executive management are clueless, so you can basically do anything you want.  Make it up as you go so to speak.","They were purchased by Home Point, so the gig is up."
17,Stonegate Mortgage,Proccesor,2017-06-09,4.0,Anonymous Employee,Flexibility to work remotely is awesome!,Pay could be more competitive.
18,Stonegate Mortgage,Not a Good Company!!!,2017-06-08,1.0,IT Department,"The pay is the only thing that is good with this company, But now I know Pay isn't everything.",Management. They only look out for the people that are close to them and the people they know.. They will let you go in a heart beat. They were bought out by a company called Homepoint Financial and there just as bad. Do not work for this company. I should have never left my previous job for this place at all.
19,Stonegate Mortgage,My time at Stonegate,2017-06-05,4.0,Inside Sales Account Executive,Freedom to call on brokers at your pace,Small company...would like to see better benefits.
20,Stonegate Mortgage,Terrible,2017-05-16,1.0,Operations,None to think of terrible company to work for worse job I had ever had smiled when I quit the company,"Reverse racist environment. Poor benefits and  incompetent  ,lazy management work you to death"
21,Stonegate Mortgage,Default specialist,2017-05-02,3.0,Anonymous Employee,Hours of operation location. Business Ethic,Old Sytemw in use. Reqlky need more up todate technology
22,Stonegate Mortgage,Loan closer,2017-04-28,4.0,Anonymous Employee,Great company and co-workers.,"None.  flexible hours, free coffee,"
23,Stonegate Mortgage,Disclosure Desk Assistant,2017-04-26,3.0,Disclosure Desk,"The company offered flexibility, decent benefits, and great people to work with.","- No training, no annual salary increases for the entire team, and brushed off from upper management."
24,Stonegate Mortgage,Data entry,2017-04-19,1.0,Anonymous Employee,co workers are awesome and flexible schedule,watching a VP scoot around on her office chair because she needed to smoke is absurd. I tried numerous tmes to get hired from a temp position and seeing someone like that is beyond ridiculous.
25,Stonegate Mortgage,Retail Marketing Designer,2017-04-06,4.0,Anonymous Employee,Good benefits comfortable work environment.,Only con was the removal of our department from Arizona back to Corp. Reasons not given.
26,Stonegate Mortgage,Underwriter,2017-03-29,1.0,Anonymous Employee,They offer remote positions and reimburse for normal business expenses.  The hotel and facilities were nice during training.,"This is the worst underwriting job that I have ever had and I have been in mortgage industry almost 20 years.  The emails that came from managers were rude, unprofessional, and demands on file quality and turn times unrealistic.  They said that overtime was an option, but refused to pay it if you could not clear all your conditions (sometimes there were close to twenty conditions that would come in) AND submit your 3 new daily files.  It was not realistic and they did not want to pay overtime to do the necessary work."
27,Stonegate Mortgage,Cashiering Analyst,2017-03-27,2.0,Anonymous Employee,"I was there for only two months, It seems like a pretty good company to work for.",The management team needs work.
28,Stonegate Mortgage,Not the best mortgage company.,2017-03-26,2.0,Client Relationship Specialist,"Its a job for right now since the rates are high, gaining experience to move on to next company. We will see what happens when the merger happens.","Very unorganized. They tell you one thing and do another. Atmosphere is horrible amongst females in the office, a lot of eye rolling and non speaking."
29,Stonegate Mortgage,"Local offices are great, Corporate is out of touch.",2017-03-21,1.0,Anonymous Employee,The people in the local offices are truly where the talent in this company lies.  Hardworking and committed even when there is little to no direction from the top.,Corporate.  Their corporate culture is not supportive. They believe micromanagement is the answer. If management in the independent centers makes recommendations on anything they are ignored unless it falls in line with exactly what corporate has already arbitrarily decided.  The corporate office also makes decisions in a vacuum. They are so out of touch with what it is to work in the front lines of a mortgage production unit that it makes it impossible for the local centers to do their jobs effectively.  The production units are being give direction by people who have not touched a loan file from start to finish in at least 10 years.
30,Stonegate Mortgage,Stonegate Mortgage - Wholesale,2017-03-15,3.0,Anonymous Employee,Stonegate is a good company to work for. The benefits are good.,"Management is terrible in the wholesale operations side. There is no appreciation for their hard working employees. There are managers/ supervisors in positions that they know nothing about. This part of the job is challenging and frustrating. The company does not focus on training and developing their employees. They show you how to complete a task once and then you're on your own. 

The company also lost their awesome culture when the company went public."
