,company,headline,date,overall_rating,author_position,pros,cons
0,Telsey Advisory Group,Could not wait to leave,2020-03-09,1.0,Anonymous Employee,Director challenged me with good questions,"Comp not worth it, culture depressing, did not feel bad lateraling. Very bush league"
1,Telsey Advisory Group,The Worst,2019-12-09,1.0,Director,Not many Pros about a place where mismanagement virtually drove the firm  out of business,Worst managers in an industry known for bad managers. They fiddled as the place burned down around them and blamed the employees on the front lines for their failure.  Would not recommend the place to anybody.
2,Telsey Advisory Group,"Go Home, Nothing to See Here...",2019-03-27,1.0,Anonymous Employee,"Snacks, birthday deserts...  But get there before it's picked over. The ""environment' can be unsanitary at times.","Unprofessional, depressing, no loyalty, unrealistic, wasteful,   Desperate need of an HR Dept.  Release the crypt keeper, he's no  ""Rock Star""."
3,Telsey Advisory Group,Senior Accountant and Operations Associate,2018-08-07,5.0,Anonymous Employee,"Great place to gain experience and work with intelligent people. They have a family like culture, stocked kitchen, and prestigious location.   Management is very accessible and it's a wonderful place to work.",Bonuses are dependent on company performance more than individual effort.
4,Telsey Advisory Group,Do not work here,2018-02-07,1.0,Anonymous Employee,"Nice people, snacks for birthdays","No career growth
Depressing office space
Lack of structure
Constant turnover"
5,Telsey Advisory Group,"If there was a ZERO, I would give it.",2017-01-04,1.0,,Candy in the kitchen and that's it!,Chews and spits people out. CEO has no regard for anyone. Research is completely overrated. Look at the ratings. Most people can walk a mall on their own!
6,Telsey Advisory Group,Simply Pathetic,2016-08-05,1.0,Institutional Sales,"Nice midtown office location  (downsizing soon due to financial troubles).
After thinking hard I cannot come up with any more positives.  Unfortunately it really is this bad.","A management team stuck on growing the firm in 1990's fashion in the 2016 environment.
Management has very little understanding how basic business works.  
Management does not trust employees whatsoever.  Instead of viewing employees as teammates they are viewed as competitors.  They actually hate most employees.
When business is slow it's always because the sales team is not doing their job.  The real problem is stock calls and research in general are horrific.  
The research at this firm is similar to using a pencil to go to war.  It's inferior.
Upper management admits often the research is poor, but remains too afraid to address the issue with CEO.
CEO's batting average on stock picks is among the worst in the industry.
Overall mood of the staff is bitter and angry due to management mistreatment. It's the most sour group of employees I have ever experienced.  Most employees are looking for new jobs while at work."
7,Telsey Advisory Group,Depressing stay away!!!!!!,2016-05-11,1.0,Research Associate,"Fruits, snacks, water, candy & pretzels","The fact that Arnold keeps saying Dana is on CNN makes me laugh.  I've worked with the real deal contributors to money matters, the real big shots! 

Dark office, dark atmosphere, no work life balance, sweat shop, unprofessional, classless, unorganized, poor management, research is inadequate. 
No 401 k match
2 weeks vacation - not worth it for all the time you work. 
Benefits are inadequate 
Just a mess"
8,Telsey Advisory Group,Sales,2016-05-04,1.0,Institutional Sales,"Constant entertainment from all the drama and clueless behavior management displays.  It's really sad, yet, at the same time one cannot help but laugh at consistent amateur hour decisions management makes.","Normally reviews on the Internet are extreme.  When I stumbled upon the previous 19 reviews I could not believe how accurate they were.  As a matter of fact, many of the reviews are actually being kind.  Yes, this firm really is this bad.  Do not work here.  It's career and mentally damaging.  Leaving this firm is like getting out of the hole of solitary confinement."
9,Telsey Advisory Group,"like the sitcom the office, only depressing",2015-12-18,1.0,Research Associate,"free m&ms, feldman never dislikes a stock, dana always wears black, oh also free snapple.  Good place to get your licenses and then upgrade to a decent firm","no future, high turnover, low salary, management is terrible, nobody cares"
