,company,headline,date,overall_rating,author_position,pros,cons
0,The Gores Group,Great compay,2020-07-01,4.0,Operations,"interesting projects, opportunity to learn about different sectors and work with interesting people",operations have been reduced since I was there
1,The Gores Group,I don't want to write a review,2017-12-28,4.0,Marketing Director,Global exposure is great as are conferences,"Worst management ever, especially the lower level,"
2,The Gores Group,Great learning experience,2017-09-13,3.0,Anonymous Employee,"Dynamic, creative, scrappy, find a way..","Dynamic, scrappy, find a way. Too many leaders and not enough leadership."
3,The Gores Group,Absolutely a brutal place to work,2017-08-21,1.0,Anonymous Employee,Experience with a turn around of a private equity owned company.,"The group has no real connectivity to their businesses.  They are so short sighted on how to truly turn a business to profitability.  They treat their employees like slaves that should be always focused on what is best for Gores.  Not taking into consideration that the layers of a company work for something different than the short sale.  They lose expertise and the ability to turn and company and maintain it because people get so burned out without raises, bonus, etc.  But the attitude of those interacting with the company is so unprofessional."
4,The Gores Group,A lot of changes,2017-08-18,3.0,Senior Accounting Associate,"Catered lunches, great pay and stocked kitchens","Negative work environment
Unprofessional HR"
5,The Gores Group,Managing Director,2017-05-24,4.0,,"Intellectually stimulating environment with constant exposure to new businesses. 
 Continual interaction with bright people.  Great benefits package.",Hard to make an impact on the direction of the firm due to its management structure.  Travel is often short notice.
6,The Gores Group,Harris Broadcast Brazil,2017-01-05,4.0,Industrial Operations Manager,"Very good work environment, good communicability with management and leadership","Low mobility within the company, Lack of effective ERP within the company, many controls made by unlinked spreadsheets"
7,The Gores Group,Business Development Manager,2016-01-25,3.0,Anonymous Employee,Strong reputation in the industry and a complete product line to offer broadcasters and cable operators.  The company has a long history of quality products and excellent support.,Company has lost the confidence of the industry due to lack of innovation and slow product development...missed timelines and broken promises.  The future of this company could go either way depending on the decisions of the new management team.
8,The Gores Group,The busy life of a Harris Broadcast FE,2015-12-03,4.0,Field Engineer,"Depending on the project and manager, family needs are considered when travel schedules are created.
Good knowledgeable team of FE counterparts to provide one another with support while on the road.
Good in-house travel agency provides logistical support when last-minute travel plans/changes need to be made.
In theory, FEs are able to be home every weekend and for a chunk of time each month.","Like any on-site situation, long hours happen, sometimes requiring extensions to trips.
Overall workload for the team can sometimes mean cuts into time at home.
Trips are sometimes short notice."
9,The Gores Group,Good technical challenge,2015-05-27,3.0,Anonymous Employee,Was once a good place to work because of good team culture and energy levels. But not now.,With management continuously changing not a place to look forward
10,The Gores Group,"Very good people, bit chaotic",2015-01-08,4.0,Associate,"Entrepreneurial environment 
Excellent MDs - particularly in European office
Differentiated go-to-market with a seasoned operating team",Can be very chaotic - entrepreneurial spirit spills over into lack of organisation
