,company,headline,date,overall_rating,author_position,pros,cons
0,The Receivables Exchange,Interesting Concept,2017-07-17,5.0,Operations,Fun atmosphere with a cutting edge concept,They are out of business
1,The Receivables Exchange,Was good while it lasted,2017-02-16,3.0,Anonymous Employee,"Learned a lot at this job.  A lot of what I learned, however, was how to NOT run a business.  Plenty of talented people, just not at the very top.","Most of the staff was eventually laid off.  Probably shouldn't have hired that many people so quickly in the first place, but it seemed leadership was more concerned with appearing successful than actually being successful."
2,The Receivables Exchange,Interesting Learning Experience,2015-06-17,3.0,Anonymous Employee,Being able to create campaigns without having to go up the food chain for approval.,Lots of friends of friends of friends working. Not much if any advancement.
3,The Receivables Exchange,Senior Director,2015-05-19,5.0,Senior Director,"-Technology combined with an emerging asset class makes for dynamic and innovative environment
-Great people that are open to new ideas to grow and improve business
-Support from NYSE and prominent VC investors",-Need to be a self-starter that can build a business and take on many different roles and responsibilites
4,The Receivables Exchange,Young Growing Company,2015-04-29,5.0,"Director, Sales and Trading","- Small team with smart people who get stuff done. 
- Take on many different responsibilities in addition to defined role. 
- No red tape, if you have a good idea it gets put in motion
- Exciting growth environment
- Work hard, play hard",There are no significant cons right now.
5,The Receivables Exchange,Web Developer,2014-08-07,1.0,Web Developer,My boss was fantastic. Very hands off and not a micro-manager.,The company was taken over by NYSE and soon after they began destroying the company. They fired just about every employee who helped to build the company. I was fired via email.
6,The Receivables Exchange,"Good idea, poor execution. This company should be a case study in strategic alignment.",2014-04-01,2.0,Anonymous Employee,"They are not doing much hiring right now. When they were though, there was pretty good compensation, flexible scheduling.","Boring work environment, cubicle life, political. Not receptive to employee ideas."
7,The Receivables Exchange,Overall my experience was quite nice.,2013-11-25,2.0,Anonymous Employee,Really none now. There is no future outlook unless you are in New York.,Lack of communication from management and the Board in New York.
8,The Receivables Exchange,All hype.,2013-09-12,1.0,Dream Crusher,Cool bros being bros. It used to be in NOLA.,They eliminated the entire New Orleans office
9,The Receivables Exchange,Too Bad,2013-04-12,2.0,,Great Idea and hard working employees,mismanagement  at top levels and different organizational goals and views strained resources
