,company,headline,date,overall_rating,author_position,pros,cons
0,TrustCo Bank Corp NY,AWFUL,2022-03-31,1.0,Teller,the people you work with,"Everything. The pay was bad, upper management was rude and disrespectful. Trustco can barely keep employees because they treat them bad. Little to no training and constantly being short staff. It's a great place to start since they would hire anybody."
1,TrustCo Bank Corp NY,horrible internal team Great Branch staff,2022-03-29,2.0,Senior Associate Banker,Branch staff is usually great and a pretty easy job,"lowest paying bank
internal department will make life a nightmare
job security is low and always moving employees to different locations witout notice"
2,TrustCo Bank Corp NY,Terrible company,2022-03-25,1.0,Universal Banker,"Compensation, effective training, nice customers","Management, travel, hours, everything else"
3,TrustCo Bank Corp NY,AVOID AT ALL COSTS,2022-03-18,1.0,Assistant Manager,"The ONLY pros are the coworkers- because most people share the same negative view working for this company, and most of my coworkers were very pleasant to work with.","Where do I even start...

When I interviewed for this position, I was lied to about the travel by the hiring manager. They are so desperate to get people because the turnover rate is so high, that they will literally lie to your face to get you to work here.

Upper management does not care at all, there are certain managers that should have been fired a long time ago but are somehow still there, and you get paid .35 a mile for all the traveling - often up to an hour away, this company makes you do.

The organization and communication between employees and upper management is non - existent."
4,TrustCo Bank Corp NY,Decent job for people just starting their career,2022-02-25,1.0,Business Banker,"Promotional opportunities, no degree required.","They treat their employees terribly. Long hours, no extra compensation. Very old school technology and systems, makes it a very slow paced turn around time on anything and everything."
5,TrustCo Bank Corp NY,Lots of stuff left out,2022-02-16,1.0,Teller,none that I could think of,"A lot gets left out during the hiring and training process. The position was M-F from 9 am to 3 pm. Told during training that staff has to work at other branches on Saturdays and other days when needed to fill in due to staff shortages. no say in where one gets sent to work.

Pre-employment consists of being grilled about using Trustco and ONLY Trustco for all your banking. One of the biggest red flags was that you are forced to open a savings account as an employee in order to get paid. It's not allowed to simply get a paper check or direct deposit into your existing bank account with another bank.

Training is a joke. Just reading out of a binder. The training was 5 days long. At the end of the training, there is an ""exam"" of over 60 questions and passing is 80% or better.  failing the exam is common because the material was not taught, just recited. 

At the branches, new workers are left alone to handle things. It was an unmitigated disaster. Not common for staff to be sent to a branch up to 55 miles away due to staff shortages.

The technology being used by Trustco is very outdated. Still paper-based and they just now introduced an online banking system, which is completely broken. 

Pay is 15/hr. I guess that's not horrible for a college student but it won't work for adults with bills, especially when other banks are paying much more. The turnover here is extremely high.

Trustco seems like it would be a good and stable fit but it is very outdated and workers are at the mercy of the company despite what the job description states. 

Not recommending anyone work here."
6,TrustCo Bank Corp NY,Very little support,2022-02-13,2.0,Assistant Manager,Not so micromanaged its a good stepping stone to get into banking,Pay wages are very low and we were constantly short staffed
7,TrustCo Bank Corp NY,"Understaffed, underpaid, low-skilled",2022-01-21,1.0,Senior Assistant Manager,Easy to get a job if you need to return to the work force after a gap. Easy to go from teller to assistant manager to manager as long as you have sales skills,Unreasonable sales expectations with regard to performance given how understaffed the administration keeps the branches.
8,TrustCo Bank Corp NY,Teller,2022-01-14,5.0,Bank Teller,The people are nice great way to start in banking,Could be paid better but overall not bad
9,TrustCo Bank Corp NY,Opportunity’s are endless,2022-01-11,5.0,Senior Universal Banker,Trustco Bank will give you a chance when no one else will. With hard work and effort you can be promoted quickly.,Staffing is low due to Covid.
