,company,headline,date,overall_rating,author_position,pros,cons
0,United Teletech Financial Federal Credit Union,Good company just no room to advance,2021-03-01,3.0,Teller,Great work environment. Had an awesome manager who loved to do fun events for the Branch.,"Couldn’t go anywhere, no room to advance your career, company started to go downhill"
1,United Teletech Financial Federal Credit Union,"""No growth.  A stale company that is losing money""",2019-04-26,1.0,Anonymous Employee,No positives at this company.,No growth at the organization. They are offshoring and outsourcing all back office jobs.
2,United Teletech Financial Federal Credit Union,Branch Manager,2018-04-27,3.0,Branch Manager,Not for profit organization focused on helping the community.,Upper leadership closes eyes to problem areas.
3,United Teletech Financial Federal Credit Union,Run for the hills! Zero stars.,2018-01-31,1.0,Anonymous Employee,the staff is very kind and nice - many have been there for years - the poor management is very sad,Executive Management is ruining this credit union.  Some of them are dishonest and refuse to address glaring financial problems.
4,United Teletech Financial Federal Credit Union,Accountant,2017-12-23,1.0,Anonymous Employee,coworkers were pleasant and hours were good,lacking training and upper tier management is poor
5,United Teletech Financial Federal Credit Union,Teller,2017-02-27,4.0,Part Time Teller,Great benefits I get 30 hours of vacation and sick time as a part-time employee. Love working with the members they are all very nice and the work is rewarding. All of the staff is personable and are great to work with. They also hold meetings about the companies growth which is usually something lower level employees don't get to be a part of.,A little lean on the staffing sometimes tasks don't get done as efficiently as they could. This usually angers the members and the front line gets the brunt of it. However these issues are always straightened out.
6,United Teletech Financial Federal Credit Union,former employee,2017-01-07,1.0,Anonymous Employee,The mission of the credit union is great.  The staff in the branches and the back office are awesome.  They are well educated in financial counseling. Most of the employees are great people and want to do the right thing for members and the community.,The CEO runs the company as a dictator and there is limited foresight.  Planning and setting goals are not strong suits and this unfortunately is starting to catch up with them.
7,United Teletech Financial Federal Credit Union,Intern,2016-12-01,5.0,,Great time working there awesome experience and really learned a lot. It was great to work with people who were smart and like minded also a great place to work in family workplace environment.,There were not many cons.
8,United Teletech Financial Federal Credit Union,good job,2016-03-19,5.0,Website Customer Support,I like working here. Great hours and people. Wish the pay was higher though. Come work here at TeleTech today.,Pay needs to be higher. No other complaints. 20 word minimum. 20 word minimum. 20 word minimum. 20 word minimum.
9,United Teletech Financial Federal Credit Union,Financial Relationship Specialist,2016-02-01,5.0,,Very friendly & hard working co-workers. Great atmosphere. Lots of promotion from within. Good life/work balance. Good benefits. Quarterly supper meetings are the best.,"Pay is average, some good advice goes unheeded"
