,company,headline,date,overall_rating,author_position,pros,cons
0,VW Credit,Nothing Great Here,2022-03-04,2.0,Anonymous Employee,"Some great people to work with when they aren’t on the way out for somewhere better than work. 

Really pushing for some interesting things in auto lending tech and growth.","Lack of growth internally. Very few openings and mostly filled by favoritism. 

Main headquarters is out of the DC metro and filled with more politics than the White House. Be prepared for a lot of bureaucratic mess.

Benefits are pretty abysmal for a company (VW Group) this size. Insurance is expensive and covers very little. They lean too hard on the employee lease program as a benefit while the rest is gutted.

Company is reorganizing without real communication to the people working. A core value of the company is that they are open, but apparently they meant only in the boardroom and not with anyone else."
1,VW Credit,Great gig!,2021-08-28,4.0,Credit Investigator,"Insurance, bonuses, work life balance, opportunities for growth.",None... aside from the commute.
2,VW Credit,Dealer Support Analyst,2021-07-18,3.0,Dealer Support Analyst,secure is something people value,review system is not in line with company communication
3,VW Credit,Going downhill,2021-07-14,3.0,Funding Supervisor,"Great benefits, employee lease program, lots of paid time off",Going through major restructure and negatively impacting morale
4,VW Credit,Slow,2021-06-08,2.0,Funding,"Good place to start out if you didn’t go to college. 
 Job security is a positive.","Most roles are in a call center.

For college graduates, be prepared to move slowly. The best employees get promoted every 1 to 2 years (some make the supervisor level in 6-8 years, if you fit the company mold). If you can make a positive impact among your peers and customers it won’t go unnoticed."
5,VW Credit,Secure but slow,2021-05-10,3.0,Agile Project Manager,Nice people and good compensation,"Moves slow, you need to be patient"
6,VW Credit,Great company and role to start your career in,2021-04-01,3.0,Grad Analyst,The grad program does a great job in placing incoming grads into areas of interest that they like and allow them to explore horizontally. If you have a general idea of what you want to do but would still like to try things out the Grad program is perfect!,During rotations you aren't given much responsibility since your team generally has a lot more experience than you. Little to no help is given to find a job after the program ends. Compensation is well below the market average for other rotational programs.
7,VW Credit,Good start,2021-03-09,3.0,Operations Associate,if your willing to fit into their format you can grow for a time,superviers are way to analitacle
8,VW Credit,Your choice to work there.,2021-03-06,3.0,Customer Service,"Great benefits, good salary office hours.","Your opinion don't matter, so don't give one."
9,VW Credit,ccomplished and results driven automotive leasing professional with 17 years of experience,2021-02-10,3.0,Anonymous Employee,Challenging work environment that provides plenty of opportunity and a management team that recognizes and nurtures talent to allow individuals to achieve their maximum potential.,Geographically limited opportunities. Continued consolidation restricts opportunities at some facilities
10,VW Credit,Customer Service Rep,2021-01-29,5.0,Customer Service Representative,Great job to work for this company,Cant think of any of the top of my head
11,VW Credit,Disorganized Management,2021-01-29,1.0,Funding Auditor,"Great benefits, culturally diverse. Great leasing program.",Supervisors have favorites and hard to get hired on or promoted.
12,VW Credit,"good place to start, not much room to go up though",2021-01-28,4.0,Analyst,"like a big family, great culture",can be political like everywhere else
13,VW Credit,Human resources,2021-01-13,4.0,HRCC,Work life balance is good,Below market salary as far as compensation
14,VW Credit,Great company,2021-01-11,5.0,Former Employee,"Benefits, generous PTO, room to grow","Constantly changing metrics, micromanagement, hours"
15,VW Credit,Great Benefits,2020-12-09,5.0,Procurement Specialist,They offer some great Benefits,I can’t think of any cons
16,VW Credit,Good place to start.,2020-11-16,3.0,Anonymous Employee,Great Benefits for new employees,Not diverse at the top.
17,VW Credit,Great Place to Work,2020-10-21,5.0,Funding Auditor,Great place to network and collaborate with others.,"Sometimes it's not what you know, but who you know."
18,VW Credit,Decent place to work,2020-10-21,3.0,Customer Service Representative,God job for working at home,Hard to get hired as an employee
19,VW Credit,Ran by highschool minded management,2020-08-25,1.0,Customer Experience Representative,Benefits is literally the only thing,"Favorites, lots of work for little pay, plan to be sick 48hr in advance, need to go-to the we? Be prepared to have it count against you. Discrimination, harassment, public humiliation."
20,VW Credit,Great company to grow up in,2020-08-17,4.0,Senior Software Developer,"PTO
Flexible schedule
A lot of support for learning",Too many levels of upper management
21,VW Credit,Zero Investment in Employees,2020-08-12,1.0,Senior Specialist,"Good monetary compensation, fun cars, and a solid c-suite team.","Many mid-level managers don't care about their employees or invest in them. This is truly a place where you feel like a cog in a machine. There are no growth opportunities and no investment in employees. This is only a great place to work if you want to make a decent living, work with like-minded apathetic people, and don't care about professional growth."
22,VW Credit,Toxic management,2020-08-05,1.0,Anonymous Employee,None. Do not waste your time here.,The most toxic working environment I have ever experienced. A lot of gossip amongst management and public employee humiliation. I had nightmares every single day. Please don't waste your time here.
23,VW Credit,"Great Place, Great people",2020-07-14,4.0,Manager,"Great benefits (health, lease cars, coffee, regular celebrations/events)","Dominated by hierarchy and administration, as a result of influence from German HQ"
24,VW Credit,Best work life balance,2020-05-29,5.0,Credit Analyst,"work life balance, competitive pay package",no many really except flat leadership structure
25,VW Credit,Team makes or breaks the job,2020-03-09,3.0,Anonymous Employee,Decent leased car benefits available,"Really outdated technology, reactive not proactive"
26,VW Credit,Funding Representative,2020-03-02,1.0,Mutual Fund Representative,If you get hired on you can lease a vehicle,"So many to list. Extremely toxic working environment. If you socialize then you talk too much. If you keep your head down and work you are penalized for being antisocial.  There's people there that non stop talk all day long becoming disruptive but nothing is done about them.  Management has been known to bring up gossip about other workers in your one on one's. Asking people their thoughts on certain people. The amount of bullying from a certain Supervisor is overwhelming. It's actually harassment. The only way to get hired on is if you participate in bullying others and you are constantly telling on people. The credit department rarely has enough work to keep busy so they become loud, unruly and disruptive. A lot of inappropriate conversations. It's impossible to just work and mind your own business because someone is always stalking you."
27,VW Credit,Horrible for mental health,2020-02-06,1.0,,Zero. I have to write 5 words so here they are. There are no pros.,Toxic office politics. This place doesn’t even deserve one star. Be prepared to be humiliated in front of the entire floor. Be prepared to be treated poorly by management. Stop taking every employee benefit away. Stop requiring people to do amounts of work that are humanly impossible then being upset when unattainable goals are not met. You are forcing out every single one of your good employees. You need to pay employees what they are worth. And make sure that your managers don’t publicly humiliate employees over and over. Your employees make suicide jokes on the floor daily.
28,VW Credit,More cons than pros,2019-10-03,2.0,Anonymous Employee,Employee/family lease program; Perks; the Herndon HQ office has the potential for high employee visibility due to smaller facilities/close proximity to C-level leaders.,"Highly political environment with heavy influence from Germany on operations and employee headcount.  There’s a strong emphasis on Digital- so that may be a safe space- but the culture overall is very bureaucratic without much room for growth. High employee turnover.

The company is also sorely lacking from a diversity perspective. As many companies have women/diverse leadership in the upper ranks, from an outsiders perspective it would seem VW Credit looks to meet targets vs hiring for diverse perspectives.

Additionally, HR is literally two people. For a company of this size, that’s inefficient—HR is highly bureaucratic and seems to have more say in day-to-day activities than HR at a typical organization. “Policies” or standards are not consistently applied through the company."
29,VW Credit,Great employer,2019-08-28,4.0,Anonymous Employee,"Employee engagement, excellent training and development programs, continuous improvement",Complexity in process of internal growth.
30,VW Credit,Been here for awhile..,2019-08-04,1.0,Anonymous Employee,"People seem nice
If you like cars, you get to rotate car leases","Don’t let the nice environment fool you. Car sales are down, management doesn’t know what the hell they need to do to move forward and try to defend their same processes, and no one seems to know how to implement technology. Correction, the company is trying to keep costs from getting higher and they don’t trust the IT staff to make things happen and that’s because they don’t know how to retain talent, aka paying the right salaries. That said, they expect the accountants to make the transitions and lead the conversations which doesn’t make any sense because a lot of these people don’t know anything about technology or data structures to understand the actual implementation. They just think oh I get the concept so this should equal this based off accounting standards, but you’re talking about converting system processes involving millions of accounts for a company so “leadership” thinks hey let’s just hire cheaper guys and have them take over some of the responsibilities. HA! Kind of shows the struggles of the company if you can’t pay the right resources, right? And this is coming from someone outside of IT. Over the years, no conversion or implementing new process was a success despite them saying they “completed” it in their objectives. It takes the company YEARS to actually fully finish a project because they do not let the IT ppl have the full control over the jobs they’re supposed to do. And the company argues that things are better than how processes were done before. That doesn’t mean much if the past was never efficient to begin with. Un-freaking-believable"
31,VW Credit,Hope for the future but currently disorganized with high turnover,2019-07-02,3.0,CX Consultant,"Employee Leasing Program
Management gives you a lot of face time
Many committees to give you a voice and a hand in shaping the company","Political, its not what you know its who you know
Inconsistent knowledge base and frustrating CRM
Even though you have face time with leadership changes are slow to be implemented and have to be approved through many unnecessary channels"
32,VW Credit,Stepping Stone to Management,2019-05-28,4.0,Customer Experience Consultant,"Small team with a driven leader
Opportunity to grow into a leadership role
Ample training opportunities
Employee lease program","Difficult to schedule time off
Limited shifts available"
33,VW Credit,Great job great support system and coworkers.,2019-05-21,5.0,Customer Service Representative,"Pay &Benefits,  supportive management  advancement",Back office lead times to long.
34,VW Credit,"Good as a Temporary Place, but not Settle Down if you are ambitious or a High Performer",2019-04-18,3.0,Business Process Analyst,Generous training budget for IT. Numerous conference and travel opportunities,Minimal career growth opportunity. Political and  less than challenging overall environment.
35,VW Credit,Run,2019-02-11,3.0,Anonymous Employee,Co-Workers are very friendly,"Pay, Hardly hires contractors in ."
36,VW Credit,Consultant,2018-11-06,3.0,Anonymous Employee,Great colleagues! Able to be myself  at the office.,"They are trying to work hard to rebuild business and culture, but seems to be a lot of talk and not a lot of trust in employees.  Overworked. As with many large companies, change happens so slow that it never permeates into culture before a new leader comes along and everything changes."
37,VW Credit,Funding Auditor,2018-10-24,5.0,Anonymous Employee,"Invite feed back from all levels. Believe in employees of all experiences, work on development growth plan. Invest time and resources on employee development and listen to feedback from employees. VW Credit management beliefs that employees are one of the keys to better business.",Management and specialist need to agree on guidance. At times different specialist and supervisors say different guidelines. Need to consult with each other and provide same guidelines to the team.
38,VW Credit,Still love the VW Brand!,2018-09-17,3.0,Anonymous Employee,Great employees overall and great benefits.,Organizational restructure and management uncertainty created high stress for employees.
39,VW Credit,Funding Auditor,2018-08-01,3.0,Anonymous Employee,They offered flexible work schedule.,The management team sometimes play favorites.
40,VW Credit,Horrible Culture / Zero Leadership,2018-07-01,1.0,IT Manager,Managers get free car and gas.,"Everything else.  The entire ""leadership team"" in IT is waaaay over their head.  They have no idea how to be leaders.  They treat employees terribly, allow disrespect among the employees, take credit for other people's ideas, do everything they can to discourage innovation, etc.  I could go on for days..."
41,VW Credit,Quality analyst,2018-06-28,5.0,Anonymous Employee,Pros are the benefits received,Cons are the large call volume
42,VW Credit,Budget Cuts,2018-06-27,2.0,Anonymous Employee,"Audi sales are ever increasing, decent benefits and the opportunity to move around the country on the companies dime. Also, Volkswagen of America is a large company with an abundant supply of career opportunities.","Do not compensate their employees well, consistently offer low ball offers and then are arrogant enough to refuse to negotiate. Upper management will say one thing on the podium, but will make decisions that do not support their words, behind closed doors."
43,VW Credit,Finance,2018-06-14,4.0,,"Work life balance
Learning opportunities
Congenial atmosphere",German home country management
44,VW Credit,Benefits,2018-06-07,3.0,,Benefits & pay  were pretty good.,To much favoritism for promotion
45,VW Credit,Great people,2018-05-15,2.0,Anonymous Employee,"Most of the people at VW Credit, Inc. are AMAZING!","-Company does not value tenured employees; doesn't pay them for what they are worth
-Minimum room for advancement as the company runs very lean
-Germany runs the joint
-HR is fairly incompetent and don't know how to grade positions properly
-No negotiation on salary once you are in and obtain new positions"
46,VW Credit,Good place,2018-05-01,4.0,Mutual Fund Representative,"Great environment
people are amazing
nice managers","No room for improvement
-basically no permanent position in funding department"
47,VW Credit,Herndon HQ,2018-04-16,2.0,,"Lease deals on cars for family
Vacation time at holidays
Most people are friendly","Management under stress from dieselgate
Lack of honesty/ethics
No real trust of employees by managers"
48,VW Credit,Customer Service Representative,2018-02-15,2.0,Customer Service Representative,"Solid benefits and wages for a call center job. Excellent coworkers. Nice break rooms. Small in house gym. Positions are M-F.  Helpful voluntary training options in a classroom setting. Usually have a foodtruck in the mornings. Location has nearby options for food, groceries and gas.  Some of the direct managers do care about their staff, even if they never have time to spend with them. Some people view the employee leasing program as a benefit.","Temp-to-hire position where most people never get hired on full time, and those that do it can take 1-2 years. The customer service tool they recently created is awful and has created literally hundreds of customer and business facing issues. Constantly understaffed at all department levels which leads to high call volumes, large backlogs of work and angry customers.  High turnover due to toxic management and unrealistic performance expectations and metrics. Claims to hire from within, but rarely posts job advancement opportunities in Oregon, only Illinois.  Claims to encourage employee input to improve workplace, but only when you tell them what they want to hear, and if not it puts a target on your back.  Upper management will lie and play favorites. Direct management rarely available to support employees as they are constantly in meetings with each other.  Available customer facing service options and technology are very outdated. Facilities poorly managed in terms of break room and bathroom stocking."
49,VW Credit,Decent job with lots of opportunity,2018-01-30,4.0,Funding Auditor,"Lots of optional overtime in Funding or Credit

Opportunity for advancement in large service center

Nice people, management have almost all worked their way up

Good benefits, leases on cars","Call center, lots of metrics

Drug screening to get hired in Portland, Oregon

Parent company's questionable ethical past. VCI seems mostly fine judging by the culture at low levels."
50,VW Credit,Project Analyst,2017-11-01,3.0,Project Analyst,Neat working environment and a gym on site,Reporting structure could be better
51,VW Credit,Great company with good culture. Upward mobility requires many lateral moves.,2017-10-18,4.0,Marketing Specialist,"- Talented employees that are drawn from the same talent competitive pool the rest of the Volkswagen Group. 
- Good work life balance. Start the day between 8-9am and most people leave between 5-5:30pm
- Good springboard to enter the automotive brands (Audi, Volkswagen, Ducati, Bentley, Lambo, Bugatti)
- Employees have access to corporate vehicle program which allows leases as short as 4 or 6 months for 1% of vehicle MSRP per month (ie: 30,000 msrp = $300 per mo lease)","- Difficult to move vertically in the same group. Most employees bounce around laterally several times to advance pay grades within the company. 
- Team reorganizations or re-stacking of positions and titles are common, occurring once every several years. 
- Technical resources are limited and based in geographically different locations making them difficult to prioritize for new projects."
52,VW Credit,Herndon (HQ),2017-07-30,3.0,Anonymous Employee,"- Some people are friendly/nice
- Benefits e.g. being able to lease a company car (includes insurance in payments) & tuition reimbursement up to 7k/yr for relevant graduate degrees
- Being an auto-finance company makes it an unique environment to learn/work
- Few, but great testimonies from employees who actually love the VW vehicles and its subsidiaries' products. It's not everyday that you get to work with people who really believe  in their company and enjoy the things they provide","- Lacks communication between departments (although leadership have addressed this and made efforts to improve)
- Bonuses are on the small side (at least since diesel issue)
- Severe lack of training. I have interacted with several colleagues who worked in the company for over a year and still have no idea why a certain assignment is done the way it is or how its completion affects their department's/company's business. Some documents are outdated by 3 years and some managers expect you to just learn as you go rather than properly transitioning you to fulfill your position from the get-go. Some processes for assignments get forgotten completely either because people haven't done them for a long time or the employees who were originally responsible for them left the company and haven't passed on all their duties
- Not much team culture, seems like everyone does their own thing (except maybe for sales/marketing)
- Takes forever to get in contact with HR"
53,VW Credit,VW Credit Hillsboro OR,2017-06-30,5.0,Dialer Specialist/Collection Analyst,"great working atmosphere casual but professional,  co workers supported each other and management and technical information was easy to obtain, felt valued as an employee and as a person",sudden/immediate changes in shift hours  your regular shift could be 10-7 and when you walk in one day its been shifted to 8-4 starting the next day
54,VW Credit,This was the most toxic call center experience that I have ever encountered. And that's saying something.,2017-06-27,1.0,Customer Care Representative,Great perks. Modern decor. Appears on the surface to be a great place to work until you get out of the training class.,"Outdated systems. Broken processes. Toxic office politics environment. They've completely abdicated their responsibility to train new employees. They have a web based knowledge base that new people are required to reference before asking any questions. Problem is that it is so poorly written that a lot of it doesn't make any sense until you've been there a while. And some of it doesn't make sense at all. 

Other employees are so scared of having high call times, that no one will help each other. It's like a Sales environment without any commission or incentives."
55,VW Credit,Great company,2017-06-26,4.0,Business Analyst,"Great benefits & pay. Discounted car payment with paid insurance, hard work is acknowledged by direct management but executive level maintains the ""German"" way of thinking & they don't really care about the individual.",Lots of changes at leadership level. Headcount reductions occurring due to diesel scandal.  Strategy changes every year based on which German is in charge.
56,VW Credit,VW Credit - Funding Rep,2017-04-18,1.0,Anonymous Employee,"Easy work, repetitive and overtime options","Boring, redundant and monotonous work. No freedom and no trust is given to their employees, everything is monitored and documented."
57,VW Credit,Office politics & Indecisiveness,2017-03-30,2.0,Anonymous Employee,Vacation time and some career development. Free lunches and parties sometimes and the benefits are comparable to other companies.,"Favoritism and office politics. Many employees do not say what they really think out of fear of retaliation from management. Management will say they want to hear your feedback, but it is just lip-service unless you're a favorite.  HR has little to no control and they are not on your side unless something is unethical then they might have some say. 

The technology is outdated even though it was recently updated and there are many manual processes due to IT's incompetence and the company being budget conscious.  MS Excel is used for everything since reporting is close to non- existent."
58,VW Credit,Dealer services,2017-03-18,3.0,Anonymous Employee,"Great team dynamic, positive and efficient team",System challenges and hours of operation
59,VW Credit,I Like Wokring Here,2017-03-09,4.0,Anonymous Employee,"Great Benefits, great products and salary (including bonus potential). Very talented employees and friendly work environment. Good work life balance unless you work in the call center.",Too many lateral career move opportunities and not enough opportunities for advancement.
60,VW Credit,Supervisor,2017-03-01,3.0,Supervisor,"Good vacation time, career opportunities",Favoritism runs deep in management
61,VW Credit,ok,2017-01-31,3.0,Anonymous Employee,"good benefits, nice people, free food",not enough breaks during the day
62,VW Credit,Lack of communication,2017-01-19,3.0,Anonymous Employee,"Constant performance feedback 
Convenient hours 
Good benefits if you can get hired on 
On site gym","It takes a long time to get hired on permanently 
Inflexible time off and attendance policies for contractors 
Lack of communication from supervisors
Lack of staffing that can make workloads stressful"
