,company,headline,date,overall_rating,author_position,pros,cons
0,Vanguard Funding,Met expectations for a residential debt lender,2021-05-17,3.0,Originator,It's a commission based job,Flat structure leads to limited 'promotions'
1,Vanguard Funding,My desktop  support role gave me the ability to grow and learn new technologies.,2017-09-28,3.0,Anonymous Employee,Flexible Schedule and dynamic,No stable structure and long term growth plan
2,Vanguard Funding,Furniture Market Aide,2017-09-27,5.0,Anonymous Employee,The staff becomes a family to you,Only available 2x per year
3,Vanguard Funding,Run,2017-07-06,1.0,Anonymous Employee,Cannot even think of one.,"Management were blatant liars who toyed with both the clients and employees livelihood. Bounced payroll checks, not being forthcoming with sales staff ultimately causing them to lose a ton of employees and clients. They closed doors without paying staff their paycheck."
4,Vanguard Funding,Senior Loan Procesor,2017-04-02,2.0,Anonymous Employee,They have their turn times down and know how to get loans closed,"They do not know how to treat people , or pay people on time. They also have no concept of team. everyone is out for themselves."
5,Vanguard Funding,MLO,2016-04-07,1.0,Loan Officer,They give out leads to the loan officers even though they are not that good.,They micromanage the loan officers. Some of the employees have racist views.
6,Vanguard Funding,Vanguard,2015-11-02,5.0,Anonymous Employee,Environment. opportunity. Great leaders. Ton of potential to make money,why do u force me to...
7,Vanguard Funding,Eh,2015-10-13,3.0,,"The experience was great but false promises led to a shortened than expected stay.Job scope was adequate, tons of training.",Lots of battles with HR regarding over time that was promised but then not paid. Had to constantly stay on top of every paycheck.
8,Vanguard Funding,Good office environment.,2015-02-19,3.0,Intern,Its a commision job so you can make a good living if you get deals closed.,Its a constant sales job.
9,Vanguard Funding,needs to train employees better,2015-02-17,2.0,,the coworkers and work environment,"little to no training, no paid time off"
