,company,headline,date,overall_rating,author_position,pros,cons
0,Vision Financial Markets,Great Environment/Great People,2021-06-07,1.0,Administrative Assistant,"Had the pleasure to work for a great group. 
Good place to work, experience","Commute to work, nothing else negative to say"
1,Vision Financial Markets,Great Place,2021-05-25,4.0,Systems Manager,Great work environment and an awesome staff,Lots of hours and work on weekends
2,Vision Financial Markets,Commission Only,2019-03-16,2.0,Commodity Broker,"A lot of CTA's to ""pitch"" to clients and prospects.","all cold calling, a lotta days u simply go to work to get hung up on all day and talk to no one."
3,Vision Financial Markets,Great experience with an amazing team,2019-01-15,5.0,Anonymous Employee,I loved working at Vision. Overall it was a very positive work environment.,No cons I enjoyed working there
4,Vision Financial Markets,Great Experience,2018-01-18,5.0,Anonymous Employee,Great environment. Management is accessible and open to new ideas.,I was moving when I left. Wish I could have stayed
5,Vision Financial Markets,Run Away,2017-12-14,1.0,Anonymous Employee,None.  The management only works in their best interests.,"Management will ONLY let you make what they deem acceptable.  If you start doing well, they will, and have, broken the terms of your contract or agreements with them.  

They also will post personal assets as AOM to skew the numbers.  

If you are not a direct family member of one of the owneres, your career goes nowhere.

People in the mailroom get a larger bonus than the salespeople who bring the money in th make the company hum"
6,Vision Financial Markets,"Great people, small shop",2016-02-18,3.0,Clerk,Management is extremely nice and helpful. Office has a laid back atmosphere with plenty of fresh faces to bounce new ideas off of.,Upper management only comes to town from New York every couple of weeks so the office can get lazy during the bi-weeks. Lots of finger pointing when problems arise.
7,Vision Financial Markets,Consultant,2015-09-20,3.0,,"flexibility, work anywhere, long term staffs","non-stop coverage, long term staffs, work anytime"
8,Vision Financial Markets,Could've been better!!,2015-08-22,1.0,Anonymous Employee,Some of the people that I formed lasting relationships with!!,"Where would I begin!??!  Management has a very poor way of trying to grow the business. Too much of a ""buddy-buddy"" mentality.  Surprised that they are still in business!!"
9,Vision Financial Markets,Don't waste your time!,2015-07-16,1.0,Anonymous Employee,The opportunity to get licensed. This company is a good for students or recent grads. Get what you can and get out!,Everything! If you want to work like a slave and get pennies work here! Unorganized!
