,company,headline,date,overall_rating,author_position,pros,cons
0,Western Funding,It's the lack of trust,2022-03-25,2.0,Help Desk Support,I was able to get through all those times when we're the only needed to go to the office for work,"I don't understand why we weren't transitioned to do remote work when everyone I know already does. It's not like we won't be able to do our job properly, but it's more like the lack of the company to its employees"
1,Western Funding,A revert back to childhood,2022-03-09,1.0,Anonymous Employee,Can't really think of any except you are able to turn off the constant barrage of leadership request for a collective improvement to the salesforce.,Micromanagement is abundant. Salary guarantee eliminated after 1 yr employment. Gas reimbursement at .113 per mile. Terrible infrastructure. Sweat shop mentality. 2% capture rates lowest in the automotive finance industry.
2,Western Funding,Run as FAST as you can.  Do Not Apply.,2021-12-29,1.0,Anonymous Employee,NONE nada ZILCH nothing ZERO,Management is a joke. A complete joke. President is a puppet with no backbone.
3,Western Funding,Growing and improving every day,2021-09-24,4.0,Director of Sales,"We're growing by over 50% year over year, and constantly looking to see how we can improve as a company. Jim Murray has been the President at Western for 4 years now, and the program and culture changes the company has made in that time have been huge. We'll continue to grow as quickly as we can, while making our customer and employee experience better every day. It's in our value and culture to listen to our employees and we make adjustments whenever possible to ensure continuous improvement. Looking forward to what we can accomplish in Jim's next 4 years!","Sales Rep's must follow the process we teach and work hard to quickly grow their business. New Rep's aren't handed producing accounts, but are rewarded well for growing their contract count with dealers we haven't done much business with in the past."
4,Western Funding,Cool,2021-09-21,3.0,Anonymous Employee,Cool when I worked there.,Bosses got arrested while I worked there.
5,Western Funding,Good and Bad,2021-07-15,3.0,Staff Accountant,"High energy environment, very diverse with some really smart and hard-working people","Rigidity in processes and procedures. ""this is how its always been done"" or ""if it isn't broke don't fix it"" outlook"
6,Western Funding,All Hype with no real production!,2021-07-12,1.0,AREA SALES MANAGER,"They give you a mobile phone, a laptop, and a mobile hotspot, that's all I can think of","- Company is owned by it's parent company Westlake Financial which is 20X bigger and eats off the meat before throwing this company the bones. 

- Revolving door of sales reps and regional managers because the program is poorly managed. 

- Promise a pay plan and guarantee only to change it 3 months after you've signed a 6 to 12 month pay plan

- The auto finance program is so difficult to understand, dealers are disengaged after you pitch them the program and take out the charts and talk about all these different ways they will get paid, only to never see the back end money. 

- internal office processing thinks they are the FBI and make up state requirements as they go along. They require licenses that are not even required by the dmw, therefore signing up a dealer is almost impossible even though they already are signed up with the parent company Westlake Financial. 

- Very slow growth in the company, but management will promise you the world.

- Most expensive benefits I've ever had with the worst coverages."
7,Western Funding,Great place to work,2021-06-18,5.0,ASM Manager,Family cultures and take care of their employees,More is required compared to other lenders
8,Western Funding,High Stress tolerance required,2021-06-15,2.0,Call Center,Pay is higher than most finance companies in Nevada.,"A fast paced, high demand, stressful environment"
9,Western Funding,Great Place To Work,2021-05-07,5.0,Anonymous Employee,"Great company, great pay, great benefits",There are no cons for Western Funding
10,Western Funding,Growing company with real opportunity if you work hard.,2021-05-03,5.0,RSM,"Strong sales management. During my 4+ years at Western I was afforded the opportunity to learn and grow in a dynamic and changing environment. Managment listens and takes action to adjust when appropriate. Strong program that with hard work will allow you the chance to grow your market. The key is hard work. There is great support in the form of peer to peer sharing. Being part of the Westlake family gives Western the ability to attack the markets aggressively and grow. The key is effort! in the last 2 years there have been a lot of great changes such as improved program, reduced funding time and lots of automation. Can't say enough good things about my experience there in sales leadership.",As with any growing company there are processes that may create obstacles but with that said I know amd saw that they are committed to removing those obstacles and improving the processes to enable the sales team. The key is patience and hard work. keep pushing WFI!
11,Western Funding,Stay Far Away,2021-04-14,1.0,Sales Representative,Don't accept a sales position here,"Credit , MSR & underwriting look for ways to not do business. They treat Sales like garbage. The guy that does training is a failed sales rep. Management provides no support, just spends the day staring at reports"
12,Western Funding,Management has NO accountability ... Just finger pointing.,2021-03-16,2.0,Anonymous Employee,Mon-Fri 8-5 ... THAT'S IT.,"Management, if you are LIKED .... you will make it. If not, you WON'T. Period."
13,Western Funding,It's sales,2021-02-25,3.0,ISR- Inside Sales Representative,"Relaxed work environment, clear sales goals, lots of training.",You have to learn a lot to meet sales goals. Making sales can be difficult.
14,Western Funding,Outstanding opportunity,2020-12-31,5.0,Sales Representative,"Uncapped commission, career opportunities, account development","No cons, if you are thirsty enough you make the money you want to make"
15,Western Funding,Stay away,2020-12-28,2.0,Inside Sales Manager,"If you are liked my managers, you will make it. If not, you won't no matter how hard you try or the effort you put in. It won't be appreciated.",Management rarely gives you accolades or uplifting remarks. The one on one training really needs to be given to EVERYone.
16,Western Funding,Used to be a great place to work,2020-09-17,2.0,Internal Sales Representative,PTO policy is pretty relaxed,"management changes have brought on a negative and toxic work environment. what use to be an enjoyable job is now one that comes with negative side affects of stress, pay cuts. You will be over worked with meaningless tasks to try and push an objective even though what you will be doing all day is no guarantee you will be successful. Director level management never tells you when you're doing a good job and only focuses on the negative."
