,company,headline,date,overall_rating,author_position,pros,cons
0,Westlake Services,Ok Salary,2022-03-16,2.0,Anonymous Employee,"stable income, middle of the city","old school culture, were suit and tie"
1,Westlake Services,horrible,2022-03-16,1.0,Dealer Account Manager,no pro's that I can say in honesty,"management, pay, leadership, training, trainers. PUSHY"
2,Westlake Services,Avoid Entry Level Position,2022-03-03,2.0,Strategic Account Representative,Financially Strong Company $15B assets under management,"Algorithm controls the loan options based upon financial customer criteria 
Fees and Rates provided were not competitive enough to compete in certain market places"
3,Westlake Services,favoritism in promotion interests,2022-02-23,2.0,Associate Representative,"Community is fun 
plenty of company events including peoples birthdays and socials 
plenty of amenities including coffee, gym, large fridges, and microwaves
lots of departments are close knitted and help alot","micromanagement coming from mangers and supervisors 
aggressive in occasions to get rid of staff 
favoritism in promotional interests"
4,Westlake Services,Solid,2022-02-18,4.0,Anonymous Employee,"Atmosphere and bonus, would continue working","Stress and automated system, technology is great but now taking our job and bonus. Might not last long"
5,Westlake Services,No room for growth,2022-02-09,3.0,Ok Company,"Not a lit of overtime work, nice location",Differs from department to department
6,Westlake Services,The game is rigged,2022-02-01,3.0,Account Manager,Nice environment and a lot of great people trying hard to make it make sense,Upper Management keep the game fixed and no REAL support to be successful
7,Westlake Services,n/A,2022-01-24,1.0,Senior Accountant,there are no pros for this company,Not a good company to work for
8,Westlake Services,Good job,2022-01-13,4.0,Customer Service Representative,Gave me an opportunity to learn,Not easy to move up
9,Westlake Services,If you like sales its a great company,2022-01-11,3.0,Account Manager,"Pay is very fair for someone with no experience in the industry

Learned a lot through good management","Personally, I am not a Suit and Tie everyday type of guy"
10,Westlake Services,"Low paying, bad culture",2022-01-11,1.0,Dealer Account Manager,"You get to travel but other than that, nothing worth staying for",Please invest more into your management team to retain high quality employees
11,Westlake Services,Average,2021-12-15,4.0,Customer Service Representative,"- helpful orientation
- helpful supervisor","- can get stressful
- fair pay"
12,Westlake Services,Lot's of work!,2021-11-29,4.0,Dealer Account Manager,There's always someone to call or visit. Not hard to ramp up.,Other inside and outside reps are constantly trying to take your accounts. It's very cut-throat.
13,Westlake Services,Good,2021-11-15,5.0,Underwriter,Steady reliable and dependable work,Sometimes feels overworked and underpaid
14,Westlake Services,Run away,2021-11-12,1.0,Many Titles,"Zero. This company is a leech who preys on those with poor credit, with predatory loans.","You are disposable. If you have a better option, take it."
15,Westlake Services,It’s ok,2021-11-10,1.0,Collections Specialist,Good pay. Good bonus. A lot of OT.,"Micromanage
Will get write ups even if you’re doing well"
16,Westlake Services,review,2021-11-07,1.0,Licensed Esthetician,great customer service experience learning,unhealthy working environment rude customers
17,Westlake Services,n/a,2021-10-27,3.0,Adjuster,good money sometimes whenever the agents arent cheating,poor management and the agent are cheaters
18,Westlake Services,bad training and bad pay they start out at min wage and tell you this position has potential of 70k.,2021-10-13,1.0,Credit Analyst,"ok environment , location in a nice area. higher mangers think they are better than you","bad training, they expect you to learn as you go. alot of favorites, which makes it less likely to grow"
19,Westlake Services,Good but monotonous,2021-10-08,3.0,Account Associate,Stable and it is an excellent office environment.,Boring and Dull. Some customers are very rude
20,Westlake Services,Aggressive,2021-10-05,5.0,Dealer Account Manager,Great payplan if you know how to work it. Put the work in and can make 120k+ easy,Changes in the program needs to have resources for easier access for newer employees
21,Westlake Services,Great Location,2021-10-03,5.0,Collections Specialist,"Great opportunities to earn more income on top of your base pay. Some incentives, and games to keep motived on collections. Great benefits offered.","High turn over, the office is hiring new staff to add to our teams"
22,Westlake Services,Good place to work,2021-09-28,5.0,Account Representative,"Good bonuses, has good leadership, many incentives","Lots of mandatory overtime, rotating schedule"
