,company,headline,date,overall_rating,author_position,pros,cons
0,World Business Lenders,great place to star,2022-03-13,2.0,Administrative Assistant,they had some good benefits and great for just starting out in the financial industry. Great work work environment. I loved my co-workers although there seemed to always be some type of office drama.,The pay is very low and the company seems a bit volatile. Your position is near safe. while I was working there it always seemed as if the company would shut down or be sold at any moment. plus it seemed as if they were making a lot of diversity hires. I wold not recommend this company for anyone who is well versed in the industry. Plus the managers are always yelling in their offices.
1,World Business Lenders,Boiler Room Meets Gordon Gecko,2021-10-13,1.0,Senior Sales Executive,"Company is hanging on fumes - the only equity left is the 100s of homes they repossessed in their unscrupulous loans (google WBL / class action law suit).

Scumbag CEO and his old cronies from Stratford may face criminal charges in addition to losing all his plunder he got from duped borrowers.","This place is 'Boiler Room' meet 'Wolf of Wall Street' (without any good looking dudes - CEO and his dopey attorneys are old and gross looking guys (Andy).
Business model is simple - dupe homeowners into borrowing money and take their property. 60% interest rates are the norm. WBL isn't a lender as much as it is a real estate holding company. 
I still have nightmares and am in therapy for all the pain I caused unassuming borrowers / homeowners, many who lost both their business and homes. Covid was the best thing that ever happened to WBL- they repossessed more homes in 2020 than in any other year - total scumbags."
2,World Business Lenders,Managed and recruited,2021-09-07,4.0,Supervisor/Team Leader,"Best work environment , helpful managers.",None that I can think of.
3,World Business Lenders,Sucks,2021-06-09,1.0,Sales Representative,"Free coffee
Nice co workers
That’s all nothing else was good","They are very unfair 
Unprofessional 
Management sucks"
4,World Business Lenders,Worst year of my life,2021-06-04,1.0,Asset Resolution Analyst,I can’t think of anything good to say about this place,"-unprofessional, gossiping atmosphere
-cutthroat senior management that doesn’t value employees
-shady business model and the CEO is a narcissist/sociopath"
5,World Business Lenders,Good Company to Start off,2021-05-20,5.0,Sales Administrator,"casual work environment
friendly employees and managers
good place to start career","pay could be better
less pay to start"
6,World Business Lenders,You could do better,2021-04-08,1.0,Associate,Remote work is definitely a plus,I wish I could say something
7,World Business Lenders,Do not join WBL,2021-03-02,1.0,Asset Resolution Analyst,Work is all remote now.,"Turn over rate was really high when I first began. Training was lacking. The transition of new management was chaotic. New management has no idea what they're doing. The pressure of completing projects is intense which results on the team being behind on work. Upper management has no respect for employees. Unreasonable amount of work do.
If given the option to rate 0 stars, I would."
8,World Business Lenders,"Great experience, unfair compensation, will help with your next opportunity",2020-12-02,3.0,Credit Analyst,"Experience is great, you will work hands on with executives and underwriting department managers. This is a great stepping stone for other opportunities.","Pay is very poor, employers expectations are extremely high, work load can be unbearable at times. Unorganized process and the business is too departmentalized."
9,World Business Lenders,Pressure turns coal into diamonds,2020-11-20,3.0,Anonymous Employee,Great opportunity and potential for career growth,Only the strong shall survive
10,World Business Lenders,RUN,2020-09-10,1.0,Associate,Good starter job but you should run once you have experience.,Icky people that management values because they themselves are sneaky.
11,World Business Lenders,Terrible,2020-08-20,1.0,Analyst,"Easy first job to get, if you can tolerate it",Toxic Work Culture is an Understatement
12,World Business Lenders,not much to say,2020-08-13,3.0,Anonymous Employee,"you don't have to go to the city
people are nice","no good benefit, no good pay"
13,World Business Lenders,STAY AWAY AT ALL COSTS,2020-06-09,1.0,Former Employee,you learn basic banking principles & great window views,"1. Compensation/salary is a joke
2. Unrealistic sales expectations
3. Product is difficult to sell because it is too expensive
4. Management shows favortism/nepotism
5. Management is indifferent to the hardships that regular sales reps go through
6. Some management is unqualified/unknowledgeable about the product
7. Leads are trash
8. If you have a decent lead, they take it away during their lead reshuffle
9. Constantly fighting with underwriting staff to get your deals funded
10. Underwriting staff requires too much documentation, to the point where the merchant loses interest & patience
11. Draw always counts against you
12. Low commissions
13. Hiring/firing of staff is questionable (previous reports of racist employment practices wasn't confirmed, but is believable. There has been legal settlements in the past)
14. CEO & upper management have encouraged people to quit and are generally unsupportive (unless you're one of their favorites)
15. Overtime is not allowed. HR & management will penalize you if your timecard is 1 minute over the allotted 40hr/work week
16. the promise of equity in the company sounds good, but there are too many unreasonable conditions that have to be met in order to benefit from that equity
17. Many stories about management being untrustworthy and treacherous
18. Office culture is uninspiring & stressful. Some management screams at employees
The list goes on & on & on........
Like any other company, if you go in there with a positive perspective/attitude and make the best of it, things should work out. But like many of my colleagues who have worked here, we tried using that perspective. The cons just outweigh the pros by a lot. Unless you're a favorite there (if management likes you for some arbitrary reason) things might be more difficult for you. My advice is to stay away. If it is your last resort, stay long enough until you can find other employment."
14,World Business Lenders,Not a great company to work for,2020-05-28,2.0,Asset Resolution Analyst,"pay is ok, certainly not enough for the amount of work you do","work is boring, you're basically just seizing peoples' assets and getting judgments against them. expectations are unreasonable and the company just has a terrible culture. there are some good people but the CEO is a total slimeball and it permeates the entire culture of the place. they also try really hard to pander to different minority groups to hide the fact that the CEO was among those responsible for the recession and is just an all-around sketchy character (Google it). Very negative culture here. Wouldn't recommend taking this job."
15,World Business Lenders,DON'T WORK HERE,2020-04-16,1.0,Account Representative,nice office view of the city,Low pay  Bad leads terrible benefits
16,World Business Lenders,"Drama filled, unethical and immoral environment",2020-01-17,1.0,Valuation Analyst,View of  Manhattan's skyline from the office,"- Middle management spreads rumors and creates a drama filled environment
- Incredible low pay
- High turnover outfit
- Horrible benefits

Pay attention to all fake positive reviews. They have been written between Oct 23 and Nov 4 2019"
17,World Business Lenders,Great Opportunity For Sales,2019-11-18,5.0,Sales,Stable company with a great product and world class management.  Excellent opportunity to grow within and build a career.,Would like some better coffee options in the lunch room.
18,World Business Lenders,Decent first job,2019-11-14,3.0,Account Representative,"Office views 
Decent hourly pay for training","Lack of organization 
Commission percentage earned was decreased"
19,World Business Lenders,Tough,2019-11-07,2.0,Account Representative,You get paid every two weeks.,Best Accounts are taken. You have little to work with. Oh and your salary is a draw.
20,World Business Lenders,"Great work environment, room to grow and learn.",2019-11-04,5.0,Credit Analyst,Growth opportunity! There is a lot of room to learn here and diversify your skills set. The supervisors are always helpful and create a helpful environment ensuring you thrive!,Haven't experienced one yet!
21,World Business Lenders,WBL,2019-11-04,5.0,Administrative,"team spirit, growth opportunity, great work/life balance",having  access to more  mentors
22,World Business Lenders,Solid Company to Work for,2019-11-03,5.0,Financial Analyst,Good work ethic and diligence are being recognized and rewarded. The management makes an effort to advance employees internally based on performance and contribution.,The technology could use an upgrade.
23,World Business Lenders,Growing company with good people,2019-11-01,4.0,Analyst,"Good people to work with, growing rapidly",Too many internal changes being done.
24,World Business Lenders,Company is taking advantage of people and play a game with them to make money from government(fake hiring)/avoid taxes,2019-10-30,1.0,Sales Associate,"Good benefits(Health care, transportation), Nice location(Jersey City Down Town), Employees are nice but not executives","Executives taking advantage of people under them by controlling them, trying to pass a fake vision of the company by useless equity to keep them in control.

They  made a plan to hire bunch of college graduates or mostly those who lost job and are stuck of getting a related job to not only pass the fake vision but also pay low and keep them quite and in control. But if you want just get a job in a nice location to pay off your bills go for it but make plan for your next move!
 
As a matter of  fact company did maybe still doing mass hiring and %30 of hires left within 1-2 month(s). I had the data! Don't believe do your research inside the company."
25,World Business Lenders,A GREAT PLACE TO WORK!,2019-10-24,5.0,Associate,"WBL is a career changer! The management team encourages its team members to strive to do better and become more successful. A great thing about World Business Lenders is that  there is always room for growth and  with tenure, you are able to gain stock in the company. The people are happy and friendly and most are more like family than co-workers. The atmosphere is pleasant and comfortable. They boost company morale by organizing special events and having fun snacks for the entire company. And lets not forget the free coffee, tea and water the company  provides as well.  To add to all the wonderfully amazing thing already stated above, there are amazing views throughout the office like that of  the lovely Lady Liberty, Ellis Island, and lets not forget the astonishing views of New York.","They could provide more time off for its associates. It would be nice to be able to wear jeans to work and still dress appropriately. There should be equal access to all areas of the office to all of its staff members- No ""Executive side"", it segregates staff member and those on the ""Executive side"" are privy to some things.  Parking is HORRIBLE- discounts wouldn't hurt or even a parking space for those with an Associate or higher position."
26,World Business Lenders,Great company to work for,2019-10-24,5.0,Senior Vice President,"-Great potential for career growth
-Very supportive management team
-Comprehensive training program
-Great office culture",-Lack of good lunch options
27,World Business Lenders,Right place to be,2019-10-23,5.0,Refinance Manager,"WBL is a small institution which affords employees the opportunity of brushing shoulders with executives. It is important for a young professional to have access to 20-30 years of experience in any field and that is what our executives offer by being so involved in the day to day operations here at WBL. The company's size is also conducive to growth, i have been here 5-6 years now and have been recognized and or promoted for my efforts through our employee review on an annual basis since my start date of August of 2013.",End of months do tend to get a bit hectic but WBL supports its employees to ensure they can weather the storm
28,World Business Lenders,A place to grow,2019-10-23,5.0,Business Analyst,"I started working at WBL as a Admin Assistant not knowing that much about loans or the laws that one has to know to get loans passed. WBL was my first job that I had in an office environment. I took hours out of my own time when i was off work to learn and I consistently looked at where I can approve to get better. In two months and two weeks I was promoted to Business Analyst. If you are looking for a place to grow, a place to learn with a welcoming atmosphere than WBL is the place for you. Your hard work will not go unnoticed at WBL. Learn Fast, Work Hard","*Consistently looking at a computer screen
Besides that its a great place to work and learn"
29,World Business Lenders,Hard Work Gets You Noticed,2019-10-23,5.0,Data Scientist,A great place for people to build their careers. The company notices those who work hard and create value for the company. Positive ideas get traction and can create real change very quickly. This company has the potential to grow very quickly.,"This is a rapidly growing company, and there are learning opportunities for everyone as the company changes. Having a good manager is a huge help. Not all managers are so great at supporting their staff. There are some people that prevent the growth of the company through narrow thinking or inexperience, but top executives understand the big picture."
30,World Business Lenders,JOB IS A SCAM,2019-10-17,1.0,Sales Representative,Coworkers are fun and respectful.,"Product is not an easy sell. Lead system is complete trash. Excelling at this company is a draw of the luck, if you don’t meet their standards they will let you go regardless of how much effort you put in. DO NOT APPLY HERE THEY ARE BETTER AND MORE FAIR SALES JOBS."
31,World Business Lenders,Constantly Changing / Always Culling,2019-10-16,2.0,Account Representative,CEO is looking for the best employee.,Vice Presidents / Management are not affective....
32,World Business Lenders,Talent rises to the top at WBL,2019-10-04,4.0,Manager,"Lots of opportunity to advance if you have skills 
Friendly staff
Great Views","9-6 hrs is frustrating
Benefits could be better"
33,World Business Lenders,Predatory,2019-09-10,2.0,Anonymous Employee,None. I mean...it is a job.,Toxic culture from the top down. People there are treated like crap and live in fear of upper management.
34,World Business Lenders,Great place to work amazing views,2019-05-31,4.0,Analyst,"People are friendly and it feels like family. Decent pay, good chance for advancement if you are sharp.",Management can be a bit out of touch with the day to day grind
35,World Business Lenders,Great Experience and Growth Opportunities,2019-05-08,5.0,Assistant Underwriter,"1. Career Growth Opportunities
2. Equity Grant Opportunities
3. Constant Learning and Evolving (both the company as a whole and the employees that take advantage of all resources)","1. With rapid growth comes constant changing of processes (this can also be a pro)
2. Could use more training for managers"
36,World Business Lenders,Great career opportunity.  Great company.  On the right track,2019-04-26,4.0,Undisclosed,"-company's commitment to continuously improving their product offering
-While there is a lot expected of you as an employee (and understandably so), they strive to make sure you are positioned to excel.
-WBL is experiencing significant growth both internally as a company and as a lender.  A great time to be on board.
-Upper Management works to be as transparent as possible.  There is a certain amount of confidentiality needed at every company in every industry but, for issues that matter across the board, we are kept in the loop.
-Work life balance is important to Management and seen as the key to keeping talent in house.","-Growth sometimes has its hindrances.   While we may have the occasional hiccup, there is a strong focus on improving internally.  Could happen a bit more quickly but  we'll get there.
-There can be red tape in getting initiatives implemented but I chalk that up to realistic cautiousness."
37,World Business Lenders,Horrible work environment,2019-04-11,1.0,Analyst,There’s free coffee that’s it.,"The work environment is very toxic and hostile. There is so much drama and gossip among departments because many people are sitting idle.  Manager speaks to team members as if they are incompetent and with no respect at all. They create random departments for a short time just to fire all of you in the blink of an eye. No job security at all. They are very quick to get rid of people and the CEO has openly stated this. A lot of work place bullying and when brought up to HR they make a mockery of it and make an example of what was said in confidence. They do absolutely nothing to improve the work environment. Do not work here, not even if it’s your last resort!!!"
38,World Business Lenders,Run for your life.,2019-03-25,1.0,Sales,Educates young professionals on where not to work and the importance of company culture.,"Just some of the highlights:

-The fish stinks from the head (Doug Nadidus)
-At best a predatory lender, at worst a cesspool of degenerates preying on the undisciplined home owner
-Product is a joke, like charging $80 for a Hersey bar and asking to leave your watch as collateral
-Those there of intelligence are knowingly cooperating in the eventual foreclosure on unsuspecting homeowners
-Management will literally say ANYTHING to further the agenda at the behest of Doug
-VP titles are handed out like monopoly money instead of a pay increase
-Hiring of those in need of a work VISA is common practice at below market rate, only never to be signed full time after 1 year
-Regular employees are lucky to make minimum wage
-Honestly just run for your life."
39,World Business Lenders,Human life crisis,2019-03-22,1.0,Sales Representative,Nothing.. they are destroying people’s life,"Doug W. Naidus and his executive team,  are parasites who feeds of the life’s of  brokenhearted people in need. They hired over 200 employees in a low socioeconomic class  to scam state taxpayers, than quickly firing them. They don’t even pay some of their employees!  Sales reps essentially borrow money though a daw system at a minimum rate if their lucky, some even get less. No vacation time, and the insurance sucks!!  Not only do these parasites target employees in desperate need, they also target companies that have a high chance of failing and tie their loans to real estate collateral. At a rate impassible to pay back!! I’ve seen rates as high as .80cent to the dollar. Just think about how many homeless families these parasites are responsible for. Their employees and customers need to be rescued! The government needs to step down and prevent this human life crisis from happening..  My advice to potential employees is to stay away."
40,World Business Lenders,Don’t trust them,2019-01-30,1.0,Wholesale,There are no pros but WBL is a con artist,Every year they change the compensation structure and I would have made 12 to 15k before the new year in commission but they held my loans and didn’t let them close so I would make less commission. They don’t care about no one and will rob you and all of your clients
41,World Business Lenders,Unethical and unprofessional place to work,2019-01-14,1.0,Anonymous Employee,I have no positive feedback,Extremely unprofessional environment and management
42,World Business Lenders,Financial Analyst,2018-12-07,3.0,Anonymous Employee,Company culture is friendly and it grows fast. It's a good experience to start at a financial institution.,Company benefits are not as good and incentive policy is bad
43,World Business Lenders,HR,2018-09-25,2.0,Anonymous Employee,The view from the office is beautiful! My team was great.,"Management is absolutely horrible! Many employees are treated unfairly! The pay is not great at all! Many employees take public transportation and travel about an hour and 30 minutes or more and there was no flexibility to work from home, not even in the winter. Not worth the stress at all! Benefits are horrible as well, some employees paid over $1,000 for medical insurance."
