,company,headline,date,overall_rating,author_position,pros,cons
0,Wunderlich Securities,Great company with great values,2021-09-09,5.0,Vice President,"Culture, people, access to leadership",Compensation was on lower spectrum of market
1,Wunderlich Securities,"Great place to work, great people",2020-10-08,4.0,Vice President,Accessible leadership; Strong intellectual; Great culture and team,Pay below market; bonuses erratic
2,Wunderlich Securities,Great place to work and build a career,2019-12-20,5.0,Chief Accounting Officer,A family atmosphere that fosters internal promotions.,There really aren't any to speak of.
3,Wunderlich Securities,Don't do it.,2019-11-13,2.0,Operations Specialist,"8-5 job, alright benefits, get holidays off",Management has double standards and turns a blind eye to some employees and harps on others. Hostile work enviorment
4,Wunderlich Securities,Horrible place to be,2019-09-15,1.0,Analyst,None that I can think of,Incompetence across almost all levels
5,Wunderlich Securities,Meh,2018-11-25,1.0,Anonymous Employee,It was a financial Services firm,Pretty much everything was horrible
6,Wunderlich Securities,Wunderlich Great Company,2018-04-29,3.0,Anonymous Employee,Generous payout structure for advisors,401k match could be more generous
7,Wunderlich Securities,Registered Sales Assistant,2018-04-14,1.0,Registered Sales Assistant,Can’t think of anything positive,"They treat their employees like absolute garbage.  The manager  has all the people skills of a blood sucking mosquito. Nasty, passive aggressive,non-comminicative. HR is totally and completely useless.  They’re all so far up each other’s rear ends they can see tonsils. No one acts as the liaison between management and employees"
8,Wunderlich Securities,Senior Vice President,2017-03-30,5.0,Senior Vice President,"Freedom to produce, great payout, beautiful offices and friendly and cooperative fellow professionals.",Company name recognition and product inventory.
9,Wunderlich Securities,Associate,2016-12-05,5.0,Investment Banking Associate,"- Great culture, the company is invested in its junior employees

- Senior engagement and exposure to quality transactions, junior employees are given considerable autonomy and take on significant responsibility early on",- Work on building up brand image
10,Wunderlich Securities,Financial advisor,2016-10-15,3.0,Vice President Financial Advisor,Good work environment. Good people to work with.,Low compensation percentage for commissions.
11,Wunderlich Securities,Working Wonders @ Wunderlich!,2016-10-08,5.0,Financial Advisor,"In my 3+ decades in the investment field, this firm is the first I have seen that does, in reality, care about helping the Financial Advisor help the client. Every decision that is made is with that in mind. It is truly refreshing and, I believe, a model for the firm of the future.","Helping people learn how to spell the name can be a bit of a challenge from time to time! But then, UBS clients still think they have accounts with ""USB"" or ""UPS!"" Not a big deal."
12,Wunderlich Securities,Wunderlich,2016-07-14,1.0,,"i cannot put 20 words together to satisfy the minimum to talk about a ""pro"" of working at Wunderlich Securities",Management is horrible and lacks the ability to think strategically.  The salary and benefits are poor.
13,Wunderlich Securities,Analyst,2016-05-22,5.0,Investment Banking Analyst,"Phenomenal experience, great managing directors, culture is awesome, senior members care about junior staff, and the firm si growing","The hours are pretty long but that is as expected with the industry. Also, the firm has a lot going on currently likely contributing to the hours."
14,Wunderlich Securities,Horrible,2016-05-19,1.0,Anonymous Employee,There are no pros about working here,"Extremely poor / rude management, compensation is way below market, very high turnover"
15,Wunderlich Securities,Very disorganized organization.,2016-05-13,2.0,,There's nothing that stands out as a pro but I had to write something.,Poor management that starts from at the top.  Disorganized organization.
16,Wunderlich Securities,Review,2016-03-25,2.0,Accounts Manager,work life balance is better than most firms,no career growth in foreseeable future
17,Wunderlich Securities,Good for career growth,2016-03-04,4.0,,Flexibility (with my own supervisor),Management do not know what they are doing
18,Wunderlich Securities,Must be self starter and do a lot yourself,2016-02-24,3.0,Anonymous Employee,"People will help you out and work together IF you ask.
If you have a book a business there is little possibility for account overlap","You are hunting for your own bonds and there is no inventory
With no inventory if your clients are talking to a lot of players you probably won't win on price."
19,Wunderlich Securities,Associate,2016-01-11,2.0,Anonymous Employee,People are friendly and easy going.,Compensation is lower than industry means and environment is extremely slow paced.
