,company,headline,date,overall_rating,author_position,pros,cons
0,Autodesk,Putting their people first always ! Amazing culture and team spirit,2021-10-11,5.0,Ops Manager,Additional company holidays last year and this year. Great support during pandemic. Putting the team first and ensuring empathy and support for Covid related stress. Culture is fantastic... best company I have worked for.,Work from home country could be longer
1,Autodesk,Overall Good Internship Experience,2022-03-30,5.0,Student,Good people especially the team members,Sometimes directions might not be very clear for interns
2,Autodesk,Autodesk has a lot of potential but fails to live up to the hype,2022-03-28,2.0,People Manager,"- Work/life balance
- Great people on the ground who care about their work and the people around them 
- Management can be good depending on your organization
- We were well supported during the pandemic","- Constant re-organization of departments with little insights or transparency into how it impacts the teams getting moved around 
- Leadership above the people managers do not care about employees in any meaningful way 
- There is a lot of lip service from the C staff around valuing teams and people that does not translate into day-to-day life at Autodesk 
- People managers are not able to effectively reward team members who work hard
- Promotions are slow to come, if at all
- Lack of clear direction on how to grow and improve or move to a new team
- Leadership is always turning over and with each new leader comes a change of direction which leaves employees feeling unsure of what we're actually doing
- The company uses a lot of legacy software or overly customized software that can make simple tasks challenging to complete 
- Each purchase of a new company leads to splintered off business practices that don't integrate well with already existing systems and processes"
3,Autodesk,Just another old corporate company at the end of the day,2022-03-18,3.0,Anonymous,"Autodesk is an ethical, humble, and good place. The current CEO is smart, transparent, and human. Work life balance is strong. This is a great place to get your start, take a break between faster-paced jobs, or retire.","It is almost impossible to get promoted. There are no initiatives for employee retention, and there is a huge pay gap between incoming and existing workers. Autodesk isn’t a top tech company, so it doesn’t attract top talent. This also means it tolerates mediocrity; it’s very hard to get fired here. Team culture and leadership is dependent on department."
4,Autodesk,Love this company,2022-01-27,4.0,Customer Success Advisor,"Work-life balance, competitive and fair pay, great stock program, fairly good vacation policy (3 weeks + week of rest + 6 week sabbatical at 4 years ie: only complaint is it's not 4 weeks + week of rest).","This is the only reason they have four stars from me. They carry a very liberal mindset and indoctrination when it comes to Covid. If you're like that, this would be a pro. But for a company that touts inclusivity, they are not inclusive of those who have chosen a natural route of handling Covid as apposed to the vaccine. They disparage such employees even to the point of threatening employment (although thankfully for me it has only remained as a threat). Such work environment has made it less enjoyable to work here when one thing is touted and a very different thing is practiced, and it is disappointing.

Another Con would be their career advancement opportunity really looks at predominately Autodesk experience. So if you get into the wrong department, it becomes a very tedious journey of climbing the proverbial ladder to get anywhere, even if with past experience you are more qualified than half the people of a job ""two rungs up."""
5,Autodesk,Consistently poor management,2022-03-28,1.0,Senior Software Engineer,"It's an easy job, with minimal pressure. Most coworkers are genuinely kind, smart, and enjoyable to work with. My direct managers have all been good.","The upper management in M&E has made repeated mistakes during my employment. Layoffs of extraordinary engineers, managers, PMs while keeping the less talented folks like me around; acquisitions of companies that do nothing to further our goals... all of this while telling transparent lies to justify the mistakes or failing to communicate them altogether. I've found out that people I worked with regularly were laid off by having emails / slack messages bounce."
6,Autodesk,Good Large Company,2022-03-28,5.0,Anonymous Employee,"It's a bigger company, but they do seem to care about employees. Andrew (CEO) is great.","Salary comp is a bit of a challenge. They try to make it up with RSUs, but the stock is down (like most other places)."
7,Autodesk,"Innovative, Growing and Positive, but also Siloed and Slogging through internal transition",2022-03-25,4.0,"Sr. Manager, Operations","Autodesk produces products you can be proud of and is committed to making an impact for customers and on the world around us.  Autodesk works hard to be ethical and takes extra steps to 'walk the talk'.  Autodesk makes the tools that people use to design and make.... well, everything.  Internally, that's a source of genuine pride.  

From an employee perspective, Autodesk tries very hard to treat people with respect, adhere to its published values and - when push comes to shove, STICK to those values... unlike some other Bay Area companies that might be more willing to compromise their stated values (e.g.: 'don't be evil' ..... ).  

Autodesk is in the midst of a huge transition:  from perpetual license to subscription, from desktop to cloud, from narrow function applications to end-to-end integration, from a loose collection of complementary point products to platform company.  It's interesting, but also exhausting, don't even think of interviewing here if you honestly regard your work-ethic as anything but ""HIGH"" and ""Driven"".  It can be very rewarding, the over-all strategy makes sense and progress toward those mid-term and long-term goals is undeniable.  Autodesk does not just talk.... we DO.

All-in, if you are smart, talented, hard-working and really give a damn about what your work contributes to, Autodesk may be fore you.","Autodesk is 40 years old and going through a mid-life transformation.  Every infrastructure system is in transformation; products are at various stages of their transition to Cloud enablement, and the drive to be a platform company is ( finally ) real this time.  Entry-level positions do a lot of transaction volume and there's some question about whether compensation is competitive.  Mid-level positions work relentlessly - that's driven both by the internal pace of change as well as business growth - be prepared.  There are politics at play in Director-level and above; and it's an internal joke that 'nothing is guaranteed but death, taxes and Autodesk re-organizations'.  the Alphabet soup of Org acronyms coupled with the reorganization of the quarter makes it tough to know who does what.  As Autodesk has grown it has become more corporate, and it's easy to play ""Buzzword Bingo"" with the Org announcements and scope changes.  Product divisions don't understand the infrastructure that runs the company, and are the worst communicators I've ever seen in terms of sharing their product plans with the upstream and downstream groups who will bear the workload of their decisions.  The customer experience is complex, and end customers frequently become frustrated but the experience of simply accessing and managing their software investments.  The company has a habit of doing 3X yearly employee surveys but does not always honestly assess what employees are telling them, and it feels like Autodesk will put more effort into 'spinning' the survey results than addressing the raised issues.  H.R. support is weak after a recently departed H.R. V.P. gutted the department and tried to turn it into a ticket-driven, self service support function and I doubt those folks have time to breathe.  Still, every company has challenges and Autodesk's heart is in the right place.  We're on a journey to be better, and that's made tougher by the span and rate of change, as well as the rapid growth of recent years - but things are trending up."
8,Autodesk,"Great company, lots of growth",2022-03-28,5.0,Senior Product Designer II,"Great culture
Great upper leadership on csuite
Awesome benefits
Great work life balance",Lower level leadership could use some more development and leadership skills
9,Autodesk,Good benefits and workplace,2022-03-28,5.0,Sales Representative,Excellent comp plans and good work environment.,It's a huge company so it's hard to make an impact sometimes
10,Autodesk,Autodesk really cares about the well-being of their employees.,2022-03-27,4.0,Anonymous Employee,Great benefits. Extreme focus on employee well being especially during the pandemic time. Progressive and socially responsible - which is a great match for me.,"Some politics, but not more than I’ve seen at other similarly sized companies. Intranet could be better organized. Sometimes hard to find information."
11,Autodesk,A stellar employer,2022-03-17,5.0,Senior Software Engineer,"Strong work culture. Leadership champions initiatives to improve diversity, employee development, and wellbeing.
Incredible benefits; including access to many, many resources.","Standard large company problems: 
Politics and bureaucracy/red tape can be bothersome at times.
Danger of feeling like a gear in the machine."
12,Autodesk,Great place to work!,2022-02-10,5.0,Software Test Engineer,"401k match 
3 weeks PTO
1,000$ annual wellness plan (covers everything from gaming consoles to gym memberships)
Bonus
Restricted stock
Discounted stock purchasing 

Beautiful office located in the CODA building in downtown Atlanta. 
Snacks/ coffee etc. in office for free.
Management is very understanding and coworkers are always willing to help.
Autodesk is a company who wants to help their employees grow and will spend money on continuing education and certifications.
Management also is very flexible with WFH- they do not ask/enforce anyone to be in office.
Procedures and policy’s and well documented- excellent on boarding.
No meetings after 12 on Fridays!","Con with being located in downtown is parking costs. 
Working through many different time zones can be difficult to coordinate at times."
13,Autodesk,Great company with amazing culture,2022-03-21,5.0,Anonymous Employee,"Amazing culture
Great management team
Market leader
Strong prospects",Fast paced environment with too many changes
