,company,headline,date,overall_rating,author_position,pros,cons
0,Capital Group,Capital Group is an amazing company,2022-01-09,5.0,Investment Operations,"- Wonderful people throughout the organization with high integrity and respect for each other.
Everyone is open and friendly, so it's easy to learn and grow both personally and professionally.
- The compensation and benefits are world-class. A company that truly believes in investing in their
associates. Two generous bonuses and a 15 percent retirement plan contribution. 
- A successful and growing company! You have a sense of pride working for a company that has and continues to outperform. Even for a 90-year-old company, there is still a priority for growth and innovation.
- A global presence with so many career opportunities.","- Currently, no full-time remote positions available
- Meeting heavy organization"
1,Capital Group,Analyst,2022-03-31,5.0,Analyst,Great company with excellent leadership that is always looking to better the state of their employees.,Full time remote would be ideal but understandable why not implemented.
2,Capital Group,Excellent place to work and thrive,2022-03-31,5.0,Private Wealth Advisor,"High professionalism, collaborative, client centric, great culture.","Thoughtful, deliberate, and thorough in technology business enablement."
3,Capital Group,Job review,2022-03-30,5.0,Anonymous Employee,awesome company to work for,i have no cons for the company
4,Capital Group,Wonderful workplace,2022-03-22,5.0,AVP-IT,"Wonderful work environment, Competitive compensation",Lack of growth or new job opportunities
5,Capital Group,It doesn't get better than this,2022-03-18,5.0,Senior Counsel,"The people, the people, the people. The culture starts with caring about associates and is one of mutual respect.",Not many know who we are.
6,Capital Group,Nowhere Else I'd Rather Be,2022-03-17,5.0,Core Operations Senior Associate,"Capital Group is an incredible place to work. I have just reached 10 years at the company, and feel encouraged, validated, and challenged. Management does its best to keep you on your toes, while also supporting your needs. There is a sense of purpose in all roles, and opportunities are everywhere to either advance to something new or excel in your current space. Capital handled the pandemic as close to perfect as possible, and our impressive outcomes are a direct result of hardworking, thoughtful teams across all areas of the company.","Sometimes a bigger company can take time to make decisions or incorporate change - the ship is difficult to turn. Even so, I've seen Capital take great strides in working toward betterment, both by staying up-to-speed in the industry and also by meeting the needs of a rapidly changing workforce for all associates."
7,Capital Group,Great company,2022-03-17,5.0,Anonymous Employee,"Great people, great benefits. Really care about their associates.",Can be slow to move/decide.
8,Capital Group,Culture of acceptance & respect for the individual,2022-03-31,4.0,Associate,"- flexible hybrid schedule
- amazing health and retirement benefits
- friendly culture","- old company a little behind the times technologically
- slow moving, and beuracratic due to large size"
9,Capital Group,Great Culture,2022-03-25,4.0,Analyst,Friendly environment and great benefits,They lack having an efficient training process. It's a bit unstructured and rushed.
10,Capital Group,Excellent company,2022-03-09,5.0,Senior Manager,Benefits are outstanding. Culture is caring and inclusive. Bonuses!,None - I enjoy everything about the work.
11,Capital Group,Lot of lifers,2022-03-23,3.0,Anonymous Employee,"Eh its in California, so that’s good","Lot of incompetent staff, so not great"
12,Capital Group,Good company but no career progression,2022-03-05,5.0,Tech Lead/Solution Architecture,"Great work-life balance
Pays well (top quartile)
Leadership does what they say",No or little career progression
13,Capital Group,The Capital Group Cares,2022-03-01,5.0,Senior Software Development Manager,Very fair to associates.  Good Salary.  Great Retirement. Great Benefits,"Chance for Advancement outside of mainstream limited.  i.e. developer->manager->senior manager, etc."
14,Capital Group,Job,2022-03-15,4.0,Associate,Good pay not much more,Hours and sometimes incl weekends
15,Capital Group,Great Company,2022-02-28,5.0,Solutions Engineer,"Great culture , values and benefits",Slow career progression and opportunities
16,Capital Group,Great culture,2022-03-11,4.0,Client Analytics Specialist,It has a great culture. Working with people is easy. Work-Life balance is amazing. Benefits are really good.,Work might get too easy. You might not be challenged enough to learn on continuous basis.
17,Capital Group,Culture,2022-02-19,5.0,Client Service Representative,Benefits and employee appreciation. Good culture diversity and inclusive.,"A lot of overtime, micro management sometimes"
18,Capital Group,excellent atmosphere,2022-02-19,5.0,Independent,"team environment, good pay, supportive",nothing that I can think of
19,Capital Group,An employer who values their employees,2022-02-16,5.0,Operation Manager,Superior benefits and pay; development opportunities,High competition for role openings
20,Capital Group,Great benefits,2022-02-16,5.0,Implementation,Flexible schedule and awesome managers,Not much growth potential unless you want to be a manager
21,Capital Group,"Great company,",2022-03-02,4.0,Customer Service Representative,"Pays well, great benefits, very understanding.","A lot of over time required, which is ok for some times but not months on ends,"
22,Capital Group,Overview,2022-02-26,3.0,Senior Consultant,A high minded and idealistic firm,The firm is sometimes challenged for funding
