,company,headline,date,overall_rating,author_position,pros,cons
0,Curriculum Associates,4 months in and very happy I made the decision to join CA!,2022-03-15,5.0,Anonymous Employee,"- actual (!!!) work-life balance
- great culture
- good benefits
- competitive pay
- engaged and enthusiastic team
- company is growing!!","- company has grown rapidly, so there are some pains associated with that growth; but the management team is working hard to scale the operations"
1,Curriculum Associates,"Great People, Great Company",2022-04-02,5.0,Anonymous Employee,"Great people to work with. 
Great benefits 
Promotes work life balance","Some micro-aggressions for black and POC. 
There is no specific standard to be promoted in the company. 
There is an ""in-crowd"" who seems to get promoted a lot.
Needs more diversity in panels and leaders at the top."
2,Curriculum Associates,Healthy Work Environment,2022-04-01,5.0,Senior Graphic Designer,"I was lucky to land a position at CA after being laid off of a place I worked for 25 years in October, 2020. Immediately I was welcomed by my team mates and felt right at home. This is a healthy work environment, where I feel safe, and my voice is always heard. Cross-functional groups work well together. I did not realize what kind of day-today weird stress I was under in my previous job that I got accustomed to until I came to CA and noticed it was all gone. There's also a sense of job security which is huge. Benefits are great. In addition, they are very flexible in accommodating work/family balance. I look forward to a nice, long career at CA.","The company is growing, so we come up with growth pain once in a while. But these issues get resolved by working with supportive collaborative team members."
3,Curriculum Associates,This Company will change your life,2022-03-31,5.0,Associate Account Manager,"Remote work
Unlimited vacation
Personalized training plan
Continual support
CEO is phenomenal
Product we create is worth believing in",I have not found a single con yet.
4,Curriculum Associates,Great support,2022-03-30,5.0,Educational Consultant,Supportive environment and great travel benefits,"Inconsistent schedules for part time, but you have the ability to make it what works for you"
5,Curriculum Associates,Great company!,2022-03-30,5.0,Associate Account Manager,"Caring leadership with strong outlook for future performance. 

lots of growth in business and career advancement","company has grown a lot during the pandemic, so I feel more distant to the company and other departments recently"
6,Curriculum Associates,"Fantastic employees, inspiring mission, and amazing benefits",2022-03-30,5.0,Senior Administrative Assistant,"The staff is highly-motivated and dedicated to making a difference in the world of education. They are supportive, friendly, and hard-working individuals. The company offers amazing benefits that encourage a healthy work-life balance. They provide the tools needed to accomplish your goals and there’s tons of room for growth. They value talent and support personal growth at every turn. I couldn’t ask for a better place to work.",I can’t think of a single con.
7,Curriculum Associates,Amazing Company,2022-03-25,5.0,Associate Account Manager,"Collaborative 
Generous 
Working towards equity both within the company and within our products",HR cannot keep with our growth. The vast amount of positions open is only because the company has expanded so much within a short time span.
8,Curriculum Associates,Outstanding company!,2022-03-16,5.0,Senior Interactive Designer,"CA is the best company I've worked for. The team is supportive and collaborative, the company takes great care of the employees and, above all, the mission to create products that help children learn is incredibly positive.",I don't have any negative comments to make about my experience at CA.
9,Curriculum Associates,recently celebrated 18 year anniversary,2022-03-15,5.0,Proofreader,"Leadership with vision
Products that help students and teachers",Can't say enough good things
10,Curriculum Associates,Brilliant people,2022-03-10,5.0,Program Manager,"Great place to grow, smart, committed people, unlimited PTO, excellent benefits, mission-driven organization, best organization I’ve worked at.",Meeting-heavy and back-to-back scheduled work weeks
11,Curriculum Associates,I can't say enough positive things about Curriculum Associates,2022-03-09,5.0,Anonymous Employee,"Curriculum Associates is on a a mission to improve education with products that actually make a difference for kids. The company is led by a great CEO who is more concerned with improving education than the bottom line. Curriculum Associates has done an amazing job of hiring super smart, talented people who are grounded and pleasant to work with. I have been working in corporate America and had given up on finding a non-dysfunctional employer and a job that I would love, until I started working at Curriculum Associates.",The only con is that the company's missions of improving education for kids is so challenging.
12,Curriculum Associates,Great Place to Work,2022-03-22,4.0,Sales Operations Analyst,"Great benefits, flexible schedules, good culture","No clear path for advancement, especially for entry level positions."
13,Curriculum Associates,Great team; company growing without clear opportunities for advancement,2022-03-17,4.0,Professional Development Specialist,"Great team, internal professional development and opportunity to travel",A lot of travel for someone who does not live near a major city
14,Curriculum Associates,A good place to work,2022-02-27,5.0,Anonymous Employee,"Smart and caring colleagues, leadership seems to really care about employee well-being, meaningful and impactful mission, flexible work locations, good benefits","CA is growing quickly and there have been some growing pains. Seems like new hires are taking longer to get up to speed, not sure if that's an onboarding issue or something else."
15,Curriculum Associates,Great Company that empowers Educators,2022-02-07,5.0,Account Manager,"Great support, team and benefits.",Company is growing very fast.
16,Curriculum Associates,Amazing Work Culture,2022-02-01,5.0,Educational Consultant,Everyone is such a good person.,"I hate that they use PC computers and Microsoft Outlook, but that's just a preference."
