,company,headline,date,overall_rating,author_position,pros,cons
0,Hilti North America,Great company,2022-03-29,5.0,Credit Analyst I,"Lots of autonomy in your position, and growth opportunities",Hr policies are restrictive and need to be reviewed. Required to join committees that are not job related
1,Hilti North America,Great Culture!,2022-03-25,5.0,Anonymous Employee,"Work culture, work-life balance, and interesting goods.","Pay, organization, processes, and models"
2,Hilti North America,Great Company,2022-03-28,5.0,Inside Sales Representative,"Management, Compensation, Benefits, Work life Balance, Coworkers, Longevity, Promotions",Relocation is almost expected to become successful in the company.
3,Hilti North America,Great Place to Work!,2022-03-16,5.0,Anonymous Employee,"Great culture, competitive benefits, great development opportunities",Total compensation can be low in high cost of living areas
4,Hilti North America,Good company,2022-04-03,4.0,Account Manager,"Benefits, work/life balance, good products to sell",Constant changing of how sales bonuses work.
5,Hilti North America,Career opps,2022-03-30,4.0,Anonymous Employee,"Good career development opportunities if you rise to the top of your team, able to tell the story of how got to the top, and willing to move. 
Great products, great people, strong culture","Company grew fast by encouraging entrepreneurs. Once became large became too process oriented. The dream of working hard , excelling, and being promoted runs its course."
6,Hilti North America,Horrible pay,2022-04-02,3.0,Account Manager,Great benefits and company culture,"Low salary, unrealistic goals and targets - 2022"
7,Hilti North America,Impressive Company that Prioritizes its Own,2022-03-18,5.0,Store Representative,"Hilti is solid company carving its own niche in the power tool industry. I've heard it called the Mercedes and Apple of power tools but the company culture is probably even better than its tools. Hilti is a stable, privately owned company that promotes from within 9 times out of 10. Rock solid benefits that include tuition reimbursement and student loan repayment options. It's definitely a company you can retire from.",Sometimes positions stay open too long which can cause work to distribute unevenly among employees. Pay can be lower than adjacent industries and companies.
8,Hilti North America,Great pay and benefits,2022-03-17,5.0,Account Manager,great pay and benefits and culture,A lot of movement within the company
9,Hilti North America,Strong culture!,2022-03-17,5.0,Associate Director,Hilti has a strong cooperative culture and promotes from within. It is willing to support team members that stretch into different areas or departments.,So many processes to navigate . . . .
10,Hilti North America,A lot of room to learn and grow in the Construction Industry,2022-03-16,5.0,Account Manager,Good work / life balance,The role is heavily field based
11,Hilti North America,"Horrible salary, ok company, great people.",2022-03-30,2.0,Account Manager,"awesome coworkers and benefits, easy to promote.","horrible salary, especially in the North East. Unrealistic targets - 2022"
12,Hilti North America,Good job/work but…..,2022-03-30,3.0,Service Technician,Great coworkers. Learned a skill doing tool repair. The schedule was nice and pay was pretty good.,"The service center manager was overbearing and micromanaged. She talked down to you. You basically couldn’t do anything without her permission. 
You were constantly there after the scheduled 4pm end time and asked to not log the OT."
13,Hilti North America,"Great place to work for, but depends of your department",2022-03-30,3.0,Financial Controller,Great rewards system to incentives employees,"A lot of performance , development , target reviews with in a year."
14,Hilti North America,Strong Vision but Values Process over Performance,2022-03-20,3.0,Account Manager,"Solid Benefits Package
Great Team Atmosphere
Financially Stable 
Respected Brand Regonization","Too Tech/Process Driven and Ignoring their Core Competencies of being Customer Centric and allowing their field team members the ability to manage their business as if it was their own. 
Lack of trust in their employees to deliver on the lofty goals that are set by those that do not have a direct impact on the results.
Obsessed with Data and managing only by the numbers....Humans still make the Hilti Difference!"
15,Hilti North America,Company that cares,2022-03-09,5.0,Account Negotiator,"great company and culture, benefits, and opportunities to grow",a lot to turnover via promotions
16,Hilti North America,Incredible culture. Moderate pay,2022-03-07,5.0,Account Manager,"Incredible culture
Great leadership 
Great benefits 
Strong focus on development
Innovative","Tool sales can seem archaic in nature 
Pay is good if performing well, but not incredibly high"
17,Hilti North America,New employee curious about the  experiences at different employers,2022-03-25,2.0,Financial Controller,"Reputation, good coworkers, level of responsibility","Lack of guidance, low pay"
18,Hilti North America,What a disappointment,2022-03-22,2.0,Senior Account Manager,"Teammates are helpful
Company vehicle
Product/brand
Manager makes a difference at times
Vacation time","Becoming tech and data driven
Spend more time on computer than infront of customers
Hilti matrix can be difficult to achieve due to so many pieces even if you hit your forecast
No yearly catch up
Give the company all you time and they take all the money."
19,Hilti North America,"Poor Manager, Good Company",2022-03-22,3.0,Repair Technician,"Working with good, fun people","Manager needs better training on professionalism and unconscious Bias
Anti American comments
Doesn’t understand what techs go through on the bench"
20,Hilti North America,Good company,2022-03-03,5.0,Support Technician,Good company great benefits good time off,No cons really overall great company to work for
21,Hilti North America,Great company,2022-03-15,4.0,Anonymous Employee,"Hilti is a fantastic company. Really enjoy the culture, people and the work is worthwhile.",Management should be more diverse.
22,Hilti North America,Good place to start a career,2022-02-22,5.0,Account Manager,"Great culture
Friendly 
Flexibility 
Ability to move through departments",Salesforce is not used properly. Concerned with quantity not quality.
23,Hilti North America,Great Benefits,2022-03-08,4.0,Recruiter,Benefits are great and compensation is average,They let the field sales side of the company bleed into the corporate functions a little too much
24,Hilti North America,Great company to work for,2022-02-20,5.0,Structural Engineer II,"-Great culture
- Employees are treated as family members,
- They take care of their each employee",- So far did not find the cons
25,Hilti North America,Culture which you can feel every day,2022-02-19,5.0,Pricing Operations Manager,"Carying company, people do what they say, everybody is respected, many possibilities for developement",More women in mangement positions needed & especially on EB level.
26,Hilti North America,Great place to work!,2022-02-28,4.0,Anonymous Employee,The people at this company are fantastic to work with. The company tries to develop their people personally and professionally and has a wonderful CEO.,The pay isn’t great for employees that have started and stayed with the company. Being an outside hire is the way to go.
27,Hilti North America,Love Hilti,2022-02-15,5.0,Account Manager,"Great culture, benefits and work life balance.",I love working for Hilti.
28,Hilti North America,Great place to work,2022-02-11,5.0,Senior Engineer,"people centric, great culture, innovative, international",not as agile and fast in implementing new ideas
29,Hilti North America,Good Company bad manager,2022-02-25,4.0,Repair Technician,Good people to work with,Asked to stay after hours for business but not allowed to put overtime
30,Hilti North America,Hilti,2022-02-03,5.0,Marketing Specialist,"Culture, Work/Life balance, Innovation, Integrity, Reputation",Employees are left out of company strategy.
31,Hilti North America,Not the same company,2022-02-21,2.0,Account Manager,"Great training, nice but small product line. Excellent chemicals and anchors.",Culture has changed in a fashion that is not conducive to growth. Many unhappy have been leaving due to issues with comp plan changes amongst others.
32,Hilti North America,"Used to be fun to work here, no more.",2022-03-12,1.0,Account Manager,"such a big turn over of field employees, you always get to meet new people all the time!","unrealistic targets, compensation sucks big time, time to leave like all the folks leaving every day. promotions criteria a sad, sad joke."
33,Hilti North America,Great Company,2022-02-13,4.0,Inside Sales Representative,Executive Team cares about their employees and goes out of their way to ensure health and safety. Good benefits and culture. Cutting-edge technology in the construction industry with very reputable brand name.,Work can be extremely fast-paced with high burnout. Learning curve is steep and institutional knowledge takes a long time to build. Some typical red-tape that comes with working for any large corporation. Slow to adopt full-remote options. Extremely difficult to promote if you don't spend 2+ years as a field rep in a very expensive city with a large construction market.
34,Hilti North America,Solid Company,2022-02-08,4.0,Account Manager,Great company to develop sales experience. Great benefits.,"Salary should be increased, especially depending on your location."
35,Hilti North America,Misleading,2022-02-05,3.0,Account Manager,"Great benefits, great coworkers, industry-leading","Business structure is poor, misleading job qualifications, hiring practices questionable, talent acquisition poor, low pay"
36,Hilti North America,Great Community,2022-02-07,4.0,Account Manager,"The culture is fantastic and you'll always have some one to lean on and talk to. There is a lot of opportunity for development, with patience.",They implement too many changes every year while failing to understand the day-to-day systems are entirely outdated and continue to makes AMs jobs more difficult.
37,Hilti North America,Great job,2022-01-27,5.0,Anonymous Employee,"Truly care about the people, workers and customers
Willing to help you improve and follow the career path you want","Success can take time
Sometimes communication could be better"
38,Hilti North America,Good Intentions Always,2022-01-19,5.0,Sales,"Work life balance 
Responsible manufacturer of products
Lots of support teams for clients and employees
Trying to become digital 
Trying to diversify the workforce 
Sherpas/Team Camps
Pay getting better but not fully there yet 
Seem to care about their people genuinely","Management needs better training on professionalism and unconscious bias 
People are usually promoted based on years in the field not actual results 
HRBP’s aren’t actually qualified to be HRBP’s
Limited resources to do all facets of the job independently"
39,Hilti North America,Great place to work,2022-01-20,5.0,Anonymous Employee,work life balance is really good here.,It can be very stressful sometimes during sales events.
40,Hilti North America,Great culture,2022-01-31,4.0,Account Manager III,"Great culture 
Hires diversity
Great product",Construction market/projects are not consistent and can effect sales plan greatly
41,Hilti North America,Overall a good place to work,2022-01-27,4.0,Accounting Specialist II,"Lots of paid time off, good benefits, relaxed but hard working culture","Pay is below average, can be difficult to move up unless you are in the right position"
42,Hilti North America,Great Balance of Making a difference and building a career,2022-01-13,5.0,Marketing Manager,"Culture and the vision
Co-workers are amazing
Matrix structure & autonomy
Diverse global exposure and talent","Decision making
Agility to change direction"
