,company,headline,date,overall_rating,author_position,pros,cons
0,Milwaukee Tool,Infectious culture encourages me continue to learn in my role,2022-03-28,5.0,Senior Accountant,"- Motivating and infectious culture
- Continued growth opportunities
- One team mentality, the collaboration that occurs cross-functionally creates wonderful learning opportunities","Being involved with such a fast-paced company and considering the growth trajectory we are on at times it can be overwhelming. Things are always changing for the better, and leadership continues to value the opinions of its employees."
1,Milwaukee Tool,Great Company to work for,2022-03-30,5.0,Mechanical Design Engineer,"-Alot of responsibily for new grads
-Trust in employees
-Great Culture",-Fast paced environment can take a little to get used too
2,Milwaukee Tool,Limitless Company,2022-03-04,5.0,Anonymous Employee,"Milwaukee Tool is truly an incredible company. It was obvious to me on day one why the company has seen tremendous growth -- a never settle mentality, profound investment in not just products and technology, but its employees and facilities, and the the value it puts on its team members. There is a clear hierarchy and ample training, which helped me hit the ground running. In my last role, I was under a tremendous amount of pressure to hit the bottom line and went to bed most nights worried about my future, but here I am energized and can focus on doing the best I can and then finding ways to do even better. The communications from the executive team make me feel secure in that the company understands why other businesses have failed and how we can avoid each of those pitfalls and continue our incredible growth.

My pay upon hire was a healthy percentage above market and I have enjoyed perks such as stunning facilities, subsidized lunches, product discounts, schedule flexibility, casual work dress, and travel opportunities.","The company's rapid growth has stressed the availability of office space/parking and resulted in office sharing and moving, but I have been impressed by the company's willingness to invest in new space quickly."
3,Milwaukee Tool,Great Place to work,2022-02-21,5.0,IT Associate Analyst,"Pay, Scheduling, Team work, Benefits, and Fast Pace","Orientation is a little wonky. You learn a lot about items that do not pertain to the field that you will be involved in. So it should be more focused for your job specific role. 
401(k) - There should also be stock options. This would encourage those that are looking for a long term career at Milwaukee Tool to push themselves in their fields to see the Company succeed. While 401(k) is good, the stock option would be better and encourage the culture that Milwaukee is known for. Maybe do 1 year on job Salary Employees can purchase stock. For Hourly maybe 3 years on the job and then you can buy stock. Let the Employees become invested in the success driven environment, which will make Milwaukee Tool the set standard for the industry."
4,Milwaukee Tool,MET Review,2022-03-29,5.0,Senior BI Developer,"Great benefits, good pay, great work life balance.",Managers are all technical people that got promoted. They are doers not people managers and in that regard they worry about accomplishing things instead of growing the people they manage.
5,Milwaukee Tool,Some growing pains but great opportunities,2022-03-21,5.0,Design Engineer,"Great culture (not overly formal or bureaucratic) and passionate people
Lots of opportunities for leadership even at early stages of career
Company has many resources at its disposal and isn’t afraid to invest in development",Company is growing so fast that some of the new groups and processes are having growing pains as they get set up
6,Milwaukee Tool,Recently started,2022-02-17,5.0,Firmware Engineer,"It's a very friendly work environment where everyone is willing to help and answer any questions. It has a very motivating culture that encourages you to take control of your work and seek out ways to improve your approach and yourself. Almost everybody at the company is accessible and you are encouraged to build relationships with coworkers and managers, both in your department and outside of it.","The company moves fast and people's schedules can very easily fill up. There is a very strong culture here that may make you feel like an outsider if you are not motivated and interested with your work. In this way, I'd say working here is probably not for everyone so keep that in mind and get a solid idea of the culture when looking into job opportunities here."
7,Milwaukee Tool,"Best-in-class onboarding, endless opportunity, incredible culture!",2022-02-09,5.0,Director,"The on-boarding process at Milwaukee Tool was exceptional. I had everything I needed to hit the ground running the moment I walked in the door. The organization is so focused and mission driven you can't help but want to pitch in and make great things happen. It's a massive breath of fresh air to come into work motivated and empowered to make a difference for a company that produces tools for the life blood of the nation - trades. If you're looking for a place with talent, passion and opportunity, Milwaukee Tool delivers. The One Team mentality works because we're bonded through a shared commitment to making the best products/experiences for customers - it transcends barriers to collaboration you may have seen at other companies.","So far there are no real cons. The company is growing fast which comes with its own challenges, but these are fun challenges to help solve."
8,Milwaukee Tool,Very Progressive Company,2022-03-28,5.0,Set-up Technician/Technologist,"I have been loving my time at Milwaukee Tool, they provide me with the resources to excel and advance my career. The environment is fun and most issues internally are dealt with swiftly.",There is not a very good system to expect and check accountability for one's responsibilities.
9,Milwaukee Tool,Great Culture and Environment,2022-03-28,5.0,Electrical Engineer,Coworkers are very easy to work with/talk to/always answer questions. Culture is also fantastic; company leaders are sure to disperse and cultivate the right culture among coworkers.,No cons to speak of
