,company,headline,date,overall_rating,author_position,pros,cons
0,NASA Jet Propulsion Laboratory,Good place to work,2022-03-30,5.0,Postdoctoral Research Associate,"- Great work life balance which can vary depending on the team
- Good to have this name on your CV
-","- Too much bureaucracy
- Almost no growth 
- Less compensation"
1,NASA Jet Propulsion Laboratory,"Great projects and interesting work, poor environment",2022-03-30,3.0,Software Engineer IV,"Really interesting work and projects.
Job stability - once you pass your probation period of 6 months, they can't get rid of you (can be a good or bad thing).","They tend to slice you thin across multiple projects. People can end up working on 4-6 projects at the same time. Talking about being efficient and switching gears...

Lots of micro environments under the same roof. Your happiness and success in this place depends entirely on the team you land in. There are many unhealthy environments, so ask to talk to all team members before joining the team just to get an idea of what the culture is.

Job stability, where after 6 months of probation they can't get rid of you, can be very detrimental to the team. The team can end up with very poor ""specialists"" that are stuck in the group with very little contribution and very little value to add to the project."
2,NASA Jet Propulsion Laboratory,Lots of opportunity to be involved w/ work that aligns with your career interests,2022-03-16,5.0,Flight Software Engineer,"Strong leadership, team ethic, supportive culture, broad scope of work, interesting projects",Culture of wearing many hats to get things done so it takes a lot more effort on your part if you're looking to specialize
3,NASA Jet Propulsion Laboratory,Be Very Aware,2022-02-04,1.0,Program Coordinator,Working with robotic missions to other planets is exciting,"Micro-management, 1950's style system. ""At your desk"" = ""being productive""
Multiple layers of management, many of whom have contradictory policies for their employees leaves you caught between 2 people above you.
Too much red tape. At the time I left, I had 7 managers. Yes. 7.
Health Insurance is a joke - super expensive except for the cheap HMO and if you've tried finding a doctor in LA that takes new HMO patents, you realize you are getting nothing for your employee contributions.
Zero rasies, minimal raises, given with a smile by your manager who will happily tell you how lucky you are to have this job.
Condescending, harassing culture that is aided by HR. They tell you to report harrassment to HR. Then HR turns around and rats you out to your manager.
Promotions are based solely on whether or not you are personal friends with your manager.
They tout diversity and inclusion but it's just window dressing.
Most of my colleagues were taking anti-depressants and anti-anxiety drugs.
Truly an awful work environment.
Salaries cannot keep pace with private industry and since JPL is in Pasadena where a starter home is over $1M, it's not sustainable to work there."
4,NASA Jet Propulsion Laboratory,Great Work/Life Balance,2022-03-09,5.0,Lead Ux Designer,"Depending on the organization you are in, the experience you have and the type of role you have it is a great work balance and many exciting opportunities for projects.",Not equitable across the workforce to the expectations of specific job roles and career levels.
5,NASA Jet Propulsion Laboratory,Great company to get experience at,2022-03-15,5.0,Spacecraft Mechanical Engineering Co-Op,"Fun and interesting work, beautiful location, efficient transportation options","California is a little pricey, typical company politics, harder to work if you're a foreign national, significant lack of diversity in spacecraft mechanical engineering department"
6,NASA Jet Propulsion Laboratory,NASA Jet Propulsion Laboratory,2022-03-10,5.0,Aerospace Engineer,"amazing people there, everyone is friendly and it is entertaining knowing you are building something that will go to space and that it will advance humans' knowledge about our universe.",I can't really think of any
7,NASA Jet Propulsion Laboratory,Engineer,2022-03-27,4.0,Engineer,The work is unique and inspiring. The people are intelligent and hard-working.,Office politics and the occasional bad employee can be just as bad as any other employer.
8,NASA Jet Propulsion Laboratory,Being  remembered for your involvement in the progress of the business,2022-01-22,5.0,Director,Working with the world's best scientists and researchers. The first step toward a new technology in the discovery of technology for the futures researchers developed intelligence 😀,"Top secret is nothing to distribute for any doubt, that's just what will make or break your mind and your life 😉"
9,NASA Jet Propulsion Laboratory,Great,2022-03-09,5.0,Systems Engineer,"Excellent work environment, stimulating work.","Pasadena is expensive, so is the rest of LA"
10,NASA Jet Propulsion Laboratory,Science Fiction made real today.,2022-01-13,5.0,Systems Integration and Test Engineer Senior,"Work on spacecraft that have been to all planets in our solar system.
Work on unique awe inspiring spacecraft such as the Mars Helicopter and so many others.
Work in a wide variety of challenging engineering disciplines.
Work with the best and the brightest people on earth.
Go to a job that seems like a dream and accomplish things that are historic.
Work on wonders that help humanities understanding of the cosmos.
Etcetera, etcetera, etcetera, etcetera, etcetera, etcetera,",This type of job can make you get carried away with work and neglect work/life balance so be careful.
