,company,headline,date,overall_rating,author_position,pros,cons
0,Royal Caribbean Group,Great!,2022-03-31,5.0,Anonymous Employee,"Flexible, friendly, full-time, fun and great work environment","Working for the man, man"
1,Royal Caribbean Group,Better to be a cruise guest than an employee!,2022-03-25,3.0,Team Lead,Cruising. People take pride in the industry and our brands. Town Halls regularly from leadership. Extra CEO gifted days off.,"No full-time work from home policies. There is a big disconnect between leadership and employees and survey results are not shared. Not enough spend on IT, dated systems & applications and lack of formal standardized processes. Takes too long to get anything done! WLB is bad due to resource constraints across IT. High turnover. Great employees leave after 1-2 years, mediocre ones stay which impact moral. Vacation days lacking behind, 10 days for someone with 10+ years experience!"
2,Royal Caribbean Group,Great place and salary,2022-03-29,5.0,Anonymous Employee,"Living where you work, good salary, nice ship and ports, great team",work has a lot of breaks during the day and can be exhausting
3,Royal Caribbean Group,Amazing,2022-03-21,5.0,Steward,Best company and good environment,Best compamy to promote and look for their needs
4,Royal Caribbean Group,If you work you get rewarded,2022-03-21,5.0,Director,Awesome company for seeing hard workers,Hard to switch off as it’s a 24/7 operation
5,Royal Caribbean Group,Broadcast Technician  salary,2022-03-21,5.0,Broadcast Technician,Great balance between personal and work time.,Must always be active and ready to do something new.
6,Royal Caribbean Group,The best job onboard,2022-03-09,5.0,Digital Content Specialist,"Super flexible schedule. Very independent type job. Improvement chances, lots of learning and acquiring new skills. Great pay",Contracts can be too long sometimes
7,Royal Caribbean Group,Great place to work,2022-04-01,4.0,"Lead, Multimedia Design and Development","Free Cruises, Cool Industry, Lots of things going on all the time.",They are only doing work from home Fridays.
8,Royal Caribbean Group,Treated Like A Number,2022-03-14,2.0,Sales Associate,"Love the people I was able to meet. Some of the benefits were nice, like ship tours when in training and a free cruise for you and your family upon reaching a year of employment.","In sales.. you were just treated like a number. 
Schedule required for weekends and holidays. 
Strict number goals that were almost impossible to obtain when you were also responsible for servicing existing reservations. 
Micro-Managing phone logs and statuses. Breaks and Bathroom breaks were closely monitored."
9,Royal Caribbean Group,Great Company,2022-03-09,5.0,Human Resources,"Exciting environment, great perks, lots of potential to grow",Location makes it difficult due to traffic and an unwillingness to allow work from home
10,Royal Caribbean Group,Best opportunity,2022-03-03,5.0,Waiter,Best opportunity in my life we grow talent and learning more and my financial condition is good and travelling in others countries,We meet other people he spoke other language this is the best challenge
11,Royal Caribbean Group,You will compromise everything that is important. Avoid.,2022-03-07,1.0,Anonymous Employee,Occasionally you will get free cruises. You get 1 after your first year and if the company is launching new ships then you get a preview,"There is absolutely no respect for work-life balance. There were many times where my team could not deliver on a last minute request but was forced to anyways. You will be paid below market levels for the Miami region. There is no opportunity for remote work. The promotion process is unfair and disrespectful. The company puts all of its focus on the guest and end product, not the employees. The list goes on. Avoid."
12,Royal Caribbean Group,Great company!,2022-02-16,5.0,Marketing Professional,"Excellent growth opportunities and hands-on experience. The work is exciting, there are great cruising benefits, and you feel a true sense of pride working here. The company has done such a great job staying resilient through difficult times.",Working outside of normal hours may be necessary.
13,Royal Caribbean Group,Shipboard IT - Used to be great,2022-03-12,3.0,ShipBoard IT,"Travel the world while at work, and then have great vacations","Way too much work/pressure and stress. COVID blocked shore-leave for over two years. Less and less expense for the crew, cheaper and worse food and activities and benefits."
14,Royal Caribbean Group,"No cruise, no work",2022-02-23,5.0,Reception,Solid stable position for the last 20 years,Covid ruined the hospitality business.
