,company,headline,date,overall_rating,author_position,pros,cons
0,SAP,Great company with great opportunities!,2021-10-19,5.0,Customer Success Manager (CSM),Large organization with lots of great opportunities to learn and develop if you want to. Remote opportunities and flexible work arrangements.,Remote work can be difficult without an office for some teams. Change doesn't happen quickly as any large organization.
1,SAP,Great company,2022-04-01,5.0,Engagement Architect,"Great culture , openness, good diversity globally",Difficult to move up. Very strong cliques in leadership roles. Gotta know someone to move.
2,SAP,Happy with Company,2021-12-30,5.0,Senior Support Engineer,Collaboration is encouraged; No bad ideas; Work life balance and self care promoted,Frequent leadership changes which result in org changes; roles/responsibilities are not always clear
3,SAP,Great Company to grow with,2022-04-01,5.0,Business Support Associate,"Supportive Environment
Great Pay
Clear Growth Path 
Multiple Opportunities to Develop","Though development opportunities are present, networking is important."
4,SAP,Honest review,2022-04-01,5.0,SAP Internal Strategic Consulting Expert,"Good work/life balance
People generally enjoy working together
Interesting work","Need more cross org interactions, beyond work meetings, to bridge company's scale"
5,SAP,Great place to work,2022-03-30,5.0,Account Executive,"Great people, great support, good education opportunities, room for promotions",Collaboration can be tricky due to global
6,SAP,Great Company,2022-03-31,5.0,Manager,Progressive inclusive company with great core values,areas of management stricken with corporate nepotism / this is familiarity bias at work
7,SAP,Positivo,2022-03-31,5.0,Anonymous Employee,"Great company, benefits, structure, colleagues","Nothing, a good company for the region"
8,SAP,Great company to work for,2022-03-29,5.0,Learning Business Partner,"great culture
good to employees
flexible working arrangement",do not have any cons
9,SAP,Good company,2022-03-29,5.0,Business Process Associate Consultant,"Fantastic company with good benefits, pay, and culture",None that I can think of honestly
10,SAP,Industry Executive Advisor,2022-03-29,5.0,Industry Advisor,"Strong leadership, flexibility, and ability to leverage industry knowledge to drive value in the sales cycle",hard to think of any
11,SAP,Great company to work for,2022-03-29,5.0,Learning Business Partner,"great culture
good to employees
flexible working arrangement",do not have any cons
12,SAP,Great work life balance,2022-03-28,5.0,Software Engineer,"incredible work life balance, understanding management.","I have no real cons about working here, they keep their employees happy."
13,SAP,NA,2022-03-24,5.0,Intern,NA NA NA NA NA,It was virtual so not as much networking opportunities were presented
14,SAP,Salary,2022-03-24,5.0,Anonymous Employee,"Great, benefits, culture,people,job , great","Management, managers, managers, manager, manager"
15,SAP,Great company to work for,2022-03-25,5.0,Customer Support Specialist,Looking to help you upskill and move forward,"Many many levels , org chart changing too often"
16,SAP,Good for Independent Employees,2022-03-23,5.0,Senior Finance Analyst,"Work/life balance, diversity & inclusion, flex work, lateral career opportunities",Can be difficult to get visibility within the organization as employees are spreadout across the world. Need to be fairly independent in driving your own career as you are not likely to have a manager locally. This can be challenging for individuals that are newer in their career.
17,SAP,"Excellent manager, great stability",2022-03-22,5.0,Project Manager,"Work from home, awesome benefits, work with a very community based team.",Pay may be a bit low compared to competitors
18,SAP,Best,2022-03-22,5.0,Change Management Consultant,Everything ; no complaints at all,Absolutely nothing to complain about
19,SAP,Best Place to Work,2022-03-23,5.0,"Senior Director, Product Management","Employee friendly, lot of opportunities, good RSU or ESPP options","Nothing really, the leadership knows what they are doing"
20,SAP,Software Developer,2022-03-22,5.0,Software Engineer,Good to work with a team.,No comments. No comments. No comments.
21,SAP,Great place to work,2022-03-18,5.0,Technical Support Engineer,People Location Management Benefits Opportunity,Old building Demanding Weekend on call
22,SAP,Great company to work for!,2022-03-10,5.0,Business Process Consultant,"SAP is an amazing company to work for. The work life balance especially post pandemic has been fantastic. The benefits (401K, Healthcare, etc.) are top notch. There has been a lot of new products in the pipeline and the technology is evolving. My consulting manager is great and our team has been getting projects constantly.",Salary is lagging behind (pay raise has been about 3%). You have to transfer internally or keep switching roles if you want a realistic pay bump on the consulting side. Getting promoted especially as consultant is pretty difficult. You have to be on the right team at the right time pretty much.
23,SAP,Great Company to Work for,2022-03-15,5.0,Campaign Lead,"SAP offers good compensation packages including base pay, bonuses, and stock. Great leadership in all areas of the business.",Some competitors do pay more
