,company,headline,date,overall_rating,author_position,pros,cons
0,Tanium,Company that Cares,2022-03-31,5.0,Technical Account Manager (TAM),"Tanium is a true family. The teamwork, cross-org collaboration, and the amount of experienced workers truly sets Tanium apart from other companies I have worked for. Tanium is known for having a mostly flat org and there is no chain of command you have to go through for approvals for the next big idea. Innovation is highly promoted and what drives new features and capabilities.",The only Con is needing more people to do the work.
1,Tanium,Better than you could expect,2022-03-28,5.0,Associate Technical Account Manager,"The culture is amazing
The pay is competitive
The leadership ACTUALLY lead and assist at all levels","The work-life balance can be hit or miss, do your best to take advantage of the unlimited PTO."
2,Tanium,Excellent company,2022-03-25,5.0,Anonymous Employee,"First rate work culture
Helpful co-workers
Intelligent management",I can't think of any outstanding negatives
3,Tanium,A fantastic company to work for,2022-03-22,5.0,Enterprise Services Engineer,the ability to work remote,None that I can think of
4,Tanium,Tanium is an  AMAZING place to be!,2022-03-16,5.0,Associate Support Technical Account Manager,I love the sense of culture at Tanium. Not only am I surrounded by super intelligent people but everyone is so willing to help out and there is no judgement. You don't have to be the smartest. It is all about collaboration and teamwork here. The benefits are outstanding.,"You have to work super hard. There is a bit of a learning curve but it is doable with all the help.
The interview process is a bit tedious but once you get past that it is well worth it!"
5,Tanium,Outstanding leadership and benefits,2022-03-18,5.0,Technical Account Manager (TAM),"Tanium leadership truly live and demonstrate corporate values and integrity, and expect the same of all employees. Management has a genuine interest in employees and customers, as well as community service. Benefits, work content and career opportunities are good.","No complaints at all. There is a huge amount to learn, but anyone with the right skills, commitment and desire to succeed will do well."
6,Tanium,Culture,2022-03-16,5.0,Anonymous Employee,"Incredible technology, great culture, fast paced, no politics, committed to partners.",Systems and processes a little dated but improving
7,Tanium,Great,2022-03-15,5.0,Anonymous Employee,Good company to work for and grow at,None come to mind at this time
8,Tanium,Great experience!,2022-03-09,5.0,Intern,Great company-lots of hands-on experience,I really enjoyed my experience. I do not have any cons.
9,Tanium,Amazing Culture,2022-03-07,5.0,Director of Strategic Accounts,The culture here is amazing. Everyone is willing to help and truly wants to see you succeed. One team one fight is real here!,None at the moment that I can think of.
10,Tanium,"One Team, One Fight",2022-03-07,5.0,Anonymous Employee,"A collaborative, headstrong team that strives to take care of its employees and ensure its customers are successful. Opportunities to grow everywhere.",I don't have a single one.
11,Tanium,"Absolutely amazing, Community is top notch. 1T1F",2022-03-04,5.0,Enterprise Service Engineer,"- An environment that not only allows for personal and professional growth but encourages and fosters it. Everyone in Tanium works to bring each other up.

- There is always someone more intelligent than you & at Tanium, it feels like everyone is. This is great because everyone teaches each other and supports each other, so you have a lot of educational faucets to drink from.

-Fully Remote (need I say more?)

- Culture is amazing

- From your colleagues/peers to the CEO, everyone at Tanium is down to earth and laid back. Tanium hires heavy hitters, so they do not need micromanagement or heavy breathing. Everyone strives for excellence and integrity. We do the right thing and do the thing right.

- Suppose you are starting to feel stagnant and have skills that could be used elsewhere in the company. Tanium is more than willing to accommodate and keep you feeling fresh. 

- Way too many to list; get in or miss out.","You'll want to spend more time working because you enjoy it. (So, is it even work at that point?)"
12,Tanium,Great company to work for. However its the people working here which makes it most valuable asset the company have,2022-03-01,5.0,Sales Development Representative (SDR),"Pay is well, Benefits great, product is awesome",Communication through the company could be better
13,Tanium,Great Workplace Great company long hiring process,2022-03-01,5.0,Associate Support Technical Account Manager,"Every single one is friendly 
Great collaboration 
a company that cares about their employees with a lot of cool events and great benefits","Self motivation is needed and this can be a con for some people
no manager is going to chase you down to do your job"
14,Tanium,Such an incredible company to work for!,2022-03-01,5.0,Sales Development Representative (SDR),"Great work life balance 

They take your opinions/needs/concerns into consideration 

Room to grow

Open door policy with everyone",It has taken a little longer than expected for growth opportunities to open up
15,Tanium,Great Position to work for in the company,2022-02-23,5.0,Enterprise Services Engineer,"-Good work life balance
-Your manager cares about you
-You learn a lot about how the Tanium platform works inside out","-You may get assigned to a very difficult client, but our role is designed to work closely with the client and ensure that we provide top tier services to their team. It's more of an opportunity than a con"
16,Tanium,Best company I have ever worked for!,2022-02-18,5.0,Enterprise Services Engineer,The company takes care of its employees. I feel I have roles to grow my career in the way that best fits my needs.,If you don’t stay on top of technology you can easily become out of date like anything in the it tech industry.
17,Tanium,A mostly fine place to work,2022-02-24,4.0,Senior Software Engineer,"* Welcoming, friendly people
* Good compensation and decent benefits
* Remote-first culture
* Technically challenging
* Engineering moves fast and pivots quickly","* Tech stack is quite dated and not very interesting
* Not Invented Here syndrome is strong
* Emphasis on quick wins over good design and long-term maintainability
* Nebulous performance review and advancement process"
18,Tanium,Love Working Here,2022-02-03,5.0,Integration Engineer,"Amazing opportunities, great benefits, and never a dull day. My coworkers are brilliant and fun and I get to work every day on solving interesting problems. What more can you ask for?","Tanium has seen some growing pains recently, which is to be expected when a company is growing as fast as they are. If you like predictability and hate re-orgs, Tanium probably isn't the place for you."
19,Tanium,Tops Fortune 500 Best Companies List Every Year,2022-02-08,5.0,Senior Manager,"Unlimited PTO
Phenomenal leadership
Best in business benefits
Incredible team dynamics",None. Any cons is from your own doing.
20,Tanium,Tanium has a great culture and phenomenal technology,2022-02-08,5.0,Enterprise Services Engineer,I really like the culture at Tanium and they have great pay/benefits. I believe that Tanium will go very very far.,The speed that Tanium creates new software and pushes out updates makes it very difficult to stay on top of the latest releases for software from Tanium. It isn't necessarily a bad thing but it certainly means you can fall behind quickly if you aren't good at managing your time.
