,company,headline,date,overall_rating,author_position,pros,cons
0,The Church of Jesus Christ of Latter-day Saints,jesus follower,2022-03-31,5.0,Sonographer,"good paying, good peopple, good working conditions","too uptight 
too many christians
wasnt my fault"
1,The Church of Jesus Christ of Latter-day Saints,Sacrificing morale and quality for the widow’s mite,2022-03-14,3.0,Software Engineer,The atmosphere was great and it was good to work with people who genuinely want to build up the organization. Insurance and retirement are hard to beat.,"- It is hard to get any sort of increase in compensation without finding a new position. I worked here for 5+ years and was only given an increase of $8000 from start to finish. I was essentially getting a pay decrease as the rate of inflation outpaced my pay raises.

- Quality of product and candidates was lacking as the church relied more on temporary and low skilled employees. Experience and quality were often sacrificed in the name of saving “the widow’s mite”

- There is a significant lack of diversity both in race and gender. There was only one female engineer in a group of around 50."
2,The Church of Jesus Christ of Latter-day Saints,Great place to grow,2022-03-29,5.0,Senior Customer Experience Manager,"Supportive, developmental environment for those willing to fully engage.  Competitive salary and benefits.",Most departments still require a tie. Some even require suite coat.
3,The Church of Jesus Christ of Latter-day Saints,Incredible and Supportive Work Environment,2022-03-28,5.0,Travel Coordinator,"- Amazing coworkers
- So much trust and autonomy
- Good pay
- Awesome to get to work with international travel",- Very busy and face paced
4,The Church of Jesus Christ of Latter-day Saints,Professional Organization,2022-03-17,5.0,Facility Manager,"Colleagues are helpful, willing to collaborate and share critical information.","With a complex organization, change can be slow, even when there are obvious things. It takes awhile to get the attention of the decision makers because they are so far up the line."
5,The Church of Jesus Christ of Latter-day Saints,I love working here,2022-03-25,5.0,"Director, Human Resources","Contribution to the cause, great people","CoVid, sometimes there are elements of bureaucracy"
6,The Church of Jesus Christ of Latter-day Saints,Amazing Employer,2022-03-04,5.0,S&I Coordinator,"Working for the church is a blessing in so many ways. You cannot beat the work environment, and they do strive to do all they can to take good care of their employees. Highly recommend it!","Separating from constant church influence can be an interesting balance. One would imagine that would be a strength, but it can be hard to hear your own thoughts in a self-actuated way vs. a socialized thought process."
7,The Church of Jesus Christ of Latter-day Saints,Wonderful Place to Work,2022-03-03,5.0,Systems Engineer,A friendly and nurturing work environment that focuses on improvement. Great work-life balance and amazing medical benefits.,"For me, personally, the largest downside is the dress code. Some locations have a business casual dress code, some positions have a uniform, but most head quarter locations are suit/shirt & tie type dress code."
8,The Church of Jesus Christ of Latter-day Saints,Feeling Good,2022-03-14,5.0,Global Support Tech Specialist,"Great environment
Treat the employees well.
Good communication with the Manager and Team Members","Were really tight on the hours.
Vacation days were on a rolling calendar"
9,The Church of Jesus Christ of Latter-day Saints,Great place to work,2022-02-12,5.0,Manager,"Very stable organization. Strong sense of unity and purpose. Interesting projects to work on. Merit raise process annually. Very good benefits (such as health care, 401k, paid leave). Great colleagues. Subsidized UTA pass. Free employee gym. Competitive salaries.","In recent years, it has becoming increasingly difficult to get promotions (across the organization). While salary and benefits are very competitive, there is not a bonus pay system for highest performers, nor are there perks like free tickets, gift after working a certain number of years, etc."
10,The Church of Jesus Christ of Latter-day Saints,Toxic Workplace- Decent Pay,2022-03-31,3.0,Contractor,"Well-known community, lots of free time",Don't be gay and work here. It's not fun- trust me.
11,The Church of Jesus Christ of Latter-day Saints,DI experience,2022-03-08,5.0,Job Coach,Very nurturing and caring environment. Flexible and family oriented if needed to take care of family business.,Rotation for the weekend day off might be great but I understand the nature of the business.
12,The Church of Jesus Christ of Latter-day Saints,Great company,2022-03-09,5.0,Senior Digital Media Producer,Great people and important work,Lots of committees and governance
13,The Church of Jesus Christ of Latter-day Saints,Work,2022-03-09,5.0,Parking Attendant,Great Pay and great benefits,Called to work unexpectedly on a Sunday
14,The Church of Jesus Christ of Latter-day Saints,Very professional and organized,2022-03-03,5.0,Anonymous Employee,Working for the church was a great experience. It was very professional and organized.,I can't think of any!
