,company,headline,date,overall_rating,author_position,pros,cons
0,lululemon,Great experience,2022-04-01,5.0,Educator,"Great community
Great benefits 
Fun work environment",Not always a lot of hours for part time
1,lululemon,"Good intentions, poor follow through from corporate",2022-03-25,4.0,Key Leader,"Fun environment, solid core values, great benefits during non-COVID times, and opportunity to grow within your store.","The company is too worried about their perception and almost paralyzed by the desire to be seen as a leader in IDEA (their DEI) that they allow employees to be harassed, discriminated against, and allow organized retail crime to put the well being of employees at risk."
2,lululemon,Amazing Company all around,2022-03-21,5.0,BOH Team Member,"1. Discount for you
2.freebie, when they launched shoes we all got a free pair before they hit the stores, water bottle for better store survey reviews.
3. bonus for all when store hits goal. 
4. After 90 days 401k matching even for part time, medical, life insurance, plus more!
5. Flexible schedule",The Discount is not for family
3,lululemon,The Most Fascinating Workplace,2022-03-09,4.0,Lululemon Educator,"- Genuine Team
- Employee Perks
- Emphasis on Personal Goals/Development
- Flexibility in Part-Time Work Hours","- Guests can be entitled and rude, educators often end up playing retail therapists 
- Level of labor doesn't always feel worth the pay (yay service jobs)
- Late-night inventory shifts can be rough on personal life"
4,lululemon,"Great Company, Great People",2022-03-31,5.0,Retail Sales Associate,"People focused, dynamic responsibilities, great product","Really nothing negative to say- perhaps pay is a little low, but that is the same with any retail work really"
5,lululemon,Such a great company to work for!,2022-03-29,5.0,Educator,"Amazing staff, company really cares about it's employees, great benefits that include a great discount and money that can be used toward work out classes each month",Having to have two days of the weekend open for availability
6,lululemon,The most incredible company.,2022-03-17,5.0,Educator,"Very strong commitment to inclusion and core values. Employees are given a lot of autonomy because lululemon places a lot of trust and belief in each team member. It is such fulfilling work and it is phenomenal for getting to know fellow coworkers, the company, and your local community of guests.","Retail hours can be brutal, especially around holidays and weekends, but that is just the nature of the industry."
7,lululemon,Amazing company!,2022-03-31,5.0,Educator,"lululemon offers many amazing resources and benefits, cares about your development","no cons of working here, amazing company and experience"
8,lululemon,Working at Lululemon,2022-03-29,5.0,Educator,Great benefits and discounts that help you for your future.,"Not always a positive environment, preach taking care of yourself and your body but when you have a problem are not as understanding."
9,lululemon,Overall great company,2022-03-22,5.0,Key Leader,Amazing company and work environment! There are many perks to working here. The company cares about you overall as a human being. They want to help you grow and succeed within lululemon or outside of the company. You will learn a lot about yourself and grow as a person if you work here.,blackout period over the holidays
10,lululemon,Good but room for improvement,2022-03-14,4.0,Educator,"Possibility for monthly bonus
Generous discount 
First pick of items 
Generally easygoing customers","Quality promise is too broad and is #1 cause of issues with customers 
Very big push for personal connections but also adding on so it feels manipulative"
11,lululemon,Employee Beware,2022-01-28,1.0,Health Educator,The discount is great comparatively to other stores in the retail industry.,"-Leadership is not supportive of the part-time workers or those workers that work on the floor the majority of the time. Saw workers often get taken advantage of to extend their shifts - sometimes to 12-14 hour days during the holidays. Most store leadership doesn't even work on the floor and leave their staff to deal with difficult guests. 

-Often employees were allowed to come to work sick during a pandemic because there was no one else available for coverage. This happened several times throughout COVID-19. 

-Company preaches that they care about the employee experience, but they do not. Store leaders are often not versed in employment laws nor do they care about employee well being. 

-Typically cut hours tremendously and staffed the store short on busy days. Leadership never covered call offs. 

-Filed several complaints against management with regional Human Resources (who lives on the other side of the country and had never visited our store in person) and was removed from the schedule consequently for speaking up as an advocate for my team members. 

-Leadership gossips about team members calling those that hold them accountable to do their job ""difficult"". 

-Customers treat you horribly - often demanding you to do things against store and company policy and leadership would just break rules rather than educate the guest on the appropriate rules."
12,lululemon,Return Specialist,2022-03-31,5.0,Return Specialist,remote work from home fully,not a ton of opportunity to make more money
13,lululemon,Loved the culture and working environment,2022-03-30,5.0,Educator,"Commission, coworkers, discounts, company cares about employees","Working holidays and weekends, early mornings and late nights"
14,lululemon,Amazing Community,2022-03-31,5.0,Anonymous Employee,The community that you feel as an educator at Lululemon is unmatched!,Very busy at all times
15,lululemon,4/5 stars for sure,2022-03-31,5.0,Educator,Great discounts and company values.,Have to be available 2/3 weekend days (Fri-Sun)
16,lululemon,Lulu,2022-03-28,5.0,Educator,"work environment is very friendly, hours are very flexible there is always something to do
great discount",slow days at work. really aren't any cons to working at Lulu
17,lululemon,so much fun,2022-03-28,5.0,Educator,"my time at Lululemon was encouraging, amazing, and grew my confidence to grow as a leader.",Pay is not competitive in larger cities
18,lululemon,I met the best people!,2022-03-21,4.0,Educator,I met some very good friends working at Lululemon part time. The pay was also better than most retail jobs and I loved that there was a big break room. I could take a nap and keep my lunch in the fridge etc.,"The con was that you have to give a good amount of availability and they aren't very flexible so I had some issues with that. Management is often times pretty bad. Specifically ASMs. They were so catty, but my SM's were always great. Other than that you wear leggings to work every day, stand around, and do lots of folding!"
19,lululemon,Great company to work for,2022-03-28,5.0,Anonymous Employee,care about their people and development,in store pay could be better
20,lululemon,Great,2022-03-28,5.0,Educator,great team environment and benefits for all employees,very demanding and can be very corporate
21,lululemon,Loved it,2022-03-28,5.0,Educator,"Culture, pay, interactions, sweaty pursuits, discount","Very few cons, maybe some subpar guest interaction"
22,lululemon,Great Environment,2022-03-28,5.0,Anonymous Employee,You can grow easily and take ownership,Some stores can be clique
23,lululemon,educator,2022-03-29,5.0,Anonymous Employee,"benefits, good environment, and friendly management",customer service can be a pain
24,lululemon,Great Company,2022-03-29,5.0,Educator,"Benefits, Work place environment, discounts",No cons for working with lululemon
25,lululemon,Great environment,2022-03-26,5.0,Educator,"Great coworkers, great perks even for part time workers (workout classes, discounts, etc)",not really many cons! Great people
26,lululemon,One of the best retail jobs!,2022-03-25,5.0,Educator,"Great team, I always feel supported, and it’s a energizing environment to work in.",Scheduling is sometimes conflicting with personal set schedule
27,lululemon,Poverty wages and like any other retail store,2022-01-27,2.0,Packer/Hemmer,"There’s a 60% discount for full time, there is great insurance for full time only (part time has the option for some kind of fake insurance that’s a waste of money), sweaty pursuits. If you’re an educator you might have some room to grow into other positions.","Poverty wages (literally an hourly rate that is defined as poverty), bullied into buying clothes that were too small, 0 career advancement for hemmers, raises don’t exist for store employees, gaslighting at every corner, and older lululemon management style especially is contradicting, cruel, and only serves the company."
28,lululemon,Great place to work,2022-03-19,5.0,Key Leader,"Really care to grow you as a person
Good opportunity if willing to move
Decent pay
Good benefits
Flexible hours","Managers really make or break wanting to work there 
Can feel stagnant if no in store mobility and cannot move
30+ is full time"
29,lululemon,Key Leader,2022-03-25,5.0,Key Leader,"Benefits, community, great company, growth opportunities, fun work environment.",It’s still retail. You have to be comfortable resolving guest issues.
30,lululemon,Educator,2022-03-26,5.0,Anonymous Employee,Coworkers and pay are great,I have no cons about this job
31,lululemon,Great experience,2022-03-25,5.0,Educator,"-Positive/fun work environment
-The company genuinely cares for their employees
-Supportive team
-Great discounts",-Difficult to move up ranks
32,lululemon,Good,2022-03-25,5.0,Anonymous Employee,The culture of the company was great.,It took a long time to develop.
33,lululemon,Love it,2022-03-23,5.0,Educator,very inclusive company that focuses on learning and growing.,Retail is a hard industry no matter where you work
34,lululemon,"a fun, part time job to have with a great discount",2022-02-15,5.0,Educator,One of my favourite things about working at Lululemon is my coworkers. We are all very like-minded and get along well. Another pro is the employee discount for the clothes. I love the products and it's nice not having to pay full price for something of such great value.,"As with any retail job, dealing with difficult customers is a given. You are also standing for many hours and folding a lot of clothes, so having back pain is not uncommon"
35,lululemon,Amazing!,2022-03-22,5.0,Health Educator,"good benefits, good people, and a fun place to work",Hard retail hours. Holiday blackout period
36,lululemon,Amazing Company,2022-03-21,5.0,Educator,"- benefits 
- company culture 
- growth opportunity",- tends to be micromanaged on a store level
37,lululemon,Fast-Pasced Fun Environment; Hard to obtain Full-Time status,2022-03-16,4.0,Educator,"Fast-faced shifts with a competent and friendly team.
Both part-time and full-time have similar pay benefits.
Internal company promotion is highly preferred","Must transition from a contract position to a part-time position before being considered for full-time. 
After obtaining part-time, it can take some time to get full-time benefits.
""Commission"" is capped and group distributed."
38,lululemon,Love this job,2022-03-21,5.0,Educator,"Great benefits, monthly workout stipends, bonuses, great people",retail space can be stressful
39,lululemon,"Great, Fun",2022-03-20,5.0,Digital Engagement,"Great team, flexible, benefits, better than store enviroment","Hard time moving up, store environment can be toxic"
40,lululemon,Good,2022-03-20,5.0,Anonymous Employee,Good pay good benefit and good clothes,Long drive long walk long talk
41,lululemon,INCREDIBLE,2022-03-16,5.0,Educator,friendly coworkers who love their job and the environment is a great place to work,none! it was wonderful and I loved it
42,lululemon,Great work place,2022-03-15,5.0,Educator,"loved working here. Work at a smaller store with a smaller team, and it is so much fun",Some store's management teams aren't great
43,lululemon,Amazing Company,2022-03-16,4.0,Retail,"Great benefits ( therapy, sweaty pursuits, small coverage for PT), inclusive environment, provide room for growth, can transfer stores, informative.","Only con I can come think of is it is overly sensitive at times. Staff can leave shift for smallest of inconveniences, no accountability for covering responsible shift or action if becomes a pattern on inability to work."
44,lululemon,Absolutely loved working here,2022-03-14,5.0,Educator,"Coworkers, community, growth opportunities, benefits.","Working holidays, physically demanding some days, tons of new products to keep up with and learn."
45,lululemon,"Nurturing, Fast Paced",2022-03-16,5.0,Educator,Cares about employees. Will take care of you.,Is quite fast paced at times and needs to learn quick.
46,lululemon,Great company that treats its employees well at all levels.,2022-03-14,5.0,Educator,"Positive company culture, employee autonomy, flexible scheduling.","Retail hours, tough guests at times."
47,lululemon,Sales Associate,2022-03-15,5.0,Student,Excellent place to work. Great benefits for even part time employees.,Depending on location managers can be very strict.
48,lululemon,Job love,2022-03-16,5.0,Lululemon Key Leader,"Great benefits, treats employees well, good discount",Retail hours can always be stressful
49,lululemon,Great company!   Awesome Culture!,2022-03-10,5.0,Talent Acquisition Specialist,Great Culture- Focused on connection first - Lots of transparency and tons of room for growth,US Benefits could be better but are still pretty good.
50,lululemon,It was good,2022-03-16,5.0,Anonymous Employee,"Great benefits, not a bad job",Long days and mean customers
51,lululemon,Good company,2022-03-17,5.0,Key Leader,Fun sometimes stressful but good,Drama was sometimes ahead of business
52,lululemon,"Amazing company, amazing environment, amazing benefits",2022-03-13,5.0,Educator,"Paid workout classes, great discount, monthly bonuses, very competitive pay, great community",Scheduling can be tough and limited
53,lululemon,Best company I have worked for,2022-03-15,5.0,Anonymous Employee,People. first. always. Health is wealth.,I honestly do not have any.
54,lululemon,"tough guests, great coworkers",2022-03-30,4.0,Educator,"good benefits, supportive environment, flexible hours",the guests can be really mean sometimes
55,lululemon,educator,2022-03-13,5.0,Educator,"great environment to work in 
great coworkers
they really care for their employees",shifts felt slow and repetitive at times
56,lululemon,Awesome company,2022-03-14,5.0,Sales Associate,Everyone was similar in mindset and attitude toward work. Never a dull moment.,Sometimes you work obscure hours.
57,lululemon,Great culture,2022-03-13,5.0,Anonymous Employee,"Lots of development, career coaching, and fun people to work with!",None that I can think of
58,lululemon,Potential for growth,2022-03-28,4.0,Educator,can be a fun environment with the right team. personal development is awarded and noticed. benefits and discounts are nice!,spend your entire paycheck on the clothes
59,lululemon,I don't get paid enough,2022-03-29,3.0,GEC Educator (Work From Home),I love this company and it's policies.,I don't get paid enough to stay.
60,lululemon,Love the company!,2022-03-07,5.0,Educator,"I adore the people I work with. 
Incredible pay, great benefits.
Lots of opportunity for growth and make more","May need to move to advance in the company
working weekends and holidays"
61,lululemon,"Fun environment, pay not reflective",2022-03-26,3.0,Retail Associate,Lots of variety of work. Coworkers are fun.,Pay is at market rate and managers have said your replaceable if you ask for a raise
62,lululemon,great,2022-03-12,5.0,Anonymous Employee,Great pay for a retail job,Was a retail job so it could be stressful
63,lululemon,Awesome environment,2022-03-10,5.0,Educator,"Flexible hours, great people, good pay",might not always get scheduled
64,lululemon,awesome company to work for,2022-03-04,5.0,Lululemon Key Leader,growth growth promoted within your personal life and within the company,"working mandatory Black Friday, black out dates surrounding the holidays"
65,lululemon,Great Place to Work,2022-03-10,5.0,Educator,Team Dynamic is great here!,Climbing ladders in the back isn't always the easiest
66,lululemon,Great company,2022-03-29,4.0,Key-Leader,They paid us through the pandemic,Not enough salary positions in the US
67,lululemon,Great Place to Work,2022-03-10,5.0,Lululemon Key Leader,"Work-Life boundaries, People Engagement, Leadership Development","Retail hours, Not much Paid Time Off"
68,lululemon,"Fast Pace, good people",2022-03-24,4.0,Educator,Good people. dog friendly workplace. 401k with 50% match. Fitness reimbursement. In-store discounts.,"Forecast-based bonuses, which at times are impossible to meet."
69,lululemon,Personal growth,2022-03-08,5.0,Owner,"Fitness benefits, Goal coaching, internal growth, lots of experience and opportunities given","Retail job, holiday hours, low pay"
70,lululemon,Consuming,2022-03-10,3.0,Lululemon Educator,"Coool company to work for, they give you money for workout classes. Need to be available to work weekends and come in for frequent staff meetings. Loved the discounts","This job is all-consuming. because ""community"" is their way of marketing, anytime you're in the community, working out, feels like work after a while. in addition - they claim to be all about ""leading others"" but it's more like leading others until sales are down."
71,lululemon,Great Place to Work,2022-02-27,5.0,Student,"Loved working here, great bonuses, great managers and co-workers, great discounts",retail can be a little much sometimes and there were some difficult customers but my mangers always helped me resolve the situations
72,lululemon,Amazing!,2022-03-09,5.0,Store Associate,Love the team and the job!,None applicable - they rock!
73,lululemon,Great place to work!,2022-03-08,5.0,Key Leader,"The Culture, growth, and communication.",Wish the pay was more.
74,lululemon,A good company,2022-03-02,5.0,Educator,"Good team 
Straight forward job 
Work with lots of different guests
Easy when you have good product knowledge",It’s really not that bad
