,company,headline,date,overall_rating,author_position,pros,cons
0,Aprio,Exceptional Management & Growth Potential,2021-09-16,5.0,Anonymous Employee,"Aprio practices strong fundamentals in regards to client service, people management, and company growth. 

Employees come first & management works towards strengthening leadership and teams even in heavy growth environment 

Pay is fair and equitable 

Top management is aware of employees and reaches out to stay connected (even in a heavy virtual environment)

Company decisions are typically based on employee input 

Incredibly intelligent and awesome team members to work with

They take the time to get employees onboarded and secure in their environment (even virtually) to ensure employees understand the whole organization",Not that I feel like this is a con but our environment is constantly changing due to the amount of growth. There won't be grass growing underneath you. It can be challenging at times but it's not because your teammates or management impose those challenges
1,Aprio,Friendly team,2022-03-28,5.0,PERC Associate,"Friendly teams, straightforward work with lots of assistance from colleagues",Can fluctuate between lots of work and not much to do
2,Aprio,Best CPA firms to work,2022-03-25,5.0,Internship,"- Great culture and people
- Flexibility to work from home
- Really good training program
- Company expanding at a fast rate (top 50 accounting firms)","- I can not say any cons. For an accounting firm, there is no better place to start or continue your career"
3,Aprio,Fantastic Place to Work,2022-03-11,5.0,Senior Account Manager,"Aprio is a fantastic organization. They have a fantastic company culture and they truly care about their employees. Higher level management does a great job with having an ""open"" door policy and they truly give you the time to listen to your potential ideas.","Truly no cons over at Aprio, or done that I have discovered"
4,Aprio,Thumbs up,2022-03-18,5.0,Tax Administrator,"Nice people, good work/life balance",Nothing out of the ordinary
5,Aprio,A growing firm that invests in associates,2022-02-01,5.0,Growth Marketer,"Flexibility - you decide the degree of in the office you would like
Learning & Development - strong onboarding, training on values, encouraged to keep developing skills, both technical and soft
Great team spirit, even with largely remote team",Nothing to report. Rapid growth means lots of change.
6,Aprio,Great Job,2022-02-21,5.0,Marketing Design Associate,"Great Job
Great Workplace Environment
Great Career Support",There's not much to say here to be honest.
7,Aprio,Professional and welcoming,2022-01-14,5.0,Assurance Manager,Everyone has been very welcoming and the firm overall is very professional. Their onboarding team is super helpful and they made the first week very fun. My team has also been welcoming and has reached out to assist me in getting up to speed.,Work equipment arrived after onboarding had begun. This was more an issue with shipping delays overall but it did add an extra challenge working through some of the trainings.
8,Aprio,Love the company so far!,2022-02-03,5.0,Anonymous Employee,The company as a whole cares about their employees but their clients as well. They have a great benefit package and a the opportunity for growth within the company.,None that I can think of right now.
9,Aprio,Great people and process,2022-01-14,5.0,Senior Consultant,"The environment exhibits respect, flexiblity, and learning - friendly people that speak straight. A welcomed change from other consulting firms.",nothing so far reported here
10,Aprio,Love the team work,2022-01-27,5.0,Director,Great team of people always willing to help out.,Covid has created alot of employee turnover
11,Aprio,Exceptional Management & Growth Potential,2021-09-16,5.0,Anonymous Employee,"Aprio practices strong fundamentals in regards to client service, people management, and company growth. 

Employees come first & management works towards strengthening leadership and teams even in heavy growth environment 

Pay is fair and equitable 

Top management is aware of employees and reaches out to stay connected (even in a heavy virtual environment)

Company decisions are typically based on employee input 

Incredibly intelligent and awesome team members to work with

They take the time to get employees onboarded and secure in their environment (even virtually) to ensure employees understand the whole organization",Not that I feel like this is a con but our environment is constantly changing due to the amount of growth. There won't be grass growing underneath you. It can be challenging at times but it's not because your teammates or management impose those challenges
12,Aprio,Great Company!,2022-01-10,5.0,Anonymous Employee,Aprio is a fast growing company with lots of opportunities for employees to grow professionally.,Work life balance can be a challenge during certain times of the year.
13,Aprio,Wonderful company,2021-12-07,5.0,Director,"Interesting work, great teammates with which to work, firm leadership that actually does real work (unlike the B4), highly flexible work environment, and high quality deliverables.",Hopefully we won't get acquired by a larger firm
14,Aprio,Great on boarding,2021-11-22,5.0,Office Administrator,Very thorough on boarding experience and made me feel very welcome. It was a lot of info at first but the trainers presented in a way not to overwhelm me,I can't think of any cons at this time
15,Aprio,"Aprio,Llp",2022-01-31,4.0,Senior Tax Associate,Great office vibe and team,Extra work during tax season
16,Aprio,"Exciting place to be, great company culture",2021-09-27,5.0,Anonymous Employee,"Aprio is a company where ""culture"" isn't just a section on the ""About"" page on the website. The company culture is practiced and celebrated from the top down, which is hard to accomplish but makes all the difference in the world. The firm is always looking towards the future, which makes it an exciting place to be more so than a traditional firm.",I wish the company offered a 401k match.
17,Aprio,Amazing firm that values employees,2021-11-03,5.0,Tax Associate,"Work life balance is amazing here, everyone respects and realizes that you have your own life outside of work. Clear career progression as well.",None that I can think of.
18,Aprio,"New to the company, but great so far",2021-10-11,5.0,Anonymous Employee,"Have only been with the company for a short time, but already see great things. Lots of employee engagement, solid company values, and a good work environment.",Not seeing any cons so thus far. Everything has been as good or better than expected.
19,Aprio,Beware of the Glassdoor Reviews; HR Pressures People From the Day They Start to Leave a Review,2021-10-15,2.0,Tax,You can be remote for the most part. They have good technology and they are building a nice new office in Atlanta.,"I joined Aprio in part based on their outstanding GD reviews; however, I quickly realized these scores are inflated. You are pressured to leave a positive review for the company and HR closely monitors GD. It is really hard to feel like your review is anonymous, so it is hard for people to be completely honest. I received links to leave reviews from HR. From the beginning, that was a huge red flag. I think HR should actively use GD as a tool, but I think it is dishonest when they directly ask people to leave reviews. They should allow reviews to come naturally and address feedback honestly. I think they are deceiving themselves into thinking everything is rosey with their strategy. Eventually, this will backfire and they will only be able to say to themselves ""well, we have great GD reviews"".

The firm wants to be something it is not (a B4). The reality is, most of their clients are actually really tiny. You would be shocked how often the PBCs I received from clients were them writing out their income and expenses on a piece of paper (nothing wrong with this, but be proud of who you are). Almost all of their growth is non-organic and through acquisition. They bragged hard to me about their double-digit growth over the past few years. However, their growth is not that their strategy is better, their product is better, or they are somehow disrupting the market. No, the vast majority of their growth is through acquisition. They are buying their new revenues. There is nothing inherently wrong with this strategy, but the way they present their success is disingenuous. When you buy a firm, a lot of times you are bringing the people in that firm on board. You are not necessarily creating ""new opportunities"". 

Finally, like a lot of companies, they are full of corporate speak. Corporate speak are things that companies say that sound good, but are actually meaningless or they don't truly believe. It is like checking a box."
20,Aprio,Okay...,2021-12-10,3.0,Auditor,Culture was fun and some management was great to work for.,"Alot of great people left. 

Feel that staff should be rewarded with increased pay or bonuses instead of pizza parties and general food."
21,Aprio,Current Job Review,2021-10-21,5.0,Director,Unlimited DTO and Open door policy,There are no downside from my experience
22,Aprio,Was a mistake,2021-12-08,2.0,Auditor,None that I can think of. Though they try.,"All you could imagine, though they try."
23,Aprio,Great place to work!,2021-09-15,5.0,Anonymous Employee,"Personality of everyone there is great 
Work / life balance fairly normal for consulting but open to remote work","Still growing as a firm and group but that's not necessarily a con, just needed to put something here"
24,Aprio,Good CPA firm to work for,2021-10-12,5.0,Senior Associate,"Good people
Remote work
Training and development",The hours can be long.
25,Aprio,Awesome!,2021-09-22,5.0,Anonymous Employee,"Great company to work for. Good work-life balance, pay, and benefits. Management really cares about your success.",No cons at the moment.
