,company,headline,date,overall_rating,author_position,pros,cons
0,Calix,A Perfect place to work  with Great People at great Company !!,2022-02-24,5.0,Test Engineer,"Continuously provide regular communication with leaders and encouraging growth both ways professionally and personally 
Also at calix many employees are with the company for such a long time which shows a deep integration. company cares what you work for.
Leader's are mentor here at calix which gives you full ability to grow respect your ideas and also work toward your career development 
Great collaborative environment which empower every employee.","calix is work from anywhere company so, definitely miss the office environment 
but with the great work life balance it compensate in all ways"
1,Calix,"Great Culture, Great People, Great Company",2022-03-29,5.0,Senior Solutions Engineer,The company really cares about it's employees and show this on a daily basis. The culture is incredible and makes each day very enjoyable and exciting.,Have nothing bad to say at all.
2,Calix,"Came for culture, but got much more",2022-03-09,5.0,Solutions Engineer,"They have worked tirelessly to make sure that employees are happy though many aspects. We have quarterly recharge days and no meeting Fridays to provide time for everyone to focus on doing their best work and being the best version of themselves. When I joined, I wasn't told exactly what to do, but encouraged to explore, learn about our offerings and focus on what excites me. There is a serious team mentality across the company. If there is a question you have or something you need, everyone pitches in, cross functionally. You really feel like everyone has your back! As for compensation, I felt like I was asking for the moon when I told them my requirements, but it was not a problem and they even offered above what I asked for. As far as technology, I received new high end equipment (huge monitors, new fast laptop, latest new cell phone and more) sent to my house, along with a spending allowance, to build out my home office how I see fit.","I'm not a fan of Apple products, but everyone who gets a company cell phone must use an Apple iPhone as it is a non-negotiable standard."
3,Calix,The best culture I've ever experienced!,2022-03-21,5.0,Customer Success Manager (CSM),"Calix really does care about its employees. Many say this, but Calix puts it into action. The 3 Pillars are put into action: 
1. Know your purpose
2. The three C’s—Collaborate, Create, and Communicate 
3. We take care of our own
#3 is my favorite! Take care of myself, my health, and my loved ones before I take care of Calix.","Onboarding was a little confusing. There is so much information available, and it is in multiple locations. A more simple list would help lessen some confusion."
4,Calix,Breath of Fresh Air,2022-03-29,5.0,Cloud Support Specialist,Excellent company to work for. Take a great deal of care to preserve the company culture and ensure that new hires align with corporate culture. This was a great career move for me. Very inclusive environment and everyone pitches in to help each other.,Don't really have any at this time.
5,Calix,Glassdoor Feedback,2022-03-23,5.0,QA Engineer,"Great team and the environment. The opportunity to apply my skills, all my experience, and learnings to contribute to the team. Great career opportunity.",I have not experienced any
6,Calix,Great Company,2022-03-18,5.0,Anonymous Employee,"Awesome culture, smart leadership with a clear objective and direction, work from anywhere.",Can’t think of cons at this time
7,Calix,Big family,2022-03-14,5.0,Software Engineer,the company is like a big family,I do not have any yet
8,Calix,Outstanding sales environment!,2022-02-13,5.0,Sales Role,"Sales is a challenging field, and Calix supports field sales people with education, technical support, and guidance to help reach goals. Great support with helping to “engage” with all levels of a customers employee hierarchy, from the c-level on down.",Aggressive quota growth year over year based on subsidy funding projections is a unique way to set goals.
9,Calix,"Excellent culture, flexible environment, work with purpose.",2022-02-06,5.0,Customer Success Manager,The culture at Calix is second to none. They genuinely care about their staff and provide an excellent compensation package as well as opportunities for advancement and continual growth.,"Most positions are remote which can be an adjustment, but Calix has invested in software and processes to keep everyone connected online which makes the days fly by."
10,Calix,Great place to work!,2022-02-13,5.0,Regional Sales Manager,Customers are very passionate about what they do and value the relationship more than anything. Working with them is fun and very fulfilling,"Implementing more and more cooperate culture and processes, you have to work hard to keep up with the changes"
11,Calix,Great Company Culture,2022-02-21,5.0,Solutions Engineer,"Well defined company strategy, product line aligned with the strategy, great team collaboration/","Not much really, onboarding process may need some polishing"
12,Calix,Calix is as TOXIC as a sales culture as they come! BEWARE,2021-11-10,1.0,Sales,Products teams are good to work with.,"1) They lie and deceive from the moment you are offered a position after a grueling interview process. You. can not trust the data and they are a toxic hot mess especially in large accounts. 

2) The culture is MICRO management from the president Michael Weening and CEO Carl Russo on down. Expect to work 80 hours a week , weekends, and constant berating from management. 

3) They have no clue how to set goals, let alone pay you. Expect that deals you sell will take 9-12 month to ship and they only pay you in arrears after shipment. 

4) To compensate they put you on a recoverable draw to which they pay 80% of plan unless you never meet the 4X inflated quota numbers. Then cut you off until you quit and then expect to recover money from you. 

5) Expect when you leave, and it is always a matter of time, (They only showcase on this website the longer tenure people) you will be part of the revolving door. I have never been apart of such a toxic environment ever! 

6) If you ever look up the dictionary definition of arrogant or pompous- Calix leadership should be the first thing that comes up!"
13,Calix,Best company I've worked for,2022-01-11,5.0,Regional Vice President Sales,"Culture. Culture. Culture. Some of the best people you'll find. Hard working, passionate and helpful. 

The opportunity that exists in working with Broadband Service Providers is also phenomenal, and only getting better by the day.

Great benefits, pay, work from anywhere, ESPP, wellness reimbursement, 401k match, and the list goes on...",Calix is a fast paced environment that is constantly changing / evolving. This type of environment can be exhilarating for many but it isn't for everyone.
14,Calix,.,2022-02-14,5.0,Order Management Specialist,"Great Company, Amazing Management and Team",Might need to work long hours but the management appreciate what you do hence if you are okay to put in extra hours when needed it is great.
15,Calix,Very happy with my decision to join the Calix team,2022-02-04,5.0,Anonymous Employee,"My team has a winning ""can do"" attitude to take care of customers and close business. Great corporate culture.",Need to cut down on internal calls - too many.
16,Calix,Amazing Company & Culture,2022-01-30,5.0,Director,"Great leadership team, innovative products, highly collaborative environment, management invests a lot time and effort in employee growth and well-being, flexible work location, company is in high-growth mode",No negatives at this point
17,Calix,Challenging and Exciting,2022-01-05,5.0,Anonymous Employee,"Challenging work environment, promising growth opportunities, culture that fosters learning and development, work from anywhere mentality, flexible hours, great benefits.","This environment is extremely fast paced. Sometimes you need to prepared to start a project in one direction only to completely change course. This is the place for someone innovative, looking for challenge - not so much someone set in their ways."
18,Calix,The RIGHT Place To Be!,2021-12-13,5.0,Workplace Services Lead,"I have worked for Calix for 10 years now (man, how time flies)! I have seen team employees come and go over the years, but with the New direction that Calix has implemented, the going has been much less frequent. I love this company!! They definitely know how to treat their employees so that a long-term employment is not only possible, but wanted!! Searching for a new place to be employed? Give Calix a go!",I have no downsides to share that even come to mind.
19,Calix,Calix a great place to work.,2022-01-03,5.0,Business Development Manager,"Great leadership, products and culture.",With the massive growth going on right now within the company makes it more difficult to get time with senior level people.
20,Calix,Beyond Expectations,2022-01-18,5.0,Solutions Engineer,"Leadership, Culture, Gratification, Roadmap Tech, Challenging, Customers, Team work, Career Advancement Opportunities.",Onboarding is very fast paced
21,Calix,Great place to work,2022-01-25,5.0,Engineer,Flexibility with your schedule and great perks,Need to hire more people
22,Calix,Outstanding Company,2022-01-12,5.0,Senior Solutions Engineer,"Great leadership at all ranks.
Freedom to work from anywhere.
Outstanding culture.
Feel like a person working here vs. simply being an employee number.",Have not found any cons to speak of as of 4 months working here.
23,Calix,Great Place to work,2022-01-04,5.0,Regional Sales Manager,"Treated with great respect. Company really takes care of you with gifts, vacation, and recharge days. Pay is pretty good also.",too many means of communication. Can get easily distracted and bombarded with all methods of communication
24,Calix,"Experiences at Calix. Very Positive""",2021-11-22,5.0,Senior Consultant,I am given the opportunity work work with some of the best minds and leaders in the industry.,"I cannot really comment on anything negative for two reasons, 1. I have not been here long enough, and 2. I consider myself to be a fairly positive person."
25,Calix,Good company with a very good culture,2021-10-15,5.0,Solutions Engineer,"The WFH culture is great and the company understands how it works, so it is not a challenge to work remotely using zoom or any other tools, The leaders are ""humans"" and the company seems to take pride in encouraging a good life/work balance.","The company is growing fast and doing a good job at bringing people in, but there is concern that they are not doing enough financially to incentivize the current employees to stay. Many people are being promoted, but there are but so many VPs & Directors you can have in a company, so increasing salary is one of the better ways to keep employees"
26,Calix,Fantastic place to work,2021-10-11,5.0,RVP,"I enjoyed the process to come onboard with Calix as I felt I was interviewing them as a company and person as much as they were interviewing me. By the time we got to the offer stage, I was very excited about the opportunity and wanted it very badly. The interesting thing is once I got inside Calix, it was even better than expected...The people, the culture, the management team, everything is the best.","I struggle to come up with any Cons against Calix other than possibly with high growth comes a bit of confusion but in the end, everyone is rowing in the same direction."
27,Calix,This team is truly special,2021-07-12,5.0,Customer Success Manager (CSM),"The hiring process is rigorous and they are very protective of their team culture - rightfully so! This is the best team I've ever been a part of. Everyone is smart, strong in their expertise and extremely capable, as well as collaborative, kind and respectful. It's a very special combination that doesn't happen by accident. The senior leadership team has done an incredible job cultivating this fun, dynamic and engaging group. Internal communication is second to none. In my short time, I have seen a clear focus on professional development, continuous improvement, mental and physical health awareness and work-life balance from the leadership team. The benefits are robust and it's easy to find support when you need it.","The team is experiencing some growing pains, but leadership is aware and has engaged strategic teams to improve the onboarding and training programs. There is no shortage of information available, it's just a matter of packaging it into an easy to follow onboarding program. There are a lot of team meetings, which helps to keep the teams engaged and communicative, but it does create a cluttered calendar, and you must be extremely comfortable with spending multiple hours each day on Zoom calls."
28,Calix,Depends on your team,2021-09-13,3.0,Director,"-Great pay
-Great benefits
-Interesting products
-Growing industry
-Business is doing incredibly well","-Unkind coworkers
-It is common to shout at people in meetings
-Finger-pointing
-Employees working against each other rather than with each other

BUT senior leaders see the problem and doing what they can to address it. It is appreciated but doesn't seem to be enough."
29,Calix,Incredible culture,2021-12-07,5.0,Senior Consultant,"Fantastic work culture. Every one of my coworkers is smart and hard-working. I have truly been able to pave my own path to success. Compensation is great, benefits are good. Diversity is terrific.","Because ECI has been quickly acquiring new products, it is sometimes difficult to implement new systems and processes."
30,Calix,A culture that can't be beat,2021-11-01,5.0,Senior Manager,"The people and the culture are second to none. Everyone at Calix genuinely cares for each and every other employee, whether or not they've ever interacted with each other.

Clearly defined guidance for professional progression

Leaders that genuinely want their direct repots to succeed and empower them to do so.

A true ""Work from Anywhere"" environment - your job is what you do, not where you go.","On occasion this fast paced environment can feel a little too ""fast"", though this is the exception and not the rule."
31,Calix,"A company that not only values it's customers, but also it's employees!",2021-06-24,5.0,Systems Engineer,"I've had some great jobs in my career, but Calix has taken first place, it's unlike any company I've ever worked for. Calix strives to show their employees how much they're valued! The culture is great and all the staff are friendly and welcoming. Work/life balance and compensation are great. 

As a Systems Engineer I'm a continuous learner of technologies and Calix has not only provided me with new learning opportunities, but they're willing to invest in how far you want to take it. You're also not micromanaged and trusted to do your job. New ideas are always welcomed.

The benefits are also amazing such as great health coverage, unlimited PTO, and lifestyle (well-being) benefits. I don't feel there's enough I can say about this company and the great leadership. This company strives to be on and deliver the cutting edge to it's customers. I'm honored to be here and contribute to the success!",I honestly can't find any cons.
32,Calix,Going places,2021-12-16,5.0,Director,"Never a shortage of challenging problems to solve. You'll use all your tools every day. Aggressive leadership across all departments, especially sales.",A lot of focus on gathering data about the work you are doing which sometimes distracts from getting that work done in the first place.
