,company,headline,date,overall_rating,author_position,pros,cons
0,Digital Prospectors,Great Company,2022-04-01,5.0,Project Administrator,"Easy to work with, good communication, easily accessible portal",Unable to access a copy of my contract
1,Digital Prospectors,Great staffing company for MITLL,2022-03-28,5.0,Anonymous Employee,Fair and transparent salary negotiations,Contracting at MITLL can be a frustrating experience but that's mostly out of DPs control.
2,Digital Prospectors,Great and professional technical recruiter named Jen,2022-01-23,5.0,Software QA Engineer,"Incredible recruiter Jen found me through her diligent research in finding the right candidate for a job she was trying to fill in. Although I was not looking for a job she reached out to me about the role and I had a nice chat with her. She is very friendly, professional, and a pleasure to speak with! She help me find my dream job and I am very happy with her service!",I can't think of any :)
3,Digital Prospectors,Great company to grow with,2021-10-22,5.0,Marketing Manager,"Digital Prospectors has an amazing culture and our people are what makes it a fun place to work. Management believes in a healthy work-life balance, which is crucial, especially during times like these. The company provides the support and resources needed to keep mental health a priority. The benefits and perks are robust including 100% Company Paid Benefits (Health, Dental, Vision, Life Insurance, Retirement Match). Compensation is fair and they pride themselves on paying above market. Our office spaces are awesome with stand-up desks, triple monitors, and wireless headsets...not to mention fridges and a snack closet that are always full. The tuition reimbursement and continuing education programs are also great ways to advance in your career.","The pandemic has affected all companies. Digital Prospectors has put the health and safety of our employees as the #1 priority which is great. At first, I liked the idea of working remotely but now look forward to the day that we can all get back in the office together because our culture is what makes this a special place to work."
4,Digital Prospectors,Recognition for all the right things,2021-10-25,5.0,Technical Recruiter,"- Great management team
- Interactive colleagues
- fast paced working environment
- Focus on technology integration
- Great compensation plan and benfits",I haven't experienced any as of yet
5,Digital Prospectors,Recruiter,2021-10-25,5.0,Recruiter,"Digital Prospectors is without a doubt the best Staffing Company that I have worked at. Not only is the company successful from a revenue standpoint, but they are successful in that the employees genuinely enjoy working here and are happy. Senior Leadership has created an amazing culture which they never lose sight of. They truly value and trust all employees. They appreciate a healthy work-life balance, which is extremely important in todays day and age. And they dont just talk-the-talk when they say that. They really do walk-the-walk and live by that. DPC also truly values their contractors. The compensation and benefits options they can provide is a testament to that. I am happy to work at such an amazing company.",Nothing that I can think.
6,Digital Prospectors,"Great company, personal touch",2022-01-12,5.0,Senior IOS Developer,"Great people, clear explanation of rates and figures.","Outside of just personal preferences, I haven't noticed any cons that would prompt me to want to call them out."
7,Digital Prospectors,Take care of employees,2022-01-20,5.0,Software Engineer,Are always quick to reply to questions. Provide competitive benefits,I have not encountered any cons to being an employee
8,Digital Prospectors,Great staffing agency,2021-12-02,5.0,Technical Project Manager,"My Digital Prospectors recruiter helped place me in an exciting and competitive role in my field, which I intend to keep long after full time employee conversion. The Digital Prospectors team is experienced and easy to work with, and I appreciate the close attention they give. They're helpful and responsive when I have a question. They also have simplified detailed steps on how to access payroll and enroll in benefits.",I have none; they have been great to work with.
9,Digital Prospectors,Best Contractor for Which I've Worked,2021-12-09,5.0,Senior Software Development Engineer,"Knows its client company very well.

Very competitive hr wages.

Recruiters get to know their contractors well. Recruiters regularly check in to make sure everything is going well. 

Respect the skills and value of their contractors.

Random appreciation bonuses for events like birthdays and holidays.

Frequent communication with contractors.",I can't really think of any.
10,Digital Prospectors,Great company,2021-12-27,5.0,Information Systems Security Officer (ISSO),"Money, flexibility, and availability. Great company to work for",None as of yet. Nothing to complain about.
11,Digital Prospectors,Great place to work!,2021-11-30,5.0,Anonymous Employee,DPC is a great place to work. The leadership team truly cares about you as a person and wants you to succeed professionally. The work-life balance is a huge perk. You're able to do a hybrid schedule if you want.,"None, it's a great place to be."
12,Digital Prospectors,Honest company that looks out for their employees,2021-12-09,5.0,Project Manager,"Responsive, works for your best rate",I do not have any to report.
13,Digital Prospectors,There in Time of Need,2021-07-16,5.0,Sub Contractor,"They've been great to work with already, but it was truly apparent how great this company was when my husband got laid off suddenly a few months ago. Jen Heimberg (my sponsor) was able to help us get onto my insurance and bumped up my yearly raise up a month to help cover the cost. THEN she worked to help my husband find a new role. While my husband was able to find something quickly, Jen still reached back to check in on how we were doing, which was fantastic to hear that she cared so much for us. 

Definitely recommend this team. I've worked with contracting companies before and I've never felt as cared for as I do here. Jen especially has been very on top of anything I need, and I definitely appreciate all her and the company's help.",None that I've found so far.
14,Digital Prospectors,Great company,2021-11-30,5.0,Systems Administrator,"This contracting company is great, good benefits also",I wish they have more Paid time off hours
15,Digital Prospectors,Best contractor experience in 20 years of IT,2021-04-23,5.0,Operations Manager,"I ain't gonna lie, this was a very positive experience. Perhaps my past roles were overseen by overly competitive companies with only their bottom line in mind, but Digital Prospectors was very kind, efficient and hands-off when it came to letting me work and live. What I particularly liked:
1) Decent benefits
2) No micromanagement
3) No Drama
4) Super kind
5) Actually happy for me when the parent company hired me on","The only con I can think of is perhaps benefits could be improved upon, but this is a contracting firm, and DP's package options are better than any I've experienced previously so, this is just wishful thinking."
16,Digital Prospectors,Good Place to Work,2021-04-19,5.0,Mechanical Engineer,"1. Decent Benefits (401k matching, health plan, disability, etc.). Nothing extraordinary, but for the aerospace industry the benefits are average.
2. Flexibility of pay. Having the ability to forgo benefits (health/etc.) for a higher pay is really nice when you have a spouse/parents that you can enroll in a health plan with. 
3. HR is very responsive and helpful, especially when it comes to adjusting your benefits/answering questions/onboarding.","Can't think of any, they really do a good job of taking care of the engineering contractors. I don't have any plans of leaving DPC as a contractor."
17,Digital Prospectors,Best company I have worked for,2021-02-11,5.0,Payroll/Human Resources Specialist,"Compensation and benefits are very comprehensive. Environment is supportive, conducive to growth and success of each individual, the team, and company. I believe in my leadership team, and my teammates. We all share a common goal and share the same PASSION values. It is refreshing to come to work every day knowing that I have such a supportive and fun environment. My position is very autonomous and I always feel heard when I share feedback/suggestions. DPC makes it easy to develop your skills and truly values their employees and clients. Work/life balance is also strongly valued by the company. Jobs well done are rewarded.",I do not know of any at this time.
18,Digital Prospectors,Hired During a Pandemic - Couldn't be happier,2020-10-15,5.0,Account Executive,"The values and mission of this company are unparalleled anywhere else that I've worked. We hold ourselves to an incredibly high standard and are expected to perform and also support each other and the collective. The people here genuinely care about what we're doing and are supportive and genuine. It's one of those offices when someone asks you questions about your weekend and your family when they see you before they ask you about whether you saw that email they sent you last Thursday. This is a hard job in a hard industry, but the people I get to work alongside and learn from on a daily basis make it a job I'm excited about every day. The earning potential here is incredible and the benefits make it the kind of place where people stay...which is rare in this industry.",Onboarding and training remotely stinks...but that's the reality of COVID. Not a ton of diversity here.
19,Digital Prospectors,Great Contracting company for those who work at Big Companies,2021-05-03,5.0,Sub Contractor/Engineer,Digital Prospectors has great benefits that are as close as possible to what one would have if a permanent staff member at my company. Other coworkers who are contracting through other companies always complain about their contracting companies.,"The downside is that it is I'm not a member of technical staff, but that's not Digital Prospector's fault."
20,Digital Prospectors,Great people and company,2021-07-05,5.0,GIS Developer,Equal opportunity for all and better option for career growth.,Truly no thing to mention at all.
21,Digital Prospectors,Agent,2021-09-22,3.0,Customer Service Agent,Not a bad company with a good pay,The environment and management aren't very good
22,Digital Prospectors,Love My Job!,2021-04-20,5.0,Human Resources Manager,You are an individual and not a number. The job is challenging and rewarding. Great benefits and perks!,The work is hard but worth it!
23,Digital Prospectors,Helpful in navigating hiring process for a contract,2021-02-09,5.0,Mechanical Engineer,"I work for Digital Prospectors as a Mechanical Engineer Subcontractor, so the job was found through them, but the interviews and hiring process was largely through the other company. Digital Prospectors was a great resource in navigating this process and helping me ensure I showed the best version of myself possible.",Miss out on perks of the main company I contract for
24,Digital Prospectors,Exceptional Company to work for!,2021-04-02,5.0,Instructional Technologist,Excellent compensation and communication between the organization and contractors. The team at Digital Prospectors really has your back! Great work culture.,"Honestly, none that I've experienced."
25,Digital Prospectors,Superior staff,2021-04-14,5.0,Software Developer,Staff is always available to help. Pay always on time,only thought - a few more training opportunities
26,Digital Prospectors,Responsive and supportive,2021-04-22,5.0,Electrical Engineer,"Flexible, supportive, enthusiastic, great HR team",No cons encountered so far
27,Digital Prospectors,Great agency to work with,2021-04-19,5.0,Production Employee,Always ready to help employee,No cons at current moment
28,Digital Prospectors,"Tremendous Company - Culture, Employees, and Leadership are Exceptional",2020-04-09,5.0,Operations,"Culture - Many companies say they have a great culture. Digital Prospectors  is true to their word and provides an environment that this engaging, cohesive, meaningful, talented, hardworking,  and very client focused. This is a challenging environment and Digital Prospectors brings out the best in their employees to create and encourage top performers to be their best each day.  I've never been treated with such generosity, inclusion and personal development opportunities than I have at Digital Prospectors. 

Leadership -  Don, Jess, Chris R., Kevin, and Chris H.are really some of the most inspirational, transparent, hardworking, and impressive leaders I have ever had the chance to work with. It is a pleasure to come to work each day with these leaders at the helm.  Thank you for all that you do for your employees while making it fun and rewarding to work each day.

Employees - It is a great feeling to work with a group of driven co-workers that are truly team oriented, respectful, communicative, encouraging , positive, and  focused on providing the highest quality care for our consultants and clients.",I can't think of any cons.
29,Digital Prospectors,A contract house like no other,2020-10-15,5.0,Engineer II,"When you work for DPC you generally are working as a contract employee for their one large client, which gives you many of the benefit of that client plus very high contractor-grade pay. Fantastic pay, great optional tiers of benefits, and a very helpful staff who want you to be happy within the client organization.","As a contracting house you serve two masters; DPC and the client organization. This sometimes makes ""who do you work for"" a complicated question. More knowledge of how to move around inside the client's organization would be nice."
30,Digital Prospectors,Great company to work for!!,2021-02-12,5.0,Engineer III,"The staff are compassionate and helpful, and genuinely want to see you succeed. They are responsive and professional, and overall very enjoyable to work with.",I can't think of any cons
31,Digital Prospectors,Awesome company to work for,2021-03-16,5.0,Systems Administrator,"Great communication, benefits, and pay",Very few. Still a contractor
32,Digital Prospectors,Like Working With Friends,2021-02-19,5.0,Salesforce.com Administrator,"Friendly, Professional, Quick Results, Honest and Upfront",Onboarding docs could use clearer instructions
33,Digital Prospectors,Digital Prospectors found my job for me!,2020-10-08,5.0,Production Support Specialist,"They actually sought me out for my current position, one that I wouldn't ever have known about had Digital Prospectors reached out to me. It was at a time when I was really in need of a new direction, and this was the perfect opportunity. And they make themselves very available to me when I need to discuss something.",Really do not have any cons in the 3+ years I've been working with Digital Prospectors
34,Digital Prospectors,Solid contracting company,2020-10-19,5.0,Optical Engineer,"Open and direct hiring process, with easy to understand benefit package options. Simple and easy lines of communication when issue come up. I get a call once every couple of months just to touch base with how work is going, and if there are any issues that have come up they can address. They are great at making the contracting life easy and fun.","Only two annual buffets a year, not much of a con."
35,Digital Prospectors,Excellent company,2020-10-14,5.0,Scientific Programmer,"* Look out for their employees' best interests as contractors
* Respect our talents and value, by offering competitive pay 
* Employee appreciation days with free lunches and gift cards on birthdays
* my recruiters always checks up on me once every month or two, just to make sure all is okay","Can't think of any. I've worked for three contracting agencies over the past 18 years, and DPC is the best one."
36,Digital Prospectors,The Greatest,2020-08-27,5.0,Contractor,"- Fast responses
- Helpful staff which ensures clarity
- Amazing environment and people to work with
- Professionalism","To be honest, I've been working with Digital Prospectors for about 11 months now and there is not a single Con I could think of. Digital prospectors are amazing to work for and they've always been striving for perfection and professionalism."
37,Digital Prospectors,Great company!,2020-10-19,5.0,Software Developer,Awesome staff - very responsive and supportive. They are a big part of the reason why I've stayed with my current job.,"I can't think of any strong negatives. I would like to have a better benefits package because I'm greedy. However, I know that they've worked very hard to get us the best that they could get."
38,Digital Prospectors,Leadership Like No Other,2020-03-17,5.0,Human Resources,"Company culture starts from the top down.  The leadership team understands that and follows that.  They truly care about their employees, employees families, and their overall well being.  All of your conversations might start professionally driven, but always end with personal conversations.  Due to the amazing leadership team, their drive, their desire to understand the needs of all their employees, and creating a solid work / life balance, DPC is definitely the best place I've ever worked.","I have yet to encounter any Cons with DPC.  Even during the current situation of managing business responsibilities / COVID-19 restrictions / family needs, as a whole, DPC immediately banded together as one and started to conquer the obstacles before us.  That doesn't happen everywhere, but it happens here."
39,Digital Prospectors,"Amazing benefits, coworkers and service",2020-04-17,5.0,Anonymous Employee,My coworkers are sensational.  They work incredibly hard to serve our customers and are always eager to help one another.  It is the best team I’ve ever worked with and I’m proud to be part of it.   The benefits are exceptional.  It’s a special place to work.  It feels like we are family.,"Working in a staffing agency is fast-paced, competitive and challenging.  It is the nature of the beast.  Don’t work at an agency if you aren’t willing to put in 125% effort.  The plus side is that Digital Prospectors will compensate you better than other agencies if you are willing to put in the hard work --and you’ll have a lot of fun along the way."
40,Digital Prospectors,Best Job I've Ever Had,2020-09-22,5.0,Ios Software Engineer,Tehnical Recruiter Hillary worked hard to place me at an agency in Boston with such confidence and ease that it felt like I was being welcomed into a family. Everyone else I've talked to has been supportive and responsive. Competitive pay and 401k matching.,"I would say the commute to the client, but that hasn't been an issue during the pandemic"
41,Digital Prospectors,Supportive work environment,2021-03-11,4.0,Senior Recruiter,"Proactive in communicating information on work and benefits, responsive, professional staff",Could have a little more clarity on PTO benefits
42,Digital Prospectors,Respectful company who listens and has your best interests in mind,2020-04-09,5.0,Marketing Manager,"Good people from the top down. Fun to be around. A culture of constant improvement and a company that gives you the tools and support needed to be successful. Professional development opportunities such as Tuition reimbursement, training, conferences, and certifications. There are top-notch benefits including 100% paid full cost of Health Insurance, Dental, Vision, Life Insurance, Short/Long Term Disability, and 401(k) - which comes with a match. 3:00pm release every Friday lets you get a jump on the weekend with family and friends. Lots of fun social events such as catered lunches and company-wide get togethers.","Could see that for some a sales environment can be tough, but you have the support of management and the team."
43,Digital Prospectors,Awesome company to work with,2020-10-20,5.0,Senior Business Analyst,"Great staff with great communication, quick hiring process. No hidden agendas. Clear and real",Cant think of any Cons
44,Digital Prospectors,A Company You Can Grow With,2020-05-01,5.0,Senior Technical Recruiter,"The company trusts its employees and is transparent with why and how changes are made that impact the employees.

You are not a # here, you are a person and the office culture is respectful to everyone and ownership is fully supportive of those who want to work hard to better their craft, as well as improve the lives of others.

There is no limit on the amount of compensation you can make. The greater effort you put in, the greater likelihood you will be rewarded and recognized.

The company has stayed true to its core, a Work Hard Play Hard mentality despite growing significantly over the past decade.",There are none that come to mind
45,Digital Prospectors,Best Company I've ever worked for,2020-04-17,5.0,Senior Technical Recruiter,"One of the biggest things I admire about Digital Prospectors is how genuine and honest they are. Whether it's good or bad news you're about to hear, they are incredibly transparent. It's obvious from their actions, not just their words, that they care about their employees and are invested in their success. I've worked for a number of sales/staffing organizations in my career and I've never experienced this level of appreciation and more than fair compensation for my efforts. They provide an authentic balanced culture of recognition and accountability.",Recruiting and staffing is a tough industry and can be stressful but DPC provides the tools and support to mitigate that stress to help you be as successful as possible.
46,Digital Prospectors,JR Rochelle was great to work with,2020-10-19,5.0,IT Support Analyst,He was very instrumental in helping me land my next job at a great company.,There are no issues at the moment.
47,Digital Prospectors,Great company to trust with your recruiting needs,2020-06-15,5.0,Anonymous Employee,"Professional, caring and supportive staff. I worked with Christie, a recruiter at DP,  in the winter of 2020.  Christie was an outstanding communicator.  She provided guidance through the entire interviewing process and even gave me relevant tips.  She was always accessible for questions.  She was a very caring individual and truly wanted to help me find the right fit for a job.
I would highly recommend DP and would work with them again when/if future needs arise.",No cons at this time
48,Digital Prospectors,10 Years and Still Going,2020-10-15,5.0,Programmer,They take care of you and your family.,I can't think of any besides the DPC shwag has gone downhill :-P
49,Digital Prospectors,Great PlaceTo Work,2020-10-19,5.0,IOS Engineer,Management and HR have been extremely quick to respond to any questions I might have had regarding my employment,None come to mind offhand
50,Digital Prospectors,DPC Employee since 2009,2020-04-24,5.0,Systems Administrator,"Staff is pleasant to work with and extremely helpful. Salary & wages are competitive and annual increases are the norm. DPC staff hosts luncheons for their employees twice yearly, and offer generous perks during the holidays. Work environment at my current work site is professional and exciting to work at.","I opted for a package that includes salary and benefits, such as vacation, health insurance, etc. I would advise anyone coming in to take the straight salary without benefits. While the vacation is OK, the health insurance option (Cigna) is abysmal. they don't pay for anything. I would recommend that you buy your own healthcare."
51,Digital Prospectors,Amazing Job Placement Solutions,2020-10-15,5.0,Systems Engineer,"Responsive
Great Benefits
People are friendly and work to solve problems",Very little contact with DP staff
