,company,headline,date,overall_rating,author_position,pros,cons
0,Ethos Group,This is the best company you could ever work for,2022-01-31,5.0,Consultant,"Culture, leadership, Development, Rewarding, Fun, Expanding, Family, commitment to their employees.",If you are someone that can't hold themselves accountable or be held accountable this is not the company you should work for. If you see that as a con.
1,Ethos Group,Productive and Fun work Place,2022-01-18,5.0,Information Technology,I've been able to learn and grow as an employee. I'm able to create relations that will last me a life time as well. The company has grown a lot over the years but has kept its close knit feel. I like that I'm trusted to do my job without someone looking over my shoulder every moment.,"I would say something about being mostly remote because of COVID, but that's the world we live in now."
2,Ethos Group,"Great company, lot's of opportunity for growth",2022-01-19,5.0,IT Project Manager/Business Analyst,The people are hardworking and kind. The vision for the company propels employees at all levels with the goal of being the best in the world at what we do.,"Sometimes our company is more reactionary than I would like them to be. If there's ever anything that's needed or a problem occurs, we definitely fix it. I do wish we were more proactive or quicker to respond to those types of situations."
3,Ethos Group,Great culture,2022-01-20,5.0,Accounts Representative,"Culture that empowers employees 
Proven process with great support 
Helpful and caring Senior management 
Innovative technologies",None for me to be honest
4,Ethos Group,You get what you put in!,2021-10-04,5.0,Finance Manager,"Being in car sales before moving to finance, I have a very good understanding of what the job entails. With that being said, I understand that getting this position right out of college is rare in the industry. Pro’s are Good pay for coming out of college, great sales training you can use in other industries, and helps you handle multiple responsibilities at once.","Depending on dealership, your work/life balance could be good or bad. Beyond that it’s not much to complain about as long as you don’t slack and get lazy. Also, it’s the car industry… no saturdays off and maybe sundays as well."
5,Ethos Group,Fantastic Work Environment,2021-11-15,5.0,Finance Manager,Great company to work for! Interview process was smooth and the Dealership I was placed in is a tremendous family owned dealership. Ethos is an awesome company to work for with opportunity to grow and amazing chances to show your potential!,"The hours can be long, but if you make the best of it, it's not to bad."
6,Ethos Group,Ethos group has created an avenue of success and stability !!!,2021-11-08,5.0,Finance Manager,"Great training, good class size, hands on learning, and making interactions in real world situations come to life for better understanding.",If you do not like larger classroom settings with reading and demonstrating this will not work or harder to grasp
7,Ethos Group,Credibility!,2021-11-22,5.0,F&I Manager,"Ethos Group is named ethos for a reason. Their credibility, attention to detail, and team/partner centric attitude is everything in an industry that is heavily influenced by word of mouth.",I have nothing bad to say about this company.
8,Ethos Group,Great place to work,2021-12-06,5.0,Underwriter,"Great managers, growth opportunities, and culture",Can take a year + for compensation growth
9,Ethos Group,Great environment,2021-11-22,5.0,Business Manager,"Great people, company is always looking to help you get to the Next level of your professional career",I have no cons for ethos
