,company,headline,date,overall_rating,author_position,pros,cons
0,Klaviyo,"Finally, a company that practices what it preaches",2021-11-19,5.0,Senior Program Manager,"Klaviyo is a company that literally puts their money where their mouth is. From a comprehensive onboarding program to benefits that think outside the box (learning stipends, wellness initiatives, business coaching - the list is endless), it is clear that Klaviyo truly believes that employees are their most valuable asset. 

Additionally, the culture here is tremendous. I have felt nothing but welcomed and accepted since the moment I started interviewing, and that has not gone away since I officially joined the company.

Accepting the offer here feels like one of the smartest decisions I have made in a very long time.",None that I can think of.
1,Klaviyo,Good place for sales,2022-02-28,5.0,Outbound Business Development Representative,"Has a very good sales org, very aggressive targets but as a BDR fairly easy to hit quota",Not a huge fan of the management
2,Klaviyo,"Epitome of the ""Carrot on a stick""",2022-03-16,2.0,Account Executive,Great engineering team that is making constant iterations to product to better serve customers and actually follows up on roadmap promises,"Inexperienced sales middle management with little to no experience in actual selling themselves. The fast tract for promotions in 2018-2020 lead to a group of sales leaders who were directionless and actually promoted poor sales practices that I felt lead to a step back in my sales acumen and career tract. 

While interviewing, I was so excited about the potential for an IPO, I was convinced to accept a 10k cut in base and 17k cut in OTE. Their feedback was ""Our highest level of sales management are taking cuts, so you shouldn't feel bad doing so"". Never take a step back like this in your career! It was one of my worst mistakes and the promise of an IPO is never assured. 

Majority of sales team I haven spoken with recently are considering leaving

The market is highly competitive, moving to all-in-one tools and Klaviyo doesn't seem to be keeping pace with companies like Attentive 

Hyper transactional, as an entrepreneur AE you'll like be expected to close 35-40ish deals a month. Worked from 6am to 10pm some nights as I was handling territories from every section of the globe. 

Sales comes second to everything else within the company. Originally the founder didn't even believe in having a sales team, wanted this to be a ""self-serve"" model and that attitude against salespeople seems to still prevail within the culture

Cliquey, high-school type of culture"
3,Klaviyo,Outward Image Doesn't Match what's going on,2022-03-09,3.0,Onboarding Specialist,"-Company Match 
-Fun and competitive product 
-Education stipend and generous book reimbursement 
-Super fun people to work with","Honestly, their outward image makes it seem so much better than it actually is. When I first got hired, I couldn't believe that this company hadn't gone public yet. Now, I get that they do not have their stuff in order. Lack of leadership decision making that is not based around sales. 

I should have known to run when I saw that one of their values is ""customer comes first."" Seriously, that is a value. It's basically saying that they put money over their employees since the customer is the business. 

As other reviews have mentioned, time and time again, capacity is an issue. What do they keep doing? Scaling sales and not having it match customer success to support these sales. Teams are stretches thin, then people quit, and then stretched even thinner. 

Do they train their sales to set proper expectations? No. Do they keep sales accountable for this? You guessed, it. Nope. Who suffers? Customer support. 

What is honestly super disappointing is that the pay scale is in comparison to our competitors. It's about a 20k difference. And you know what? That's enough alone to make someone leave. 

There is not rhyme or reason for promotions. During a town hall, leadership mentioned that the expectations was about every 2 years to get promoted. They didn't mention about experience, projects, etc. Yet then, other teams people get hired in about a year. 

More importantly, they were supposed to roll out compensation bands and sure enough they withdrew that project.

So far, this is a smoke and mirrors and I'll be looking for a job elsewhere."
4,Klaviyo,Honestly? It's just okay,2022-02-08,3.0,Anonymous Employee,"Decent compensation package, benefits
Strong sense of ownership over work
Lots of opportunity to make an impact
Meaningful investments in R&D financially and otherwise","Severe lack of transparency from upper management when it's touted all the time as one of our core values
Career growth pathways are not always the most clear
Product is often over-ambitious with what can actually be delivered by engineering
Burnout has been brought up time and again as an issue and management doesn't really seem to care
Outward image seems to be more important than making sure people are happy and taken care of"
5,Klaviyo,One of a kind,2022-02-02,5.0,Director,"- Successful product with lots of opportunity 
- DEI is not just lip service: the company has doubled but improved representation and leadership is bought in to keeping the momentum 
- Unique opportunities to try new things and grow your career 
- Our CEO is the first one I've ever worked for who is truly a good human being who cares about the people
- The energy here is really human and authentic but still smart and quick",- A lot of the cons are not unique to us given how quickly we are scaling but prioritizing is hard for folks who are ambition and care because there is so much that can be worked on
6,Klaviyo,By far the best company I have worked for,2021-08-12,5.0,Software Engineer,"Competitive pay.
So much to learn.
The company strongly values career growth.
Promotions and hires are based on real results rather than nepotism or politics. I Feel that those in hire positions have earned them.
As a general principle The company is focused on scalable solutions rather than meeting immediate needs that will run into issues later.
Everyone I have met has been pretty humble.
The company does try to learn from its mistakes rather than repeat them.
Does care about its customers and employees.
In general it feels very real. In many places those who talk a lot and speak up get better results where here they try to cater to everyone including the more soft spoken individuals who still contribute just as much.
Well funded.","Fast paced isn't for everyone. Some of those may have a harder time here if they just want to coast. It's typical for fast paced companies to change frequently. So if you do not like change it may not be for you.

Since it is growing so fast there are still legacy systems that need to be replaced.

The company is very liberal. If you are a conservative you will want to keep that to yourself. I am conservative (only in some ways) and have not had an issue but feel if I expressed anything I would get some really weird looks.

Not a con but it is no longer a real startup. There are a lot of people at the company."
7,Klaviyo,"Lots of promise, not much follow through",2022-03-15,2.0,Sales,"Good product that is well liked within the space
Fun culture","Poor middle management
Majority of sales team considering leaving
Constantly changing goal posts that only serve as roadblocks
Market extremely saturated
Hyper transactional, you'll be working 1 week $200 deals at 8am and 8pm
Sales comes second to everything else
Rising competitors that put sales first
Cliquey culture"
8,Klaviyo,Customers and Culture are #1,2022-02-02,5.0,Anonymous Employee,"Klaviyo is the most supportive and welcoming environment I've ever been a part of. From the first interview I had, I knew I wanted to be a part of it. Onboarding is extremely organized and even though we continue to experience a lot of growth, it is handled very well.",Not a con currently but it is important that the exec team focuses on downstream communication so all Klaviyos continue to feel informed as we grow.
9,Klaviyo,"Amazing opportunities, learning and benefits in a demanding environment",2022-01-26,5.0,Software Engineer,"- Klaviyo is an ambitious, exciting company with a lot going on right now
- You learn so much, very quickly, and get to work with new, exciting technologies. You definitely become a better engineer working here
- You are given a lot of ownership and can shape the direction of the product
- You work with ambitious, smart, supportive people",Klaviyo can be very demanding due to its high ambitions which can lead to longer hours
