,company,headline,date,overall_rating,author_position,pros,cons
0,NeuraFlash,Great place to work,2022-03-10,5.0,Senior Consultant,"Great co-workers
Great managers
Great leadership
Working at NF has been a pleasure",Can't think of any cons
1,NeuraFlash,The BEST Salesforce Partner to work for!,2022-02-25,5.0,Solutions Engineer,"Starts at the top with amazing leadership that care about employees and are super invested in the business. No customer or employee is too small for the attention of any leadership level. 

Employee surveys twice a year where feedback is actually listened to and changes are made. They genuinely want to build the best place to work and a strong culture. Inclusive and diverse workforce 

Business is booming here. The market is hot, we are executing better than anyone. ""The most talked about partner around Salesforce"" 

Overall tons of opportunity to make your mark, to get promoted, to provide meaningful impact in the results and success of the company. 

Pay and benefits are top notch and continue to get better. Only 1 year vesting on 401k with match is awesome!","None! Work life balance is about what you expect in fast paced consulting so be prepared to work hard, but well worth it."
2,NeuraFlash,"NeuraFlash is a company with incredible people, culture and opportunity for growth!",2021-12-12,5.0,User Experience Designer,"I feel so lucky to work at a company like NeuraFlash where the people are not only incredibly talented and passionate about what they do, but everyone genuinely cares about the success and growth of their coworkers and the company. The culture is outstanding, and it is because of the efforts of the leadership team at NeuraFlash. My direct manager makes me feel more valued and supported than anyone I've ever met before, my teammates are absolute rockstars, and everyone I meet within the larger company is so friendly and caring. 

I can't even stress how much I am growing and learning in my role at NeuraFlash and it is awesome to see that the company is growing along with me. NeuraFlash prioritizes the career growth of their employees and is constantly providing us with learning opportunities. Every day I come to work and feel like I am a part of something awesome, and there has not been a day on the job where I didn't learn something new. I'm so grateful NeuraFlash gave me the opportunity that they did, and I think anyone would be lucky to join this team.","As I mentioned prior, the speed to which I am learning every day means that I am also challenged every day. However, overcoming those challenges is genuinely such a rewarding feeling that this is not a con in my eyes."
3,NeuraFlash,Amazing Place to Work!,2022-01-12,5.0,Human Resources Coordinator (HR Coordinator),"NeuraFlash provides all employees the opportunity to reach both their professional and personal goals. Everyone is open to new ideas, and the supportive culture allows all employees to be themselves and learn together. I am surrounded by hard working and incredibly smart individuals that challenge me to be the best version of myself. I am so happy to be apart of this amazing team and I cannot wait to see what the future holds!",No cons that I can think of!
4,NeuraFlash,Best Decision Joining NeuraFlash,2021-08-23,5.0,Anonymous Employee,"This company has got it going on. Not only is business booming and the company growing at an incredible rate, but the caliber of work everyone contributes to and the impact every team member has on projects is awesome. I've never felt more supported by those on and beyond my immediate team, or given so many opportunities to learn new skills. Autonomy and trust is big at NeuraFlash and something that keeps everyone happy.","With fast growth, sometimes things can seem a little unestablished and have to be figured out on the fly. But each time those situations arise, the company and those involved do what they can to make sure those situations are teaching moments so we can be more prepared the next time around. We all learn from each difficulty we experience because of fast growth, so in the end this doesn't really manifest as a con."
5,NeuraFlash,Awesome Place to Expand Your Knowledge and Career!,2022-01-12,5.0,People Leader,"• Lots of room for growth
• So many talented peers
• Skies the limit with your career
• Supportive and transparent leaders
• Always learning something new",I don't have any cons!
6,NeuraFlash,Awesome culture,2022-01-12,5.0,Senior Consultant,"Executives are approachable and accessible
Great work is consistently recognized both across the company and financially
Great people to work with",Not much to say here
7,NeuraFlash,Good Peopl,2022-01-17,5.0,Anonymous Employee,"-Great People, a lot of learning opportunity",-Very fast paced - no looking back!
8,NeuraFlash,Opportunity and Culture,2021-08-25,5.0,Solutions Architect,There is a ton of opportunity in this space and NeuraFlash is perfectly positioned to seize it. There is a solid foundation of thought leadership that you have an opportunity to grow from. NeuraFlash has also managed to maintain a warm sense of culture regardless of having over half of their staff working remote.,"There is not a lot to complain about after month 1. There is a ton of opportunity at this company, but you have to go get it. Though I have heard that soon enough it will be like ""drinking out of a firehose""."
9,NeuraFlash,Incredible work environment with amazing opportunity for growth,2021-08-01,5.0,Senior Consultant,"The amazing success of the extended NeuraFlash team as a Platinum Level Salesforce Partner is the result of a culture created by the Leadership team. From top down, everyone strives to encourage and support one another; thus making each person feel like a valued team member. Hard work and dedication do not go unnoticed and are consistently recognized both verbally and financially. The opportunity for personal growth is second to none; you are the driver.","Working on the cutting edge of technology in a company that is expanding rapidly, everything moves fast. NeuraFlash is not suited for someone who wants a repetitive role just to collect a paycheck."
10,NeuraFlash,A company that respects and values their employees,2021-08-24,5.0,Senior Salesforce Business Analyst,"NeuraFlash is a company that talks constantly about how they are a family and how they are who they are because of their employee base. This couldn't be more true. They are respectful, and encouraging of each employee and work towards building you up and growing your career, which in turn grows the company. It is amazing being surrounded by so many intelligent, hard working, and supportive coworkers - like minded people with like minded goals working on innovative tasks and projects. Super awesome company to work for.",I haven't found one and hope to never.
11,NeuraFlash,"Great late stage startup to work at, interesting work",2021-08-25,5.0,Data Scientist,"The upper levels of the company are extremely open and friendly, and seem interested in making sure that all levels of the company stay happy at work. 

The data science work is pretty interesting, dealing primarily with NLP, visualization, and some internal app development. Plenty of exposure to new areas. 

Work situation is pretty flexible, offices are nice. Pretty good coffee.","There's the usual pains of working at a fast growing company, which means working on projects potentially outside of your role (this could be a positive though if you're early in your career)."
12,NeuraFlash,Just passed my 2 year mark,2021-09-01,5.0,Solution Architect,"- Interesting projects, awesome brands (L Brands, Taco Bell, Peloton, etc.)
- Best management team I've ever been privileged to work with
- Fantastic focus on listening to, and implementing programs for, employees
- Not drinking koolaid, but it is a family environment","- Basic start up issues (BUT the company has made HUGE strides the past 5 months or so)
- As with all consulting companies, the clients can be really dumb dumbs."
13,NeuraFlash,Great Place to Work,2021-08-25,5.0,Anonymous Employee,"- People-focused culture with strong desire to grow individuals along various career journey
- Ample certification and learning opportunities within Salesforce and AWS; also non-skills based training (ie: manager training)
- Extremely work-from-home friendly environment with occasional geo-specific face-to-face opportunities 
- Leadership team is invested in the people who make up NeuraFlash and make an effort to connect with all employees
- Strong partner to Salesforce and constantly maintaining good standing
- Thoughtful and comprehensive onboard program",None currently. Keep up the great work!
14,NeuraFlash,Company Culture Make Minor Start-Up Struggles Worth It,2021-08-25,5.0,Business Analyst,"Growth oriented company that encourages a growth mindset among its employees. 

As such a rapidly growing company there are opportunities abound for anyone looking to take on more responsibility and grow their career.","Rapid growth, much like adolescence, comes with growing pains. Managers still spend a lot of time working on delivery and aren't full committed to their new positions."
15,NeuraFlash,Awesome Company!,2021-08-25,5.0,Solution Architect,The company leadership actually cares about each employee. The culture within the company is something I've never experienced in my career. It is refreshing how other team members want to help each other out and everyone is nice...there is no political junk that I have experienced!,"Honestly, there is not any."
16,NeuraFlash,Great Company to Work for!,2021-10-13,5.0,Salesforce Consultant,"Growth opportunities, company culture, 100 remote availability.",None so far that I have encountered!
