,company,headline,date,overall_rating,author_position,pros,cons
0,Sales Empowerment Group,Great Company,2022-03-17,5.0,Sales Development Representative (SDR),Culture is 10/10. The structure of the company is 10/10. Training is 10/10.,0 cons in my perspective.
1,Sales Empowerment Group,More than I expected.,2022-02-18,5.0,Business Development Representative (BDR),"I had a phone interview with SEG and the next day they put me through an interview with one of their clients, called me that same day and offered a second interview the following day. After about 4 hours from my second interview, I had a job offer! The interview process was very quick and I gladly accepted the position. They matched me with the right company efficiently and quickly!

With no previous sales experience.. I went from doing 0 role plays to 10+ role plays a week and have seen improvement day after day!
SEG is not your typical sales training program. They really focus on enhancing your sales skills, your communication & relationship building skills; both over the phone and via email/LinkedIn. 

EVERYONE on the team is supportive, they want to see you grow and they always leave room for you as an individual to improve.
Overall, SEG is an awesome program to get your feet wet and kickstart your sales career!","A remote position may be a con for you, but definitely a PRO for me :)"
2,Sales Empowerment Group,Wonderful company!,2022-03-04,5.0,Businesses Development Representative,"Sales Empowerment Group is a wonderful company! They offer amazing training for new employees, to get you comfortable in your new role. They have great managers in place, who you can tell actually enjoy their jobs and are open to suggestions and really hearing you. There is always someone you can contact if you have any questions and I really feel supported working here. The work/life balance is like no other. They stress the importance of carving time out for yourself. I am so happy to be working for this company!",There are no cons to working at Sales Empowerment Group
3,Sales Empowerment Group,The most thorough and well-thought out company I've ever worked with.,2021-12-17,5.0,Business Development Representative,"From the moment I first spoke to a recruiter all the way through training, this company has been professional and supportive. My recruiter sent me tips and tricks days leading up to my second and third interviews in order to help me land the job. They made sure I knew where I stood within 24hrs of the last interview, and had me onboarding within 12 hours of the job offer. If they see your potential, they make sure you have the tools to land the job.

Training was quick and efficient, with higher ups being VERY involved (my training was lead by the CEO 3/5 days) in setting up expectations and giving you the tools to succeed in this position. Its not a go-go-go sales position; they would prefer you be a consultant than a sales person, which is so, so nice. 

Overall, everyone in this company cares about you and your success. It's so refreshing to be with a company that doesn't want to run you into the ground.",None at all! Everything is great thus far.
4,Sales Empowerment Group,BDR,2022-01-21,5.0,Business Development Representative,"Unreal training program by experts who actually care! 

Sales is a whole new world for me. Somehow within a week, the people at SEG made me feel like I've been doing it for months. They surround you with experts who give you all the information needed to start a career in this new virtual world. Even though their whole goal is to get employees hired away, I believe they will support me for my whole career in sales. Great people. Epic Training. They challenge you to be great. Will you answer the call??? Also...... I'm coming for that wall of fame!!!!",I'm going to miss the people I trained with! The people in my group were awesome. I think we will continue to chat all the time at least.
5,Sales Empowerment Group,Great training + team,2022-01-26,5.0,Business Development Representative,"If you are looking to get more comfortable with Sales and launch your Sales career, SEG is the place for you! The training was some of the BEST I have ever seen. The SEG team is friendly, knowledgeable, and knows how to develop you into a more effective BDR/ Salesperson. Amazing opportunity for anyone looking for remote flexibility and sales development.","The only cons I can see are it is a remote/work-from-home opportunity, especially in a sales role, this makes it easier for you to fall behind/ not hit numbers if you lack time management/ focus. Also, if you are not comfortable with the nature of sales it may be challenging."
6,Sales Empowerment Group,Amazing work culture and people,2022-02-11,5.0,Business Development Representative (BDR),"The people at SEG have to be the most helpful and encouraging people ever. The whole experience was great, from the onboarding to the intense training. They have created a welcoming atmosphere that makes it easy to learn and grow. They somehow managed to find a balance between being challenging and holding your hands through the process. My favorite thing about it is that everyone makes themselves very available to help you in any way.",I have 0 cons about SEG
7,Sales Empowerment Group,If you're into building a foundation for any Sales gig check this company out,2021-11-05,5.0,Business Development Representative,"-In depth Training, they want to build a foundation for success and really prove it in the trainings by role playing, shadowing, and pushing you to get out of your comfort zone. 

-Virtual one on one time with Executives who have been in the industries you will be assigned to for years
- Support and Culture are HUGE. They make it a point to include every single person in after work hours events and make sure you get to know everyone in the company EVEN before you start. 

- Pay is fair and gives you something to work towards every month so that you can bring even more money home. 

-Hours are GREAT, I get to spend way more time with my family","I'm too young right now in the company to see anything, but nothing showing red flags of yet or at all"
8,Sales Empowerment Group,Great Training,2022-02-11,5.0,Business Development Representative (BDR),Within one week the SEG gets you feeling comfortable with the skills needed to be a successful BDR. SEG will continue to mentor you well after your training week is over. If you're looking to get into sales with little to no prior experience SEG is the place to work. I could not recommend them more!,I have nothing to complain about. SEG will listen to any concerns you have and provide you with great solutions.
9,Sales Empowerment Group,Best Training Experience I've Ever Had,2021-11-05,5.0,Business Development Representative,"Today is Friday. Today marks my first week with SEG. Started Monday first day on the job and I have to say that the training at SEG is nearly impeccable. The time, resources, and energy that the SEG management team dedicates to its new employees is just outstanding. 

The training is INVALUABLE. No other way to put it. I have gone through several different trainings in my life and this is hands down the best training for a position that I have ever gone through.","Can't say there are any cons so far. Maybe, I MIGHT discover some in the future. But at this point in time, I have nothing to complain about. No cons, no negatives.

SEG has been extremely flexible with time during training this last week."
