,company,headline,date,overall_rating,author_position,pros,cons
0,SecureLink (TX),Good place to work from home,2022-02-04,5.0,Technical Operations Analyst,Excellent place to work. Everyone is supportive.,Information is somewhat tribal knowledge but is being addressed
1,SecureLink (TX),Changing for the worse,2022-03-31,2.0,Software Developer,A Good work life balance,"Low starting pay and a quick salary cap. Other tech companies pay over twice as much (not exaggerating), especially since inflation has picked up. 

Attrition skyrocketed recently. 

Some management is very unqualified to manage people and would do better in other positions. Lots of gossip and blatant favoritism."
2,SecureLink (TX),Concern Regarding the Path Forward,2022-02-10,2.0,Anonymous Employee,"Most people are great, work hard and work well together. The team has come together to do amazing things and will continue to do so if given the opportunity.","Retaining these great people is a challenge SecureLink is facing because the obvious solution of ""pay people what they're worth"" seems to be off the table. I'm watching people leave faster than we can find new employees because SecureLink paid below market years ago and has not attempted to rectify that or keep up as the market changes."
3,SecureLink (TX),Was a great company to be a part of a few years ago,2021-12-20,2.0,Anonymous Employee,"There are some amazing, talented, brilliant, and all around amazing people at SecureLink however these folks seem to be leaving at a steady pace for better opportunities. The amazing culture of the company has been steadily declining over the past few years and with remote work the culture took a massive hit and new executive leadership is detracting from the former culture instead of creating a new culture that fosters loyalty.","1. SecureLink pays WAY below market rate for everyone except execs (i'm assuming here). Everyone that has left has gone on to a new role with a %50+ pay raise.
2. Senior Management lacks diversity and although they are trying to make improvements the culture has started to skew very ""sales bro"" and that is very off putting.
3. Transparency - This was something that was amazing a couple years ago and now it seems like no one knows what is going to happen next or what the plans for the company are.
4. While complaints and concerns are absolutely heard (Lexi is amazing) - there often seems to be a lack of any action and some people continue to thrive while producing nothing but negativity."
4,SecureLink (TX),The Best of the Best,2021-10-04,5.0,Senior Business Development Representative,"- The culture (really though). It's a laid back and truly caring culture where everyone is a resource and happy to help. 
- Leadership is really talented and there to support you and help you succeed. ""No dumb questions"" approach, with management truly invested in their teams.
- The benefits are top of the line. It's great having the peace of mind that your health insurance is fully covered and that contributions are being made to retirement and HSA accounts.
- They like to promote internally and are there to help you in determining career path and helping you get there. 
- Work hard and it does not go un-noticed. Hard work is certainly rewarded. SecureLink loves to celebrate success!

In short, SecureLink provides you all the resources and support you need to be successful and have fun doing it.",I racked my brain for cons but I honestly can't think of any.
5,SecureLink (TX),"Continued growth, exciting changes ahead!",2021-10-05,5.0,Anonymous Employee,"This company has bold aspirations. It's growth goals are bold. It's solution/product evolution is bold. Do we have it all figured out, nope. Have we shown the willingness to admit when we have a few approaches that are off, yes. SL and it's owners are poised to make the needed investments to bring our solutions together under a unified umbrella which will be important to our customers. It's cliche to say that it cares but it does. The company cares about it's people and lets leadership invest in it's own ideas around professional and personal development.",Everyone has a pace. At times I do wish that we were able to increase the pace of some of the other folks to allow us to move faster.
6,SecureLink (TX),Doesn't get much better than SecureLink!,2021-07-22,5.0,Current Employee,"Amazing work/life balance, unlimited PTO & flexible schedule - get your work done & done well & you can take the time to rest & enjoy living life to the fullest - so crucial to not burn out! I have the support I need without being micromanaged, great leadership. I have loved the opportunity to explore different areas of the business & find a niche that fits my interest - lots of opportunities for career growth & changing your career path.","Salary paired with traditional benefits (HSA contribution, PTO, etc) & non-traditional benefits (made to order chef for breakfast/lunch, office amenities, gym) is spot on; however, I think w/ a shift to remote work for many employees, salary has shifted to being less competitive w/out those non-traditional benefits."
7,SecureLink (TX),Best Place to work hands down,2022-01-12,5.0,Software Developer,"Respectful and considerate to employees
Career mobility within the company
Passionate about learning and teaching skills",Fire-hose of information which can be intimidating
8,SecureLink (TX),LOVE IT HERE,2022-01-12,5.0,BDR Representative,"Great teams, Remote available, Dope office",none that i can think of
9,SecureLink (TX),Great place to work!,2022-01-05,5.0,Content Manager,Great PTO; Catered lunches; engaged management; lots of room for growth; good pay,The office is super far away
