,company,headline,date,overall_rating,author_position,pros,cons
0,Synack,Great company,2022-03-12,5.0,Anonymous Employee,Great vision and direction. They really do hire the best people.,There are no cons that I can think of.
1,Synack,Changing for the worse,2022-03-26,1.0,Sales,"Some good people in IC roles. Solution is better than that of its competitors. Company does have good focus on DEI. Decent benefits.

I believe in its ultimate mission of its security solution. I really want things to work out for me here because of that.","- Culture is changing. I felt a much better vibe when I started. Management makes reactionary decisions rather than keeping their eye on the ball.

-Good people have left or are leaving. This happens at every company, but it's happening for the wrong reasons within the last year. 

-The human part of HR is lost on that team. 

-Superficial leaders. They'll tell you what you want to hear but operate in a way that does not reflect what they say."
2,Synack,"Good place to Grow, success determined by region",2022-03-24,4.0,Account Executive,"Decent location when office was open, awesome co-workers, decent pay",your territory 100% defines your success here. Some reps haven't sent a cold email in years and hit their numbers while others have to scrap and scrape to get meetings.
3,Synack,Don't waste your time,2022-03-15,1.0,Senior Program Manager,Nothing that I can think of!!,"The leadership has lost its vision. The product is really a service not a Saas as they are trying to portray. The new HR team is destroying this company. The first time I have ever seen the HR team really only working for the higher management's benefits. 
High turn over, low morale, low transparency. The pay is lower than market standard. Just don't waste your time."
4,Synack,Awesome Company to work for !!,2022-02-14,5.0,Solutions Architect,They value their employees and treat them with dignity and respect,Still small but growing rapidly :)
5,Synack,Burning cash,2022-03-16,1.0,Product Manager,"Startup perks like food, snacks, etc","Unrealistic shifting goals
Pushing premature products to market
Toxic culture"
6,Synack,The only constant is change,2022-01-13,5.0,Solutions Architect,"Dynamic, evolving, challenging, talented people, supportive culture","Dynamically evolving and challenging environment (which I think are Pros, but it’s not for everyone)"
7,Synack,Great Environment,2021-11-08,5.0,Software Engineer,"The people, culture, environment, and future.",Nothing to report. Great place.
8,Synack,"2 years later, still the best decision I made",2021-01-07,5.0,Technical Operations Manager,"* Really cares about people (seriously)
* Flexible in finding ways to utilize employees unique talents, rather than putting them in a ""box"" for the hired role
* Very open and transparent company- accepts input and recommendation from anyone, regardless of seniority, and open to making changes to improve
* The sense of purpose here is phenomenal. Everyone I work with legitimately believes in the mission and takes pride in the work they do. It's incredibly rewarding to be so exposed to the front lines of cybersecurity and watch clients strengthen and become more resilient to cyberattack.
* Can be fully remote! Which was very effective during the pandemic and allowed us to grow during that time rather than downsize.","* Been a startup for a while, so some small growing pains as the company expands"
9,Synack,Couldn't ask for a better place to work,2021-01-05,5.0,Security Program Manager,"- great co-workers
- get to work from home 
- feedback is heard from leadership and noticeable changes are made in a timely manner
- company transparency
- great company promo items and monthly care boxes from HR and marketing","- on rare occasions, the job is required to work outside of business hours ( its the nature of the business)
- as the company expands the org structure is constantly shifting too (so if you are not flexible these can be frustrating)"
