,company,headline,date,overall_rating,author_position,pros,cons
0,Venterra Realty,BEST COMPANY EVER!,2021-04-14,5.0,Better Living Consultant,"I have worked for Venterra Realty for 1 Year and this is my first time working in property management and let me tell you this has been the best year of my working life. I am excited to wake up and come to work everyday. I love that Venterra sticks to their core values, helps each employee reach their goals, and that they make sure that every employee feels appreciated. Venterra Realty is hands down the best company I have ever worked for.",There is no cons in my opinion.
1,Venterra Realty,Awesome Culture! Opportunity for growth,2022-03-26,5.0,Better Living Consultant,"I absolutely love my time working for Venterra so far. I have been a leasing consultant here for about 6 months and my entire time here has blown me away. I was shocked by how much the company genuinely seems to care about the employees and set them up for success. The culture is set up to favor team work, cooperation, and genuine care. I have been with companies before that say that they value their employees and they value genuine care, but the way they show it is empty. This is not the case with Venterra. From what I have seen so far, they prove day in and day out that they actually place importance on their values. I haven't met a coworker or manager yet that hasn't been a pleasure to work with or for, and this is thanks to everyone being set up with the tools they need to be successful and to foster team work and comradery. There is also a lot of room for growth, Venterra always tries their best to hire from within and provide opportunities for current employees. Also, Venterra pays a portion of college tuition if you are a student, and has initiatives set up to assist anyone that is interested in learning and growth.","It honestly is hard to think of cons. Of course, nowhere you work will be completely perfect, but Venterra is pretty darn close. I guess one con is that it doesn't always feel like there is enough staff for coverage if there is an unexpected outage. I always feel like I can take scheduled time off if I need to, but if I ever have an emergency on a day where someone else is off it leaves the office understaffed."
2,Venterra Realty,"Love, Love, Love",2022-03-26,5.0,Better Living Consultant,"Amazing work environment, appreciates employees feedback, recognition and praise no matter your position level. Great communication. Great pay, so many different opportunities to make more money. Promotes within.",There is not much I could say here.
3,Venterra Realty,Great Recruiting Experience,2022-03-25,5.0,SR Manager Human Resources,Very friendly employees throughout the recruitment process,Covid impacted timing between steps
4,Venterra Realty,You Live & Learn At Venterra,2022-03-14,3.0,Better Living Manager,"At Venterra, it is better living for residents, it’s appreciated. Residents become family and even with the good and the bad, our hard work is appreciated and residents do love us for it. Celebrations are big with Venterra - birthdays, anniversaries, appreciation days, you’ll never go hungry at a Venterra community. I love that you get a day off for your birthday, reduced rent as an employee that lives on site, great bonuses. My manager was amazing. She cared for her staff and went above and beyond to get all that she could for us as her team. Loved it!","Residents and prospect safety comes before staff unfortunately. We pretty much have to lay down for whatever they ask for or need. Venterra is all about numbers and getting guest cards done. Those come first and the system comes off as pushy, aggressive and bothersome. Venterra tries to Murrow Chick Fil A’s purpose and mission and that is a fail unfortunately. In the case of my office staff, where our community is in the process of being sold, immediately you’re treated less than. Venterra’s actions towards you completely change. You’re treated like a stepchild before you even depart from the company. It’s so sad. Communication with recruiting is very bad, even when you express your passion to move forward with the company and possibly stay with them. Very fake."
5,Venterra Realty,LOVE coming to work EVERYDAY!,2022-02-25,5.0,Community Manager,"Venterra keeps things simple, and fun!!! I truly enjoy coming to work every single day. The culture is amazing, and the people are even better!",I can't think of any cons worthy of posting.
6,Venterra Realty,Amazing workplace backed by a great company culture and endless opportunities for growth!,2022-02-22,5.0,Communications Manager,"From the start, Venterra was one of the most welcoming workplaces that I have entered. Each and every colleague that I have interacted with is kind and wants to help whether it be giving you the resources you need or walking you through a new process. 

Collaboration is something that sets the company apart from others, making it truly feel like a family - and with 65+ properties in different locations that can be a hard thing to accomplish! As a remote employee, I am thankful to have opportunities to work with various colleagues throughout the company on a daily basis.

Leadership encourages employee input for improvements, with no ideas too small or large. The company emphasizes personal growth through compensation reviews, management surveys, education stipends, and more. Your career is really what you make of it here.",None that I can think of!
7,Venterra Realty,"Times, they are a changing...",2022-03-03,2.0,Community Manager,"The employees are amazing. All of our properties, in my area, work as a team and help each other out. 
I have had opportunities with Venterra that I never had with other companies. I have had the privilege to work in other departments, like the acquisition team, so broaden my knowledge and understanding of the process.","The employee experience use to be Venterra's number 1 priority, but recently, employee experience has taken a backseat to the bottom line. Decisions are made at the corporate level that deeply impact the onsite team, with no insight from the team members it will be affecting. There has become a disconnect from off-site (corporate) and onsite. The numbers are beginning to mean more than the people. This is in direct contradiction to the company that I have known for years."
8,Venterra Realty,Unhealthy management,2022-02-24,3.0,Better Living Consultant,"- Industry standard pay
- Benefits
- Work life balance","Venterra has some of the worst management I have ever worked for. They are toxic. Employees are frequently belittled by management, forced to do things outside of the scope of their job descriptions, and often take on some of the workload from management. Management is hardly present on the property during the workday.

The cost of living adjustments are atrocious and you are capped on pay, despite not making enough at that pay rate to comfortably lease an apartment from Venterra.

Commission structure for leasing units is well below the market rate. Even if you make Venterra a million dollars, you are barely compensated."
9,Venterra Realty,Groundskeeper,2022-02-27,2.0,Groundskeeper,Long work hours & decent pay,Long working hours in extreme weather conditions
10,Venterra Realty,Great Core Values!,2022-02-09,4.0,Anonymous Employee,Great core values and vision,Can get too caught up in changes
11,Venterra Realty,Best. Place. To work... EVER!,2022-01-21,5.0,Maintenance Manager,"Venterra takes care of their employees as well as they do their residents. Which is to say- BETTER than anyone else! My only regret is not getting here sooner! The company culture motivates all their employees to be their best, give 101%, go the extra mile, and every other positive cliché ever!","Not a con at all, but this is no place for slackers! If you're not ready to give 101% everyday... this may not be the place for you."
12,Venterra Realty,Accept No Substitute,2022-01-18,5.0,Regional Director of Property Management,"Forward thinking, receptive to employee feedback, reviews are actual reviews and not just words on a piece of paper, every employee receives money to put towards life long learning, team celebrations for milestones and birthdays, work anniversaries, no one is stuffy-everyone is on the same team.","fast paced and always changing. If you don't do well with change, Venterra is not the place for you. 

May be time to revisit vacation time in general."
13,Venterra Realty,Certified Make Ready,2022-01-18,5.0,Certified Make Ready,Venterra is an awesome company to work for. Very family oriented company. Takes care of their employees always.,"Sometimes the work load can be overwhelming, but we contract out as needed to ensure that the work completes."
14,Venterra Realty,No way,2022-02-23,1.0,Assistant Maintenance Manager,None to mention. Not worth it.,Micromanaging is a thing. They are very judgmental of new employees. They provided almost no training. They do not care about their employees unless you are in tight with the regionals or area managers. One of the worst companies I have ever worked for. Don't fall for their false promises and lies.
15,Venterra Realty,True to core values,2022-01-17,5.0,Anonymous Employee,"The company is true to its core values. They don't just preach it, they live it.",Some things can be too decentralized at times.
16,Venterra Realty,Great Company,2022-01-12,5.0,Anonymous Employee,People care about you. Good compensation. Overall pleased.,None that I can think of.
17,Venterra Realty,I love the companyI work for,2022-01-10,5.0,Maintenance Supervisor,Venterra recognizes and rewards my talents. I am not micro managed. My opinion is valued. The culture @ Venterra is second to none. So proud to call Venterra my favorite employer ever. I am compensated well for my experience.,Trying to fill available positions with the right talent. But this has to do with the time we live in and not the company
18,Venterra Realty,Your Career is What you Make It,2022-01-07,5.0,Senior Leasing Consultant,"Employee development and growth
Strong Team dynamic
Competitive pay
Above average benefits package
Ever changing and innovative","None at this moment, I'm pretty happy with where I am going."
19,Venterra Realty,Great Company,2021-12-22,5.0,Community Manager,Venterra is such a great company to work for. They take care of their employees and really listen to our ideas and any concerns we may have. Very caring company in all aspects. I actually love coming to work!,I actually have no cons!
20,Venterra Realty,"Best Place to Work, GUARANTEED",2021-12-21,5.0,Community Manager,"Takes care of their employees, residents and really cares.",Suggest Corporate include On-Site with major new rollouts and take their suggestions when making the final decision.
21,Venterra Realty,Great Company to work  for!,2021-12-21,5.0,Community Manager,"Great salary and benefits. Compassionate managers, diverse company where all employees have a voice.",none at this time that does not come along with any job opportunity
22,Venterra Realty,Postive overall,2021-12-15,5.0,Leasing Agent,"Great work environment 
Supportive leadership
Commission was good","Tenants 
Working weekends on your own"
23,Venterra Realty,"A great company, growing quickly",2021-12-10,5.0,Engineer,"Fantastic people first culture, lots of team activities and good natured people. Flexibility in process and support for process improvement. Growing company, lots of oppurtunity.",Culture of innovation can be challenging for some.
24,Venterra Realty,Venterra Opportunities,2021-12-03,5.0,Leasing Consultant,Working for this company will give you many opportunities as you grow with an innovating and caring organization that cares about it's employees and partners.,Difficult bonus structure for leasing in smaller properties.
25,Venterra Realty,Has potential,2021-12-17,3.0,Leasing Consultant,Discount on living and mentorship program,Pay and commission could be better and their portfolio is older properties and trying to flip them but doesn't work that well with managers that are afraid of upset residents.
26,Venterra Realty,Venterra is the place to go to grow!,2021-12-02,5.0,Area Manager,"You make a difference. Your voice is heard regardless of your title within the organization. Culture and employee benefits are incredible. We make time to have fun! Venterra is innovative and forward-thinking while not losing sight of the most important thing, their employees who work daily to serve others. I started 5.5 years ago with zero experience and have had the opportunity to serve as a Leasing Consultant, Senior Leasing Consultant, Community Manager, Senior Community Manager, and now newly created position Area Manager. If you are ready to grow, Venterra is the place to go!","I love Venterra, I do not have any cons."
