,company,headline,date,overall_rating,author_position,pros,cons
0,AMD,Great company with great leadership,2022-04-09,5.0,Anonymous Employee,"CEO Lisa Su is a fantastic leader, easy to trust her guidance and is positioning the company to be an industry leader for years to come.",Cons you would typically assume in a company experiencing high growth. A lot of things to be working on!
1,AMD,good,2022-04-07,4.0,Software Development Engineer I,simple low salary heavy load,push push push push push
2,AMD,Healthy Work Life Balance + Company Culture,2022-04-07,5.0,Software Engineer,"- Company work culture
- Work life balance",- Uncompetitive pay compared to top companies.
3,AMD,Goat company,2022-04-06,5.0,Anonymous Employee,Nice company good pay benefits,not too many cons i like it
4,AMD,AMd,2022-04-06,2.0,Senior Director Product Management,Great place to work and make a diff,No diversity in and around teams
5,AMD,Great work culture,2022-04-06,4.0,Senior Software Engineer,"Great work culture.
Good learning scope.",AMD gives a poor total compensation.
6,AMD,Fun,2022-04-05,5.0,Intern,Nice time with colleagues and friends,No overtime pay no work life balance
7,AMD,Great,2022-04-04,5.0,Staff Software Engineer,"Good compensation
work life balance
many opportunities","N/A, so far so good"
8,AMD,Firmware Engineer,2022-04-03,3.0,Firmware Engineer,"GREAT PLACE TO LEARN, GOOD AND HELPFUL TEAM",Working over hours and pressure to meet the timelines
9,AMD,Good place to work,2022-04-02,4.0,Packaging Engineer,Coworkers are hard working and easy to work with,Pay raises are not very good
10,AMD,Good Company,2022-03-31,5.0,Sr silicon design engineer,"good team, interesting work, helpful","tough hours, many meetings, big orgs"
11,AMD,AMD,2022-03-31,3.0,Senior Marketing Manager II,it has a big potential to grow.,"branch office is far different from HQ , specially people management"
12,AMD,Great place to work,2022-03-29,5.0,Senior Program Manager,"- Flexible workplace
- Good colleagues 
- High opportunity to learn and grow",- None I can think of
13,AMD,AMD is GOOD,2022-03-28,5.0,Software Development Engineer II,Work-life balance is pretty good here.,Documentation is pretty rare in our team.
14,AMD,Great cultural,2022-03-28,5.0,Data Analytics Engineer,"Great cultural, great company , well diversified","Roles and responsibilities are not clear, no due recognition, long work hours"
15,AMD,Exciting projects and good team culture,2022-03-28,4.0,Software Development Engineer II,"- Plenty of leadership opportunities
- Challenging tasks",- Very busy at times
16,AMD,Good Place to work,2022-03-27,4.0,Hardware Engineer,Good working environment and learning opportunity,high stress and require work no than 8 hours
17,AMD,Was great,2022-03-25,5.0,Intern,Great culture and interesting work,No major cons to report!
18,AMD,Good place to work.,2022-03-25,4.0,Member of Technical Staff(MTS),Good place to work. Good place to work.,salary is less comparatively. salary is less comparatively.
19,AMD,good place to work,2022-03-24,4.0,Fellow,"exciting and dynamic products, high growth and level of activity keeps people on their toes",Need process improvements to keep pace with product improvements
20,AMD,good place to work,2022-03-24,4.0,Fellow,"exciting and dynamic products, high growth and level of activity keeps people on their toes",Need process improvements to keep pace with product improvements
21,AMD,Great place to work at!,2022-03-22,4.0,Software Engineer New Grad,"Great work culture, and amazing people to work with in the Company.",There might be a bit of bureaucracy in the company but it is within expectations of working in a big company like AMD
22,AMD,Good Benefits,2022-03-21,5.0,Anonymous Employee,You get to work with smart people,Work life balance may not be good depending on the team
23,AMD,Good,2022-03-21,4.0,Design Engineer,"Good pay , team work, Opportunity, helpful, comfortable","More time
No specific working hours"
24,AMD,Work life at AMD,2022-03-20,5.0,Anonymous Employee,"Management is quite flexible
Nice benefits and leaves",Work timings are bit off
25,AMD,Amd salary,2022-03-20,4.0,Staff Engineer,Good flexible high pay nice,Reorg quite frequently and etc
26,AMD,Excellent company,2022-03-19,5.0,Comptable,Great company to work for,Less inclined to remote working arrangements
27,AMD,good,2022-03-19,5.0,Physical Design Engineer,great company to work with,nothing negative can be mentioned
28,AMD,Great Team,2022-03-18,4.0,UX-UI Designer,Everyone on my team is so supportive and understanding! We are like a family,The higher ups don’t care about designers that much!!
29,AMD,Great Work Environment,2022-03-18,5.0,Silicon Design Engineer II,"AMD has definitely gotten better over the year,

- work environment is extremely friendly 
- great opportunity to grow",- newer teams are overloaded to the point where there is no work life balance
30,AMD,Great,2022-03-18,4.0,Anonymous Employee,"Good work culture, good growth",There are days where Long hours are required
31,AMD,Good company,2022-03-18,5.0,SOC Engineer II,seems to care about employees,"Could have better offices, overly packed"
32,AMD,hiring，hiring，hiring,2022-03-17,4.0,Hiring Manager,Join us and  have fun.,The pay is not much.
33,AMD,Good company,2022-03-16,4.0,Program Manager,"Nice people, good salary and good manager",Corporate environment and a little boring
