,company,headline,date,overall_rating,author_position,pros,cons
0,Adobe,Great place to work,2022-04-06,5.0,Key Account Manager,I love working for Adobe~,I don't have any cons
1,Adobe,Amazing company culture,2022-04-05,5.0,Anonymous Employee,Genuine encouragement for career growth.,Large corporate environment can sometimes make it challenging to navigate.
2,Adobe,"Great company, dependable people",2022-04-04,4.0,Senior Engineering Manager,"Good people who are always there for help.
Stock has done well in past 10 years.
Future looks good",Need to work on new products
3,Adobe,Cool,2022-04-03,4.0,Translator,They are clear with what they want.,It was hard to get the job.
4,Adobe,BDR Life,2022-03-30,5.0,Business Development Representative,Fantastic company with great benefits,Low commission and intricate products
5,Adobe,Fun and non-competitive atmosphere,2022-03-29,5.0,Senior Computer Scientist,I really enjoyed my time at Adobe before retirement. Adobe hires quality people and it makes for an interesting place.,Salaries are slightly lower than some of the other major Silicon Valley employers
6,Adobe,Dream Company to work for,2022-03-28,5.0,Sales Development Representative (SDR),"-Great Benefits
-Wonderful sales Culture
-Exciting opportunities for growth 
-Great work environment
-Great pay",Not any I can think of.
7,Adobe,An incredible atmosphere for success,2022-03-25,5.0,Business Development Representative,Adobe is constantly working to empower its employees in the pursuit of success and quality of life.,"I have not had any negative experiences working for Adobe. The employees are held to a high standard and therefore there is a competitive work environment, but it is all done in such a positive manner that you will be better for the atmosphere provided."
8,Adobe,"Values driven, employee and customer centric company",2022-03-25,4.0,Senior Director,"- Makes products that customers love!
- Great benefits (including summer and winter shutdowns)
- Smart and passionate colleagues","- Decision making slow at times because of matrixed setup
- planning processes are cumbersome and can get in the way of getting stuff done"
9,Adobe,Great company but teams vary,2022-03-24,3.0,Senior Product Designer,Great benefits and meaningful work.,Success is very team dependent and not a lot of opportunities for upward mobility. Most people have to leave to get promoted.
10,Adobe,"Great support, great company",2022-03-23,5.0,Product Manager,"Great colleagues
Industry-leading products and services
Creativity actively encouraged
Great mentorship options
Very good managers
Very positive work environment
You really can't do better, it's a fantastic place to work","Doesn't allow for personal international relocation, regardless of reason."
11,Adobe,Inclusive culture,2022-03-22,5.0,Creative Director,"Good programs to promote inclusivity, a lot of clubs, awareness of equal pay and diversity.",A lot of politics similar to other companies this size.
12,Adobe,Superb Work Environment !,2022-03-22,5.0,Principal Solution Architect,"- Very friendly and cordial work environment where everyone, including management team is very supportive
- Values and respects individuals
- Believes in achieving goals as a team ,where everyone plays their part and supports one another
- Compensation and Benefits are world class !
- Excellent work life balance",- Yet to find one !
13,Adobe,Meh,2022-03-19,3.0,Anonymous Employee,"- good pay
- good life balance","- impossible to be promoted
- work experience is not very fulfilling"
14,Adobe,Oky but not great,2022-03-18,2.0,BDR,Good team nice benefits bad management,Not enough pay for the work I do.
15,Adobe,Great place,2022-03-16,5.0,BDR,"Adobe Days off, room for growth",Multiple SFDC instances makes it confusing
16,Adobe,It was pretty good,2022-03-16,4.0,Software Engineer,"Laidback environment, nice enough people","no sense of community, sort of dull"
17,Adobe,Great company,2022-03-15,4.0,Senor Software Engineer,"Care for employees 
Technical leadership",Politics and issues with big companies
18,Adobe,"Lovely company, looks after employees and really puts people first",2022-03-15,5.0,Senior Engineering Manager,"Great support network, a number of opportunities and programs to help you grow and be happy and healthy while working.","Lots of voices and opinions, sometimes hard to align on strategy and move forward on initiatives."
19,Adobe,They prioritize the well being of their employees,2022-03-14,5.0,Customer Success Manager,Amazing benefits and warm company culture.,"Small fish in a big pond, hard to get promoted or move around within the company"
20,Adobe,Great Company,2022-03-11,5.0,Account Manager,Culture is great and the leadership was also great,Movement is challenging so it was hard to switch departments
21,Adobe,Solid culture,2022-03-10,5.0,AVP-Sales,Solid leadership and consistent direction which is apparent by the stock price,Territories need to be even to ensure all Sales Professionals have a legitimate oppty to achieve quota
22,Adobe,Associate Experience Designer at Adobe,2022-03-10,5.0,User Experience Designer,Most inclusive and healthy work environment I've ever been a part of. Take extremely good care of their designers and anything that they might need.,I don't have any yet!
23,Adobe,Good,2022-03-08,5.0,Software Engineer,Very good company in general love to work here,Nothing to say much in terms of cons and pros
