,company,headline,date,overall_rating,author_position,pros,cons
0,Bet365,Good,2022-04-08,5.0,Anonymous Employee,Except me and I have to,Excellent good job thanksgiving day and
1,Bet365,!!!,2022-04-07,3.0,Customer Advisor,There are Opportunities to get promoted,"Pay is average 
Lots of working late hours
Some supervisors are rude"
2,Bet365,European Customer Account Team Leader,2022-04-05,5.0,European Customer Account Team Leader,Very good conditions and benefits,Customer service to the gaming industry tends to be stressful
3,Bet365,Great place to work,2022-04-04,5.0,Senior Project Coordinator,"Collaborative environment with interesting projects and people. Good pay, and company benefits. I feel supported and encouraged in my role.","Access to an org chart would be great, the company is so large it can be hard to know who to talk to!"
4,Bet365,N/A,2022-04-04,4.0,Design Implementation Analyst,Take care of employees well,Pay not very competitive in todays market
5,Bet365,Good Starting Dev Job,2022-04-02,4.0,Anonymous Employee,"Good pay
Bonus scheme
Other benefits good value","Titles behind actual responsibilities
On call required
All custom tech - harder to branch out of the business"
6,Bet365,Good,2022-03-22,4.0,IT Systems Engineer,"Good bonus scheme 
Holidays
Great team","Intense 
Difficult ship to turn
Making changes can be challenging"
7,Bet365,Could be a good company,2022-03-20,3.0,Customer Advisor,"Salary is the best attractive
28 days of holiday","-Really poor management
-Unprepared people on charge (REALLY poor people management skills)
-Poor communication between areas (things changes suddenly without previous notice)
-Massive work load (the activity by itself is really easy to handle, but is massive to do the same thing the all day)
-Crazy shifts (say goodbye to your social life)"
8,Bet365,Excellent pay and benefits,2022-03-19,3.0,Customer Service Supervisor,Excellent pay and staff benefits,The shifts don’t allow a healthy life balance
9,Bet365,Easy work,2022-03-19,5.0,Tea Lady,"Friendly 
Easy work
Reliable employer
Good shifts","Burnt fingers from hot mugs
Some of the staff take themselves too seriously"
10,Bet365,good but stressfull,2022-03-19,3.0,Customer Service,"good pay, each 4 weeks there is a long weekend, 4 days off","very stressful and busy, managers not very good"
11,Bet365,bet365 employee,2022-03-19,1.0,Customer Advisor,"good for students to work part time, good pay","long hours, very short breaks and can’t use your phone at desk"
12,Bet365,Great company to work for,2022-03-15,5.0,Customer Service Representative,Great company to work for. Nice benefits and modern offices,Sometimes can be a bit cooperative
13,Bet365,Overall,2022-03-15,5.0,Senior Customer Advisor,Good training and salary with good team,Sometime management are bad and toxic
14,Bet365,Micromanagement,2022-03-15,1.0,Trading Assistant,Definitely won't recommend anyone to work there,No outside thinking. Pushy managers
15,Bet365,Good for learning,2022-03-12,4.0,Anonymous Employee,Lots of responsibilities for developers if you're willing to make sacrifices,On call rotas can be difficult
16,Bet365,"Good Money, Weird Hours",2022-03-11,3.0,Telebet Advisor,"Great money for the role
Stoke City FC Tickets","Very little focus on staff wellbeing - the customer always comes first, even if it means receiving constant verbal abuse.

A lot of weekend work and late shifts needed to cover sporting calendar."
17,Bet365,Very good,2022-03-08,5.0,Customer Service Advisor,"Good environment, good company values and support",It was a little stressful to answer phonecalls and chats at the same time
18,Bet365,Face doesn't fit,2022-03-06,1.0,Trading Assistant,Used to be a good wage until everyone else caught up.,"Unless you fit the profile for their supreme leaders (group head of trading) liking then there is no chance of having a normal working life. Dont even think about progression, also promotions/jobs given to people without interview."
