,company,headline,date,overall_rating,author_position,pros,cons
0,BlackRock,"Hard work, great experience",2022-05-21,5.0,Data Operations Analyst,Great knowledge of the financial sector and the operations behind it.,Lack of personnel and long hours. Steep learning curve.
1,BlackRock,"Grt company, only Return to office mindset needs to change",2022-05-20,4.0,Assistant Vice President,Overall good growth opportunities and multiple teams.,Return to office mindset needs to change as is changing and should understand IT shift.
2,BlackRock,Okay,2022-05-19,4.0,Associate,"Culture, hard working people and opportunity",internal politics stagnate the growth
3,BlackRock,Blackrock,2022-05-19,3.0,Anonymous Employee,"good culture overall, esp compared to bb",group can be very specific
4,BlackRock,good place to start your career,2022-05-19,3.0,Associate,"Prestigious, smart coworkers, interesting at times","Large org, doesn't take as many risks, lack of transparency"
5,BlackRock,Salary,2022-05-19,5.0,Anonymous Employee,salary is just ok. But good wlb,Slow career growth. Structured org chart
6,BlackRock,Excellent global firm!,2022-05-19,5.0,Executive Director,"Clients, Remuneration and Product Lines",Opportunity to grow in current market can be limited for senior positions.
7,BlackRock,Worst ever,2022-05-19,2.0,Programmer Analyst,"Unlimited PTO
No business professional
Associate after 2 1/2 years","High anxiety
Hr is not your friend
sneaky managers and company
Need higher pay for hours
No overtimes"
8,BlackRock,Differs from departments to departments,2022-05-17,3.0,Anonymous Employee,Great benefits and resources; internal mobility,Hit or miss with managers; career trajectory differs from department to department
9,BlackRock,Analyst,2022-05-17,4.0,Analyst,"- Flexible Time Off
- Hybrid Work (remote/in-office)","- Demanding work environment
- Raises depend on department (you can have record company profits and still not get a raise....)
- Salary is over-rated (most employees think they are getting more than industry standard when they aren't...especially when you factor in workload/stress)
- High turnover rate given above bullet
- Too many diversity hires versus qualified hires"
10,BlackRock,Analyst,2022-05-17,4.0,Analyst,"- Flexible Time Off
- Hybrid Work (remote/in-office)","- Demanding work environment
- Raises depend on department (you can have record company profits and still not get a raise....)
- Salary is over-rated (most employees think they are getting more than industry standard when they aren't...especially when you factor in workload/stress)
- High turnover rate given above bullet
- Too many diversity hires versus qualified hires"
11,BlackRock,Good,2022-05-17,4.0,Business Analyst,"High pay, local, and organic",They fired me which I didn't like
12,BlackRock,Intense,2022-05-17,4.0,Global Human Resources Director,Unlimited time off takes away stress of counting days,Workload is very high and very hard to staff teams properly
13,BlackRock,Excellent company to work with,2022-05-16,4.0,Associate,"Good global exposure 
Great team","No work life balance 
Stress"
14,BlackRock,Good co,2022-05-16,3.0,Analyst,"Great co and culture, good training",Can make progress on diversity
15,BlackRock,Fantastic,2022-05-16,5.0,Anonymous Employee,"Great culture, work-life balance, colleagues, mobility and collaboration.",None none none none none
16,BlackRock,busy but learned   a lot,2022-05-15,4.0,Associate,good name. learned a lot.,busy. senior management cares less. no career path
17,BlackRock,BlackRock Budapest Analyst,2022-05-15,5.0,Data Analyst,"Flexible, well paid, great experience",Yearly bonus more or less equal to 70-80% of a net monthly salary
18,BlackRock,Good Place,2022-05-14,4.0,Private Equity Associate,Commitment to excellence and smart people,Long hours with limited insight into leadership
19,BlackRock,Good company for the first career,2022-05-14,3.0,BlackRock Associate,Nice people with non toxic culture,Low salary. Very mechanical work if not investments
20,BlackRock,Judgmental environment,2022-05-12,2.0,Sourcing Recruiter,Hybrid work schedule with three days on and two days remote,Appear to be supportive but judgmental most staff
21,BlackRock,"Big company, your experience depends on which team you get in, not on company",2022-05-12,3.0,BI Analyst,"competitive salary and perks, possible learning opportunities","highly dependent on team and team leader, not fair bonus and promotion system"
22,BlackRock,"Fast paced, high quality co-workers",2022-05-11,4.0,Director,"High quality colleagues
Clear focus 
Name recognition globally","Workloads growing all the time
Progression at upper levels slow"
23,BlackRock,"Great company, nasty Boston retail service center team",2022-05-11,2.0,Client Success Specialist,"Great company, great benefits as a whole","Absolutely trapped taking calls at the service center, toxic management. Nasty culture within the Boston Service Center team. Very Catty. I would not recommend this position to my work enemy."
24,BlackRock,Good company - hard career advancement,2022-05-11,4.0,Legal Counsel,"Good comapny
Good team
Interesting job, opportunity to improve","Salary is not competitive
Career advancement is hard"
25,BlackRock,It's aight,2022-05-11,4.0,Software Engineer,Good projects and people most of the time,Projects can be a little boring sometimes
26,BlackRock,Great employer,2022-05-11,5.0,Portfolio Manager,"Flexible time off, challenging work",Sometimes difficult to make changes
27,BlackRock,2 years Experience salary,2022-05-10,4.0,Analyst Software Engineer,"15 Rs meals in Gurgaon office
free cab facility","Low salaries
Promotions take a lot of time."
28,BlackRock,Good place to be but difficult for mobility & progression,2022-05-10,4.0,Analyst,"- good hours
- good benefits
- generally supportive working environment","- for me my experience is that promotions are difficult (long process, everyone must like you, not just your boss) & internal mobility seems hard"
29,BlackRock,Good,2022-05-09,5.0,Trader,Its cool because people are nice,There is no downside in working for blackrock
30,BlackRock,Good,2022-05-09,5.0,Trader,Its cool because people are nice,There is no downside in working for blackrock
31,BlackRock,Good company to work for,2022-05-09,4.0,Assistant Vice President,Great collaborative culture and great benefits,no work life-balance and poor management
32,BlackRock,"Experience only reflects FP&A Finance @ BlackRock, other roles are likely different",2022-05-09,3.0,Financial Planning and Analysis Associate,"Relatively good job security
Huge name - good for resume
Impressive benefits","Work life balance - what is this?
Very bureaucratic
Leadership actions often don't align with their narrative"
33,BlackRock,Its good company to work for,2022-05-08,4.0,Vice President,"1)good benefits like subsidized insurance for parents
2)good learning for diff technologies",2)pay is bit less compared to its competitors
34,BlackRock,Great benefits,2022-05-08,5.0,Senior Project Manager,"Blackrock has flexitime time off, rrsp matching and good healthcare. Highly recommend.",None that I have experienced.
35,BlackRock,Good growth opportunity,2022-05-07,5.0,Vice President,Company offered a lot of opportunities for employees to learn and discover skills apart from expertise,Can be a bit challenging on work expectations and need perseverance to move up.
36,BlackRock,Sales Associate,2022-05-07,4.0,Anonymous Employee,Good HR services and support,Long hours and low pay
37,BlackRock,Good place to work,2022-05-07,5.0,Associate,"Good ethics
Good opportunity 
Flexibility worklocation",Nothing to say as of now
38,BlackRock,Cheap company,2022-05-06,1.0,Associate,Good work and life balance,"Low pay, bureaucracy, some senior managers know nothing about technology"
