,company,headline,date,overall_rating,author_position,pros,cons
0,Box,slow but steady growth,2022-04-03,4.0,Anonymous Employee,"Box has a growing market that is recognizing and validating its value proposition, the product has been refined and sales motion tuned to sell the entire suite of features vs. a la carte, this has had a positive impact in accelerating revenue","turnover across different organizations is a constant challenge especially as the company accelerates it's go to market strategy, execution is crucial to maintain credibility in the market. A more competitive compensation structure and offering 401K can help mitigate these issues"
1,Box,Great company to work in,2022-04-01,5.0,Software Engineer III,"Very good culture 
Good base pay
Lots of cross team collaboration 
Good co workers and mentors","No Bonuses
Raises
Stock performance and inconstancy"
2,Box,IT Support Eng. Job Role,2022-04-01,5.0,IT Senior Specialist,Best place to work on earth!,There isn't anything I can think of!
3,Box,Full time LO,2022-03-30,3.0,Mortgage Loan Officer,Decent company to work for.,"Benifits are garbage
no mathing on 401k"
4,Box,"Great people, software, and culture",2022-03-29,5.0,Account Executive,Box has a great work culture and has done a great job of hiring and developing a platform that people enjoy using,Pay could be below market rate
5,Box,Incredible culture and solutions,2022-03-29,5.0,Large Enterprise Account Manager,"Welcoming, fun, excellent pay, supportive atmosphere including from all Executives",None so far but it's only been a month
6,Box,Great Culture,2022-03-28,5.0,Sales Development Representative (SDR),Loved the company and their culture. great offices as well.,none at this time. loved Box.
7,Box,Great Onboarding Process,2022-03-28,5.0,SMB Account Executive,"Interview process is very transparent and the onboarding is extremely thorough.
Great pay and benefits. Big emphasis on a healthy culture to which they have achieved.",I have not experienced any cons thus far.
8,Box,Great culture,2022-03-25,5.0,Senior Software Engineer,"Great culture
Good work life balance",Comp is below average except when you first come in
9,Box,Bright leaders,2022-03-24,5.0,Sales Representative,Opportunity to grow your career,Tough market to sell in.
10,Box,Bright leaders,2022-03-24,5.0,Sales Representative,Opportunity to grow your career,Tough market to sell in.
11,Box,Great Company,2022-03-22,5.0,Anonymous Employee,there was a great culture,it was remote when I worked
12,Box,Great Job,2022-03-17,5.0,Outbound Business Representative,Supportive team and overall great culture. fun place to work!,no 401k match. alot of internal meetings
13,Box,Enterprise Account Executive,2022-03-15,5.0,Large Enterprise Account Executive,"- Great culture 
- Great leadership 
- Good value proposition","- Crowded market segment
- Low brand recognition"
14,Box,Great Environment,2022-03-14,4.0,Site Reliability Engineer II,Great perks in office and in general,No 401k match at all
15,Box,Nice place to work,2022-03-12,4.0,Software Engineer,Challenging and interesting projects with a lot of opportunity.,Processes are not well established and can be less structured or chaotic sometimes.
16,Box,"Awesome company, management could use some work",2022-03-10,5.0,Senior Account Executive,"Great culture, couldn't ask for anything better. It's company built around it's sales org.",Some managers have been there too long and shouldn't be there or at least have the ranking that they do.
17,Box,Great company overall,2022-03-09,5.0,Anonymous Employee,"Great culture where people care about employee's well-being, great company values, great work-life-balance.","No 401k matching, compensation could be slightly more competitive."
18,Box,Great Place to Work!,2022-03-08,5.0,Sales Enablement Specialist,"Super encouraging environment, great company culture, top-notch management, and competitive product!",We experience some growing pains as we scale & it's hard to keep a consistent workforce in tech (especially with all of the WFH opportunities out there)
