,company,headline,date,overall_rating,author_position,pros,cons
0,Cincinnati Children's Hospital,Look Elsewhere- now is not the time to work at Children's,2022-04-07,1.0,Manager,"medical benefits
employees who care about improving child health","At start of Covid, some employees were furloughed and got 100% pay to stay home while some of us were on-site and did our work full time (or more b/c short staffed) yet we all got ZERO pay raises 

favoritism
poor acceptance of employee suggestions
clique esp within Leadership

pay!!! It's the ""only pediatric show in town"" so they pay less- if you don't mind working with adults, go elsewhere b/c the pay is MUCH MUCH better. (They are competing with staff) 

morale is low- very low"
1,Cincinnati Children's Hospital,Great staff/management,2022-04-06,5.0,Registered Nurse,I feel very heard on my unit.,I think Working weekends is hard.
2,Cincinnati Children's Hospital,BHS,2022-04-05,3.0,Behavioral Health Specialist,"Experience, good psych start, mental health advocation","Restraining children, may stay past shift"
3,Cincinnati Children's Hospital,Not competitive pay wise,2022-04-05,4.0,Research Assistant II,Everyone is very friendly. Culture is good.,Not enough pay to be competitive.
4,Cincinnati Children's Hospital,Great culture,2022-03-31,5.0,Anonymous Employee,Very dedicated people. High level of concern for the employees. Great mission.,Very large organization. It can take time for decisions to go up and down management.
5,Cincinnati Children's Hospital,CCHMC changes causing co-workers to leave,2022-03-30,3.0,Coordinator,"Flexible schedule, pension, work from home","The salaries are on the low end for some positions, some jobs title require degree regardless of experience. Taking away some of the good benefits that the hospital was know to have."
6,Cincinnati Children's Hospital,Solid place to work at,2022-03-30,4.0,Research Assistant II,"Friendly people, able to work pretty independently, no micro-managing",Wish there was more opportunity to work from home
7,Cincinnati Children's Hospital,Great place to work,2022-03-30,5.0,Registered Nurse,High acuity of patients with great supportive staff. You will learn so much as a nurse or doctor.,A large hospital that has many employees so staffing can be an issue
8,Cincinnati Children's Hospital,The grass is pretty green here,2022-03-29,4.0,Registered Nurse,"Amazing resources, state of the art technology.","Holidays, weekends, understaffed, small pay increases"
9,Cincinnati Children's Hospital,Clinical Research Coordinator,2022-03-29,5.0,Clinical Research Coordinator IV,I love this company because of the work culture—everyone goes above and beyond for their patients. I also think that the benefits (including their pension program) are really great.,"Although they have recently made some changes, the salaries offered still aren’t as competitive as other places. sometimes work processes seem overly structured and it is difficult to accomplish tasks"
10,Cincinnati Children's Hospital,Great Cause,2022-03-29,3.0,Lead Scheduling Agent,Rewarding work with real life results,Low pay considering intense human interaction
11,Cincinnati Children's Hospital,Salary,2022-03-28,3.0,Nurse Practitioner,Fun to work with children,"Management is very disengaged to current work environment. Often not available and not responsive. Pay is low compared to other hospital in area, no respect work life balance"
12,Cincinnati Children's Hospital,Manager review,2022-03-28,5.0,RN Clinical Manager,"World class, EBP organization that promotes learning and growth. Wonderful place to work in pediatrics.",Large organization; sometimes feel lost in the shuffle
13,Cincinnati Children's Hospital,bad place to work,2022-03-28,1.0,Postdoctoral Fellow,You get lots of benefits.,"Here holidays are cut from PTo so basically you don't have federal holiday or state holidays all those are cut from your PTO.
 Big politics in some labs"
14,Cincinnati Children's Hospital,Salary,2022-03-27,3.0,Clinical Research Coordinator,Many positions received Market rate adjustment recently,Over worked and long hours
15,Cincinnati Children's Hospital,Great work culture but no promotions,2022-03-24,3.0,Anonymous Employee,"Work culture, work-life balance, environment, mission","Limited opportunities for advancement- you can get a role but because everyone loves it they all stay so long and there are no openings to promote. Even when you can move up you may be in a position for a long time. If you are POC, it can be tough because you don't see many POC at the supervisor and up levels except maybe some nursing leaders."
16,Cincinnati Children's Hospital,Great Place to Work!,2022-03-24,5.0,Epic Director,"Great culture, good benefits and great people. This mission is really great as well.",Can sometimes have a little initiative fatigue.
17,Cincinnati Children's Hospital,Great Company,2022-03-23,4.0,Patient Care Assistant (PCA),Great kids and great employers.,None that I can think of.
18,Cincinnati Children's Hospital,Dependent on lab,2022-03-23,4.0,Research Assistant III,"-Decent pay, as a research assistant III, you can make $24.30 and hour, but you are salaried
-Good health insurance, it has the nonprofit equivalent on a 401k, and two weeks vacation and one week sick leave
-Job can contribute to 10 year loan forgiveness as CCHMC is a nonprofit","-Experience will depend on which lab you end up in, the cultures vary
-No ability to take time off for three months initially
-No retirement account matching contributions"
19,Cincinnati Children's Hospital,CCHMC,2022-03-23,4.0,Clinical Research Coordinator,"Great benefits, good opportunities to advance",Non-competitive pay for industry standard
20,Cincinnati Children's Hospital,Good Institute to work,2022-03-23,4.0,Research Assistant IV,Good Benefits and great people to work with,Human Resources can make not great decisions sometimes.
21,Cincinnati Children's Hospital,Great,2022-03-22,5.0,"Registered Nurse, BSN",its a fun place to work,managers could be better sometimes- not great overtime incentive programs no matter how short we are
22,Cincinnati Children's Hospital,Incredible place to work,2022-03-22,5.0,Formula Technician,"Support from the community and hospital
Recognized for excellence
Incredibly intelligent and knowledgeable staff","Hard work 
Lower pay
Imposer syndrome due to incredible staffing"
23,Cincinnati Children's Hospital,Cincinnati children's Hospital,2022-03-21,5.0,Research Assistant II,"Great place to work, teamwork is of the utmost level, great place to develop skills, great cafeteria.",Not applicable at this time
24,Cincinnati Children's Hospital,best place to work at!,2022-03-20,5.0,Clinical Research Coordinator III,"Great co-workers, good benefits, merit pay","COVID-19 protocols still in place, construction."
25,Cincinnati Children's Hospital,Great place to work and wonderful benefits,2022-03-20,5.0,Operations Director,"Benefits, Pension, opportunities, growth, work life balance.",Nothing immediately stands out to write.
26,Cincinnati Children's Hospital,Review,2022-03-19,5.0,Anonymous Employee,Good place to work with,"Career advancement is not good, not a lot of promotions"
27,Cincinnati Children's Hospital,Large institution with lots of resources,2022-03-18,4.0,Physician,Exceptional exposure to rare pathologies and sub-sub-specialists.,Occasionally unclear messaging from upper management.
28,Cincinnati Children's Hospital,Review,2022-03-17,3.0,"Director, Population Health",Commitment to improving health outcomes,Lack of diversity in leadership
29,Cincinnati Children's Hospital,Great place to work,2022-03-16,5.0,Anonymous Employee,Friendly staff and management team,Pay could be higher for entry level jobs
30,Cincinnati Children's Hospital,Customer Service Representive,2022-03-16,5.0,Customer Service Representative,Being able to be of service in helping families,Not really any negative cons
31,Cincinnati Children's Hospital,Experiment,2022-03-15,3.0,Research Assistant II,Decide own timing for experiments,"Hard to plan lunch breaks with ongoing experiments and testing
Understaffed
Long hours"
32,Cincinnati Children's Hospital,Nice workplace,2022-03-11,5.0,Anonymous Employee,Great working environment. People are nice. Great benefits,Pay rate is low compared to industry
33,Cincinnati Children's Hospital,Great place to develop career talents,2022-03-11,5.0,Clinical Research Coordinator,Great work environment and the company wants to see you excel.,Being a non-profit the pay can be below industry standard
34,Cincinnati Children's Hospital,Great place to witk,2022-03-10,5.0,Practice Director,Mission. Values. Committed. Care about employees.,Not fair market value for salaries. Highly matrixed reporting structure. Large ego prevents innovation. Operationally inefficient.
35,Cincinnati Children's Hospital,Great place to work,2022-03-06,5.0,Patient Care Assistant (PCA),"advances with your career goals, friendly co-workers, teaching hospital",underappreciated at times but overall not bad
36,Cincinnati Children's Hospital,Nice place to work with,2022-03-02,4.0,Anonymous Employee,"Not much pressure, flexible work time, the culture is warm and easy","The pay is lower compare to industry, good place for self-driven people to work there."
37,Cincinnati Children's Hospital,Great!,2022-03-02,5.0,Registered Nurse,Flexible for your schedule and life,Short staffing can be a challenge
38,Cincinnati Children's Hospital,Great place for a new developer,2022-03-01,5.0,.NET Developer I,"Flexible working hours, training budget, 100% remote work","No retirement matching, though there is a pension"
39,Cincinnati Children's Hospital,Good Place to Get Started Out in Research,2022-03-01,4.0,Clinical Research Coordinator II,"Company reputation, pay, opportunities for advancement",Grant funded and thusly not stable
40,Cincinnati Children's Hospital,Great place to work for,2022-03-01,5.0,Business Intelligence Analyst,"Work life balance
Culture
Management
Paid time off",Compensation is below market average
41,Cincinnati Children's Hospital,Great place to work,2022-03-01,5.0,Research Associate,"Advanced technology
Academically rigorous
Good pay
Great benefits
Inspiring perks",The location is getting upgraded every day. So no qualms here.
42,Cincinnati Children's Hospital,Good,2022-02-28,3.0,Behavioral Health Specialist (BHS),"Great work environment, flexibility with schedule",Communication between staff could be better
43,Cincinnati Children's Hospital,Good,2022-02-27,3.0,Research Assistant II,Nice community to work in and good resources,Not enough pay for most people
44,Cincinnati Children's Hospital,Great Place!!,2022-02-24,5.0,Patient Care Assistant (PCA),"I love the new building, people are great, babies are awesome!",Everyone is so far away
45,Cincinnati Children's Hospital,Good experience,2022-02-22,5.0,Emergency Services Representative,"Good pay, good benefits, positive atmosphere",Stressful hospital environment and exposure to illness
46,Cincinnati Children's Hospital,"They still offer a pension, 403B retirement savings, bonuses, PTO, Shift Differential",2022-02-19,5.0,Inpatient Pharmacy Technician,"Great team environment, very competitive pay, more room for advancement than retail pharmacy with skills and salary, huge brand-new pharmacy, PTO, students-they will work with your schedule","Parking can be far depending on which hospital garage you are assigned to, you will work holidays and rotations of days, nights and weekends"
47,Cincinnati Children's Hospital,Great place to work,2022-02-17,5.0,Clinical Quality Improvement Specialist (CQIS),Great leadership. Very nice people. Meaningful work.,Pay is on the lower end.
48,Cincinnati Children's Hospital,PAR,2022-02-17,4.0,Patient Access Representative,People are nice and doctors,Patient parents can be rude sometimes
49,Cincinnati Children's Hospital,Great Place to work,2022-02-16,5.0,Business Director,"Benefits, Peers and overall a great place to work",Need to be flexible with remote work
50,Cincinnati Children's Hospital,Mostly good,2022-02-15,3.0,Associate Professor,"Smart people, rewarding work, decent pay.",It feels more like a corporate environment.
51,Cincinnati Children's Hospital,No Advancement Opportunities,2022-02-15,2.0,Supply Chain,Caring Coworkers and nice office area,No Advancement Opportunities for non medical staff
52,Cincinnati Children's Hospital,WONDERFUL!,2022-02-10,5.0,Licensed Clinical Social Worker,"Great pay, awesome benefits, wonderful supervision, flexible","Hard work that is often the result of the field, not the employer."
53,Cincinnati Children's Hospital,Managed Nursing Programs for Center for Excellence,2022-02-10,4.0,Program Manager,Great people! Smart and caring.,Turnover in our department was 30%.
54,Cincinnati Children's Hospital,Great,2022-02-09,5.0,Registered Nurse,"Supportive staff, room for growth, lots of help, great place for a new grad nurse",Pay not as competitive compared to others
55,Cincinnati Children's Hospital,Great place,2022-02-09,5.0,Intern,"Feel valued, always learning more",The way PTO/sick days/holidays work for hourly employees
56,Cincinnati Children's Hospital,Current Employee,2022-02-07,4.0,Certified Pharmacy Technician,Great experience and good foot in the door for other opportunities within the hospital.,"no set schedule
very high volume pharmacy 
a lot of walking"
57,Cincinnati Children's Hospital,Great culture and environment,2022-02-04,5.0,Patient Care Assistant (PCA),"Flexible schedules, supportive staff, collaborative environment",Holiday schedule and the adjustment period and onboarding process of a new employee
58,Cincinnati Children's Hospital,Love my work here,2022-02-01,5.0,Anonymous Employee,Love my work at Cchmc,The pandemic has been draining
59,Cincinnati Children's Hospital,Great place to work,2022-02-01,5.0,Postdoctoral Fellow,good pay and benefits and good colleagues,parking is a bit of mess and the commute isnt great for being 10 miles away (about 45 minutes door to door)
60,Cincinnati Children's Hospital,Hospital medium sized dept Business manager,2022-01-27,3.0,Business Manager,Good experience for young mba,Pay not comparable to other industries
61,Cincinnati Children's Hospital,Overworked,2022-01-26,1.0,Behavoral Health Tech,Staff keep you coming back.,Terrible pay for the amount of mental distress
62,Cincinnati Children's Hospital,Great place to work,2022-01-25,5.0,Anonymous Employee,Great salary & benefits; good people.,Have to pay for parking.
63,Cincinnati Children's Hospital,Registered Nurse,2022-01-24,3.0,Registered Nurse,Good benefit package starting day 1.,So much management and understaffed
64,Cincinnati Children's Hospital,Work place,2022-01-20,4.0,Research Assistant III,Best place to work and enhance your career.,No gym facility at the work.
65,Cincinnati Children's Hospital,Awesome place to work!,2022-01-19,5.0,Clinical Research Coordinator III,"Salary, benefits, bonuses, tuition reimbursement, EAP, plenty of growth opportunities, wonderful culture, etc.","None, I've worked here for 5 years now in various positions and departments and love it."
66,Cincinnati Children's Hospital,"Good from far, far from good",2022-01-19,3.0,Nurse Practitioner,"Great retirement plan, great people","Benefits keep getting more expensive, salary raises are a joke"
67,Cincinnati Children's Hospital,Great Company,2022-01-18,4.0,Medical Billing Specialist,"Work at home, Great pay, good flexibility","Very busy, Lazy leadership, Better incentive"
68,Cincinnati Children's Hospital,Ok,2022-01-18,3.0,Supply Chain,Flexible hours. Open twenty four hours,Lacks communication. Not the best supervisors
69,Cincinnati Children's Hospital,Great Place to Work,2022-01-18,4.0,Registered Nurse,"Love this company with all of my heart. You will build great relationships here, and the kids will touch your heart in every way imaginable. No matter how it may seem, your co-workers and managers really do care about you, and your well-being.","Pay is average. Benefits are average. Healthcare is a difficult place to work right now so I understand administrative is tied in the changes they can make. Sometimes I just felt my voice was not being heard, or it was being heard but nothing would be done or changed."
70,Cincinnati Children's Hospital,Meh,2022-01-17,2.0,Behavioral Health Specialist,"BENEFITS
hours are pretty flexible
Working with the kids","Not valued
Seems to be about money, pts don’t get much psychiatric help, usually end up coming right back
They readmit the worst of pts, the ones that terrorize staff
Don’t get injured because they won’t take care of you
Can you say BURNOUT
turnover is terrible
They don’t really restrain violent kids like they used to.. the kids get away with so much disrespect (smacking you, throwing things at you, pulling hair etc)
Staff are now afraid to restrain so people get beat up
BHFs"
71,Cincinnati Children's Hospital,"Great to the kids, but not to eachother",2022-01-16,1.0,Coordinator,There is no pro to working at Children's.,"I have worked in two completely different departments at Children's and all I can say is that your fellow coworkers are caddy and terrible. I have had many jobs and never did I deal with such mean people that hated their life.
Also, the corporation doesn't care about their employees. 
I used to think Children's was my dream job, but I was terribly wrong."
72,Cincinnati Children's Hospital,x,2022-01-14,1.0,Research Fellow,"life expenses, insurance, environment, location","low salary, diversity, weather and old town"
73,Cincinnati Children's Hospital,Great,2022-01-13,5.0,Research Assistant,"Flexible, nice environment, learn a lot",There isn’t a lot of room to grow into a career without pursue higher education
74,Cincinnati Children's Hospital,GREAT PLACE TO WORK,2022-01-11,5.0,Anonymous Employee,"Great place, very understanding management!",Have to pay for parking.
75,Cincinnati Children's Hospital,Best Hospital in Cincy,2022-01-11,5.0,Senior Specialist Talent Acquisition,Team collaboration is a high priority in this organization. Everyone can have a voice here. Managers and leaders are supportive of individual growth and career development.,"With an emphasis on collaboration, sometimes it can take a while to create meaningful change because there are so many stakeholders included."
76,Cincinnati Children's Hospital,CCHMC,2022-01-11,3.0,Registered Nurse,"working with children's, new facilities","extremely understaffed, no schedule flexibility, must work for over 20 years for scheduling benefits"
77,Cincinnati Children's Hospital,Great company culture,2022-01-10,5.0,Anonymous Employee,"versatile, community based, uplifting environment, thoughtful management",I don't have any cons.
78,Cincinnati Children's Hospital,Great,2022-01-10,5.0,Analyst,Great work environment. Management is helpful,"None, this is a great place to work"
79,Cincinnati Children's Hospital,Amazing Mission and Culture,2022-01-10,5.0,Director,Simply the best children's hospital in the world. Not only do they care about our mission but employee's are a top priority as well.,Can be challenging at times to work for such a large organization
80,Cincinnati Children's Hospital,Great Place to Work,2022-01-09,5.0,Patient Access Representative,"My managers were great as well as my coworkers. They were very flexible and it. was easy to advance. It is a hospital so they do not tolerate a lot of things, but they are definitely fair.","I do feel they pay should be increased for the amount of work being done at times. Turn over isn't very high in some departments, but others it is so it's easy to move around departments to see other positions. But that's also means understaffed so m ore work."
81,Cincinnati Children's Hospital,Proud to work here,2022-01-07,3.0,Anonymous Employee,"Community Involvement 
Education Opportunity
Team Building
Patient Care","Low Pay, Employee Parking, few personal development opportunities, low growth opportunity"
82,Cincinnati Children's Hospital,Cincinnati Children's,2022-01-05,3.0,Registered Nurse,"Good work environment till recently, now all floors are severely short staffed",Pay not competitive and company is all about making money for themselves
83,Cincinnati Children's Hospital,Work quality,2022-01-03,4.0,Anonymous Employee,Great community of motivated people work here,Salary could be higher here
84,Cincinnati Children's Hospital,Experience Dependent on Division Placement,2022-01-02,3.0,Senior Executive Assistant,Decent benefits; good salary for external applicants; pension in place.,"Very difficult to move up within the company even with good evaluations; when moving from one job to another, even if new job minimum pay is much higher, you cannot get more than a set percentage raise in pay; depending on division you are working within, management favored some over others - not related to quality of work; woke corporate environment"
85,Cincinnati Children's Hospital,Good Employeer,2021-12-31,5.0,Instructor,Nice blend of an academic and clinical environment. Overall nice place to work.,Nothing out of the norm for any company.
86,Cincinnati Children's Hospital,Nice atmosphere,2021-12-30,5.0,Scheduling Coordinator,Great team members and excellent training,Nothing that I encountered while enployed
87,Cincinnati Children's Hospital,Great place to work,2021-12-30,5.0,Registered Nurse,"The atmosphere, the people, and my hours","Pay is not as great, insurance is expensive but has great insurance."
88,Cincinnati Children's Hospital,Good place to work,2021-12-29,4.0,"Registered Nurse, BSN","wonderful environment, helping kids is rewarding",minimal bonus pay for nurses
89,Cincinnati Children's Hospital,Great Spot to Work,2021-12-29,5.0,Registered Nurse,"Training and Education
Emphasis on up to date practice
Culture coaching to improve interdisciplinary communication","Hospitals are all hard places to work
Travel nursing pays significantly better"
90,Cincinnati Children's Hospital,Pandemic grad nurse,2021-12-29,5.0,Registered Nurse,"Work with kids
Good staffing ratios
Coworkers are friendly","It’s a big organization ,you can get lost among the numbers 
Staffing has been rough lately"
91,Cincinnati Children's Hospital,Very good job,2021-12-23,5.0,Senior Administrative Assistant,"Able to wfh 2 days per week even after return to work from Covid, flexible work hours. Reasonable work load, hourly so can walk away from the job and not be expected to check in after leaving for the day, ability to get small amount of overtime.
Groups of admins share skills, tips, act as resource. Annual bonus usually. Retirement fund, reasonable insurance options, free training.","Can get in a division with horrible supervisor, coworker or physician to support (as anywhere). Promotion pay is very structured, usually no negotiation. Tend to not fire low-performing staff."
92,Cincinnati Children's Hospital,Good clinical teaching hospital,2021-12-22,4.0,Registered Nurse,"High acuity, loads of different experiences.","Too big of a unit, just a number."
93,Cincinnati Children's Hospital,Formula Room Technician,2021-12-21,4.0,Formula Room Technician,"Good work environment, Good coworkers","Poor Hours, Lot of Work for Little Pay"
94,Cincinnati Children's Hospital,N/A,2021-12-17,5.0,Registered Dietitian,Good work environment and leadership.,I can’t think of any cons.
95,Cincinnati Children's Hospital,ok,2021-12-16,3.0,Registered Nurse,"the patients, flexible scheduling, teamwork","they know they can treat you differently because you chose to work in pediatrics, i.e. less pay, minimum raises and mediocre benefits"
96,Cincinnati Children's Hospital,Registration,2021-12-13,5.0,ESR I,"Great company, good hours, good people","Nothing, this is a great company"
97,Cincinnati Children's Hospital,Don't sacrifice yourself for a paycheck,2021-12-08,2.0,Executive Assistant,"Wonderful pay, great benefits package, friendly co-workers","Archaic systems, unclear HR practices, parking, commute"
98,Cincinnati Children's Hospital,Friendly work environment,2021-12-08,4.0,Technician,Friendly coworkers and a good vision,Low pay for research with small raises (1.5-3% a year)
99,Cincinnati Children's Hospital,Pretty good place to work,2021-12-07,4.0,Anonymous Employee,Decent benefits and hours were straight forward.,Working at a children’s hospital can be demoralizing/depressing seeing all of the hardship young children can experience.
100,Cincinnati Children's Hospital,Childrens Primary Care,2021-12-05,2.0,Front Desk Receptionist,"Great staff, day off during the week.","Rude management, bad communication with employees, no respect for employees."
101,Cincinnati Children's Hospital,great experience,2021-12-04,4.0,ICU Registered Nurse,one of the top children's hospitals with all the resources you could ever need. competitive pay with neighboring hospitals,not much room for growth as a bedside nurse
102,Cincinnati Children's Hospital,WOrkplace Review,2021-12-03,5.0,Anonymous Employee,Great place to work and lots of opportunities to learn and grow.,It is a great place to work and learn.
