,company,headline,date,overall_rating,author_position,pros,cons
0,Coldwell Banker,Great culture,2022-04-06,5.0,Analyst,The culture at Coldwell is great.,More autonomy and remote options.
1,Coldwell Banker,Decent,2022-04-05,3.0,Sales Agent,Tools like Buildout and Desk help with professionalism,Leadership and training and feeling like just a number
2,Coldwell Banker,Ok place to wrk,2022-04-05,1.0,Real Estate Agent,No room for growth. Left as quickly as I joined,"Not a fair work environment, no room for growth"
3,Coldwell Banker,Coldwell Banker,2022-04-04,4.0,Realtor,Well Organized. Great Technology. Great Support,huge company and lack of referrals
4,Coldwell Banker,Coldwell Banker La Jolla The Best!,2022-04-04,5.0,Real Estate Agent,Great staff and supportive office manager. The best real estate office I've ever worked in. It was like a family. Really miss my co-workers. Beautiful office with views of the ocean. CB has plenty of marketing tools to help you succeed.,Finding street parking for office and weekly meetings.
5,Coldwell Banker,Agent,2022-04-01,5.0,Anonymous Employee,Great managers and agents who helped me thrive.,I didn’t have any cons.
6,Coldwell Banker,increds,2022-03-31,5.0,Realtor,Real estate technology is top tier and 10x better than the pyramid scheme kw.,Not a thing. Absolutely increds.
7,Coldwell Banker,Great company to work for ..,2022-03-25,5.0,Sales Associate,My office manager in Manalapan/Marlboro Office is the absolute best ... very supportive and helpful.,Stingy with the commission splits.
8,Coldwell Banker,No growth,2022-03-23,2.0,Anonymous Employee,Good medical insurance and dental insurance.,No growth if you plan to stay long term.
9,Coldwell Banker,Great company,2022-03-23,5.0,REALTOR®,"Systems, own schedule, training and resource galore",A lot to learn. Can be overwhelming
10,Coldwell Banker,In-depth Honest Review,2022-03-21,3.0,Marketing,"Pros if you are an agent - There is nowhere better than CB. 
They have the best combo of trainers, tools, and splits you will find. Amazing staff that will go above a beyond. Though each office has its own unique culture all try to be inclusive to all types of agents whether you just want to do one deal a year or want to do a hundred. 

Pros if you are staff - 
+Lots of opportunities to try out new skills. 
+No higher education is required (formal degree). 
+Challenging work but nothing extremely difficult if you are good enough with computers. 
+You are paid overtime if you go over 40hrs at your usual rate (though working OT is frowned upon). 
+Lots of paid holidays off plus 2weeks vacation after first few months, 401K matching, health benefits are... passable. 
+There are almost always snacks and drinks of all kinds in the office.
+Most managers (in our area) are flexible if you need time off or just to leave early for an emergency/life. 
+You'll work with passionate people who will bring out the best in you.","Cons if you are an agent - literally none. Seriously the best place for agents.

Cons if you are staff - TLDR: You will be underpaid and over-relied upon. 

-The staff who last at CB are the ones who truly care about their agents and the company - and both parties take advantage of that mindset. Agents have no boundaries for your personal life or time and will demand a 2-day project to be done in an hour.
-There is no formal training. If you are not a ""self-starter"" to an extremely high-degree these jobs will seem impossible.
-Recognition is not bad but it will never come in the form of a significant raise but rather in shout-outs and maybe gift cards. You can hit every metric and be the best employee but you'll likely still see the same 1-2% ""raise"" as the one who did the minimum. 
-If you work in an office, leadership will always side with the agents even when it's a written rule."
11,Coldwell Banker,Great!,2022-03-21,5.0,Marketing Coordinator,"- Very friendly agents in the office 
- Lots of room for creativity",- There are no cons!
12,Coldwell Banker,The Best,2022-03-21,5.0,Sales,"Unmatched technology, free classes & certifications, unbeatable marketing",You need to work hard and be good at being self-directed
13,Coldwell Banker,broker review,2022-03-21,5.0,Provisional Broker,"encouraging, team-oriented environment, very supportive","no strict schedule, work becomes homework"
14,Coldwell Banker,Best company ever,2022-03-20,5.0,Anonymous Employee,"Very organized , kind, and very understandable",There isn’t any cons for this company
15,Coldwell Banker,Good Company,2022-03-19,5.0,Accounting Assistant,"Supportive Co-Workers, Low-stress environment, Flexible","Job was mundane
Expensive health insurance"
16,Coldwell Banker,OK,2022-03-18,3.0,Personal Banker,it's ok thank you - there aren't many years for me to say much,not very many as I haven't been there very long
17,Coldwell Banker,Full comisson based,2022-03-16,5.0,Realtor,open schedule provides tons of freedom,need leads or it is very difficult
18,Coldwell Banker,Realtor/entrepreneur,2022-03-15,5.0,Realtor With Exp Realty,Real estate is a very fun and exciting career. They gave us the tools we needed.,I don’t see any cons
19,Coldwell Banker,Easy to get ahold of manager and helpful staff for paperwork submissions,2022-03-15,5.0,REALTOR®,Never had an issue getting an answer to a question. Free CE classes.,50/50 split on all commissions to a certain point.
20,Coldwell Banker,review,2022-03-15,5.0,Licensed Realtor,you can set your own schedule.,you need to find your own leads.
21,Coldwell Banker,Great employer,2022-03-14,5.0,Anonymous Employee,A great company to work for.,There are no cons to this job.
22,Coldwell Banker,Great Job!,2022-03-13,5.0,Realtor Assistant,Great for the learning process of real estate.,"Realtor are very busy, so figuring out their schedule."
23,Coldwell Banker,Good company,2022-03-12,5.0,REALTOR®,Great company but I did not like the commission split. Good for new agents.,Commission split was my only issue.
24,Coldwell Banker,None,2022-03-09,5.0,Leasing Administrator,Great environment to work in,Not enough time paid time off
25,Coldwell Banker,No room for growth,2022-03-09,3.0,Content Specialist,Real estate is a fun industry,"All of the focus is on the realtors, not on the staff"
26,Coldwell Banker,Not what they say,2022-03-08,3.0,Front Desk Receptionist,Great co workers- and free lunches,Manager and HR not being on the same page
27,Coldwell Banker,N/A,2022-03-08,5.0,Real Estate Broker,Very good enviroment to work in.,The market isn't always so hot
28,Coldwell Banker,Wonderful company to work for,2022-03-06,5.0,REALTOR®,"Great management, training and support","None, I'm truly happy here"
29,Coldwell Banker,Good,2022-03-06,4.0,Anonymous Employee,Good place to work overral,Too much time on job
30,Coldwell Banker,Leverage the History,2022-03-03,4.0,Real Estate Agent,"Access to training
Senior realtors willing to help
Laid back vibe in office",No lead generation from management
31,Coldwell Banker,not for everyone,2022-03-02,3.0,SSAS Administrator,"decent time off, benefits are not bad",management has no idea what they are trying to do and play favorites
32,Coldwell Banker,Great work environment,2022-03-02,4.0,Marketing Specialist,"Work life balance 
Most staff are very friendly",Not competitive wages in California
33,Coldwell Banker,Advisor salary,2022-03-01,4.0,Real Estate Advisor,"The right starting point for a sales career, great leaders and experience.",Due to good mentors its hard to leave
34,Coldwell Banker,"Great company, but",2022-02-28,3.0,Anonymous Employee,"Stable and solid company.
Great environment and wonderful people to work with.
Colleagues are always helpful. 
Offer trainings for refresher and /or improvements. 
WFH","If you are competitive and wanted to move up quick, this is not for you. It takes a long time unless someone leaves. 
No quarterly commission/bonuses.
If you are looking for high paying job living in the pacific west, it is not for you."
35,Coldwell Banker,Real estate ops manager,2022-02-26,3.0,Real Estate Operations Manager,Knowledgeable agents that work along side you in order to advance market share,Hours can be more than compensated for
36,Coldwell Banker,Great Company,2022-02-25,5.0,Real Estate Agent,"Tech, Support, Leads, locations, vibe","lots of agents, tech needs alittle help, referrals high"
