,company,headline,date,overall_rating,author_position,pros,cons
0,DocuSign,Not Exactly What I Thought,2022-04-06,3.0,Account Executive,"Great benefits, work from home, pretty fun environment, nice people, working for a company with a well-known name and strong reputation.","Unfortunately, the job was just not what I thought it was going to be or what I felt I was told in the interview. In the division I was in, we were mostly selling very small, transactional deals and there was a compliance feel to it as well. Customers were not thrilled with the conversation and very regularly were comfortable going to competition."
1,DocuSign,Decent Place to Get Started,2022-04-06,3.0,Account Executive,"- Some managers are great with excellent team culture
-Product is fantastic","-Lot of growing pains
-Pay is lower than other SaaS companies"
2,DocuSign,Great product + place to work,2022-04-06,5.0,Anonymous Employee,Continue to re-invent the product to stay fresh and relevant.,"Not a lot here, maybe not as competitive salary wise as other companies."
3,DocuSign,Work of your life,2022-04-06,5.0,Market Development Representative,"DocuSign has such an amazing culture, that truly makes me excited to work everyday.",There hasn't been anything that has proven to be a con
4,DocuSign,Horrid Culture Shift,2022-04-06,1.0,Senior Software Engineer,"- If you started a while ago, you might be above water with the stock RSUs
- Benefits are decent, especially if you are considered a remote employee",There has been a massive take over in management from much more corporate companies (namely Cisco). This has lead to a major downturn in the culture most of the old timer DocuSigners were used to. The company is heavily moving in the direction of: Do whatever it takes to make our quarterly numbers look good. This means cutting costs here and increasing them there so that they look better even if the employees have a worse working experience. Most large scale projects the company undertakes have failed or are delayed consistently due to poor planning and understanding of the problems being worked on. This is only going to continue to get worse as all the people with domain knowledge flee for better places.
5,DocuSign,DocuSign EMEA,2022-04-06,4.0,Sales Manager,"Great product to sell a mix of run-rate deals and larger deals. 
Stock options, supportive management team, career progression","Moves super fast, some growing pains of recent that comes with Hyper growth"
6,DocuSign,Solid Company but Plenty of Opportunity,2022-04-05,3.0,Director,"DocuSign really cares about its employees and has done an amazing job supporting everyone through the pandemic. They afford flexible hours, remote work, decent benefits, and no shortage of opportunity to improve the organization or own skills.","All companies have issues and areas for improvement but I think DocuSign has struggled to make meaningful improvement.

* More organizational friction and egos than necessary. Need a 'be kind' company value.

* Rather in-grown with former Microsoft employees which has created a bit of an echo chamber. This can also stifle career growth.

* Reasonable amount of technical debt and toil.

* May not be as competitive on benefits in the current employee-driven market."
7,DocuSign,Good,2022-04-04,4.0,MDR,Good pay and culture yes,Can be a bit too much
8,DocuSign,Fun company w/growing pains,2022-04-04,4.0,Market Development Representative,"Straightforward career growth, fun culture, flexible work environment and newly updated office",Poor communication as a result of growing pains
9,DocuSign,Good,2022-04-04,4.0,Marketing Manager,Nice people and ability to move up,No work from home opportunities
10,DocuSign,Contact research,2022-04-04,5.0,Account Development Representative,"Sales = worklife balance
great work culture
clear progression path","Job is only sustainable for a short period of time
Eyes on promotion/getting ready for next role
Number focused
Living wage"
11,DocuSign,A great company,2022-04-04,5.0,Manager,"The company has a true care for its employees. Benefits, time-off, programs, health initiatives, and family importance are all at the forefront of the care for the employees.","Internal support to sustain growth lacks at times, but is expected with a fast growing company."
12,DocuSign,Great Place to Work if You're Wanting to Get Started in Sales,2022-04-03,4.0,Sales Development Representative,"- Great training
- The people are fantastic
- The work life balance is attainable and encouraged",- Pay is less than other companies
13,DocuSign,Great work life balance,2022-04-01,5.0,Software Engineer,"Lots of autonomy, they trust you to do your work and solve important problems.",Inconsistent project prioritization between trans. You need to use a lot of soft social skills to get people from other teams to support you sometimes.
14,DocuSign,Treated so well!,2022-04-01,5.0,Strategic Account Manager,DocuSign has been amazing to my career and my family!,Lots of turnover on the sales team right now.
15,DocuSign,Great company,2022-03-31,5.0,GTM Strategy,Takes care of their employees,collaboration could be improved. stock hasnt done too well post covid
16,DocuSign,Review Headline,2022-03-30,4.0,Anonymous Employee,Fantastic company! Super positive culture.,Tends to be important logistical rule changes without having it being communicated clearly.
17,DocuSign,Would recommend,2022-03-30,4.0,Market Development Representative (MDR),"Culture
Benefits
esignature sells itself
supportive instead of ruthless","not a level playing field -Your account executive/patch in the mdr world is the be all and end all
I would avoid mid market and majors"
