,company,headline,date,overall_rating,author_position,pros,cons
0,Estée Lauder Companies,Education Manager,2022-04-09,3.0,Anonymous Employee,"Good health care and 401k benefits. 
Programs to aid professional learning and development.",Hiring from within is favored.
1,Estée Lauder Companies,Great company,2022-04-09,5.0,Key Holder,Great company to work for,I don’t have any negative to say about working for ELC
2,Estée Lauder Companies,Good Company,2022-04-08,5.0,Lab Manager,"Good people, great work life balance, trusted stuff",Global communication is low. Progress is slow in corporate environment
3,Estée Lauder Companies,Great place to work,2022-04-08,5.0,ECommerce Manager,Good career opportunities at this company,There are no cons at all
4,Estée Lauder Companies,Great Company to Work In,2022-04-07,4.0,Anonymous Employee,"Good Work Culture, Encourage Career Progression","Less Salary, Could have better compensation package"
5,Estée Lauder Companies,Beautician,2022-04-06,4.0,Consultation,Good company to work for,I didn’t experience negativity while working with this company
6,Estée Lauder Companies,A decent place to work,2022-04-06,4.0,National Account Assistant,"Great perks

Pretty cool head office

Flexibility to work from home 2 days a week","So much workload means you have to do unpaid overtime to get ahead

Pay is just about enough to keep you going but not the best"
7,Estée Lauder Companies,It was good,2022-04-05,5.0,Anonymous Employee,Good work culture at the company,Long working hours in the comp ay
8,Estée Lauder Companies,Salary,2022-04-04,1.0,Assistant Manager,Good benefits and good discount on the products,They make it impossible for you to receive the benefits and they give you no training and they set you up to fail
9,Estée Lauder Companies,Account Executive,2022-04-04,3.0,Clinique Field Executive,"Collaborative 
Work life balance
Growth
Company car","Some senior management
Pay
Travel
Responsibilities aren’t even throughout retailers"
10,Estée Lauder Companies,great company,2022-04-04,4.0,Lab Technician,"great company to work for and grow with, to gain more experience",none so far right now
11,Estée Lauder Companies,Pro/Con of Working,2022-04-04,3.0,Manufacturing Assembler,You get a lot of days off and choose when to come in,Stressful and fast-paced environment. Can be boring at times.
12,Estée Lauder Companies,Excellent company to work for,2022-04-04,5.0,Anonymous Employee,Regular trainings on the different brands and amazing discount on products,Lack of trust from the management sometimes
13,Estée Lauder Companies,"Good benefits & work/life balance, Poor pay & opportunity for growth",2022-04-03,3.0,Analyst Package Development,"Good work life balance, 35 hour work week, 13 company holidays + half days before many of the holidays, Summer Fridays, gratis, company discount, good mentorship can be found if you know where to look and the right people to ask.","Pay is decently less than the average in the industry, with only a 2% inflation pay raise once a year, (with the exception of no raises, inflation or otherwise during 2020) unless you receive a promotion. Promotion pay raise was surprisingly low at 8%. Any type of movement in the company takes multiple lateral moves before receiving a vertical promotion. Company promotes ""stretch assignments"" which are a nice way of giving someone two or more jobs but the Company does not allow the work, knowledge or experience gained in these stretch assignments to be used for internal lateral moves to another department. Any type of internal movement or promotion can take incredibly long, two years in my experience."
14,Estée Lauder Companies,order processor,2022-04-02,5.0,Order Processor,They treat you very well,The company is amazing and clean.
