,company,headline,date,overall_rating,author_position,pros,cons
0,Fidelity Investments,Great culture,2022-04-24,5.0,Senior Data Analyst,The company is big but is very close knit and supportive culture.,Growth prospects can be sometimes limited.
1,Fidelity Investments,Great,2022-04-23,5.0,Branch Manager,"Flexibility, Great clients, Service focus, job security",Growth is really accelerating and can be hard to keep up with
2,Fidelity Investments,Workplace Consultant,2022-04-23,4.0,Workplace Consultant,"cool, nice, great, benefits, team","start pay, i dont know anything else besides that"
3,Fidelity Investments,Work place,2022-04-23,4.0,Anonymous Employee,Great work place to work,Nothing like that to say
4,Fidelity Investments,WPC,2022-04-22,3.0,Workplace Planning Consultant I,"- Decent pay
- Good benefits (very long vesting schedule for some)
- Pay for training/licensing, although Fidelity does have a big problem of reps leaving after being paid to obtain the licenses
- They are currently promoting reps very quickly through the WPA department","- Taking phone calls all day long (the majority I had would message you within 5 minutes of not being on the phone, but that could help obviously vary with locations/managers)

- Very high turnover. My team had 5 different managers within 6 months. Reps also leave very quickly to get off the phones. The company really has a plan in place to make their reps stay in the call center as long as possible. Bonus payments are structured to make you feel like it is just close enough to stay for a little while longer. Also a year requirement of work after you obtain your licenses before you can move to a branch role (which are very competitive, and typically are outside hires anyways)

- Extremely sales oriented, but a lot of the clients think we are service. Be prepared for awkward calls where you and the client have completely separate agendas. Instead of servicing the clients need and moving on to help the next, the company would rather you run them through their retirement tools. These tools can be beneficial in some instances, but they are extremely general and many of these clients have recognized that they don’t help much. Seems the department is only here to promote these tools. Only goal on every single call is to take the clients need, acknowledge it while basically ignoring it, run them through the retirement tools so we can gather outside assets, and then set an appointment with a branch so they can move those to Fidelity.

I understand there are plenty of roles similar to this, the only difference is that a lot of the hiring managers at Fidelity do not warn you of this. Multiple reps on my team and I had this same experience.

Overall, this role and the constant phone calls will exhaust you. I would recommend looking elsewhere first if your goal is to get into financial advising. If necessary, this can be a decent role in the short-term."
5,Fidelity Investments,Great company culture/ good benefits,2022-04-22,5.0,Business Analyst,"Love the company culture, really enjoy working with the people in this company",Pay is lower than competitors
6,Fidelity Investments,good,2022-04-22,5.0,Software Engineer,good company to work with,"Management is old, they think old"
7,Fidelity Investments,Good Company to work for,2022-04-21,4.0,Anonymous Employee,Good culture and work life balance,Growth opportunities depend on the line manager
8,Fidelity Investments,It is great,2022-04-21,5.0,Customer Relationship Advocate,work form home. great benefits,You may get some rude clients.
9,Fidelity Investments,Great Company,2022-04-21,5.0,High Net Worth Service Associate,Great internal structure to grow,Not any cons off the top of my head
10,Fidelity Investments,Great place to work,2022-04-21,5.0,Anonymous Employee,Amazing company! Best people and benefits as well.,Not a whole lot of bad as this company is the best.
11,Fidelity Investments,Strong company,2022-04-21,5.0,Portfolio Specialist,Really cares about the clients as much as it cares for its employees.,Might not always have the most clear career paths.
12,Fidelity Investments,Customer Relationship Advocate,2022-04-21,4.0,Customer Relationship Advocate,Great training program. Great work environment. Some of the best benefits in the game. Big name on resume.,Coddle employees. Micro-Managed. Finance is heavily regulated so flexibility is not something you will have.
13,Fidelity Investments,Not the role of you want to be an advisor,2022-04-21,3.0,Customer Relationship Advocate,The company is Great at licensing you,Mobility into an advising role is horrible. All mobility starts at the branch. Just take an entry level job in the branch office instead
14,Fidelity Investments,Employment,2022-04-21,5.0,Financial Services Representative,Honestly Fidelity Investments was one of the best jobs I have had! The experience and people alone are amazing! Training is very thorough and they do not let you fail. My manager was awesome and he was very good at making sure our team was good!,None to list here at all
15,Fidelity Investments,Good,2022-04-21,3.0,Systems Engineer,It is a good company,Didn't find any bad . . .
16,Fidelity Investments,Great company,2022-04-21,5.0,Principal Architect,"Competitive Benefits, Good Mobility, Diverse environment",challenging work-life balance in certain roles
17,Fidelity Investments,best company i have ever worked for till today,2022-04-21,5.0,Associate Software Developer,"1. flexible working hours
2. work life balance
3. good perks
4. supportive coleague and managers",i cant think of any cons
18,Fidelity Investments,Best place to work,2022-04-20,5.0,Lead Software Engineer,Good work culture Its a product based company.,If you are looking for an onsite here its less.
19,Fidelity Investments,Selfish managment,2022-04-20,2.0,Fidelity Investments,"Work and life balance, above average benefit","High turnover, little retention effort, my team has seen 150% turnover for the past three years. almost everyone has moved on, some left after 1 years. The remaining people gets the burden but management won't reward."
20,Fidelity Investments,Great Place to Work,2022-04-20,5.0,Software Engineer,"Good WLB, great working environment, n",Too much focused on extra-curricular activities
21,Fidelity Investments,Good job,2022-04-20,5.0,Client Relationship Advocate,Good benefits for all employees,can sometimes be stressful. career mobility is good but can take some years
