,company,headline,date,overall_rating,author_position,pros,cons
0,First National Bank,Overview,2022-04-06,3.0,Personal Assistant,"Good culture 
Flexibility
Bursary
Team dynamics
Lunch subsidy","Long hours 
Overworked 
Work overload 
Burnout"
1,First National Bank,Good,2022-04-06,4.0,Business Analyst,"Wide ranging experience
 stepping-stone to larger things","Fewer perks and benefits
Unknown culture"
2,First National Bank,FNB Assistant experience,2022-04-04,4.0,Fnb Assistant,assisting customers who are delightful makes everything better.,customers can be very rude at times.
3,First National Bank,Excellent grad program,2022-04-04,3.0,Quantitative Analyst,"The grad program (2018) was awesome. There was a big focus on soft skills training and networking which I’ve found extremely helpful over my early career.

Great benefits on salary","The senior leadership in the analytics space isn’t very diverse
Grievances I raised about mistreatment from a manager weren’t addressed"
4,First National Bank,FNB truly  Family,2022-04-01,5.0,Teller I,Everyone treated you with respect and appreciation. Customers are great! The hours are good too. I love this job more than any other!,No complaints at all here.
5,First National Bank,Great place to work,2022-03-31,5.0,Solutions Architect,"Nice environment
Promotes diversity
Can work remotely",Self management can lead to putting in long hours
6,First National Bank,No clear growth path,2022-03-25,2.0,Systems Analyst,Work life balance is true,No clear direction on growth path
7,First National Bank,yes,2022-03-23,4.0,Bank Teller,The staff is friendly and open,Some clients are difficult to work with
8,First National Bank,The best place I ever worked,2022-03-21,5.0,Systems Architect,The fnb culture is one of innovation.,Nothing that I can think of.
9,First National Bank,Bank Teller,2022-03-21,2.0,Bank Teller,"Entry Level
Start Career
Learning
Development 
Work Experience",Hours and cash handling can be stressful
10,First National Bank,Digital Forensics & Cyber Security Specialist,2022-03-16,4.0,Forensic Manager,"Flexible
Great Culture
Great Leave Allowance,
Great People to Work With","Not Salary Aligned,
Difficulty in Moving"
11,First National Bank,Your average banking job,2022-03-15,3.0,Head Teller,Stable work in the banking industry,No real advancement opportunities until people retire
12,First National Bank,Overall great experience,2022-03-15,5.0,Systems Analyst,The organization has a good culture,The management style wasn't great
13,First National Bank,No room for growth,2022-03-15,3.0,Business Analyst,"Fast paced, digital, staff rates","Inequality in terms of race and gender for senior roles, no room for growth"
14,First National Bank,Quality of Work,2022-03-14,5.0,Quantitative Analyst,"Good Pay
Good work hours
Good benefit structure","Slow growth
Tough management 
Slow Technology development"
15,First National Bank,HR strategy only preached nit practised,2022-03-14,3.0,Property Manager,innovative company driving technological solutions,expect staff to also you family after hours time to meet deadlines
16,First National Bank,Corporate Finance Intern,2022-03-13,5.0,Corporate Finance Intern,"Good mentorship, communication, great job learning opportunities","Repetitive work, can be less challenging at times"
17,First National Bank,GREAT COMPANY TO WORK FOR,2022-03-13,5.0,QA Test Analyst,"INNOVATIVE, DIGITAL, AGILE AND GOOD ETHICS",I can't complain much about FNB it is good
18,First National Bank,Good,2022-03-09,4.0,Personal Banker,Working hours and good work environment,"Slow career progression, must fight to survve"
19,First National Bank,Great place to work,2022-03-08,4.0,Communications Manager,"Fast paced environment 
Innovative culture
Real focus of diversity",Salary lower than market related
20,First National Bank,Amazing,2022-03-07,5.0,Software Developer,"Fun, Innovation, Pay Well. Leadership","Hybrid, Fast Pace, Great Team"
21,First National Bank,Good Company,2022-03-07,4.0,Software Engineer,Very good and flexible environment to work for a Dev,"It a Bank not a software company so money first before software Tech, so they are hesitent to just keep up with new tech trends immediately"
22,First National Bank,"Great work, good learning opportunities, poor renumeration",2022-03-05,3.0,Business Intelligence Manager,"Open door policy with manmagement.
Working with smart people.
Opportunities to influence the company at any level.
Challenging work that builds your skills.","Non competitive employee renumeration vs industry.
Poor bonus policy.
Work life balance."
23,First National Bank,Salary in fnb,2022-03-03,5.0,Business Analyst,Stable and huge corporation in SA.,High crime around jhb cbd and danger to workforce.
24,First National Bank,Great Company,2022-03-02,5.0,Loan Officer,Time off and management are readily available.,Manpower and workload could be managed more efficiently.
25,First National Bank,Credit Analyst,2022-03-02,3.0,Credit Analyst,Good mentoring options with senior management,Limited upward trajectory when you enter at low levels
26,First National Bank,Fnb,2022-02-28,5.0,Call Center Agent,"Bonus, increments,growth opportunities,good rates on home loans",Culture and values are not lived by management
27,First National Bank,Great,2022-02-23,5.0,Pricing Actuary,"Flat structure, innovative, exciting, friendly.",None to think of for me.
28,First National Bank,Work and Life balance.,2022-02-22,4.0,Senior BI Developer,Ownership culture. Allows you to express yourself. Work and life balance.,Can't think of any cons
29,First National Bank,computer analyst,2022-02-21,4.0,Computer Systems Analyst,you work from any where,requires a lot of skill
