,company,headline,date,overall_rating,author_position,pros,cons
0,Globeop Financial Services,Na,2022-04-06,5.0,Anonymous Employee,"Good enviroment
Learning
Tools
Managment
Work life balance
Team bonding","Senior People
Micro manage
no allowance for Transport"
1,Globeop Financial Services,PRIVATE EQUITY,2022-04-02,5.0,Senior Fund Accountant,"Good place to work, good culture",Low rate of annual salary increment.
2,Globeop Financial Services,Good company to start with,2022-04-02,4.0,Anonymous Employee,Good bonus and increament per annum,Low base salary. Can be improved.
3,Globeop Financial Services,Good company,2022-04-02,4.0,Senior Associate,Work culture awesome management is good facility's are good,Salary is not much good
4,Globeop Financial Services,"Worst HR
Totally unprofessional
The director promises something, The HR Says something else
Worst company to work at",2022-04-01,1.0,Senior Associate,Work environment is good but have to work overtime daily,"Unprofessional HR
Fake promises from Director"
5,Globeop Financial Services,Reconciliation,2022-03-31,4.0,Anonymous Employee,Great place to start the career. Lot of things to learn.,People looking for high starting salary may get disappointed
6,Globeop Financial Services,Okay to work till you get another job,2022-03-27,2.0,Manager,"1. Job Security: Yes Company provide Job Security
2. Career growth: Will get promotion in designation regularly (without good Compensation)
3. Technology: Use latest Technology at work","1. Work/Life Balance: Work life Balance it self not balanced.

2. No Benefits: During COVID when no Benefits given new joinees (No Laptop or desktop, Internet reimbursement).

3. Compensation: SS&C is do not provide good compensation as per market standard (e.g. for manager level start at 7 lakh pa). In the name of bonus gives nothing.

4. Ovetime: Everyday is overtime, average working hours is (10 hours) & do not give Overtime perk.

5. Management: Management talks lots of thinks but deliver very little."
7,Globeop Financial Services,Fund Accountant Job,2022-03-23,5.0,Associate,"Good learning for freshers, excellent pay","No work life balance, stress"
8,Globeop Financial Services,Work life balance and flexible,2022-03-22,5.0,Chartered Accountant,Work life balance and flexible,Doesn't pay very good.Not a paymaster
9,Globeop Financial Services,Associate Manager - Fund accounting,2022-03-19,4.0,Anonymous Employee,"Good place to work 
Approachable to Management ( Depend on team )",No cons as of now
10,Globeop Financial Services,Great for freshers,2022-03-18,5.0,Senior Associate,Good to start career with this company.,No cons as such with this company
11,Globeop Financial Services,Low packages,2022-03-14,2.0,Operations Manager,"Work culture, learnings. Nothing else really","Low packages, please improve yourself there, no work life balance, frequent system issues, manual reconciliations"
12,Globeop Financial Services,Average,2022-03-09,3.0,Associate,"automated systems
exposure to great clients","rude behavior
Extra work
not so good bonus"
13,Globeop Financial Services,Hedge funds,2022-03-06,5.0,Senior Associate,Good company very good one,Great company to work for
14,Globeop Financial Services,Experience in Globeop is knowledgeable.,2022-03-03,5.0,Fund Accountant,To learn about fund accounting from scratch Globeop is best Platform.,Need to be flexible for working hours.
15,Globeop Financial Services,sr associate,2022-03-02,5.0,Senior Associate,friendly culture; sound technical knowledge,location of office; different hierarchy
16,Globeop Financial Services,Great place,2022-02-25,4.0,Senior Analyst,"Great place to work,
Supporting managers",No cons come to my mind
17,Globeop Financial Services,Fund Administrator,2022-02-23,3.0,Senior Associate,Best place to start career.,Too much of work load
18,Globeop Financial Services,Great Company to work with,2022-02-21,5.0,Manager,"Very accommodating for Employees
Decent Work Place
Flexible with the current condition",HR and IT departments are very slow
19,Globeop Financial Services,Good Place to Workin,2022-02-14,5.0,Associate,"Learning about the products, Good place to work for fresher, Work Life Balance",No Cons as such in working
