,company,headline,date,overall_rating,author_position,pros,cons
0,Hilti North America,Great Place to work,2022-04-07,5.0,Anonymous Employee,Work/ Life balance. Career growth and advancement. Great culture and positivity.,Some systems and processes are not fully streamlined
1,Hilti North America,"Was the best, needs to improve quickly.",2022-04-05,4.0,Account Manager III,Excellent benefits and work life balance. Strong product portfolio that you rarely need to apologize for.,"Was the best (sales) job in the world, but changes in work expectations and pay plan over the last 2 years leaves field employees worn out and unmotivated."
2,Hilti North America,Good,2022-04-03,5.0,Mechanical Engineer,I loved working at Hilti,I have no cons for Hilti
3,Hilti North America,Good company,2022-04-03,4.0,Account Manager,"Benefits, work/life balance, good products to sell",Constant changing of how sales bonuses work.
4,Hilti North America,Horrible pay,2022-04-02,3.0,Account Manager,Great benefits and company culture,"Low salary, unrealistic goals and targets - 2022"
5,Hilti North America,"Great place to work for, but depends of your department",2022-03-30,3.0,Financial Controller,Great rewards system to incentives employees,"A lot of performance , development , target reviews with in a year."
6,Hilti North America,Good job/work but…..,2022-03-30,3.0,Service Technician,Great coworkers. Learned a skill doing tool repair. The schedule was nice and pay was pretty good.,"The service center manager was overbearing and micromanaged. She talked down to you. You basically couldn’t do anything without her permission. 
You were constantly there after the scheduled 4pm end time and asked to not log the OT."
7,Hilti North America,"Horrible salary, ok company, great people.",2022-03-30,2.0,Account Manager,"awesome coworkers and benefits, easy to promote.","horrible salary, especially in the North East. Unrealistic targets - 2022"
8,Hilti North America,Career opps,2022-03-30,4.0,Anonymous Employee,"Good career development opportunities if you rise to the top of your team, able to tell the story of how got to the top, and willing to move. 
Great products, great people, strong culture","Company grew fast by encouraging entrepreneurs. Once became large became too process oriented. The dream of working hard , excelling, and being promoted runs its course."
9,Hilti North America,Good Place to Work Depending on Territory and Division,2022-03-29,3.0,Account Manager,"- Good Culture
- Good Benefits
- Decent Pay
- Good work/life balance
-Company Vehicle
- Good reputation and high quality products","-Lots of bureaucracy
- Very little wiggle room on pricing negotiations 
- Many barriers to complete sales ( approvals, processes, etc)
- Constant supply chain issues 
- Lack of communication and coherency of processes between departments which lead to redundancy and duplication of effort."
10,Hilti North America,Great company,2022-03-29,5.0,Credit Analyst I,"Lots of autonomy in your position, and growth opportunities",Hr policies are restrictive and need to be reviewed. Required to join committees that are not job related
11,Hilti North America,Great Comapny,2022-03-28,5.0,Field Engineer,"Best in class in what Hilti does
High level of learning/development on both technical and sales 
Well respected in the industry 
Diverse and inclusive workforce
Company car, laptop and phone","can’t think of many, it really depends on what you think of a con."
12,Hilti North America,Great Company,2022-03-28,5.0,Inside Sales Representative,"Management, Compensation, Benefits, Work life Balance, Coworkers, Longevity, Promotions",Relocation is almost expected to become successful in the company.
13,Hilti North America,Great Culture!,2022-03-25,5.0,Anonymous Employee,"Work culture, work-life balance, and interesting goods.","Pay, organization, processes, and models"
14,Hilti North America,New employee curious about the  experiences at different employers,2022-03-25,2.0,Financial Controller,"Reputation, good coworkers, level of responsibility","Lack of guidance, low pay"
15,Hilti North America,"Poor Manager, Good Company",2022-03-22,3.0,Repair Technician,"Working with good, fun people","Manager needs better training on professionalism and unconscious Bias
Anti American comments
Doesn’t understand what techs go through on the bench"
16,Hilti North America,What a disappointment,2022-03-22,2.0,Senior Account Manager,"Teammates are helpful
Company vehicle
Product/brand
Manager makes a difference at times
Vacation time","Becoming tech and data driven
Spend more time on computer than infront of customers
Hilti matrix can be difficult to achieve due to so many pieces even if you hit your forecast
No yearly catch up
Give the company all you time and they take all the money."
17,Hilti North America,Strong Vision but Values Process over Performance,2022-03-20,3.0,Account Manager,"Solid Benefits Package
Great Team Atmosphere
Financially Stable 
Respected Brand Regonization","Too Tech/Process Driven and Ignoring their Core Competencies of being Customer Centric and allowing their field team members the ability to manage their business as if it was their own. 
Lack of trust in their employees to deliver on the lofty goals that are set by those that do not have a direct impact on the results.
Obsessed with Data and managing only by the numbers....Humans still make the Hilti Difference!"
18,Hilti North America,Impressive Company that Prioritizes its Own,2022-03-18,5.0,Store Representative,"Hilti is solid company carving its own niche in the power tool industry. I've heard it called the Mercedes and Apple of power tools but the company culture is probably even better than its tools. Hilti is a stable, privately owned company that promotes from within 9 times out of 10. Rock solid benefits that include tuition reimbursement and student loan repayment options. It's definitely a company you can retire from.",Sometimes positions stay open too long which can cause work to distribute unevenly among employees. Pay can be lower than adjacent industries and companies.
19,Hilti North America,Strong culture!,2022-03-17,5.0,Associate Director,Hilti has a strong cooperative culture and promotes from within. It is willing to support team members that stretch into different areas or departments.,So many processes to navigate . . . .
20,Hilti North America,Great pay and benefits,2022-03-17,5.0,Account Manager,great pay and benefits and culture,A lot of movement within the company
21,Hilti North America,Great product - not best place to work,2022-03-17,3.0,Account Manager,High quality and well known product,Poor selling model and crossover from territory to territory
22,Hilti North America,A lot of room to learn and grow in the Construction Industry,2022-03-16,5.0,Account Manager,Good work / life balance,The role is heavily field based
23,Hilti North America,Great Place to Work!,2022-03-16,5.0,Anonymous Employee,"Great culture, competitive benefits, great development opportunities",Total compensation can be low in high cost of living areas
24,Hilti North America,Great company,2022-03-15,4.0,Anonymous Employee,"Hilti is a fantastic company. Really enjoy the culture, people and the work is worthwhile.",Management should be more diverse.
25,Hilti North America,IT Software Engineer,2022-03-14,5.0,IT Software Engineer,"all good employees, very competitive",cannot think of any at the moment
26,Hilti North America,"Used to be fun to work here, no more.",2022-03-12,1.0,Account Manager,"such a big turn over of field employees, you always get to meet new people all the time!","unrealistic targets, compensation sucks big time, time to leave like all the folks leaving every day. promotions criteria a sad, sad joke."
27,Hilti North America,Company that cares,2022-03-09,5.0,Account Negotiator,"great company and culture, benefits, and opportunities to grow",a lot to turnover via promotions
28,Hilti North America,Great Benefits,2022-03-08,4.0,Recruiter,Benefits are great and compensation is average,They let the field sales side of the company bleed into the corporate functions a little too much
29,Hilti North America,Incredible culture. Moderate pay,2022-03-07,5.0,Account Manager,"Incredible culture
Great leadership 
Great benefits 
Strong focus on development
Innovative","Tool sales can seem archaic in nature 
Pay is good if performing well, but not incredibly high"
30,Hilti North America,Good company,2022-03-03,5.0,Support Technician,Good company great benefits good time off,No cons really overall great company to work for
31,Hilti North America,Great place to work!,2022-02-28,4.0,Anonymous Employee,The people at this company are fantastic to work with. The company tries to develop their people personally and professionally and has a wonderful CEO.,The pay isn’t great for employees that have started and stayed with the company. Being an outside hire is the way to go.
32,Hilti North America,Steel and Metal trade,2022-02-26,5.0,Account Manager II,"Bonus payout , team support over the world, opportunity around the world, job security, travel possibility, career orientation",A lot of demanding work
33,Hilti North America,Good Company bad manager,2022-02-25,4.0,Repair Technician,Good people to work with,Asked to stay after hours for business but not allowed to put overtime
34,Hilti North America,Bad structure where employees are treated as numbers,2022-02-23,2.0,Anonymous Employee,"Global organisation, good technology, good working conditions",Managers get promoted very easily in some cases without any experience at all. This leads to very bad management and ultimately drives employees away. In my sales team 4 out of 8 people left in a period of time of 8 months. Nobody ever questioned if this was bad management and not individuals' fault.
35,Hilti North America,Good place to start a career,2022-02-22,5.0,Account Manager,"Great culture
Friendly 
Flexibility 
Ability to move through departments",Salesforce is not used properly. Concerned with quantity not quality.
