,company,headline,date,overall_rating,author_position,pros,cons
0,Houlihan Lokey,review,2022-04-20,5.0,Marketing Intern,great work environment and opportunities to learn,long hours and need a lot of dedication
1,Houlihan Lokey,Investment Banking Analyst,2022-04-16,3.0,Investment Banking Analyst,Good pay and good learning opportunity,Long hours and always on call
2,Houlihan Lokey,Meh,2022-04-07,2.0,Associate,Not many to write about.,Not sure where to start. Not much of a differentiated IBD platform. One of the many just like the clients they serve (they don't focus on blue chips). They are a mid-market sellside shop - period.
3,Houlihan Lokey,Great firm,2022-04-04,5.0,Financial Analyst,Great deal flow with little time spent on pitches,"Similar to all banking gigs, hours"
4,Houlihan Lokey,Good Place,2022-04-01,5.0,Investment Banking Analyst,Good IB experience and deal flow,Long hours but typical for banks
5,Houlihan Lokey,"Houlihan has grown into an elite MM boutique, but still has growing to do",2022-03-25,4.0,Anonymous Employee,"Growing quickly

Relatively strong industry verticals (including Business Services, Healthcare and now Tech with the GCA acquisition)",Pay for top producing bankers (especially high-producing senior bankers) is significantly below market peers
6,Houlihan Lokey,Overworked,2022-03-24,3.0,Financial Analyst,Great culture and amazing people,Horrible management and definitely overwork the people
7,Houlihan Lokey,Great work place culture,2022-03-21,4.0,Financial Analyst,The people on my team are very friendly.,It can be a bit fast-paced and disorganized at times.
8,Houlihan Lokey,not bad,2022-03-17,4.0,Valuation Analyst,"smart people, pretty good pay",culture depends a lot on office
9,Houlihan Lokey,Great place to work,2022-03-15,4.0,Anonymous Employee,Solid benefits and culture. People are always willing to help.,Work/life balance is sometimes frustrating
10,Houlihan Lokey,Good experience to get,2022-03-11,3.0,Investment Banking Analyst,Lean deal teams allows for analysts to get a good learning experience,"Depending on the team, you work on lower mid-market deals, which are not as interesting"
11,Houlihan Lokey,Its ok,2022-03-10,3.0,Software Engineer II,Helps to improve and work with latest technology,Depends on team you are working with. Work under pressure
12,Houlihan Lokey,Good Experience,2022-02-27,3.0,Investment Banking Analyst,it's a great way to start learning a lot for entry level job,be prepared to work 9-2 AM hours and the weekend
13,Houlihan Lokey,N/A,2022-02-27,3.0,Internship,"Good pay, best in class restructuring","american styled culture, little tolerance for mistake"
14,Houlihan Lokey,HL Overview,2022-02-24,4.0,Anonymous Employee,"Good people to work with, get exposure to a number of different industries, opportunities to find niche within each group as officers allow employees the flexibility to operate on their own while providing guidance.","Long hours during busy season, groups often understaffed at the junior (analyst / associate) level, certain groups have high levels of turnover at the junior level."
15,Houlihan Lokey,Good working environment,2022-02-18,4.0,Investment Banking Analyst,Relatively chill for an IB,Bad wlb as to be expected
16,Houlihan Lokey,Decent IB,2022-02-18,4.0,Analyst,"Learn a lot very quickly
Great benefits",Hours and working on weekends are very standard
17,Houlihan Lokey,Average,2022-02-11,3.0,Anonymous Employee,"People, system, welfare, generally ok",Boss is not deserving to work for
18,Houlihan Lokey,Do not work here,2022-02-11,1.0,Administrative Assistant,"They will hire you. If you need somewhere to start immediately and have no other option, go with HL.","They will low-ball you on salary, benefits, Treat admins like 1950s secretaries that must stay in their seats and answer all calls before the phone rings twice, or else... Do not embrace remote technology or work. No trust for admins. All focus and trust is for financial staff. Particularly off-putting that the majority of financial staff are men and admins are women."
19,Houlihan Lokey,NA,2022-02-10,4.0,Financial Analyst II,"- Good learning experience for foundational finance concepts and valuation techniques
- Good exit opportunities",- Culture is not fragmented and leadership is tone deaf
