,company,headline,date,overall_rating,author_position,pros,cons
0,Ingenico,Great place to work,2022-03-31,5.0,Anonymous Employee,Lots of opportunity available to employees,Company has grown too large
1,Ingenico,Management,2022-03-26,5.0,QA Tester Analyst,"1. Good working environment.
2. Managers are nice.
3. Multiple working shifts","1. No promotions.
2. Less innovative"
2,Ingenico,Excellent culture .......,2022-03-13,5.0,Anonymous Employee,"Company Events: different luncheons (Chinese New Year, Thanksgiving, Diwali, etc.), BBQ's, bowling, Christmas Party, etc.
Excellent culture: a lot of camaraderie",No growth or advancement within the company.
3,Ingenico,Good place to work,2022-03-12,4.0,Anonymous Employee,"Friendly staff, flexible working environment promotes work life balance.","For some roles, work involves dealing with multiple terminal equipment's which makes work from home not possible."
4,Ingenico,Excellent Employer,2022-03-09,4.0,Technical Analyst,Very Balanced work life balance.,Not that I can think of any.
5,Ingenico,It was okay,2022-03-08,5.0,Behaviour Analyst,Good work environment l. Nice people,Time cut short due to redundancy.
6,Ingenico,"Mature IT infrastructure, friendly working environment",2022-03-03,5.0,IT Support Officer,The company is developing fast.,"Fast pace, have to cover unexpected cases / tasks in many scenarios."
7,Ingenico,"Great company to work, good culture",2022-02-26,4.0,Professional,Good work culture and learning experiences,More benefits can be explored
8,Ingenico,Good company,2022-02-23,3.0,Engineer,work and family life balance,The pay is below market
9,Ingenico,Great Place to work,2022-02-21,5.0,Applications Development & Support Manager,"Great place to work, friendly helpful staff.",Not currently aware of any downside to working for this company
10,Ingenico,good workplace,2022-02-09,4.0,Network Engineer,good place to work there,not applicable at all for this workplace
11,Ingenico,Software Engineer,2022-02-08,1.0,Software Engineer,It used to have a good atmosphere,Everyone has jumped ship so I would avoid at all cost
12,Ingenico,Good company,2022-02-07,3.0,Senior Manager,Clear career growth path encouraged,Management simply all over the place
13,Ingenico,Good,2022-02-05,4.0,Module Lead,Good work environment. Good people to work with.,No negative experience till now.
14,Ingenico,okay,2022-02-03,3.0,Anonymous Employee,"flexible working environment
autonomy
a lot of improvements in people ops matters","no distinct culture
low on promotions and salary increments"
15,Ingenico,Boring,2022-02-03,1.0,Manager,"Good atmosphere in the team, and nice offices","Managers push on figures, do not respect career evolution"
16,Ingenico,Searching better opportunities,2022-02-01,3.0,Anonymous Employee,The ability to make a little cash,"Repetitive work, no room for advancement, and very boring."
17,Ingenico,Test Analyst,2022-01-31,2.0,Senior Test Analyst,Relaxed working culture and good facilities,Less salary and too much of politics
18,Ingenico,Autonomy to work,2022-01-19,4.0,Senior Software Developer,My boss trust in me and I'm free to expose opinions and suggestions to perform a better work.,Dependency on departments located in different countries makes support a little bit harder.
19,Ingenico,a good place to work,2022-01-15,4.0,Software Developer,"work life balance
RRSP
employee benefit
flexible work hours","no bonus pay
salary increasing is very slow"
20,Ingenico,Review,2022-01-06,3.0,Software Engineer,Good company for payment and POS,"Heavily workload,
No festival celebrations,
Overall less Employs satisfaction"
21,Ingenico,Nice experience,2022-01-03,4.0,Technical Support Specialist,"The salary is good, you have free fruit, free Spanish classes","the schedule, you cannot choose"
22,Ingenico,Good Place to work,2021-12-28,4.0,Senior Infrasructure Specialist,Oppertunities to growth are provided.,Nothing much to share. All depends upon the team you land up
23,Ingenico,Good company to beginning,2021-12-18,5.0,Business Manager,"Stability, good politics, choice option to participate in challenges around the world","Bad salaries, the analytics of wage salary is not accord to the market."
24,Ingenico,-,2021-12-15,5.0,Technical Service Analyst,"Flexible work environment 
Tuition reimbursement",No cons so far; everything is great
25,Ingenico,Life is good,2021-12-12,2.0,Software Development Engineer,Very good work life balance,No reason nor need to develop yourself
26,Ingenico,Good employer,2021-12-08,4.0,Senior Software Engineer,Great team spirit and interesting range of projects.,"Compensation package could be better. Average at best.
Much of local teams have been disbanded due to outsourcing."
27,Ingenico,About the company,2021-12-05,2.0,System Administrator,"Diversity environment, you will meet different cultures.","lack of organization, poor salary, poor investiment in their in employess."
28,Ingenico,They want robots,2021-12-03,2.0,Circuit Board Repair Technician,Stable hours and pay. If you are into technology then you’ll find it interesting to work here.,They don’t care about anything other than getting the circuit boards fixed and tested. They would have all robots if they really could. Very high turnover. All about numbers.
29,Ingenico,"Moving forward, creative culture",2021-12-02,4.0,Principal Engineer,"Interesting work, friendly environment, bonus scheme",Career progression opportunities could be better
