,company,headline,date,overall_rating,author_position,pros,cons
0,Johnson & Johnson,Great Learning and Growth Experience,2022-04-08,4.0,Financial Analyst,"- huge emphasis on development
- a lot of growth potential","- rigid structure
- can feel limited"
1,Johnson & Johnson,Good experience,2022-04-08,3.0,Talent Acquisition Specialist,I had the opportunity to learn and grow,too complex and relational and many ties not objective
2,Johnson & Johnson,mediocre,2022-04-08,2.0,Quality Control Technician,"Simplistic simple job, easy going atmosphere","No organisation
Lazy colleagues
Questionable canteen food
Bad shift pattern"
3,Johnson & Johnson,Good Company,2022-04-08,4.0,Anonymous Employee,People are friendly and overall nice.,The pay is just fine...
4,Johnson & Johnson,J&J,2022-04-07,5.0,Apple At Home Advisor,Great company to work for.,Graveyard shift from 630 pm to 630 am.
5,Johnson & Johnson,Great place,2022-04-07,4.0,Anonymous Employee,Paid time off for two weeks,No bonus until two years
6,Johnson & Johnson,good job,2022-04-07,5.0,ENTRY,was a fun place to worm and learn.,hours can sometimes be long
7,Johnson & Johnson,Great,2022-04-07,5.0,,Awesome and caring.It allows you to try out innovative ideas,Canteen is decent enough. if you like variety you won't get
8,Johnson & Johnson,waiter,2022-04-07,1.0,Waiter,loved management and the advancement opportunities,could be better with Hr
9,Johnson & Johnson,Toxicologist,2022-04-07,3.0,Manager,wide range of experience and cross functional work,"changes, uncertainty for the future"
10,Johnson & Johnson,"Great benefits, boring job",2022-04-06,4.0,Financial Analyst,"good pay, mostly good people, the management does really care about your career path","typically boring roles, very outdated technology"
11,Johnson & Johnson,Lab Tech,2022-04-06,4.0,Laboratory Technician,"Good work/life balance with 8 hour days, 5 days out of the week, paid time and a half overtime, paid holidays off",Some weekend workdays and inconsistent hours
12,Johnson & Johnson,Good,2022-04-06,4.0,Technical Specialist,Good pay mostly good commission yep,Pay not up to industry standards
13,Johnson & Johnson,Best place to work,2022-04-06,5.0,Associate Manager,"Best policies, employee centric, ease of work, focus on work life balance, timely appreciation",None so far that i have seen in the past 4 years
14,Johnson & Johnson,Graduate Trainee for 11 months contract,2022-04-05,4.0,Graduate Trainee,"-Connecting with people from different nationalities and cultures but mainly Arab nationalities 
-Learning about corporate structure 
-Meeting people from different study/work backgrounds
-Getting an idea about the different opportunities within the company","-There is no guarantee of having a full time contract
-At the time there were not enough junior level positions to apply to"
15,Johnson & Johnson,Good,2022-04-05,4.0,Engineer I,Amazing stock program good benefits,Long work hours on weekdays
16,Johnson & Johnson,Great!,2022-04-05,4.0,Manager,"Flexibility, Focus on development, work/life balance","Red tape, lack commercial sales channel focus"
17,Johnson & Johnson,Great Company,2022-04-05,4.0,Sales Representative,"great money
good company
great people
Will train you up before sending you in the deep end","long hours
weekend work
stressful
tough dealing with customers (surgeons)"
18,Johnson & Johnson,Satisfied,2022-04-05,5.0,Senior Clinical Trial Manager,All good in terms of working conditions,nothing concerning at the moment
19,Johnson & Johnson,"Great WLB, Difficult application process",2022-04-05,4.0,Software Engineer,"Great support for extracurricular activities
Long PTO
Nice work Environment","Lack of competitive compensation
Difficult application process"
20,Johnson & Johnson,1,2022-04-05,1.0,Business Analyst,good salary for a starter,bad salary for an experienced
21,Johnson & Johnson,Experience,2022-04-05,3.0,SCM Analyst,Good work life balance during remote working,very slow in getting best projects done
22,Johnson & Johnson,Job Reveiw,2022-04-05,4.0,Software Development Engineer In Test (SDET),"Flexible Work Timing
Best working Enviornment","salary is less .
no any other cons"
23,Johnson & Johnson,Nice work environment,2022-04-04,4.0,Supply Chain Planner,Great company to work for. Nice people,Give more active feedback to employees
