,company,headline,date,overall_rating,author_position,pros,cons
0,Kotak Mahindra,Work-life Balance,2022-04-11,1.0,Anonymous Employee,Not much of work load when compared with top two pvt sectors,"Working environment and offices are not great.
In my dept there are lack of chairs and cubicles"
1,Kotak Mahindra,Sales associate,2022-04-10,5.0,Sales Associate,Management in the team was not good.,My mentor was nice but when he left everything was so bad.
2,Kotak Mahindra,Good Activity for all peformenc,2022-04-10,5.0,Assistant Manager,I am Virtual excited all rules of kotak mahindra company. All gole Achivement time to time.,All members of company system follows award for good performance at mager achive of nice person.
3,Kotak Mahindra,ok,2022-04-09,2.0,Engagement Financial Advisor (EFA) Analyst,Working at a large company gives you many professional opportunities.,the reporting requirements can be complex.
4,Kotak Mahindra,good,2022-04-09,5.0,,"good work environment 
good Training 
Best salary
Best incentives 
good management","area limit
documents  required 
tools"
5,Kotak Mahindra,company review,2022-04-09,3.0,Deputy Manager,"Employee friendly, work life balance","low salary, and slow carrer growth"
6,Kotak Mahindra,Salary status,2022-04-08,4.0,"Deputy Manager, Band II",Pros felxible work time depends on your manager,Low salay and low hike
7,Kotak Mahindra,Good bank,2022-04-07,5.0,Senior Manager,"Good, Good, Good ,Good ,Good.","Nothing , nothing ,nothing ,nothing ,nothing"
8,Kotak Mahindra,Good to learn,2022-04-07,4.0,IT Senior Manager,Direct interaction with senior management,No work life balance and adequate salary
9,Kotak Mahindra,good,2022-04-05,4.0,Deputy Manager,"flexible timing
easy targets
everyone supportive
work life balances
good
great","politics- HIGH POLITICS IN LOAN DEPARTMENT
TAT - VERY LATE TAT FOR LOAN
LATE APPROVAL
LOW SALARY
NOT HIGH GROWTH"
