,company,headline,date,overall_rating,author_position,pros,cons
0,LinkedIn,"Great place to work overall, some drawbacks",2022-04-06,4.0,Anonymous Employee,"- Benefits
- Cares about employees
- Transparency and career growth are key","- Internal mobility is difficult, ""Transformation"" is a core value but when in practice, internal employees have a tough time moving roles when competing against external candidates with more experience
- Some people managers become people managers bc they have no other options for upward mobility. But not all managers should people manage (at least without more training and mentorship)"
1,LinkedIn,Great company!,2022-04-06,5.0,Anonymous Employee,"Endless perks, worklife balance, competitive compensation","Slow to make decisions, ancient systems"
2,LinkedIn,"Great Benefits, excellent work life balance",2022-04-05,5.0,Regional APAC IT Manager,Good insurance and benefits and great network,none for the last 10 years
3,LinkedIn,Great,2022-04-05,5.0,Account Manager,Awesome company and great perks,"Nothing bad, i like everything"
4,LinkedIn,Love it,2022-04-05,5.0,Project Manager,Great place to work people,"None at all , great place"
5,LinkedIn,Great place to work and great perks,2022-04-05,5.0,Senior Software Engineer,A lot of events and the food is great. Teams are always willing to help and provide very helpful resources from our internal tool system.,There are times where meeting seem excessive. It would be great to have a goal at the end of every meeting.
6,LinkedIn,Generally a great company,2022-04-05,4.0,Anonymous Employee,great culture and wellbeing for employees,"the products are out of date compared with Google and Facebook, not competitive pay"
7,LinkedIn,Satisfactory,2022-04-05,4.0,Anonymous Employee,As far as I felt there are no problems and the work atmosphere is very good.,No cons from my side
8,LinkedIn,"great company, great perks",2022-04-04,5.0,Anonymous Employee,"great perks, benefits and flexibility with remote work, holidays, work frome home country etc.","limited carreer progression, it is not how you work, but who your manager likes"
9,LinkedIn,Amazing Culture,2022-04-04,5.0,Technical Recruiter,"Strong work / life balance, benefits, leadership, vision, collaborative environment, focus on career development, employee well being and continuous learning opportunities.",Lengthy and sometimes very manual processes.
10,LinkedIn,Love it!,2022-04-04,5.0,Recruiting,Amazing people & perks! Career growth if you work for it.,Constant changes in the org and in management.
11,LinkedIn,Great culture,2022-04-03,4.0,Sales Development Representative,"Great culture of learning
Lots of happy people",Pay isn't great and big on politics
12,LinkedIn,Big brand with stagnant growth,2022-04-03,4.0,Account Director,"Lots of autonomy for sales reps to work on their own
great perks although it was not as good as before
Business is growing positively
Good work life balance
Great days off for the employees to recharge
Fantastic brand to put on you resume","a lot of people are fake
not much growth opportunities 
white dominant company, if you're too Asian, would be difficult to be promoted.
No sincere motivation from managers for the reps to grow as they only care about their numbers
No transparency
Low base salary compare to other big tech firms
Too political
Emphasizing too much on admin work"
