,company,headline,date,overall_rating,author_position,pros,cons
0,Madewell,Pay,2022-04-07,4.0,Retail Sales Associate,"Nice discounts on products, flexible hours","Pay is low, no commision, sometimes not the best managerial team"
1,Madewell,Nice Part time job,2022-04-04,4.0,Anonymous Employee,"Flexible hours, decent pay, and a nice discount.",Hours were minimal and some co-workers were a bit rude.
2,Madewell,Madewell Review from College Student,2022-04-04,4.0,College Student,"Good discount, friendly coworkers, flexible schedule, and free outfit when hired.","Rude customers, weekend and holiday work, and relatively low pay."
3,Madewell,Great work environment,2022-04-04,4.0,Anonymous Employee,"Benefits, work environment, semi flexible scheduling","Working weekends, overload of responsibilities"
4,Madewell,Poor pay/benefits for PT,2022-04-04,3.0,Assistant Manager,The discount is the only perk.,There is no PTO/benefits for part time managers.
5,Madewell,Great place to work,2022-04-04,5.0,Sales Associate,Great team and fun work environment,Pay is not great but you get a great discount
6,Madewell,Great place to work for an easy and relaxed job.,2022-04-01,4.0,Associate Manager,"-Flexible hours and shorter shifts
-Decent pay rate
-Easy day-to-day","-Training is ""as you go"", but you don't feel prepared.
-Frustrating communication (at least at my location)"
7,Madewell,Good,2022-03-31,3.0,Anonymous Employee,Good part time when you’re young,Bad pay and no benefits
8,Madewell,Great for College Students,2022-03-31,4.0,Sales Associate,"Good discount
Flexible scheduling
Fun environment
Sometimes additional pay depending on store performance",Not a lot of hours offered
9,Madewell,Great retail company,2022-03-30,5.0,Sales Associate,"Great environment
Supportive coworkers
Friendly and welcoming workplace
Flexible hours and scheduling",No major for cons from my experience
10,Madewell,Great workplace!,2022-03-30,5.0,Sales Associate,"- Flexible hours 
- Good discount",- constantly needing to update your knowledge about product selection.
11,Madewell,"Good Environment, Little Recognition or Growth Opportunities",2022-03-30,4.0,Sales Associate,"Great discount 
Good environment
Nice coworkers","Little Recognition 
Few Growth Opportunities 
Low Pay"
12,Madewell,Great place to work,2022-03-29,4.0,Sales Associate,"Good management 
Amazinggg discount 
Company culture","If you are part-time, shifts are very short and workers don't get many days."
13,Madewell,Great company to work for!,2022-03-29,4.0,Sales Associate,I loved this brand before working here. Great culture and amazing customers,"Shorter hours, a pro for some but for part time positions there are many employees and hours each week for those you want longer hours can be challenging at times."
14,Madewell,Good,2022-03-27,3.0,Sales Associate,"Fun, easy, cute clothes around","boring, rude people, bad hours"
15,Madewell,Great job,2022-03-25,4.0,Sales Associate,"Great team, great discount, and a great product.",I do not have any cons
16,Madewell,alright,2022-03-24,3.0,Visual Associate,its nice to have pro,the salary could be better and the work isn't very fulfilling
17,Madewell,Madewell,2022-03-24,5.0,Sale Associate,"Good discount, friendly staff, good management",Low pay and pretty slow business
18,Madewell,I loved my time there,2022-03-23,4.0,Design Director,"Creative environment, opportunities for growth","late hours and weekends are expected, small team, so any friction is hard to distance from"
19,Madewell,Great Part-Time Job,2022-03-22,5.0,Seasonal Sales Associate,"Great people, busy workplace but not overwhelming",Great part-time job so no real cons
20,Madewell,Good workplace,2022-03-20,4.0,Sales Associate,I enjoyed working here! Make sure you are in uniform and know your stuff aka denim bar.,Not many cons. Very corporate but that was expected.
21,Madewell,Good job for students,2022-03-20,4.0,Sales Associate,Easy work and good discounts. Good management,High expectations for customer service
22,Madewell,Pretty ok,2022-03-19,4.0,Assistant Store Manager,Nice amount of PTO . Upper management is nice.,Lower pay compared to other places. They will pay employees the lowest they can.
23,Madewell,Great people but little room for growth,2022-03-18,2.0,Assistant Merchant,Awesome people and great employee discounts.,Very small teams with limited room to grow. Buying team is overworked and frequently moves merchants across categories which makes it hard to learn and grow.
24,Madewell,Madewell Part-Time Sales Associate,2022-03-18,4.0,Sales Associate,"- Get to see new product 
- Get to try on new product
- Friendly team",- Hours are not always regular
25,Madewell,Good part time job for college students,2022-03-17,3.0,Sales Associate,"Employee Discounts
Good managers
Ability to pick up shifts",There are a clique vibe with some of the employees
26,Madewell,Decent job for students,2022-03-13,3.0,Sales Associate,"good flexibility with scheduling, good discount","Catty, sometimes toxic, work environment. A lot of empty promises for advancement."
27,Madewell,Pays if you ask,2022-03-10,5.0,Visual Merchandiser,"Realistic company culture
Great discount
Big growth opp if you’re willing to relocate","Small growing corporate environment, standard growing pains, emphasis on “proving yourself”"
28,Madewell,Great place to work,2022-03-08,5.0,Retail Sales Associate,"Flexible, honest, fun, cool, relaxed",Not very busy so lots of down time
