,company,headline,date,overall_rating,author_position,pros,cons
0,Medtronic,New “Leadership” seems determined to destroy the company,2022-04-09,3.0,Quality Specialist,"Pay is good at enterprise level/depending on group/division you’re in.
Working for a company with a great reputation.
People managers are awesome depending on the group/department.","Benefits are going downhill. The latest prescription plan with CVS is terrible. Many employees are now battling to get (in some cases life-saving)  prescriptions  covered that were previously covered, no problem. Completely unacceptable for a company that is supposed to be in the business of world class health care and devices!
The new(er) CEO (Martha) is either legitimately a fake woke tool or is just talking the talk to appease the fringe. Either way, it has helped spawn the bloated DIE division that amounts to being obsessively focused on people’s physical characteristics and sexuality (how is this professional?) and wasting employee time and Medtronic dollars."
1,Medtronic,Total Grind,2022-04-09,2.0,Director,Pay is fair and competitive for 45 hour work week,It is never a 45 hour work week
2,Medtronic,Good Company,2022-04-08,5.0,Quality Systems Manager,"- Cares about employees
- Lots of opportunity to move within",- Raises are small even if high performer
3,Medtronic,Work life balance,2022-04-08,3.0,Anonymous Employee,Work life balance is good in the company,"Projects are legacy ,not latest technology"
4,Medtronic,Great Company,2022-04-08,5.0,Account Executive,"The people who work here are first class
The products are amazing
The compensation is aggressive",Still a very large company dealing with supply chain issues
5,Medtronic,Medical Sales Rep,2022-04-08,4.0,Sales Representative,Good Company with great benefits,"I really enjoyed my time there, I left for personal reasons."
6,Medtronic,Good benefits,2022-04-08,4.0,Senior Manager,"Good benefits
Good salary
Most people are nice",Expected to play the corporate game
7,Medtronic,Great place to work and grow,2022-04-08,5.0,Bio Statistician,"Great team, especially manager. Nice culture. Recommend for a long career","None. Everything is great, so can't say anything bad"
8,Medtronic,Production,2022-04-07,3.0,Operations Lead,Peers were a plus to work with.,"Management vs direct labor work environment, no work life balance. Too much favoritism leading direct labor to become frustrated with job."
9,Medtronic,A place to have a long career,2022-04-07,5.0,Principal Account Manager,They care about their employees and are on the cutting edge of technology,Like with all big companies they often do mergers of divisions which would potentially result in a layoff or job title change
10,Medtronic,A place to have a long career,2022-04-07,5.0,Principal Account Manager,They care about their employees and are on the cutting edge of technology,Like with all big companies they often do mergers of divisions which would potentially result in a layoff or job title change
11,Medtronic,"No micromanagement, happy camper.",2022-04-07,4.0,Machine Operator II,"No micromanagement, this location management has improved over the years. Although the official head count has decreased dramatically the bad apples have been weeded out. This allows for the career focused personnel the ability to cross-train and work different shifts that make it possible for work/life balance.
Starting salary is competitive based on experience.","On board training lacks. New trainees are subject to starting in less desirable locations outside of their positions hired for, which instantly discourages new hires.
No training specialist yet established for each department to ensure positive on-boarding ."
12,Medtronic,Job,2022-04-07,3.0,Product Builder,"Nice people, finish early, easy work","Boring 
No progression 
Toxic work environment"
13,Medtronic,,2022-04-06,5.0,Engineering Manager,good place to work make a difference,a slow moving big company
14,Medtronic,Benefits,2022-04-06,4.0,Supplier Quality Engineer,"-Company transport, Good working culture",Workload quite heavy at times
15,Medtronic,Highly matrixed culture,2022-04-06,3.0,Director of Marketing,"The mission to alleviate pain, restore health and extend life is very important to the company and it shows. The company has some of the best engineers to work with that are very insightful and creative. They are also amazing teachers. Benefits are very good. Salaries are good but bonuses are subject to several factors","Excessive focus on diversity vs. talent that meets job description, HR will put a stack of ""candidates"" on your desk to ""review."" If you do not have a budget for relocation, they will find a way for DEI candidates. Big focus on ""building your personal brand"" -it sounds odd because it is. Many people want to focus on their job responsibilities. 360 feedback rewards people who complain (snitching exercises)"
16,Medtronic,Nice place,2022-04-06,4.0,Quality Technician II,"nice people, supervisors and some managers.",Communication and the acting speed needs some improvments
17,Medtronic,Sr. Manager IT,2022-04-06,3.0,Senior Manager IT,The Mission is strong and important.,"Not world class pay, most people are not paid at full market value."
18,Medtronic,Pretty good company,2022-04-06,4.0,Chemist I,Awesome benefits and development opportunities as a profesional.,Can use a little bit more structure as a company.
19,Medtronic,Great Company,2022-04-06,5.0,National Account Manager,Strong Leadership and Fulfilling Mission,Annual restructuring was sometimes distracting
20,Medtronic,Positive,2022-04-05,4.0,Principal IT Technologist,People are friendly and professional,Large company so it can be hard at times to get work accomplished by other teams.
21,Medtronic,flexibility and growth opportunity,2022-04-05,4.0,Training Coordinator,"The company has a great work environment, it allows you a lot of flexibility in terms of taking decisions and implementing them. They also offer a lot of courses for you to learn and grow in your career.",I wish they had a hybrid model for some roles.
22,Medtronic,Headline,2022-04-05,5.0,Scrum Master,"Big company, nice people, interesting work",low salary in proportion to the market
23,Medtronic,Medtronic,2022-04-04,3.0,Anonymous Employee,Strong team culture and performance,Organizational restructuring every 6-12 months
24,Medtronic,Great company with competitive environment,2022-04-04,5.0,Associate Sales Representative,Training is exceptional with room for growth,none that I can think of
25,Medtronic,Benefits,2022-04-04,4.0,Senior Specialist,"Good product 
Good benefit 
Good growth opportunities",There’s some political issues but not serious.
