,company,headline,date,overall_rating,author_position,pros,cons
0,NASA Jet Propulsion Laboratory,Great environment,2022-04-06,5.0,Mechanical Engineer,"Fun work 
Culture 
Technology 
Interesting work","Salary
Work life Balance 
No bonus"
1,NASA Jet Propulsion Laboratory,The way of the future.,2022-04-03,5.0,Space Engineer,Always working on something amazing.,It will completely take over your life which I love.
2,NASA Jet Propulsion Laboratory,"Great projects and interesting work, poor environment",2022-03-30,3.0,Software Engineer IV,"Really interesting work and projects.
Job stability - once you pass your probation period of 6 months, they can't get rid of you (can be a good or bad thing).","They tend to slice you thin across multiple projects. People can end up working on 4-6 projects at the same time. Talking about being efficient and switching gears...

Lots of micro environments under the same roof. Your happiness and success in this place depends entirely on the team you land in. There are many unhealthy environments, so ask to talk to all team members before joining the team just to get an idea of what the culture is.

Job stability, where after 6 months of probation they can't get rid of you, can be very detrimental to the team. The team can end up with very poor ""specialists"" that are stuck in the group with very little contribution and very little value to add to the project."
3,NASA Jet Propulsion Laboratory,Good place to work,2022-03-30,5.0,Postdoctoral Research Associate,"- Great work life balance which can vary depending on the team
- Good to have this name on your CV
-","- Too much bureaucracy
- Almost no growth 
- Less compensation"
4,NASA Jet Propulsion Laboratory,Engineer,2022-03-27,4.0,Engineer,The work is unique and inspiring. The people are intelligent and hard-working.,Office politics and the occasional bad employee can be just as bad as any other employer.
5,NASA Jet Propulsion Laboratory,Lots of opportunity to be involved w/ work that aligns with your career interests,2022-03-16,5.0,Flight Software Engineer,"Strong leadership, team ethic, supportive culture, broad scope of work, interesting projects",Culture of wearing many hats to get things done so it takes a lot more effort on your part if you're looking to specialize
6,NASA Jet Propulsion Laboratory,Great company to get experience at,2022-03-15,5.0,Spacecraft Mechanical Engineering Co-Op,"Fun and interesting work, beautiful location, efficient transportation options","California is a little pricey, typical company politics, harder to work if you're a foreign national, significant lack of diversity in spacecraft mechanical engineering department"
7,NASA Jet Propulsion Laboratory,NASA Jet Propulsion Laboratory,2022-03-10,5.0,Aerospace Engineer,"amazing people there, everyone is friendly and it is entertaining knowing you are building something that will go to space and that it will advance humans' knowledge about our universe.",I can't really think of any
8,NASA Jet Propulsion Laboratory,Excellent stepping stone,2022-03-09,4.0,Systems Integration and Test Engineer,Great place to work with different kinds of engineering exposure,Slow in leveling up or salary raises
9,NASA Jet Propulsion Laboratory,Great Work/Life Balance,2022-03-09,5.0,Lead Ux Designer,"Depending on the organization you are in, the experience you have and the type of role you have it is a great work balance and many exciting opportunities for projects.",Not equitable across the workforce to the expectations of specific job roles and career levels.
10,NASA Jet Propulsion Laboratory,Great,2022-03-09,5.0,Systems Engineer,"Excellent work environment, stimulating work.","Pasadena is expensive, so is the rest of LA"
11,NASA Jet Propulsion Laboratory,Great experience,2022-03-01,5.0,Anonymous Employee,Amazing projects to work on,Usual government red tape to get around
12,NASA Jet Propulsion Laboratory,Great place to work/grow,2022-02-24,4.0,Anonymous Employee,"Great communication/transparency from leadership, innovative and inspiring work culture, very supportive community, ability to pitch new ideas no matter what level you're in (leads to great opportunities)",very minimum raise every year unless you're promoted every few years.
