,company,headline,date,overall_rating,author_position,pros,cons
0,NVIDIA,2 year review,2022-03-29,5.0,Software Engineer (Swe II),Great mentorship from co workers,Sometimes need to navigate politics
1,NVIDIA,Great company culture,2022-03-27,5.0,DFT Engineer,Employee centric culture all round.,"I haven’t worked here long enough to notice anything substantial, will update in the future."
2,NVIDIA,Great CEO makes a Great company,2022-03-21,5.0,Systems Validation Engineer,"Great people make a great team and 100% of the trust.
Not only make the job done but perfect.",employee discount only 10% off for some products.
3,NVIDIA,Great Company to work for,2022-03-21,4.0,Senior DevOps Engineer,Excellent health benefits and compensation,Sometimes too many fast moving projects in different directions
4,NVIDIA,Very nice place to work,2022-03-20,4.0,Architect,You feel like you are at the top op technology!,"It is not feeling like family, every body has its own life"
5,NVIDIA,Great engineering culture,2022-03-12,5.0,Senior ASIC Design Engineer,"Open and inclusive engineering culture 
Great human beings
CEO genuinely cares for employees 
Top of the line compensation",None that I can think of
6,NVIDIA,Great,2022-03-10,5.0,Developer Marketing Manager,"Visionary leader, inspiring culture, wouldn't want to work anywhere else.",You will work hard. That's a pro not a con for people like me though :)
7,NVIDIA,Great workplace,2022-03-10,5.0,Senior Software Engineer,"Latest and relevant technology
Excellent team environment","Deadlines 
Several projects at a time"
8,NVIDIA,Great company with great benefits,2022-03-08,5.0,Senior Engineering Manager,Very open culture; good pay and benefits; company is very well positioned.,can be very political; there is not much focus on career growth
9,NVIDIA,great company,2022-03-08,5.0,Senior IT Engineer,"great people, amazing tech, bright future","none, really a great place to work for"
10,NVIDIA,"Director, Product Marketing",2022-03-05,4.0,"Director, Product Marketing","Rapid innovation , scale, product leadership, inspiring CEO","Lack of organisational structure, no clarity on who’s doing what, rapid changes, sometimes in matter of hours"
11,NVIDIA,Amazing,2022-02-27,5.0,Senior Project Manager,"Great work life balance, good place to work.",Sometimes have to deal with night meetings.
12,NVIDIA,Employee friendly and great benefits,2022-02-24,5.0,Finance Director,"CEO cares about employees, great benefits, good work environment",None too big to write about
