,company,headline,date,overall_rating,author_position,pros,cons
0,,Average Banking Job mixed with telemarketing,2022-04-12,3.0,Universal Banker,"Good Benefits
Pay is fair
Paid Holidays","High Turn over
Very pushy for sales and making outbound sales goals
Quarterly reviews based on sales goal, outbound phone calls, GreenPrints and customer satisfaction surveys 
You are not just a banker, but a telemarketer
Hard to get promoted internally, they would rather higher an outsider than promote within"
1,,Be aware!,2022-04-12,3.0,Consumer Banking,"Paid time off.
Good benefits including Blue Cross Insurance.","Stressful work environment.
Favoritism for Promotions."
2,,Great place to work!,2022-04-11,5.0,Human Resources Manager,"Culture is amazing, leaders really care about the associates and the customers.",I really have nothing bad to say! Been here 23 years and love it
3,,Great,2022-04-08,5.0,Branch Manager,Time off salary paternity leave,"No remote work, advancement opportunities"
4,,NO Company direction or proper training,2022-04-08,2.0,Financial Relationship Consultant,"the base pay is competitive, on the other hand the commission is almost non exiting.","Cold calling! You are required to have 20 contacts per day. in the beginning you don't have many clients to call. So you basically cold call existing clients. "" here at regions we believe its our duty to communicate with our clients on a regular bases """
5,,Good if you like to telemarket,2022-04-08,3.0,Anonymous Employee,The pay and PTO we’re great.,Having to call customers to try and sell them products was the worst.
6,,Great company but depends on the group you work.,2022-04-08,2.0,Data Scientist,Great benefits. Amazing work culture . Great place to work.,It all depends on the group you work for.  Management doesn’t seem to care about all levels of employees .  Skip if offer from Analytics.
7,,Best time,2022-04-07,5.0,Engineer,"Great job, work life balance",No much to be mentioned
8,,Good,2022-04-06,2.0,Sales,Count a lot  of money,Not enough pay or raises
9,,"Little room for advancement, minimum pay",2022-04-06,3.0,Team Lead,"Bank Holidays
PTO and Sick Time
Good Benefits overall","Low pay, but expect you to be licensed in life insurance and annuity's"
10,,Progressive for a southern bank,2022-04-06,5.0,Anonymous Employee,"Regions is a great place to work that has a focus on inclusion and belonging. There are many opportunities for career growth and development. Leadership team is supportive and forward thinking. Regions continually strives to do the right thing, evolve, adapt, and put customers and associates first.",Some cultural elements are still evolving to allow Regions to be a trully innovative culture where risk taking is seen as favorable and failures are embraced as learning opportunities.
11,,Ok,2022-04-06,2.0,Loan Officer,"Getting paid, normal hours, get your desk","Management, metrics, and expectations aren't easy"
12,,good,2022-04-05,4.0,Janitor/Cleaner,nice management and great team,not enough workers during shifts
13,,Great company,2022-04-04,5.0,Financial Relationship Consultant,Great benefits and great family work environment,there isn’t anything i can think of
14,,Its good starting off,2022-04-04,4.0,Anonymous Employee,great experience in the field,lackluster pay and micromanaging as you move up the ladder
15,,Great Place to Work,2022-04-03,4.0,Branch Manager,Regions took good care of us during the Covid Crisis.,"The ""feel"" of Regions has changed."
16,,hit or miss,2022-04-02,3.0,Anonymous Employee,"good benefits, folks are nice, hit or miss depending on the department","no growth opps, a lot of favoritism"
17,,Decent,2022-03-31,3.0,Financial Relationship Specialist,Great starting pay and lots of cross training! Full time benefits and paid rime off are generous.,"Along with the cross training comes an overload of tasks and not enough staff to complete them. Also, upper management tends to ignore when clients have become a security or safety risk."
18,,Good job,2022-03-31,3.0,Teller,"Team oriented
Work life balance
Provides incentives",Can be stressful at times
19,,Consultant,2022-03-31,3.0,Financial Relationship Consultant,"Paid time off
Coworkers
Benefits
Many locations
Easy to move up in retail positions","Managers
Compensation
quarterly incentives
sales goals
cold calls
Terrible management"
20,,"Overall, okay. Moving to WFH has presented new problems.",2022-03-31,3.0,Anonymous Employee,"Good benefits, remote work, able to apply to other positions quickly","Remote work makes it difficult to move to other departments, since leaders won’t even consider interviewing from the contact center, communication and organization has been very shaky for the past year or two, sales focus is becoming toxic and not allowing for any engagement or growth."
21,,A great place to work.,2022-03-31,5.0,Financial Analyst,"Great culture and respect. Enjoyable environment, good experienced leaders.",Salary may be a little low in industry. Not as modern of management regarding work from home etc.
22,,No,2022-03-31,1.0,Customer Service Agent,None at all I promise,Everything about it was one
23,,"Incredible Concept, poor execution",2022-03-30,2.0,Private Wealth Advisor,Lots of opportunity to grow. People are dropping left and right so you can step in if successful.,Good old boy network is strong and rancid. Internal Protocols to address them are broken.
24,,Not what was expected,2022-03-30,3.0,Senior Fsa,"All federal holidays off and paid, paid vacation","Unreasonable goals to meet, feeling forced to sale products to people"
25,,Could pay more,2022-03-30,4.0,Bank Teller,"Bank holidays, set schedule, and paternity leave for fathers",Not enough compensation for the rigor of dealing with people and their money. Multitude of major responsibilities don't reflect pay
26,,Decent job,2022-03-30,2.0,Digital Communications Specialist,The job is remote and offer a lot of flexibility when it comes to your schedule,Horrible practices and work culture
27,,Good place to work,2022-03-29,4.0,Financial Relationship Consultant,"Good pay, good benefits, and good management.",Be ready to cold call and sell.
28,,Fun but hard,2022-03-29,5.0,Telebanker,"Fun place to work with fun people all around

Made lots of bonuses",Only get 10 minutes total bathroom breaks. Constantly on calls while trying to finish paperwork.
29,,Good,2022-03-29,4.0,Financial Relationship Specialist,"Days off, paternity leave, training.","No technology, draconian discipline, bureaucracy, investors are priority."
30,,Needs improvement,2022-03-28,3.0,Loan Servicing Specialist,"Great co-workers, and great benefits","No real chance of promotion unless they ""like"" you"
31,,Regions,2022-03-28,4.0,Anonymous Employee,"Good benefits (i.e. paid time off, vacation, holiday)",Pay raises could be a bit more.
32,,Pros and cons,2022-03-26,3.0,FRSC,Job security. Good benefits and employee programs. Good 401K plan.,Large workload for how fast paced working at a bank is. Small raises with big increase of expectations. Cold calling. No set position as all must rotate on the cash line.
33,,Great Company,2022-03-24,4.0,Team Lead,Hours are great working at any bank. The pay scale is higher than any other bank I’ve ever interviewed with (both corporations and small town). The benefits packages are top notch as well.,The thing I hate most is that I can’t call our own support center to get someone on the phone to walk me through a policy or procedure I’m not familiar with. I have to open a chat and it has taken over an hour in many cases to get someone on the chat to answer my question.
34,,Management is micro-managing 24/7,2022-03-23,3.0,Anonymous Employee,Co-workers feel the same about work environment.,Micro-managed 24/7 trying to obtain unobtainable goals with board line forcing customers to apply for loans they don’t need.
35,,Great work environment,2022-03-23,5.0,Analyst,"Great work/life balance 
People are very kind to work with",Pay is lower than market
36,,Great people to work with,2022-03-23,5.0,Bank Teller,I had a great experience,I couldn’t do the hours
37,,Outstanding employer,2022-03-23,5.0,Compliance Manager,Great culture and benefits. Development programs are available to all employees.,Locations are limited in some areas of the country.
38,,Branch Manager,2022-03-22,5.0,Regions Bank,Promotes from within. Pay is competitive,Lots of stress and heavy on goals.
39,,Sales,2022-03-22,3.0,Financial Relationship Consultant,Regions has good relationship at the branch level.,concentrated on numbers vs doing the best for the customer.
40,,Overall good place to work,2022-03-21,4.0,Financial Relationship Specialist,"Communicate with customers 
Learn all aspects of how to be financially sound 
Great coworkers","Short staffed, working line and drive through window"
41,,EH,2022-03-21,3.0,Financial Relationship Specialist,Work life balance was fair,"No raises, no room for advancement"
42,,Great Place to Work,2022-03-20,5.0,Risk Analyst,"Solid benefits, great culture and people, engaging work","Overall compensation, can seem like there's a glass ceiling"
43,,Skip this company.,2022-03-19,1.0,Products and Services,Not really any pros here.,Required weekend overtime. Management not great.
44,,Company that cares about its associates,2022-03-18,5.0,Vice President,Great culture and good benefits,"Benefits could be even better, given it's a Fortune 500 company"
45,,Great for starting in banking.,2022-03-18,3.0,Financial Relationship Associate,Learn the gist of banking fast. You get experience in everything and usually pushing to promote. Lots of experiences with all sorts of people.,"Product pushing with little reward in sales unless your manager doesn’t steal the chances. Minimal chances of raises (been there a year and still haven’t gotten one). If promoted, the raise is also minimal. Also, sick time doesn’t roll over into the next year."
46,,Excelling in Commercial Lending,2022-03-18,5.0,Branch Manager,"Great management, that wants to see you excel.",Managing work & family life
47,,Don't really care for their employees,2022-03-18,2.0,FRS,"Holidays off, normal hours, 401k matching",Upper management very disconnected from actually day to day operations.
48,,Cool company but uhh.,2022-03-17,4.0,Financial Relationship Consultant,"I like the staff I work with in Eastwood, some good people, and a mix of customers….",Can’t really say a lot of others really have had similar experience. T/o rate is really high. I think that the base salary for the dual role(or universal banker) could be higher.
49,,Good place to work,2022-03-17,3.0,Bank Teller,"management, salary, people, responsibilities, environment","management salaries, goals, products, people, locations"
50,,Regions,2022-03-16,3.0,Regions Bank,Bankers hours and holidays off are a plus,"Work six days every other week, no half days just an hour here and there off every day"
51,,Team Leader,2022-03-15,3.0,Team Leader,"Good reputation in Birmingham, Al",Very antiquated and hard to move out of branch banking
52,,Best people,2022-03-15,5.0,Recruiter,"Professional environment, great coworkers, and many growth opportunities,",None that I can think of
53,,Regions,2022-03-15,5.0,Commercial Portfolio Analyst,Collaborative culture and friendly associates.,The focus on growth has shifted away focus from employees and their well-being.
54,,Stable environment,2022-03-14,4.0,Senior Relationship Manager,"Doing a good job digitizing consumer banking 
Lot's of e-learning courses available","Need more digitization in the commercial makets
Excessive HR e-blasts on the ""flavor of the month"" issue"
55,,Overall good experience,2022-03-14,4.0,Financial Relationship Consultant,Salary and vacation days are fair also offer sick days,Working in a really small group of people
56,,Great culture!,2022-03-13,5.0,Anonymous Employee,Diversity/Equity/inclusion very important; promotes within; heavy in the community; competitive pay,Lack of staffing gets tough
57,,Lackluster training,2022-03-13,2.0,Anonymous Employee,Good paid time off. Not much else,"Only web based training, no effort to train in person and had to teach myself my job"
58,,The treat FRS like bottom of the chain,2022-03-13,1.0,Financial Relationship Specialist,Pay and benefits vacation was good as well,"Management 
No lunches some days 
No help on during busy hours"
59,,Great company,2022-03-11,5.0,Collections Specialist,-Supportive environment and great supervisors.,"-Pay was low while I was there
-Angry customers"
60,,Telemarketing,2022-03-10,3.0,FRC,"Nice time off, good vacation time. Good hours M-F, good pay. Good manager.","I feel like a telemarketer the time you spend on the phone calling and saying a script, it’s like a telemarketer job not a banker job, you are limited only to that and who ever walks in. They talk about numbers in the morning and afternoon, they use the word highly encourage that way they won’t say “ you have to sell,sell” . It reminds me a lot of WF the pressure of hitting the numbers. There is not good coworkers they are so focus on hitting the numbers it’s a doggy dog world, you have to watch your back."
61,,Balancing Sales with Customer Service is Challenging,2022-03-10,2.0,Financial Relationship Specialist,"- Decent Starting Pay
- Room for Advancement","- Expected to perform sales pitches to each customer, which only annoys the customer
- Sales-based goals are almost unachievable due to constant customer traffic 
- Low reward for the strenuous effort required to reach sales goals
- Upper management is often dismissive of entry-level employee concerns"
62,,Poor Management,2022-03-09,2.0,Branch Financial Sales Consultant,Lack of encouragement for leadership growth,Very easy to get in the door.
63,,.,2022-03-04,5.0,Financial Relationship Consultant,Good company as a whole,Large pay gap between employees not dictated by knowledge or skill
64,,Good Company,2022-03-04,4.0,Senior Analyst,Good culture good pay good benefits,"No overtime
FLEXIBLE 
GOOD MANAGEMENT
Same thing every day"
65,,Regions,2022-03-02,4.0,Financial Services Representative,"Great Benefits, Great hours. Good company overall.","Recently changed to universal banking. Too many duties for one position, sales goals and not enough pay."
66,,EHHh,2022-03-02,2.0,Relationship Banker,Just mediocre daily routines and work relationships.,"Poor management, poor upper leadership and poor company morale."
67,,Terrible,2022-03-01,2.0,Contact Center Representative,"Pay, Benefits, Occasional free lunch","Management, Banking Practices, Rude Customers"
68,,n/a,2022-03-01,3.0,Anonymous Employee,Very good company to work for,Company is intollerable of mistakes.
69,,Regions Mortgage,2022-02-28,2.0,Mortgage Loan Officer,"Loan program catalog
Remote positions 
Flexibility
Benefits","Pay scale
Area support
High rates
No marketing in area"
70,,Great Experience,2022-02-27,4.0,Bank Teller,Meeting new people and helping them with their accounts,Standing all day and meeting quotas
71,,Great company,2022-02-26,5.0,Anonymous Employee,"Great culture, supportive environment, great work life balance",Pay was lower than competitors
72,,It is okay,2022-02-24,3.0,Anonymous Employee,"It’s same as other companies like health benefits, 401k, and vacation time.",Career growth is hard for people working from within the company. Been 6 years with this bank but tried to work through career growth but never promoted.
73,,"Job Was Okay, But Not Accurately Described in Interview",2022-02-24,3.0,Licensed Banker,Low stress job with semi meaningful work helping bank customers,"I was told during my interview that I’d be able to use my Series 7, but I’m fact I was just a customer service rep and bank teller. The role wasn’t challenging enough."
74,,Regions,2022-02-23,4.0,Regions Bank,Environment is good depending on branch,Pay can be better with work tasks
