,company,headline,date,overall_rating,author_position,pros,cons
0,Pfizer,Pfizer is a great company to work for,2022-04-08,5.0,Sr. Quality Manager,"Wonderful benefits, room for growth",I cannot think of anything I would consider a con
1,Pfizer,Good culture,2022-04-07,5.0,Anonymous Employee,"Good culture and motto, people driven",Low salary and long hours
2,Pfizer,Corporate,2022-04-07,1.0,Sales,Large company and package. Corporate,Very corporate and controlling. Corporate
3,Pfizer,Site feels like home,2022-04-06,5.0,CDM Analyst,"Comfortable facilities, friendly environment, nice company politics and ethics.","Common to get hired through agency, not directly by the company (more benefits)."
4,Pfizer,Great Culture and People,2022-04-05,5.0,Management Trainee,"People, Culture, Responsibilities, Clear career path",Very spontaneous work with many stakeholders
5,Pfizer,Great Organization,2022-04-05,5.0,Territory Manager,Committed to helping patients live better lives,Pipeline in Primary Care structure has diminished over the years. Limited presence in this area.
6,Pfizer,Pay,2022-04-05,5.0,Supervisor,Great pay and management great,Nothing I can think of
7,Pfizer,Good,2022-04-05,3.0,Compliance Manager,"Benefits are good, but you pay for them.",Culture is very hierarchical. Lots of systems not integrated.
8,Pfizer,fiance analyst,2022-04-05,5.0,Finance Analyst,it was an extremly nice company to work for,there is nothing to fault
9,Pfizer,Nice people.,2022-04-04,4.0,Site Activation Specialist,Nice people. Friendly FSP environment,Lots of work. Can be overwhelming
10,Pfizer,Nice Experience,2022-04-04,3.0,Key Account Manager,"Great people. 
Sound company values.
Good working tools.","Remuneration can be much better. 
Poor local leaderships in SSA.
People culture is 😩"
11,Pfizer,Good place to work,2022-04-04,4.0,Technical Specialist III,They have a great Work life balance,They a have Unorganized project schedules
12,Pfizer,Sales Rep,2022-04-04,4.0,Anonymous Employee,"-Great products
-Intense training
-Lots of collaboration 
-Clear company vision","-Company culture
-Feel like a number 
-Upward growth is limited"
13,Pfizer,Mixed feelings,2022-04-04,4.0,Finance Lead,"Kind people, good culture, good benefits.","Bad at organization, systems and infrastructure, employee advancement."
14,Pfizer,Unpredictable Company,2022-04-04,3.0,Anonymous Employee,"Nice Relaxing Work
Decent Benefits
Good Time Off","No Care For Entry Level Employees
Strip away benefits yearly
Management
Chemical Exposure"
15,Pfizer,Product monitoring,2022-04-03,5.0,Marketing,"Good salary, upskilling chances, friendly environment","Good environment, development prospects, compensation"
16,Pfizer,Good salary,2022-04-03,3.0,Manager,Salary at top of the pay scale,Not a great work atmosphere. Very cut throat.
17,Pfizer,So so,2022-04-03,4.0,Senior Accountant,Large established influential company with a global reach.,Growth trajectory is lack luster
