,company,headline,date,overall_rating,author_position,pros,cons
0,Qualcomm,Innovative and Fast-paced,2022-04-08,4.0,Senior Thermal Engineer,"Lots of things to learn
Great compensation at entry level",Communication between various departments is not very optimal
1,Qualcomm,Excellent company to learn and grow,2022-04-08,5.0,Associate Engineer,Supportive team. A lot of learning opportunity.,"As a fresher, it takes a lot of time to ramp up to take on responsibilities. But is beneficial in the long run"
2,Qualcomm,Great place for learning but too much politics among junior employees,2022-04-07,4.0,Associate Engineer,"Great learning
In 2 years you'll learn as much as you'll learn in other companies in 3-3.5 years
Managers always encourage to ask questions and clear doubts even in bigger forums
Managers and leads sit with junior engineers and even ask basic questions which shows there is lot of transaparency","Too much politics among junior employees
You'll feel like college politics
You even get racism and sexism from junior employees and some managers try to hide it rather than taking actions"
3,Qualcomm,software engineer,2022-04-06,5.0,Software Engineer,"good work , nice teams",very hectic and loaded work
4,Qualcomm,Good to work for if......,2022-04-06,2.0,Principal Engineer,"* good salary.
* They give you own office if senior engineer.","* Big part of their performance reviews is based on peer reviews. If you are Asian or Indian (which is 80% of the company) then of course your peers will give you good reviews, but if you're from any other race then you're on your own and your Asian peers will put you under the microscope."
5,Qualcomm,Good Workplace,2022-04-06,4.0,Engineer,Good Facilities and benefits. Depends on your team,nothing as such for me
6,Qualcomm,Good,2022-04-06,4.0,Product Test Engineer,"Technical manager are good, certain group are firendly to new hire.",Manager can not control salary and fully rely on HR while HR respond very slow.
7,Qualcomm,Rookie staff salary,2022-04-06,5.0,Staff Engineer,"Good place to work.
Fair compensation.",Have not seen no cons yet.
8,Qualcomm,I enjoy it,2022-04-05,5.0,Software Engineer,"Benefits are reasonable
Plenty of room to learn and move around",Not much room for salary increase
9,Qualcomm,1,2022-04-05,4.0,Engineer,"good atmosphere, bonus, and friendly leader","benefit is not good enough, work in midnight"
10,Qualcomm,Love working at Qualcomm,2022-04-04,5.0,Software Engineer,"No micromanaging 
Opportunities to grow
Innovative environment 
Very supportive",TBH there is not anything that I don’t like about Qualcomm or my team. I feel lucky to have gotten into my team.
11,Qualcomm,S/W Engineer,2022-04-04,5.0,Software Engineer(Internship),"Good Benefits, stocks and bonus",Not as exciting as other MNCs
12,Qualcomm,Qualcomm review,2022-04-03,4.0,Senior Engineer,"Well paid.
Opportunities to grow in your carrer.","Work life balance.
Redundant work at times."
13,Qualcomm,Qualcomm,2022-04-03,5.0,Opration Executive,"Good people, good job. Good office","Too busy, no life. Long working time"
14,Qualcomm,Decent place,2022-04-02,1.0,Engineering Technician,Good team free snacks make it decent to work there,"Heavy NEPOTISM. If you aren’t family with any people there, good luck getting rolled over to a permanent position. They will keep people as temps are nearly 8 years"
15,Qualcomm,Great company to work for,2022-04-02,4.0,Senior Engineer,"Stable job 
Decent salary
Good insurance benefits 
401 k match",Salery no up to the what other competitors offering
16,Qualcomm,RFSW engineer,2022-04-02,5.0,Engineer,Good place to learn new skills,No cons . Overall a very good place
17,Qualcomm,Nice,2022-04-02,4.0,Senior Lead Engineer,Good compensation and work life balance,Slight politics you can see
18,Qualcomm,working environment is nice,2022-04-01,5.0,Systems Engineer,working environment is nice. good compensation,life and work balance is not satisfying
19,Qualcomm,"Good Company Overall, Lower Pay for Tech",2022-04-01,4.0,Software/Systems Test Engineer,"Love San Diego, like my team. Get pressure at certain times, but believe that's how it should be.","Just seeing money being made at other companies by people in similar roles. Pay is certainly not bad, but definitely not high compared to other unicorns / tech companies."
20,Qualcomm,Cheap,2022-04-01,3.0,Anonymous Employee,"The HQ in San Diego. The city is a big bonus. 
Ok benefit.
Other than that I don't know what to like.","Bad WLB, late night meetings frequently with other sites.
Bad pay, people are leaving left and right, leaving the rest scrambling to fill up the gap."
21,Qualcomm,Amazing,2022-03-31,5.0,Product Test Engineer,"Great team, work culture, growth, knowledge","Compensation can be better, but not team's fault"
22,Qualcomm,Great place to work,2022-03-31,4.0,Senior Engineer,"Chance to work with cutting edge technologies
Good pay and benefits
Friendly management",Work life balance is low
23,Qualcomm,Work life balance,2022-03-31,5.0,Software Engineer,"Employee friendly environment,
A good place to work",i didn't find any thing so far
24,Qualcomm,Feedback,2022-03-31,5.0,Anonymous Employee,"Great place to work, great parks and amazing benefits and amazing stock options",I cant think of any cons.
25,Qualcomm,Good learning,2022-03-31,3.0,Senior Engineer,Good scope for learning and Good package,Most people are busy and sometimes delay in responses
26,Qualcomm,"Nice benefits, slow progress",2022-03-31,4.0,Integration Engineer,"Nice benefits, flexible schedule, steady work and progression.","Progression can be slow, difficult to get new experiences outside your particular role."
27,Qualcomm,Solid,2022-03-30,5.0,Mechanical Assembler,Good hours if needing full time job w plenty overtime opportunity,Less free time for reg life
28,Qualcomm,Engineer,2022-03-30,5.0,Anonymous Employee,"1. Great work culture
2. Interesting work",Maybe some people have a slightly lower salary compared to similar jobs in SF
29,Qualcomm,Good company to work,2022-03-30,5.0,Senior Engineer,everything is good and direction of company is also good.,nothing as of now .
30,Qualcomm,Worst place to work with no work life balance and biased management,2022-03-29,1.0,Sr Lead Engineer,Pay scale was good but now market is hot and Qualcomm is not the best payer,"1) Management is worst here and they think we are machines
2) health gets detoriated while working by 24/7 and management doesn’t care about it
3) Biased management and they ensure that they will grow people who are close to them
4) Management escapes from any escalation and makes you scape goat
5) DFT team management is not at all good here
6) you earn money and then you will spend money for hospital and no work life balance
7) Management thinks that more work means more opportunities without any work life balance
8) horrible work culture and environment which made entire team to get washed out"
