,company,headline,date,overall_rating,author_position,pros,cons
0,RE/MAX,High fees & bad commission split,2022-04-06,4.0,Real Estate Agent,"Recognized company name 
Many tools for agents to use","Commission split is not good
High monthly fees"
1,RE/MAX,Great People!,2022-04-05,5.0,REALTOR®,Worked with some of the best people I have ever met. Everyone is very encouraging and willing to help you along the way. Even the owners were willing to show me how they generate leads and make sales. Great family environment to work in.,Very tough to get started and get your name out there. You do not make money unless you make a sale. Getting started can be slow.
2,RE/MAX,Good place,2022-04-04,4.0,Property Manager,Community and work life balance,Hours over weekend days at times are much
3,RE/MAX,good place to work,2022-04-02,5.0,Real Estate Agent,great support. lots of tools for marketing,working nights and weekends is not the greatest
4,RE/MAX,Overall good experience,2022-04-02,3.0,Marketing & Tech,Laid back work environment. Lots of freedom. Nice office. Nice owners.,No real potential for growth
5,RE/MAX,real estate,2022-04-01,5.0,Real Estate Agent,"bonus, great team, lots of support with leads",long hours and work during vacation
6,RE/MAX,RE/Max Career,2022-04-01,5.0,REALTOR®,"National Recognition, marketing, locations, commission splits","no guaranteed salary, no stock options"
7,RE/MAX,Great atmosphere,2022-04-01,4.0,Administration Assistant,"Love the environment, the agents are great to work with.",The training was great however it could’ve been a little better
8,RE/MAX,Good for self-starters,2022-03-31,4.0,Real Estate Associate,"Great company culture

Great attitude with colleagues

Achievements are monitored and not forgotten",You are the only one who is inspired to help you succeed. AKA you sink or swim
9,RE/MAX,Good place,2022-03-31,3.0,Digital Marketing Manager,Good work environment and lots of training,"High turnover rate and crazy workload, doing multiple jobs"
10,RE/MAX,Not a good fit,2022-03-31,1.0,Property Management,No micromanaging. Very flexible. Loves social events.,Very unorganized and no communication.
11,RE/MAX,Great company. Good exposure.,2022-03-30,5.0,REALTOR®,"Good exposure, people know Remax and link it to real estate immediately","Decent amount of costs for franchise fees, but if you use it right, you should be getting that money back by leveraging the brand."
12,RE/MAX,Admin,2022-03-29,3.0,Administrative Assistant,Flexible schedule and nice people,Have to be able to multitask well
13,RE/MAX,No Room For Advancement,2022-03-29,3.0,Information Technology Director,"* Flexible
* Coworkers are nice","* No structure
* Management does whatever 
* Lots of micromanaging
* Staff wears many hats with no compensation to it"
14,RE/MAX,like any other,2022-03-24,5.0,Adminisrative Assistant,"it is a steady, office setting position","repetitive but rewarding, depends on who you work for"
15,RE/MAX,Great Company,2022-03-24,5.0,Agent,Excellent Core Services & Support,There are none. Success is self determined.
16,RE/MAX,Good place to learn and progress,2022-03-23,3.0,Real Estate Agent,"Company that gives you the opportunity to learn all the important steps to provide a good service to the client when selling a house. Off course you need to pay for it, but for who desires to be a good real state agent, Remax is one of the best schools/companies where to be.","The %of the service commission the real state agent needs to pay to the company is too high, so your net after s business is too reduced."
17,RE/MAX,realtoe,2022-03-23,5.0,Realtor,was great to work there,expensive and prices increasing monthly
18,RE/MAX,Real Estate Service Company,2022-03-22,5.0,Owner,"From dream home to dream loan and insurance, 360 has you covered in one stop.",There are no cons for this operation.
19,RE/MAX,Very Nice,2022-03-22,5.0,Real Estate,Everything Good.. All staff good and supportive.. Friendly environment,None.. All good.. Nothing looked bad
20,RE/MAX,Realtor,2022-03-22,4.0,Realtor,Flexibility and helpful support staff,Market territory. High monthly fees
21,RE/MAX,"Good brokerage, lots of support",2022-03-20,5.0,REALTOR®,"Negotiable contracts, definitely work with % splits in your first year- ask for marketing bonuses",remax as a franchise has high fees
